OG_ID,analysis_absrel,analysis_relax_selection,analysis_paml,analysis_cafe,gene_symbol.x,analysis_relax_relaxed,analysis_cafe_contracted,gene_symbol.y,condition,gene_symbol
OG0005010,NA,NA,NA,NA,RRM1,relaxed,NA,NA,NA,RRM1
OG0005049,NA,NA,paml_selected,NA,MMP21,relaxed,NA,NA,NA,MMP21
OG0005064,NA,intensified,paml_selected,NA,NA,NA,NA,NA,NA,SPACA6
OG0005066,NA,NA,paml_selected,NA,NA,NA,NA,NA,NA,ZNF638
OG0005071,NA,NA,NA,NA,KIAA1109,relaxed,NA,NA,NA,KIAA1109
OG0005100,NA,NA,paml_selected,NA,NA,NA,NA,NA,NA,NUMA1
OG0005107,NA,NA,paml_selected,NA,NA,NA,NA,NA,NA,RASGRP2
OG0005115,NA,intensified,NA,NA,NA,NA,NA,NA,NA,OTUD5
OG0005119,NA,NA,paml_selected,NA,SEH1L,relaxed,NA,NA,NA,SEH1L
OG0005125,NA,NA,paml_selected,NA,NA,NA,NA,CENPE,eyeloss,CENPE
OG0005159,NA,NA,paml_selected,NA,ABCC4,relaxed,NA,NA,NA,ABCC4
OG0005167,NA,intensified,NA,NA,NA,NA,NA,NA,NA,RPL15
OG0005171,NA,NA,NA,NA,USP32,relaxed,NA,NA,NA,USP32
OG0005178,NA,NA,NA,NA,TDO2,relaxed,NA,NA,NA,TDO2
OG0005181,NA,NA,paml_selected,NA,NA,NA,NA,NA,NA,GPR132
OG0005186,NA,NA,paml_selected,NA,UROS,relaxed,NA,NA,NA,UROS
OG0005194,NA,NA,NA,NA,CEP162,relaxed,NA,NA,NA,CEP162
OG0005208,NA,intensified,NA,NA,NA,NA,NA,NA,NA,USP7
OG0005209,NA,NA,paml_selected,NA,NA,NA,NA,NA,NA,DXO
OG0005235,NA,NA,NA,NA,NR6A1,relaxed,NA,NA,NA,NR6A1
OG0005265,NA,intensified,NA,NA,NA,NA,NA,NA,NA,DOLPP1
OG0005267,NA,NA,paml_selected,NA,SMPD2,relaxed,NA,NA,NA,SMPD2
OG0005275,NA,NA,NA,NA,LRMP,relaxed,NA,NA,NA,LRMP
OG0005286,NA,NA,paml_selected,NA,NA,NA,NA,NA,NA,TDRD12
OG0005305,NA,NA,paml_selected,NA,NA,NA,NA,NA,NA,AKAP6
OG0005316,NA,NA,NA,NA,DRP2,relaxed,NA,NA,NA,DRP2
OG0005322,NA,intensified,NA,NA,NA,NA,NA,NA,NA,RBM12B
OG0005324,NA,NA,NA,NA,OSTC,relaxed,NA,NA,NA,OSTC
OG0005340,NA,intensified,paml_selected,NA,NA,NA,NA,NA,NA,SLC6A14
OG0005342,NA,NA,NA,NA,ERRFI1,relaxed,NA,NA,NA,ERRFI1
OG0005368,NA,NA,paml_selected,NA,NA,NA,NA,NA,NA,FKBP15
OG0005372,NA,NA,paml_selected,NA,SIX4,relaxed,NA,NA,NA,SIX4
OG0005375,NA,NA,paml_selected,NA,NA,NA,NA,NA,NA,TRDN
OG0005378,NA,NA,paml_selected,NA,YLPM1,relaxed,NA,YLPM1,eyeloss,YLPM1
OG0005381,NA,NA,paml_selected,NA,NA,NA,NA,NA,NA,NPHP4
OG0005386,NA,NA,paml_selected,NA,F11R,relaxed,NA,NA,NA,F11R
OG0005402,NA,NA,NA,NA,POU2F1,relaxed,NA,NA,NA,POU2F1
OG0005403,NA,NA,NA,NA,RAB20,relaxed,NA,NA,NA,RAB20
OG0005404,NA,NA,paml_selected,NA,PIBF1,relaxed,NA,NA,NA,PIBF1
OG0005407,NA,intensified,NA,NA,NA,NA,NA,NA,NA,EIF2S3
OG0005419,absrel,NA,paml_selected,NA,NA,NA,NA,NA,NA,SPECC1L
OG0005421,NA,NA,paml_selected,NA,FYB,relaxed,NA,FYB,eyeloss,FYB
OG0005450,NA,NA,paml_selected,NA,NA,NA,NA,NA,NA,C5orf42
OG0005474,NA,NA,NA,NA,NRBP2,relaxed,NA,NA,NA,NRBP2
OG0005477,NA,NA,paml_selected,NA,NA,NA,NA,NA,NA,GPRIN2
OG0005481,NA,NA,paml_selected,NA,NA,NA,NA,NA,NA,AKAP7
OG0005482,NA,NA,NA,NA,SPRTN,relaxed,NA,NA,NA,SPRTN
OG0005485,NA,NA,NA,NA,CLN3,relaxed,NA,NA,NA,CLN3
OG0005489,NA,NA,NA,NA,PECR,relaxed,NA,NA,NA,PECR
OG0005519,NA,intensified,NA,NA,NA,NA,NA,NA,NA,OCIAD1
OG0005524,NA,NA,NA,NA,MED27,relaxed,NA,NA,NA,MED27
OG0005531,NA,NA,paml_selected,NA,NA,NA,NA,NA,NA,IER3
OG0005542,NA,NA,NA,NA,TAC3,relaxed,NA,NA,NA,TAC3
OG0005556,NA,NA,NA,NA,FOXM1,relaxed,NA,NA,NA,FOXM1
OG0005557,NA,NA,paml_selected,NA,NA,NA,NA,NA,NA,UTP20
OG0005558,NA,NA,NA,NA,RPS16,relaxed,NA,NA,NA,RPS16
OG0005559,NA,NA,paml_selected,NA,SLC35E3,relaxed,NA,NA,NA,SLC35E3
OG0005564,NA,NA,paml_selected,NA,NA,NA,NA,NA,NA,PRRC2A
OG0005568,NA,NA,NA,NA,EIF2S1,relaxed,NA,NA,NA,EIF2S1
OG0005570,NA,NA,NA,NA,SOX6,relaxed,NA,NA,NA,SOX6
OG0005572,NA,NA,paml_selected,NA,NA,NA,NA,NA,NA,CCDC176
OG0005573,NA,NA,paml_selected,NA,ASPG,relaxed,NA,NA,NA,ASPG
OG0005579,NA,NA,paml_selected,NA,ARAP1,relaxed,NA,NA,NA,ARAP1
OG0005582,NA,NA,paml_selected,NA,NA,NA,NA,NA,NA,TEP1
OG0005590,absrel,NA,NA,NA,NA,NA,NA,VOPP1,eyeloss,VOPP1
OG0005592,NA,NA,paml_selected,NA,NA,NA,NA,NA,NA,DRC1
OG0005596,NA,NA,paml_selected,NA,NA,NA,NA,NA,NA,DNAH2
OG0005601,NA,NA,paml_selected,NA,PRKDC,relaxed,NA,NA,NA,PRKDC
OG0005604,NA,NA,paml_selected,NA,NA,NA,NA,NA,NA,NINL
OG0005608,NA,NA,paml_selected,NA,NA,NA,NA,NA,NA,TAPBP
OG0005609,NA,intensified,NA,NA,NA,NA,NA,NA,NA,ITFG1
OG0005611,NA,NA,paml_selected,NA,NA,NA,NA,NA,NA,CENPU
OG0005616,NA,NA,paml_selected,NA,NA,NA,NA,NA,NA,NEK1
OG0005620,NA,NA,NA,NA,VAT1,relaxed,NA,NA,NA,VAT1
OG0005621,NA,NA,paml_selected,NA,NA,NA,NA,NA,NA,C17orf104
OG0005622,NA,intensified,NA,NA,NA,NA,NA,NA,NA,SMG1
OG0005623,NA,NA,NA,NA,VPS72,relaxed,NA,NA,NA,VPS72
OG0005624,NA,NA,NA,NA,TMBIM6,relaxed,NA,NA,NA,TMBIM6
OG0005628,NA,NA,paml_selected,NA,NA,NA,NA,NA,NA,GPNMB
OG0005647,NA,NA,NA,NA,EP400,relaxed,NA,NA,NA,EP400
OG0005650,NA,NA,paml_selected,NA,PRRC2C,relaxed,NA,NA,NA,PRRC2C
OG0005662,NA,NA,NA,NA,TTLL11,relaxed,NA,NA,NA,TTLL11
OG0005664,NA,NA,paml_selected,NA,NA,NA,NA,NA,NA,ZC4H2
OG0005665,NA,NA,paml_selected,NA,NA,NA,NA,NA,NA,LAS1L
OG0005669,NA,NA,paml_selected,NA,NA,NA,NA,NA,NA,FAM83H
OG0005676,NA,intensified,NA,NA,NA,NA,NA,NA,NA,NDUFB4
OG0005686,NA,NA,paml_selected,NA,NA,NA,NA,NA,NA,PRAG1
OG0005692,NA,NA,paml_selected,NA,TRPC4AP,relaxed,NA,NA,NA,TRPC4AP
OG0005695,NA,NA,paml_selected,NA,NA,NA,NA,NA,NA,ZBTB46
OG0005697,NA,NA,paml_selected,NA,HERC2,relaxed,NA,NA,NA,HERC2
OG0005699,NA,NA,NA,NA,HSD17B7,relaxed,NA,NA,NA,HSD17B7
OG0005711,NA,intensified,paml_selected,NA,NA,NA,NA,NA,NA,ABCF1
OG0005712,NA,intensified,NA,NA,NA,NA,NA,NA,NA,C9orf91
OG0005713,NA,intensified,NA,NA,NA,NA,NA,NA,NA,EEPD1
OG0005715,NA,NA,paml_selected,NA,NA,NA,NA,NA,NA,SCAF11
OG0005725,NA,NA,NA,NA,DDX4,relaxed,NA,NA,NA,DDX4
OG0005729,NA,intensified,paml_selected,NA,NA,NA,NA,NA,NA,TTC28
OG0005730,NA,intensified,NA,NA,NA,NA,NA,NA,NA,MN1
OG0005739,NA,NA,paml_selected,NA,NA,NA,NA,NA,NA,CLCC1
OG0005741,NA,NA,paml_selected,NA,NA,NA,NA,DOT1L,eyeloss,DOT1L
OG0005744,NA,intensified,paml_selected,NA,NA,NA,NA,NA,NA,ZFYVE28
OG0005750,NA,NA,NA,NA,KCNJ16,relaxed,NA,NA,NA,KCNJ16
OG0005757,NA,NA,NA,NA,SYNRG,relaxed,NA,NA,NA,SYNRG
OG0005760,NA,NA,NA,NA,RANBP2,relaxed,NA,NA,NA,RANBP2
OG0005761,NA,NA,paml_selected,NA,RNF17,relaxed,NA,NA,NA,RNF17
OG0005764,NA,NA,NA,NA,PARP4,relaxed,NA,NA,NA,PARP4
OG0005769,NA,NA,NA,NA,CEP192,relaxed,NA,NA,NA,CEP192
OG0005770,NA,NA,paml_selected,NA,NA,NA,NA,NA,NA,DFNA5
OG0005772,NA,NA,paml_selected,NA,DOK1,relaxed,NA,NA,NA,DOK1
OG0005773,NA,intensified,NA,NA,NA,NA,NA,NA,NA,MAD2L1
OG0005782,NA,intensified,NA,NA,NA,NA,NA,NA,NA,VSTM2B
OG0005783,NA,NA,paml_selected,NA,IMMP2L,relaxed,NA,NA,NA,IMMP2L
OG0005786,NA,intensified,NA,NA,NA,NA,NA,NA,NA,PTPRQ
OG0005789,NA,NA,NA,NA,TRAP1,relaxed,NA,NA,NA,TRAP1
OG0005791,NA,NA,paml_selected,NA,COG1,relaxed,NA,NA,NA,COG1
OG0005794,NA,NA,paml_selected,NA,NA,NA,NA,NA,NA,HSD3B7
OG0005798,NA,NA,paml_selected,NA,ZNF831,relaxed,NA,NA,NA,ZNF831
OG0005807,NA,NA,NA,NA,GPBAR1,relaxed,NA,NA,NA,GPBAR1
OG0005826,NA,NA,NA,NA,RFK,relaxed,NA,NA,NA,RFK
OG0005827,NA,NA,paml_selected,NA,NA,NA,NA,NA,NA,CABIN1
OG0005828,NA,NA,NA,NA,ACOT7,relaxed,NA,NA,NA,ACOT7
OG0005829,NA,NA,NA,NA,MAP3K12,relaxed,NA,NA,NA,MAP3K12
OG0005830,NA,NA,paml_selected,NA,NA,NA,NA,NA,NA,VPRBP
OG0005840,NA,NA,NA,NA,SRP19,relaxed,NA,NA,NA,SRP19
OG0005841,NA,NA,paml_selected,NA,NA,NA,NA,NA,NA,DCLRE1B
OG0005842,NA,intensified,NA,NA,NA,NA,NA,NA,NA,DEDD
OG0005846,NA,NA,paml_selected,NA,NA,NA,NA,NA,NA,ABL1
OG0005849,NA,NA,NA,NA,NYAP1,relaxed,NA,NA,NA,NYAP1
OG0005851,NA,NA,paml_selected,NA,NA,NA,NA,NA,NA,ERCC6L
OG0005859,NA,NA,NA,NA,FRAS1,relaxed,NA,FRAS1,eyeloss,FRAS1
OG0005860,NA,NA,paml_selected,NA,SMTN,relaxed,NA,NA,NA,SMTN
OG0005861,NA,NA,paml_selected,NA,NA,NA,NA,NA,NA,DAO
OG0005866,NA,intensified,NA,NA,NA,NA,NA,NA,NA,NDUFAF5
OG0005877,NA,NA,NA,NA,PITRM1,relaxed,NA,NA,NA,PITRM1
OG0005878,NA,NA,NA,NA,XKR4,relaxed,NA,NA,NA,XKR4
OG0005880,NA,NA,NA,NA,CCDC61,relaxed,NA,NA,NA,CCDC61
OG0005883,NA,intensified,paml_selected,NA,NA,NA,NA,NA,NA,TPX2
OG0005888,NA,NA,paml_selected,NA,NA,NA,NA,NA,NA,HSPG2
OG0005891,NA,NA,paml_selected,NA,NA,NA,NA,NA,NA,GPR84
OG0005892,NA,NA,NA,NA,PPIG,relaxed,NA,NA,NA,PPIG
OG0005893,NA,NA,NA,NA,CYP24A1,relaxed,NA,NA,NA,CYP24A1
OG0005894,NA,NA,NA,expanded,NA,NA,NA,NA,NA,SYCP1
OG0005900,NA,intensified,paml_selected,NA,NA,NA,NA,NA,NA,ZC3H3
OG0005901,NA,NA,paml_selected,NA,NA,NA,NA,NA,NA,ARHGEF39
OG0005905,NA,intensified,NA,NA,NA,NA,NA,NA,NA,KYNU
OG0005913,NA,NA,NA,NA,MRPS7,relaxed,NA,NA,NA,MRPS7
OG0005915,NA,NA,NA,NA,CD44,relaxed,NA,NA,NA,CD44
OG0005916,NA,intensified,paml_selected,NA,NA,NA,NA,NA,NA,CCDC173
OG0005921,NA,NA,NA,NA,TRAPPC9,relaxed,NA,NA,NA,TRAPPC9
OG0005927,NA,NA,paml_selected,NA,TPCN2,relaxed,NA,NA,NA,TPCN2
OG0005935,NA,NA,paml_selected,NA,NA,NA,NA,NA,NA,NKPD1
OG0005936,NA,NA,paml_selected,NA,NA,NA,NA,NA,NA,HYLS1
OG0005937,NA,NA,paml_selected,NA,NA,NA,NA,NA,NA,RTEL1
OG0005939,NA,NA,NA,NA,STK11IP,relaxed,NA,NA,NA,STK11IP
OG0005941,NA,NA,paml_selected,NA,NA,NA,NA,NA,NA,RPAP1
OG0005944,NA,NA,paml_selected,NA,NA,NA,NA,NA,NA,BAZ1A
OG0005945,NA,NA,paml_selected,NA,NA,NA,NA,NA,NA,KIAA0586
OG0005947,NA,NA,NA,NA,ZBTB8A,relaxed,NA,NA,NA,ZBTB8A
OG0005950,NA,NA,NA,NA,MSH2,relaxed,NA,NA,NA,MSH2
OG0005951,NA,NA,paml_selected,NA,KIAA1462,relaxed,NA,NA,NA,KIAA1462
OG0005953,NA,NA,NA,NA,ALDH18A1,relaxed,NA,NA,NA,ALDH18A1
OG0005956,NA,NA,paml_selected,NA,NA,NA,NA,NA,NA,ARID5B
OG0005961,NA,NA,paml_selected,NA,NA,NA,NA,NA,NA,FANCA
OG0005962,NA,intensified,NA,NA,NA,NA,NA,NA,NA,IL1RAP
OG0005963,NA,NA,paml_selected,NA,NA,NA,NA,NA,NA,RHBDD1
OG0005965,NA,NA,paml_selected,NA,KMT2A,relaxed,NA,NA,NA,KMT2A
OG0005970,NA,NA,paml_selected,NA,NA,NA,NA,NA,NA,GPR161
OG0005974,NA,intensified,NA,NA,NA,NA,NA,NA,NA,PRPF3
OG0005976,NA,NA,NA,NA,ECI2,relaxed,NA,NA,NA,ECI2
OG0005978,NA,NA,NA,NA,BCAN,relaxed,NA,NA,NA,BCAN
OG0005979,NA,NA,paml_selected,NA,MEF2D,relaxed,NA,NA,NA,MEF2D
OG0005981,NA,NA,NA,NA,CDCA3,relaxed,NA,NA,NA,CDCA3
OG0005984,NA,NA,paml_selected,NA,NHSL2,relaxed,NA,NA,NA,NHSL2
OG0005992,NA,NA,paml_selected,NA,NA,NA,NA,NA,NA,FAM83B
OG0005993,NA,NA,NA,NA,WDR11,relaxed,NA,NA,NA,WDR11
OG0005994,NA,NA,paml_selected,expanded,GOLGA4,relaxed,NA,NA,NA,GOLGA4
OG0005996,NA,intensified,NA,NA,NA,NA,NA,NA,NA,SYNDIG1
OG0005997,NA,NA,NA,NA,MCFD2,relaxed,NA,NA,NA,MCFD2
OG0006001,NA,NA,paml_selected,NA,SPAG5,relaxed,NA,NA,NA,SPAG5
OG0006002,NA,NA,NA,NA,VPS33B,relaxed,NA,NA,NA,VPS33B
OG0006004,NA,NA,paml_selected,NA,CFTR,relaxed,NA,NA,NA,CFTR
OG0006006,NA,NA,NA,NA,NIP7,relaxed,NA,NA,NA,NIP7
OG0006007,NA,NA,NA,NA,FRK,relaxed,NA,NA,NA,FRK
OG0006009,NA,NA,paml_selected,NA,NA,NA,NA,NA,NA,CDHR2
OG0006010,NA,intensified,NA,NA,NA,NA,NA,NA,NA,DHPS
OG0006014,NA,NA,NA,NA,ADSL,relaxed,NA,ADSL,eyeloss,ADSL
OG0006016,NA,NA,NA,NA,TMEM11,relaxed,NA,NA,NA,TMEM11
OG0006024,NA,NA,NA,NA,SDHB,relaxed,NA,NA,NA,SDHB
OG0006052,NA,NA,NA,NA,GPKOW,relaxed,NA,NA,NA,GPKOW
OG0006053,NA,NA,NA,NA,GOLM1,relaxed,NA,NA,NA,GOLM1
OG0006057,NA,NA,NA,NA,MARVELD3,relaxed,NA,NA,NA,MARVELD3
OG0006060,NA,NA,paml_selected,NA,MCM9,relaxed,NA,NA,NA,MCM9
OG0006064,NA,NA,NA,NA,CGRRF1,relaxed,NA,NA,NA,CGRRF1
OG0006065,NA,intensified,paml_selected,NA,NA,NA,NA,NA,NA,FGG
OG0006068,NA,intensified,NA,NA,NA,NA,NA,NA,NA,MEMO1
OG0006071,NA,NA,NA,NA,VEPH1,relaxed,NA,NA,NA,VEPH1
OG0006072,NA,NA,NA,NA,CDON,relaxed,NA,NA,NA,CDON
OG0006073,NA,NA,paml_selected,NA,NA,NA,NA,NA,NA,ZNF335
OG0006079,NA,NA,NA,NA,CEP350,relaxed,NA,NA,NA,CEP350
OG0006082,NA,intensified,NA,NA,NA,NA,NA,NA,NA,PISD
OG0006087,NA,intensified,paml_selected,NA,NA,NA,NA,NA,NA,EDA
OG0006088,NA,NA,NA,NA,CWC15,relaxed,NA,NA,NA,CWC15
OG0006090,NA,NA,paml_selected,NA,RFX5,relaxed,NA,NA,NA,RFX5
OG0006091,NA,NA,paml_selected,NA,RNMT,relaxed,NA,NA,NA,RNMT
OG0006093,NA,NA,paml_selected,NA,NA,NA,NA,NA,NA,C18orf21
OG0006097,NA,NA,paml_selected,NA,NA,NA,NA,NA,NA,CARD11
OG0006098,NA,NA,paml_selected,NA,NA,NA,NA,NA,NA,TPMT
OG0006099,NA,NA,paml_selected,NA,NA,NA,NA,NA,NA,AK8
OG0006100,NA,NA,NA,NA,EPG5,relaxed,NA,NA,NA,EPG5
OG0006101,absrel,intensified,NA,NA,NA,NA,NA,NA,NA,RASA1
OG0006104,NA,NA,paml_selected,NA,NA,NA,NA,NA,NA,SNAPC4
OG0006106,NA,NA,NA,NA,ISCU,relaxed,NA,NA,NA,ISCU
OG0006107,NA,NA,NA,NA,EGFLAM,relaxed,NA,NA,NA,EGFLAM
OG0006108,NA,NA,paml_selected,NA,VPS8,relaxed,NA,NA,NA,VPS8
OG0006111,NA,NA,NA,NA,ESF1,relaxed,NA,NA,NA,ESF1
OG0006113,NA,NA,NA,NA,SPAST,relaxed,NA,NA,NA,SPAST
OG0006116,NA,NA,paml_selected,NA,NA,NA,NA,NA,NA,KIAA1407
OG0006118,NA,NA,NA,NA,ACOT9,relaxed,NA,NA,NA,ACOT9
OG0006119,NA,intensified,NA,NA,NA,NA,NA,NA,NA,CROT
OG0006120,NA,NA,paml_selected,NA,NA,NA,NA,NA,NA,RFTN1
OG0006122,NA,NA,paml_selected,NA,NA,NA,NA,NA,NA,AZI2
OG0006125,NA,NA,NA,NA,IRF1,relaxed,NA,NA,NA,IRF1
OG0006126,NA,NA,NA,NA,MZT2B,relaxed,NA,NA,NA,MZT2B
OG0006127,NA,NA,paml_selected,NA,NA,NA,NA,NA,NA,ERMP1
OG0006132,NA,NA,NA,NA,SC5D,relaxed,NA,NA,NA,SC5D
OG0006133,NA,intensified,NA,NA,NA,NA,NA,NA,NA,ZNF462
OG0006136,NA,NA,NA,NA,HBS1L,relaxed,NA,HBS1L,eyeloss,HBS1L
OG0006142,NA,intensified,NA,NA,NA,NA,NA,NA,NA,CFI
OG0006144,NA,NA,NA,NA,UBE2J2,relaxed,NA,NA,NA,UBE2J2
OG0006145,NA,NA,paml_selected,NA,NA,NA,NA,NA,NA,SPRYD3
OG0006147,NA,NA,paml_selected,NA,NA,NA,NA,NA,NA,KANSL2
OG0006151,NA,NA,NA,NA,CTH,relaxed,NA,CTH,eyeloss,CTH
OG0006152,NA,intensified,NA,NA,NA,NA,NA,NA,NA,PRPF38A
OG0006154,NA,intensified,NA,NA,NA,NA,NA,NA,NA,INPP5D
OG0006155,NA,intensified,NA,NA,NA,NA,NA,NA,NA,LSM2
OG0006167,NA,intensified,NA,NA,NA,NA,NA,NA,NA,UNC80
OG0006171,NA,NA,NA,NA,GPD2,relaxed,NA,NA,NA,GPD2
OG0006173,NA,intensified,NA,NA,NA,NA,NA,NA,NA,DGKE
OG0006176,NA,NA,NA,NA,CCDC151,relaxed,NA,NA,NA,CCDC151
OG0006177,absrel,NA,paml_selected,NA,NA,NA,NA,NA,NA,CTDP1
OG0006178,NA,NA,NA,NA,MED10,relaxed,NA,NA,NA,MED10
OG0006183,NA,NA,paml_selected,NA,CAPRIN2,relaxed,NA,NA,NA,CAPRIN2
OG0006190,NA,NA,paml_selected,NA,DLD,relaxed,NA,NA,NA,DLD
OG0006192,NA,NA,NA,NA,DHTKD1,relaxed,NA,NA,NA,DHTKD1
OG0006193,NA,NA,paml_selected,NA,NA,NA,NA,NA,NA,EPS8L2
OG0006195,NA,NA,paml_selected,NA,COL22A1,relaxed,NA,NA,NA,COL22A1
OG0006196,NA,NA,paml_selected,NA,NA,NA,NA,NA,NA,IL11RA
OG0006212,NA,intensified,NA,NA,NA,NA,NA,NA,NA,MESDC2
OG0006215,NA,NA,paml_selected,NA,AXDND1,relaxed,NA,NA,NA,AXDND1
OG0006218,NA,NA,paml_selected,NA,RPS15,relaxed,NA,NA,NA,RPS15
OG0006221,NA,NA,NA,NA,NPEPPS,relaxed,NA,NA,NA,NPEPPS
OG0006222,NA,intensified,NA,NA,NA,NA,NA,NA,NA,SP2
OG0006224,NA,NA,paml_selected,NA,NA,NA,NA,NA,NA,PSMF1
OG0006227,NA,intensified,NA,NA,NA,NA,NA,NA,NA,CDC5L
OG0006228,NA,NA,paml_selected,NA,TTLL5,relaxed,NA,NA,NA,TTLL5
OG0006233,NA,NA,paml_selected,NA,NA,NA,NA,NA,NA,PGAP3
OG0006237,NA,NA,NA,NA,DNAI2,relaxed,NA,NA,NA,DNAI2
OG0006238,NA,NA,paml_selected,NA,NA,NA,NA,NA,NA,DNMBP
OG0006245,NA,NA,paml_selected,NA,NXN,relaxed,NA,NXN,eyeloss,NXN
OG0006246,NA,NA,paml_selected,NA,SPA17,relaxed,NA,NA,NA,SPA17
OG0006249,NA,NA,paml_selected,NA,RPA1,relaxed,NA,NA,NA,RPA1
OG0006254,NA,NA,NA,NA,RNASEH2B,relaxed,NA,NA,NA,RNASEH2B
OG0006255,NA,NA,NA,NA,VWA8,relaxed,NA,VWA8,eyeloss,VWA8
OG0006256,NA,NA,NA,NA,TSN,relaxed,NA,NA,NA,TSN
OG0006260,NA,NA,NA,NA,DDC,relaxed,NA,NA,NA,DDC
OG0006267,NA,intensified,NA,NA,NA,NA,NA,NA,NA,CSF3R
OG0006268,NA,NA,paml_selected,NA,NA,NA,NA,NA,NA,CUBN
OG0006269,NA,NA,paml_selected,NA,NA,NA,NA,NA,NA,GPATCH4
OG0006273,NA,NA,paml_selected,NA,POLR2D,relaxed,NA,NA,NA,POLR2D
OG0006282,NA,NA,paml_selected,NA,NA,relaxed,NA,NA,NA,NA
OG0006283,NA,NA,NA,NA,PLA2G12B,relaxed,NA,NA,NA,PLA2G12B
OG0006285,NA,NA,NA,NA,SLC3A1,relaxed,NA,NA,NA,SLC3A1
OG0006286,NA,NA,paml_selected,NA,LRPPRC,relaxed,NA,NA,NA,LRPPRC
OG0006287,NA,NA,NA,NA,TACC2,relaxed,NA,NA,NA,TACC2
OG0006288,NA,intensified,NA,NA,NA,NA,NA,NA,NA,KAT6B
OG0006293,NA,intensified,paml_selected,NA,NA,NA,NA,NA,NA,PHKB
OG0006296,NA,intensified,NA,NA,NA,NA,NA,NA,NA,AGRP
OG0006297,NA,NA,NA,NA,TIPIN,relaxed,NA,NA,NA,TIPIN
OG0006301,NA,NA,paml_selected,NA,NA,NA,NA,NA,NA,ZDHHC24
OG0006303,NA,NA,paml_selected,NA,ZC3H18,relaxed,NA,NA,NA,ZC3H18
OG0006305,NA,NA,NA,NA,CLPP,relaxed,NA,NA,NA,CLPP
OG0006307,NA,NA,paml_selected,NA,TBC1D16,relaxed,NA,NA,NA,TBC1D16
OG0006309,NA,NA,NA,NA,GLYR1,relaxed,NA,NA,NA,GLYR1
OG0006324,NA,intensified,NA,NA,NA,NA,NA,NA,NA,FGF23
OG0006327,NA,NA,paml_selected,NA,NA,NA,NA,NA,NA,TDRD1
OG0006348,NA,NA,paml_selected,NA,ADAMTS13,relaxed,NA,NA,NA,ADAMTS13
OG0006351,NA,intensified,NA,NA,NA,NA,NA,NA,NA,HENMT1
OG0006352,NA,intensified,NA,NA,NA,NA,NA,NA,NA,NAA30
OG0006354,NA,NA,NA,NA,C2orf44,relaxed,NA,NA,NA,C2orf44
OG0006356,NA,NA,paml_selected,NA,PPAT,relaxed,NA,NA,NA,PPAT
OG0006358,NA,NA,NA,NA,NRBP1,relaxed,NA,NA,NA,NRBP1
OG0006359,NA,NA,paml_selected,NA,NA,NA,NA,NA,NA,AKAP12
OG0006361,NA,NA,NA,NA,MOGS,relaxed,NA,NA,NA,MOGS
OG0006362,NA,NA,NA,NA,NCAPG,relaxed,NA,NA,NA,NCAPG
OG0006364,NA,intensified,NA,NA,NA,NA,NA,NA,NA,PEA15
OG0006365,NA,NA,NA,NA,MSMO1,relaxed,NA,NA,NA,MSMO1
