OG_ID	gene_symbol	analysis_relax_relaxed
OG0007169	JADE1	relaxed
OG0007174	DROSHA	relaxed
OG0007179	SPATA20	relaxed
OG0007182	SNX29	relaxed
OG0007185	SPDL1	relaxed
OG0007187	GAL	relaxed
OG0007189	NOX4	relaxed
OG0007191	MRPL28	relaxed
OG0007197	MAG	relaxed
OG0007202	TEKT1	relaxed
OG0007206	CERKL	relaxed
OG0007216	DLX1	relaxed
OG0007233	GALNT11	relaxed
OG0007238	THEMIS2	relaxed
OG0007241	MRS2	relaxed
OG0007242	SCNM1	relaxed
OG0007243	NES	relaxed
OG0007244	TG	relaxed
OG0007245	ADAM15	relaxed
OG0007259	TMEM256	relaxed
OG0007260	POP7	relaxed
OG0007270	DHRS7	relaxed
OG0007274	FAM204A	relaxed
OG0007275	ZFYVE21	relaxed
OG0007276	PNO1	relaxed
OG0007305	HYPK	relaxed
OG0007307	TP53BP1	relaxed
OG0007313	PIGG	relaxed
OG0007324	TRABD	relaxed
OG0007333	SWT1	relaxed
OG0007345	CLEC16A	relaxed
OG0007357	SCAF1	relaxed
OG0007365	CNTN2	relaxed
OG0007372	KIF17	relaxed
OG0007374	RPN2	relaxed
OG0007381	SSH3	relaxed
OG0007383	CEP41	relaxed
OG0007405	TBX4	relaxed
OG0007444	RFK	relaxed
OG0007467	RFX6	relaxed
OG0007468	PARP1	relaxed
OG0007470	AKAP12	relaxed
OG0007472	DCAF4	relaxed
OG0007476	PPP1R21	relaxed
OG0007479	MEMO1	relaxed
OG0007480	CLRN2	relaxed
OG0007481	N4BP2	relaxed
OG0007483	FBXO10	relaxed
OG0007484	DNAH6	relaxed
OG0007485	NCAPD3	relaxed
OG0007489	FGF7	relaxed
OG0007498	ZBTB38	relaxed
OG0007504	ZNF366	relaxed
OG0007505	CDO1	relaxed
OG0007508	CFP	relaxed
OG0007512	KLHL12	relaxed
OG0007513	MAD2L2	relaxed
OG0007556	EFCAB1	relaxed
OG0007558	FAM206A	relaxed
OG0007559	AK2	relaxed
OG0007560	ILF2	relaxed
OG0007568	CHFR	relaxed
OG0007569	DGCR8	relaxed
OG0007586	UBE3B	relaxed
OG0007590	RANBP1	relaxed
OG0007594	OBFC1	relaxed
OG0007595	BCL9	relaxed
OG0007600	USP34	relaxed
OG0007613	DLEC1	relaxed
OG0007616	PAN3	relaxed
OG0007628	RBM8A	relaxed
OG0007632	TBX20	relaxed
OG0007634	MTF2	relaxed
OG0007644	RIOK1	relaxed
OG0007647	DOPEY1	relaxed
OG0007648	PDCL	relaxed
OG0007653	ZNF532	relaxed
OG0007656	NDUFA2	relaxed
OG0007659	PWWP2A	relaxed
OG0007661	C17orf85	relaxed
OG0007663	WBSCR27	relaxed
OG0007664	NFRKB	relaxed
OG0007674	HIVEP1	relaxed
OG0007685	ICMT	relaxed
OG0007686	UBR4	relaxed
OG0007697	SALL4	relaxed
OG0007701	SSB	relaxed
OG0007704	TFAP2C	relaxed
OG0007707	GLI1	relaxed
OG0007716	ZBTB11	relaxed
OG0007717	PDE6D	relaxed
OG0007719	DNAJC6	relaxed
OG0007722	USP1	relaxed
OG0007723	ATP6V1F	relaxed
OG0007724	KIF15	relaxed
OG0007726	GEN1	relaxed
OG0007735	GOLGB1	relaxed
OG0007743	NTAN1	relaxed
OG0007744	MBD5	relaxed
OG0007747	DFNB59	relaxed
OG0007748	RPTOR	relaxed
OG0007752	OXNAD1	relaxed
OG0007756	INTS3	relaxed
OG0007764	GSAP	relaxed
OG0007766	TM7SF3	relaxed
OG0007767	PTDSS2	relaxed
OG0007768	CFAP69	relaxed
OG0007769	TUBGCP6	relaxed
OG0007773	FBXO31	relaxed
OG0007778	AASS	relaxed
OG0007782	DHTKD1	relaxed
OG0007790	THSD1	relaxed
OG0007795	PTRH2	relaxed
OG0007801	CKAP2	relaxed
OG0007804	PTCHD4	relaxed
OG0007807	FNDC1	relaxed
OG0007810	PCYOX1	relaxed
OG0007822	PCDH20	relaxed
OG0007836	PLEKHB2	relaxed
OG0007839	R3HDM4	relaxed
OG0007840	DAZAP1	relaxed
OG0007857	KDM1A	relaxed
OG0007860	LRRC57	relaxed
OG0007865	SRP14	relaxed
OG0007868	LIN52	relaxed
OG0007869	ARHGAP5	relaxed
OG0007877	C15orf41	relaxed
OG0007885	CLN8	relaxed
OG0007888	BIRC6	relaxed
OG0007892	POLR3A	relaxed
OG0007900	C17orf70	relaxed
OG0007901	GLTSCR1L	relaxed
OG0007904	TRUB1	relaxed
OG0007910	TBX21	relaxed
OG0007917	NRBF2	relaxed
OG0007918	POLR3E	relaxed
OG0007925	OGT	relaxed
OG0007932	JPH3	relaxed
OG0007936	CWF19L2	relaxed
OG0007939	NYAP2	relaxed
OG0007944	TADA2A	relaxed
OG0007948	SORL1	relaxed
OG0007952	NPAT	relaxed
OG0007966	STAT4	relaxed
OG0007967	LRCH1	relaxed
OG0007969	MED4	relaxed
OG0007971	TMEM177	relaxed
OG0007982	SP5	relaxed
OG0007984	NFE2L2	relaxed
OG0007985	SPC25	relaxed
OG0007990	MAP3K13	relaxed
OG0007999	MOSPD2	relaxed
OG0008005	RB1CC1	relaxed
OG0008006	RAB11FIP3	relaxed
OG0008007	COBL	relaxed
OG0008012	RMDN1	relaxed
OG0008017	EBAG9	relaxed
OG0008022	BVES	relaxed
OG0008023	ALG14	relaxed
OG0008032	CLSTN3	relaxed
OG0008036	FAM189B	relaxed
OG0008041	KIAA0232	relaxed
OG0008044	NOM1	relaxed
OG0008054	KLHL6	relaxed
OG0008056	WDR65	relaxed
OG0008060	RIPK2	relaxed
OG0008063	BFSP2	relaxed
OG0008066	KLHDC3	relaxed
OG0008067	TACC3	relaxed
OG0008074	GOLGA4	relaxed
OG0008075	C1D	relaxed
OG0008077	GGPS1	relaxed
OG0008090	DDX43	relaxed
OG0008092	MAML3	relaxed
OG0008095	WDR17	relaxed
OG0008106	MTMR10	relaxed
OG0008108	ARMC10	relaxed
OG0008114	PHF6	relaxed
OG0008115	PFDN6	relaxed
OG0008121	ENPP6	relaxed
OG0008133	ZFPM1	relaxed
OG0008136	BHLHE41	relaxed
OG0008139	WFDC1	relaxed
OG0008142	QSER1	relaxed
OG0008150	SLC35A1	relaxed
OG0008159	NAPRT	relaxed
OG0008163	HIGD2A	relaxed
OG0008164	CLCN7	relaxed
OG0008174	CNP	relaxed
OG0008179	ZRANB3	relaxed
OG0008180	CSRP2BP	relaxed
OG0008185	THOC7	relaxed
OG0008186	NEK4	relaxed
OG0008192	SLC45A1	relaxed
OG0008198	SLMAP	relaxed
OG0008199	MCM2	relaxed
OG0008200	BCDIN3D	relaxed
OG0008211	NDUFA9	relaxed
OG0008233	SMIM4	relaxed
OG0008242	IFT57	relaxed
OG0008244	ZNF827	relaxed
OG0008280	C5orf51	relaxed
OG0008284	SF3A1	relaxed
OG0008285	CCDC92	relaxed
OG0008288	UBL4A	relaxed
OG0008294	KLHL22	relaxed
OG0008304	POLB	relaxed
OG0008305	ACAA2	relaxed
OG0008307	TRMT6	relaxed
OG0008313	DHCR24	relaxed
OG0008317	TRMT1L	relaxed
OG0008323	ELP3	relaxed
OG0008338	MND1	relaxed
OG0008347	MTTP	relaxed
OG0008355	GAN	relaxed
OG0008361	CNTD2	relaxed
OG0008369	CPT2	relaxed
OG0008371	FAF1	relaxed
OG0008372	CDKN2C	relaxed
OG0008384	MECP2	relaxed
OG0008387	HAUS5	relaxed
OG0008395	DCX	relaxed
OG0008405	PIGL	relaxed
OG0008407	GUSB	relaxed
OG0008408	TIMM8B	relaxed
OG0008409	ZBTB44	relaxed
OG0008419	MKS1	relaxed
OG0008420	GET4	relaxed
OG0008436	MTURN	relaxed
OG0008460	GAS2L1	relaxed
OG0008463	CCDC117	relaxed
OG0008472	DMRT2	relaxed
OG0008483	POMT1	relaxed
OG0008486	CDK7	relaxed
OG0008490	RSRC2	relaxed
OG0008491	WSCD2	relaxed
OG0008496	TMEM8A	relaxed
OG0008506	NFKBIZ	relaxed
OG0008511	MAP2K7	relaxed
OG0008512	GPALPP1	relaxed
OG0008522	KIAA2018	relaxed
OG0008525	MTRR	relaxed
OG0008530	SLC35B3	relaxed
OG0008534	POP1	relaxed
OG0008535	CDH17	relaxed
OG0008538	TMEM145	relaxed
OG0008540	ERP44	relaxed
OG0008542	FAM188A	relaxed
OG0008561	CDC20	relaxed
OG0008568	ARHGAP30	relaxed
OG0008571	MTCL1	relaxed
OG0008572	VWA5B2	relaxed
OG0008573	PITRM1	relaxed
OG0008576	EFR3A	relaxed
OG0008584	PTF1A	relaxed
OG0008595	TXNL1	relaxed
OG0008606	TBC1D13	relaxed
OG0008612	ZMAT2	relaxed
OG0008616	SUPT6H	relaxed
OG0008619	BUD13	relaxed
OG0008621	NADK2	relaxed
OG0008624	RAI14	relaxed
OG0008634	DKC1	relaxed
OG0008642	C20orf24	relaxed
OG0008644	NCOA6	relaxed
OG0008649	CASZ1	relaxed
OG0008650	LZIC	relaxed
OG0008656	KLHL17	relaxed
OG0008666	TM9SF4	relaxed
OG0008667	SNX21	relaxed
OG0008670	ZNF512B	relaxed
OG0008673	PDYN	relaxed
OG0008676	MUL1	relaxed
OG0008684	ZNF217	relaxed
OG0008687	CS	relaxed
OG0008692	STRADB	relaxed
OG0008700	DCTN2	relaxed
OG0008703	CCDC65	relaxed
OG0008707	PATZ1	relaxed
OG0008710	TBC1D23	relaxed
OG0008711	MFI2	relaxed
OG0008715	ASUN	relaxed
OG0008726	SCYL2	relaxed
OG0008731	PHF21B	relaxed
OG0008732	TERF2	relaxed
OG0008735	TMEM209	relaxed
OG0008743	DMTF1	relaxed
OG0008751	CDC123	relaxed
OG0008752	OPTN	relaxed
OG0008756	NDUFB2	relaxed
OG0008762	SUCLA2	relaxed
OG0008767	STX8	relaxed
OG0008772	HAX1	relaxed
OG0008774	FAM91A1	relaxed
OG0008790	GNPTAB	relaxed
OG0008792	ARID2	relaxed
OG0008797	HMGXB3	relaxed
OG0008805	MPHOSPH6	relaxed
OG0008808	TBC1D2B	relaxed
OG0008810	COPS2	relaxed
OG0008814	API5	relaxed
OG0008829	CNTFR	relaxed
OG0008834	PROSER1	relaxed
OG0008851	USP25	relaxed
OG0008854	ASH2L	relaxed
OG0008863	PBDC1	relaxed
OG0008869	PIGO	relaxed
OG0008874	CDC37L1	relaxed
OG0008879	COPB1	relaxed
OG0008880	TMEM9B	relaxed
OG0008883	EXT2	relaxed
OG0008884	KARS	relaxed
OG0008886	SENP8	relaxed
OG0008888	VAT1L	relaxed
OG0008889	NADSYN1	relaxed
OG0008900	FAM32A	relaxed
OG0008902	LONP1	relaxed
OG0008915	TBR1	relaxed
OG0008918	TMEM59L	relaxed
OG0008920	UQCC1	relaxed
OG0008926	SYNE3	relaxed
OG0008927	STYX	relaxed
OG0008933	WARS	relaxed
OG0008935	ZFYVE19	relaxed
OG0008956	CENPO	relaxed
OG0008957	FERMT2	relaxed
OG0008958	TTC8	relaxed
OG0008960	LRRC74A	relaxed
OG0008965	ID3	relaxed
OG0008974	RAB3GAP2	relaxed
OG0008975	FGFBP3	relaxed
OG0008984	ARMC4	relaxed
OG0008987	ANAPC16	relaxed
OG0008990	ENTHD2	relaxed
OG0008994	SRCAP	relaxed
OG0009006	TMEM101	relaxed
OG0009008	SYTL4	relaxed
OG0009009	CENPI	relaxed
OG0009010	BCORL1	relaxed
OG0009013	VAMP7	relaxed
OG0009014	IMMT	relaxed
OG0009018	ADAT1	relaxed
OG0009020	CHRD	relaxed
OG0009028	POU2AF1	relaxed
OG0009029	ACAD8	relaxed
OG0009032	UBE4A	relaxed
OG0009033	NLRX1	relaxed
OG0009036	APPBP2	relaxed
OG0009047	LIN37	relaxed
OG0009048	BRCA2	relaxed
OG0009053	HIBCH	relaxed
OG0009058	NDUFA10	relaxed
OG0009059	UBXN4	relaxed
OG0009061	GPR89B	relaxed
OG0009065	TBCCD1	relaxed
OG0009067	DNAJC28	relaxed
OG0009068	ASMTL	relaxed
OG0009069	GABPA	relaxed
OG0009078	TTLL4	relaxed
OG0009079	USP37	relaxed
OG0009081	ZNF148	relaxed
OG0009091	TMEM30C	relaxed
OG0009092	PIKFYVE	relaxed
OG0009094	SPIDR	relaxed
OG0009096	GBX1	relaxed
OG0009102	IRX2	relaxed
OG0009109	IBTK	relaxed
OG0009120	HACE1	relaxed
OG0009121	SMPDL3B	relaxed
OG0009123	BCL3	relaxed
OG0009128	LPCAT3	relaxed
OG0009134	DERL1	relaxed
OG0009137	ZFAT	relaxed
OG0009140	TADA2B	relaxed
OG0009150	TTC5	relaxed
OG0009154	TRMT10A	relaxed
OG0009158	TSEN15	relaxed
OG0009172	MED6	relaxed
OG0009176	RTF1	relaxed
OG0009180	PSAP	relaxed
OG0009182	PDE10A	relaxed
OG0009186	GCLC	relaxed
OG0009191	MGME1	relaxed
OG0009208	TTL	relaxed
OG0009218	BAG3	relaxed
OG0009225	COG2	relaxed
OG0009233	ELMOD2	relaxed
OG0009240	ORC6	relaxed
OG0009241	CNEP1R1	relaxed
OG0009249	APIP	relaxed
OG0009250	TUBGCP4	relaxed
OG0009257	RAB11FIP5	relaxed
OG0009261	PPARGC1B	relaxed
OG0009271	ATP1B4	relaxed
OG0009275	RPL4	relaxed
OG0009276	VWA9	relaxed
OG0009284	MTERF2	relaxed
OG0009285	EEA1	relaxed
OG0009289	KIFC3	relaxed
OG0009291	CLASRP	relaxed
OG0009294	ATMIN	relaxed
OG0009297	NOB1	relaxed
OG0009303	PDP2	relaxed
OG0009308	EFHC1	relaxed
OG0009309	GPATCH2	relaxed
OG0009310	LRP11	relaxed
OG0009316	OSTM1	relaxed
OG0009325	HEATR2	relaxed
OG0009326	MCM7	relaxed
OG0009343	ATXN7L3	relaxed
OG0009346	CRAMP1L	relaxed
OG0009348	STAT3	relaxed
OG0009349	TTC25	relaxed
OG0009352	SNRNP70	relaxed
OG0009354	PPL	relaxed
OG0009355	C17orf53	relaxed
OG0009359	ARMC5	relaxed
OG0009364	KRT222	relaxed
OG0009367	BYSL	relaxed
OG0009370	BAP1	relaxed
OG0009371	TRAIP	relaxed
OG0009375	SUCLG2	relaxed
OG0009379	CSE1L	relaxed
OG0009385	SMUG1	relaxed
OG0009389	SH2D5	relaxed
OG0009393	IL17RD	relaxed
OG0009394	PDHB	relaxed
OG0009401	IPO9	relaxed
OG0009407	CLP1	relaxed
OG0009408	SMPD3	relaxed
OG0009413	ANKRD11	relaxed
OG0009414	NUDT19	relaxed
OG0009418	MCMDC2	relaxed
OG0009427	RPP38	relaxed
OG0009443	DCST1	relaxed
OG0009444	CHRNA4	relaxed
OG0009448	OCA2	relaxed
OG0009455	HMX2	relaxed
OG0009499	KANSL3	relaxed
OG0009504	WRAP73	relaxed
OG0009508	BRPF1	relaxed
OG0009512	ACTR10	relaxed
OG0009513	C14orf37	relaxed
OG0009514	GZF1	relaxed
OG0009530	REPS1	relaxed
OG0009534	LIN9	relaxed
OG0009546	GSG2	relaxed
OG0009550	METTL14	relaxed
OG0009565	TAT	relaxed
OG0009567	BLVRB	relaxed
OG0009568	TRIP12	relaxed
OG0009585	ARIH2	relaxed
OG0009596	CDK20	relaxed
OG0009603	TAB3	relaxed
OG0009605	TNNI3K	relaxed
OG0009618	EMC6	relaxed
OG0009621	RPAIN	relaxed
OG0009629	BCKDK	relaxed
OG0009631	RABEP1	relaxed
OG0009642	KPNB1	relaxed
OG0009644	ANKLE1	relaxed
OG0009647	TBCD	relaxed
OG0009666	GATAD1	relaxed
OG0009681	KAT6A	relaxed
OG0009685	PPIL2	relaxed
OG0009688	LIMK2	relaxed
OG0009696	NOL6	relaxed
OG0009702	KNTC1	relaxed
OG0009703	MFSD3	relaxed
OG0009705	RAD17	relaxed
OG0009707	ANKRD13A	relaxed
OG0009711	OSTF1	relaxed
OG0009712	C7orf26	relaxed
OG0009722	GJA8	relaxed
OG0009725	METAP1D	relaxed
OG0009734	CHRND	relaxed
OG0009743	CMBL	relaxed
OG0009753	STX17	relaxed
OG0009754	TMEM245	relaxed
OG0009758	RUNDC3B	relaxed
OG0009759	FAM171A1	relaxed
OG0009768	NOD1	relaxed
OG0009770	UBXN7	relaxed
OG0009777	SFT2D3	relaxed
OG0009778	MIB1	relaxed
OG0009780	ARMC6	relaxed
OG0009794	ATG5	relaxed
OG0009796	UROD	relaxed
OG0009801	AGGF1	relaxed
OG0009804	IDH3B	relaxed
OG0009812	UBAP1	relaxed
OG0009813	GLRX	relaxed
OG0009815	GFI1B	relaxed
OG0009819	PTPN13	relaxed
OG0009821	KDELC2	relaxed
OG0009842	MPP1	relaxed
OG0009852	TCFL5	relaxed
OG0009857	SLC26A10	relaxed
OG0009864	USP19	relaxed
OG0009865	USP21	relaxed
OG0009882	DNAAF1	relaxed
OG0009895	TRNT1	relaxed
OG0009896	MST1	relaxed
OG0009901	IGSF8	relaxed
OG0009912	PPIL1	relaxed
OG0009917	USP13	relaxed
OG0009918	DPT	relaxed
OG0009919	NME7	relaxed
OG0009920	KANK4	relaxed
OG0009924	TNPO3	relaxed
OG0009930	ATP5C1	relaxed
OG0009941	SVOPL	relaxed
OG0009942	SULT4A1	relaxed
OG0009943	SMO	relaxed
OG0009944	PAH	relaxed
OG0009946	YEATS4	relaxed
OG0009947	ACSS3	relaxed
OG0009960	SDHA	relaxed
OG0009962	LRRC71	relaxed
OG0009967	PHF14	relaxed
OG0009971	EYA3	relaxed
OG0009981	PROSER2	relaxed
OG0009983	XPOT	relaxed
OG0009996	UEVLD	relaxed
OG0009997	DUSP8	relaxed
OG0010000	LDLRAD3	relaxed
OG0010003	RPGRIP1L	relaxed
OG0010005	USP3	relaxed
OG0010015	PUS7	relaxed
OG0010020	TNIP1	relaxed
OG0010021	DCTN4	relaxed
OG0010022	N4BP3	relaxed
OG0010030	GALT	relaxed
OG0010039	IFT46	relaxed
OG0010043	FEZ1	relaxed
OG0010045	TIMM10B	relaxed
OG0010049	SUPT20H	relaxed
OG0010052	ACADS	relaxed
OG0010056	C2CD2	relaxed
OG0010059	TRIM37	relaxed
OG0010064	ACER3	relaxed
OG0010070	ACAT2	relaxed
OG0010073	MGAT2	relaxed
OG0010074	TCTE1	relaxed
OG0010081	SPPL3	relaxed
OG0010084	SLC7A6OS	relaxed
OG0010086	TDRD3	relaxed
OG0010100	DPH5	relaxed
OG0010102	TMEM221	relaxed
OG0010106	POLE4	relaxed
OG0010108	SGTA	relaxed
OG0010109	NDUFA11	relaxed
OG0010123	DICER1	relaxed
OG0010127	FAM149B1	relaxed
OG0010129	KIF26B	relaxed
OG0010133	BUB1B	relaxed
OG0010134	ADPRHL2	relaxed
OG0010135	SH3YL1	relaxed
OG0010142	EDRF1	relaxed
OG0010143	C14orf180	relaxed
OG0010146	FBXO34	relaxed
OG0010150	PTPN21	relaxed
OG0010153	AREL1	relaxed
OG0010156	KIAA1841	relaxed
OG0010160	YIPF4	relaxed
OG0010168	HHEX	relaxed
OG0010170	FDXR	relaxed
OG0010174	PIGF	relaxed
OG0010176	ZNF438	relaxed
OG0010178	PGS1	relaxed
OG0010189	CHMP2A	relaxed
OG0010190	DMC1	relaxed
OG0010200	WDR45B	relaxed
OG0010201	TFAM	relaxed
OG0010202	CRYM	relaxed
OG0010203	TUBGCP2	relaxed
OG0010204	A1CF	relaxed
OG0010208	LSM11	relaxed
OG0010219	KLHDC4	relaxed
OG0010227	SCN2B	relaxed
OG0010228	SERPINE2	relaxed
OG0010235	ZC3H4	relaxed
OG0010239	CCDC9	relaxed
OG0010242	AKAP1	relaxed
OG0010244	EIF4H	relaxed
OG0010253	PSENEN	relaxed
OG0010261	UMPS	relaxed
OG0010265	SERPINE3	relaxed
OG0010275	MAATS1	relaxed
OG0010279	NIFK	relaxed
OG0010281	VGLL3	relaxed
OG0010283	EPSTI1	relaxed
OG0010286	ATF2	relaxed
OG0010287	EVX2	relaxed
OG0010288	HAT1	relaxed
OG0010291	CCDC93	relaxed
OG0010294	MCM3AP	relaxed
OG0010295	YBEY	relaxed
OG0010299	MFSD9	relaxed
OG0010301	MITD1	relaxed
OG0010312	PSME1	relaxed
OG0010320	C8orf33	relaxed
OG0010332	TTK	relaxed
OG0010340	MED18	relaxed
OG0010341	CYB5R4	relaxed
OG0010348	LAG3	relaxed
OG0010349	PLEKHA8	relaxed
OG0010350	FLAD1	relaxed
OG0010359	EIF2B5	relaxed
OG0010360	IBA57	relaxed
OG0010362	WNT9A	relaxed
OG0010370	INO80B	relaxed
OG0010373	PIK3C3	relaxed
OG0010383	SERPINE1	relaxed
OG0010386	TRMT44	relaxed
OG0010393	PARP2	relaxed
OG0010395	SKIL	relaxed
OG0010398	ATP6V1H	relaxed
OG0010407	KLHL20	relaxed
OG0010409	SLC38A6	relaxed
OG0010411	NDUFAF1	relaxed
OG0010417	ZBTB8OS	relaxed
OG0010424	TNFAIP3	relaxed
OG0010425	MLIP	relaxed
OG0010430	MEA1	relaxed
OG0010431	YIPF3	relaxed
OG0010442	ERCC6	relaxed
OG0010443	HIF1AN	relaxed
OG0010447	PWWP2B	relaxed
OG0010457	KMO	relaxed
OG0010458	VPS37C	relaxed
OG0010464	TET2	relaxed
OG0010465	MTAP	relaxed
OG0010473	BDNF	relaxed
OG0010474	DPY19L3	relaxed
OG0010483	ACTR6	relaxed
OG0010485	SLC30A9	relaxed
OG0010489	B4GALT7	relaxed
OG0010496	SNX25	relaxed
OG0010503	IQCH	relaxed
OG0010507	PEX16	relaxed
OG0010517	RPF2	relaxed
OG0010519	HADHB	relaxed
OG0010522	TTC13	relaxed
OG0010523	GINM1	relaxed
OG0010531	DDX1	relaxed
OG0010533	FAM84A	relaxed
OG0010539	TRAF7	relaxed
OG0010564	SPC24	relaxed
OG0010565	UBE2Z	relaxed
OG0010583	MGAT5	relaxed
OG0010584	ACE2	relaxed
OG0010589	ATP6AP2	relaxed
OG0010594	ZBTB40	relaxed
OG0010596	B3GALT6	relaxed
OG0010601	PANK4	relaxed
OG0010606	CCDC51	relaxed
OG0010616	TMEM33	relaxed
OG0010620	TCP11L1	relaxed
OG0010625	APRT	relaxed
OG0010640	OSTN	relaxed
OG0010652	METTL13	relaxed
OG0010676	E2F7	relaxed
OG0010681	C15orf57	relaxed
OG0010694	OPN5	relaxed
OG0010696	OPHN1	relaxed
OG0010740	LSM1	relaxed
