Ammel,Ammex,Asmec,Asmes,Chlan,Darer,Gamor,Hegla,Hosap,Leocu,Luden,Mymur,Ornil,Plwal,Prang,Scvul,Sians,Sigra,Sirhi,Tagut,Thmac,Trros,Trtib,Xetro,Zoviv,nSp,og,selectionF,selectionB,allF,allB
1,1,1,1,1,1,1,1,1,NA,1,1,NA,1,0.178139304364027,1,NA,NA,NA,1,NA,1,1,1,1,hits_per_19_species,OG0005592,0,0,6,13
0.136819602693707,NA,0,1,1,0.02060093912287,0.00120051361662377,1,1,0.507004853665627,NA,0.203300765226819,1,1,NA,1,NA,NA,NA,1,1,0.00383991043073301,1,1,1,hits_per_19_species,OG0005608,2,2,3,16
1,NA,1,1,1,1,1,1,NA,1,1,1,1,NA,1,NA,NA,NA,0.63999204024339,1,1,1,1,1,1,hits_per_19_species,OG0005618,0,0,6,13
1,NA,1,1,1,1,1,1,1,1,1,1,NA,NA,1,1,NA,NA,NA,1,1,1,1,1,1,hits_per_19_species,OG0005620,0,0,5,14
1,1,1,1,0.00595745591095626,NA,1,1,1,1,1,1,1,0.954583503274621,1,NA,NA,NA,NA,1,1,1,NA,1,1,hits_per_19_species,OG0005682,0,1,6,13
0.113669699354826,1,1,1,1,NA,1,0.393503008970263,1,1,0.0188364140473201,1,1,NA,9.25795102801885e-08,1,NA,NA,NA,NA,1,0,1,1,1,hits_per_19_species,OG0005683,3,0,6,13
1,1,1,1,NA,1,1,1,1,1,1,1,1,NA,0.000100723328393948,NA,0.000138065164621448,NA,NA,1,1,1,1,1,NA,hits_per_19_species,OG0005695,2,0,7,12
1,1,1,1,1,NA,1,1,1,0.00587065787255175,1,NA,1,NA,1,1,NA,NA,NA,1,1,1,1,1,1,hits_per_19_species,OG0005702,0,1,6,13
0.00427976521660511,1,NA,0.443793099177489,1,1,0.0606024243042307,1,2.80143408470934e-09,1,1,0.441036733860105,0.152653637171061,1,NA,1,1,NA,NA,0.411861166311416,NA,0.00504995262490388,6.55710443608903e-07,0.0129908123650062,NA,hits_per_19_species,OG0005711,1,4,5,14
0.00130765503387337,NA,1.36296668395985e-09,1,1,0.995861860947089,0.00866996282461141,1,1,0.000268306358545689,NA,0.00868085823582099,1,NA,0.454239103766,2.87110881169728e-05,NA,NA,NA,0.0433199500323311,0.8890593804997,0.124250811843728,1,7.07378290613625e-05,0.0383808286931621,hits_per_19_species,OG0005717,1,8,4,15
1,NA,1,1,1,NA,1,7.35104838944789e-07,1,1,1,1,1,NA,NA,1,1,1,NA,1,1,1,1,0.298254163509831,NA,hits_per_19_species,OG0005767,1,0,5,14
0.590014431413801,NA,1,1,1,0.167607072573061,0.0635266213308905,1,1,0.153673122802853,NA,0.0134299097997831,0.170971399581483,1,NA,1,NA,NA,NA,1,1,0,1.48076605860359e-06,0.307376788394288,1,hits_per_19_species,OG0005768,1,2,3,16
1,1,1,1,1,NA,1,1,1,1,1,1,NA,1,1,1,NA,NA,NA,1,1,NA,1,1,1,hits_per_19_species,OG0005781,0,0,5,14
0.168367532424282,NA,1,1,1,1,NA,1,1,1,NA,1,1,0.751246299436274,NA,1,0.748426954070788,NA,NA,1,1,1,1,0.143594886746444,1,hits_per_19_species,OG0005817,0,0,4,15
0.914902087097449,NA,1,1,1,1,3.38988002862584e-06,1,1,0.195965070912965,NA,0.696557192762201,NA,1,0.0546255761765147,0.0925846859086414,NA,NA,NA,1,1,1,1,1,1,hits_per_19_species,OG0005818,0,1,4,15
1,NA,1,1,1,1,1,0.0551507671766425,1,1,1,1,NA,1,NA,1,NA,NA,NA,0.298345819327128,1,1,5.82867087928207e-15,1,1,hits_per_19_species,OG0005831,0,1,4,15
NA,1,1,1,1,1,1,1,1,0.703806226324937,1,1,1,0.000119644613747028,NA,NA,NA,NA,NA,0.378467777276691,1,1,1,1,1,hits_per_19_species,OG0005870,0,1,5,14
0.233863847486212,0.277507657333942,1,1,1,1,0.00102584753346047,1,1,0.00501840074503229,NA,0.0975252438190917,0.0636961270545312,0.218448701663668,NA,1,NA,NA,NA,1,NA,0.0242330735966733,1,0.0660631250176846,1,hits_per_19_species,OG0005906,1,2,4,15
0.723585282749923,1,1,1,1,1,1,1,NA,1,1,1,1,1,NA,NA,NA,NA,NA,1,1,1,1,1,1,hits_per_19_species,OG0005913,0,0,5,14
1,NA,1,1,3.58620972917834e-08,1,2.60347299274599e-12,1,0.0970355577325024,1,6.13723025733037e-08,0.0980185488593444,0.130347818013413,NA,NA,0.000116770617126782,NA,NA,NA,1,1,1,1,1,1.72314299107246e-07,hits_per_19_species,OG0005916,1,4,4,15
1,NA,1,1,1,0.00364549358458977,1,1,1,0.35410702644753,1,1,1,NA,NA,1,0.0093444336802424,NA,NA,0.938477355911627,1,1,0,NA,1,hits_per_19_species,OG0005927,1,2,5,14
1,1,1,1,1,1,1,NA,1,1,1,1,1,1,NA,NA,NA,NA,NA,1,1,1,1,1,1,hits_per_19_species,OG0005933,0,0,4,15
1,NA,1,1,NA,1,0.0064623745538398,0.898133593592437,1,1,0.149920797372874,1,0.361519482628831,NA,NA,1,0.628683195364238,NA,NA,1,1,1,1,1,0.0011506482103183,hits_per_19_species,OG0005942,0,2,5,14
1,1,1,1,7.27373136166776e-07,1,1,NA,1,1,1,1,1,NA,NA,1,NA,NA,NA,1,1,1,1,1,1,hits_per_19_species,OG0005953,0,1,4,15
1,NA,1,1,1,NA,1,1,1,0.0636287846317485,1,1,NA,NA,NA,1,1,1,1,1,1,1.79290968962964e-05,1,NA,1,hits_per_19_species,OG0005954,1,0,6,13
0.845396392639931,1,7.9658502016855e-14,1,0.878841879021466,NA,0.297308965681362,1,1,1,NA,1,1,0.637955119188889,1,1,NA,NA,NA,NA,1,1,1,0.245055809045738,1,hits_per_19_species,OG0005960,1,0,5,14
1,NA,1,1,1,1,0.703480283016342,1,1,1,1,1,1,NA,NA,1,NA,NA,NA,1,1,1,1,1,1,hits_per_19_species,OG0005966,0,0,4,15
1,1,1,1,1,1,0.00978054382443638,1,NA,1,NA,1,1,1,NA,1,NA,NA,NA,1,1,1,1,1,1,hits_per_19_species,OG0005968,0,1,4,15
1,1,1,1,1,1,1,1,0.101408355725867,1,1,1,1,1,1,NA,NA,NA,NA,1,1,NA,NA,1,1,hits_per_19_species,OG0005969,0,0,5,14
1,1,1,NA,1,1,1,1,1,1,1,1,1,1,NA,1,NA,NA,NA,1,1,NA,1,1,1,hits_per_19_species,OG0005977,0,0,4,15
1,NA,1,1,1,1,1,1,1,1,1,1,1,1,NA,1,NA,NA,NA,1,1,1,NA,1,1,hits_per_19_species,OG0006006,0,0,4,15
1,NA,1,1,1,NA,1,1,1,1,3.86961386378282e-07,1,1,NA,1,1,NA,NA,NA,0.946883991679075,1,1,1.33699685199717e-05,1,1,hits_per_19_species,OG0006007,1,1,5,14
1,1,1,1,1,NA,1,1,1,1,1,0.0393341042664119,1,1,1,1,NA,NA,NA,1,0.041176709590403,NA,NA,1,1,hits_per_19_species,OG0006009,0,2,5,14
1,1,1,1,1,NA,0.125276680032566,1,1,1,NA,1,1,0.695248169447835,1,1,NA,NA,NA,1,1,1.26443688852618e-09,1,NA,0.0698505927736512,hits_per_19_species,OG0006025,1,0,5,14
1,1,1,1,1,NA,0.000118323208199156,0.0113144333769461,1,NA,NA,0.225188530626835,1,1,0.00700057028423196,1,NA,NA,NA,1,1,1,1,1,1,hits_per_19_species,OG0006026,2,1,5,14
0.0810489120302226,NA,1,1,1,NA,1,1,1,NA,1,1,1,NA,NA,9.04996231843036e-07,1.16054665877385e-10,1,NA,1,1,0.574614316240872,0.00641529176206501,1,1,hits_per_19_species,OG0006028,1,2,5,14
1,1,1,1,1,NA,1,3.97558587161839e-07,NA,0.00992070590925043,0.00572507934010019,1,1,1,0.00399598857447359,7.64332387825917e-07,NA,NA,NA,1,0.000168174075006744,NA,1,1,1,hits_per_19_species,OG0006043,3,3,5,14
1,NA,1,1,1,1,1,1,1,1,1,1,1,1,NA,NA,NA,NA,NA,1,1,1,1,1,1,hits_per_19_species,OG0006045,0,0,4,15
1,1,1,1,1,1,1,1,1,1,1,1,1,NA,1,0.000117893982452322,NA,NA,NA,NA,1,5.90638649100583e-13,1,0.101378577520207,NA,hits_per_19_species,OG0006048,1,1,6,13
0.0342376657597498,1,1,1,1,1,NA,1,1,1,NA,1,NA,1,1,1,NA,NA,1,1,1,1,1,1,NA,hits_per_19_species,OG0006053,0,1,6,13
1,1,1.08038300528079e-10,1,NA,1,1,1,1,1,1,1,1,NA,1,NA,NA,NA,NA,1,1,1,1,1,1,hits_per_19_species,OG0006055,1,0,6,13
1,NA,1,1,1,1,0.40566488614507,1,1,0.00225508508158168,1,0.479113096763797,1,1,NA,NA,NA,NA,NA,0.0036761168490182,1,1,1,0.441733358316278,1,hits_per_19_species,OG0006056,0,2,4,15
0.420700163042229,1,1,1,1,1,0.000114926026573259,1,1,0.252023992782561,NA,1,1,1,NA,1,NA,NA,NA,0.257405894613133,0.867120644967459,0.837885137121983,0.501429196365268,0.509625266595384,NA,hits_per_19_species,OG0006057,0,1,4,15
0.230133106705655,NA,1,1,NA,1,0.0691240588585096,0.565701165725337,0.000112159308714055,0.0135511082720166,0.128268350793824,0.0110346556064546,0.161999667396479,NA,NA,0.0771904870802043,1,NA,1,0.000401667556258423,0.029778222601967,NA,7.62890795757976e-06,0.00511423988968884,0.130993404841274,hits_per_19_species,OG0006060,0,7,5,14
1,NA,1,1,1,1,1.73584622786826e-06,1,0.000204485300315638,0.300973534890093,NA,0.0345222164986506,1,1,1,1,NA,NA,NA,NA,0.0250042481356255,1,0.0150464155815225,1,1,hits_per_19_species,OG0006064,0,5,4,15
1,1,1,1,1,NA,1,1,1,1,NA,1,1,0.266314380885388,0.357265638672777,NA,NA,NA,NA,1,1,1,1,1,1,hits_per_19_species,OG0006076,0,0,5,14
0.827251684957919,NA,1,1,1,1,1,1,1,1,1,1,1,0.722809260712484,NA,1,NA,NA,NA,1,0.567960105756748,1,1,NA,1,hits_per_19_species,OG0006135,0,0,4,15
1,NA,1,1,1,1,1,1,1,1,1,1,1,1,NA,1,NA,NA,NA,1,1,1,1,NA,1,hits_per_19_species,OG0006146,0,0,4,15
NA,1,1,1,1,NA,4.96248978021363e-08,1,1,1,0.00535095902446159,1,1,1,NA,1,NA,NA,NA,1,1,1,1,1,1,hits_per_19_species,OG0006148,1,1,5,14
1,NA,1,1,1,NA,0.278639393908697,1,1,1,NA,1,1,1,0.0608783922612527,1,NA,NA,NA,1,1,1,1,1,1,hits_per_19_species,OG0006149,0,0,4,15
NA,NA,1,1,1,2.52575738102223e-14,1,1,1.29379373048355e-06,1,0.38482547348663,1,1,NA,1,1,NA,NA,0.54858450815664,NA,1,0.172784185328611,0.00425523858149113,1,1,hits_per_19_species,OG0006156,0,3,6,13
1,NA,1,1,1,1,1,1,1,0.236209003371825,1,1,1,NA,NA,1,NA,NA,NA,1,1,2.23323096126826e-08,1,1,1,hits_per_19_species,OG0006161,1,0,4,15
1,1,1,1,1,1,1,1,1,1,1.59542071198615e-05,1,1,NA,9.65380997364207e-09,NA,NA,NA,NA,2.46035040007975e-07,1,NA,2.54018595041705e-06,1,1,hits_per_19_species,OG0006165,2,2,5,14
1,NA,1,1,1,NA,1,NA,1,1,1,0.478818603615346,1,1,1,1,NA,NA,NA,1,1,1,1,1,0.737796864615584,hits_per_19_species,OG0006173,0,0,4,15
1,NA,1,1,1,NA,1,1,1,1,0.999716200247628,0.0146309202834989,1,1,NA,1,1,NA,NA,1,1,1,1,1,NA,hits_per_19_species,OG0006174,0,1,5,14
NA,0.0236263942234078,1,1,1,1,1,1,1,1,1,1,1,1,NA,1,NA,NA,NA,1,1,NA,1,1,1,hits_per_19_species,OG0006181,1,0,4,15
1,NA,1,1,1,0.128222172367543,1,1,1,1,1,0.019781726209693,0.219374901745595,1,0.653070687225279,NA,NA,NA,NA,1,1,NA,1,1,1,hits_per_19_species,OG0006184,0,1,4,15
1,1,1,1,1,NA,1,1,1,1,NA,0.0141474901662479,1,0.118429850448843,1,NA,NA,NA,NA,1,0.872015347167571,1.47659662275146e-13,1,1,1,hits_per_19_species,OG0006186,1,1,5,14
1,1,1,1,1,NA,1,1,1,1,1,1,1,1,NA,NA,NA,NA,1,1,1,8.62395319045639e-08,0.0824878595235871,1,NA,hits_per_19_species,OG0006187,1,0,6,13
1,NA,1,1,1,1,0.142885317222028,1,0.212208208677133,0.00010953356820026,1,0.193295263366394,1,NA,0.0985000964529623,NA,NA,NA,NA,1,1,1,0.0488176672202248,1,1,hits_per_19_species,OG0006196,0,2,5,14
1,NA,1,1,1,1,NA,1,1,1,1,1,0.46541688329816,NA,0.733340449058507,1,NA,NA,NA,0.0600693532730628,1,0.0296288741450253,0.00657438284592415,1,0.11134804406961,hits_per_19_species,OG0006199,1,1,5,14
1,NA,1,1,1,1,1,1,1,1,1,1,1,NA,1,NA,NA,1,NA,1,1,1,1,0.701443601739519,NA,hits_per_19_species,OG0006208,0,0,5,14
1,1,4.75341671579699e-08,1,NA,1,1,NA,NA,1,1,1,1,1,1,1,NA,NA,NA,1,1,1,1,1,1,hits_per_19_species,OG0006216,1,0,5,14
1,NA,1,1,0.0490098888977653,1,5.37484350946471e-05,1,1,5.78909031823116e-09,1,1,0.0200945316297708,NA,4.01845223763075e-12,NA,NA,NA,NA,0,1,0.0752402424850002,1,7.59405638373067e-06,3.6117836499372e-10,hits_per_19_species,OG0006218,1,7,5,14
NA,NA,1,NA,1,1,1,1,1,1,1,1,1,1,1,1,NA,NA,1,1,1,1,1,1,NA,hits_per_19_species,OG0006225,0,0,6,13
1,NA,1,1,1,1,1,1,1,1,1,0.700921983866378,1,1,NA,NA,NA,1,NA,1,1,1,1,1,NA,hits_per_19_species,OG0006227,0,0,4,15
1,1,NA,NA,1,NA,1,1,1,1,1,1,1,1,1,1,NA,NA,NA,0.000946886902458699,1,1,7.65854472062344e-07,1,1,hits_per_19_species,OG0006230,0,2,5,14
NA,1,0,1,1,1,1,1,1,1,0.0671799947055679,1,1,1,NA,1,NA,NA,NA,1,1,1,NA,1,1,hits_per_19_species,OG0006232,1,0,5,14
1,NA,1,1,1,1,1,1,1,NA,1,1,1,1,1,1,NA,NA,NA,0.249315830031493,1,NA,1,1,1,hits_per_19_species,OG0006256,0,0,4,15
1,1,1,1,1,1,NA,0.938028976613701,1,1,NA,1,1,1,NA,1,NA,NA,NA,1,1,1,1,1,1,hits_per_19_species,OG0006258,0,0,4,15
1,NA,1,1,0.486183277333606,1,0.0362762574164446,0.30837080180207,1,2.32249608433932e-08,NA,1,1,NA,NA,1,1,NA,NA,0.200748887899762,1,1,1,0.0467176057785345,1,hits_per_19_species,OG0006261,0,3,4,15
1,NA,1,0.176219957518617,1,NA,1,1,1,1,1,1,1,NA,0.940668693882245,1,NA,NA,NA,1,1,1,1,1,1,hits_per_19_species,OG0006262,0,0,5,14
0.495940859548829,1,1,NA,1,NA,1,1,1,1,1,1,1,1,NA,0.00422044738592608,NA,NA,NA,1,1,1,1,1,1,hits_per_19_species,OG0006264,0,1,5,14
1,NA,1,NA,1,1,0.107240529140128,1,0.577032869853739,0.595246756894813,NA,1,1,1,1,1,NA,NA,NA,1,1,1,1.94289029309402e-15,1,1,hits_per_19_species,OG0006265,0,1,4,15
1,1,1,1,1,1,1,1,1,1,1,0.541541648663407,1,NA,NA,1,NA,NA,NA,1,1,1,1,NA,0.945845771154042,hits_per_19_species,OG0006268,0,0,5,14
NA,1,0.00285823638801297,NA,1,0.79966527763535,9.89365763731653e-05,1,1,1,1,NA,NA,0.802485854127919,1,4.05197653208233e-10,NA,0.468832430998693,1,1,NA,0,1,1,1,hits_per_19_species,OG0006269,2,2,7,12
1,1,1.87756477032508e-11,1,1,NA,1,8.84235113463028e-08,1,NA,1,1,1,1,1,NA,NA,NA,NA,1,1,1,1,1,1,hits_per_19_species,OG0006274,2,0,6,13
1,NA,1,1,1,1,1,1,1,1,1,1,1,NA,1,NA,NA,NA,NA,1,1,1,1,1,1,hits_per_19_species,OG0006282,0,0,5,14
1,NA,1,1,1,1,1,1,1,1,0.0253042807334872,1,1,NA,NA,1,NA,NA,NA,1,1,1,1,1,0.0445342864069259,hits_per_19_species,OG0006285,1,1,4,15
1,1,1,1,1,1,1,NA,1,1,1,1,1,1,NA,NA,NA,1,NA,1,1,NA,1,1,1,hits_per_19_species,OG0006300,0,0,3,16
1,NA,0.000814829576980813,1,1,NA,1,1,1,1,1,1,1,NA,1,1,NA,NA,NA,1,1,1,1,1,1,hits_per_19_species,OG0006307,1,0,5,14
NA,0.20606037186025,1,1,1,1,0.00548902702451004,1,1,0.0138379601927846,1,1,1,1,NA,1,NA,NA,NA,0.213624032934396,1,1,NA,0.52543937671964,0.000531133507417181,hits_per_19_species,OG0006308,0,3,5,14
1,NA,1,1,1,NA,1,1,1,1,1,1,1,1,1,NA,NA,NA,NA,1,0.987093284545607,1,1,1,1,hits_per_19_species,OG0006313,0,0,5,14
1,1,1,1,1,1,1,1,1,1,1,1,1,NA,NA,NA,NA,NA,NA,1,1,1,1,1,1,hits_per_19_species,OG0006315,0,0,5,14
1,1,1,1,NA,1,1,NA,NA,1,1,0.526128789099891,1,1,0.0162329968606118,NA,1,1,1.18707909482763e-05,NA,1,1,NA,1,1,hits_per_19_species,OG0006318,2,0,7,12
1,1,1,1,1,1,1,NA,1,1,1,1,0.00525490781870419,0.379407993290633,NA,NA,NA,NA,NA,1,1,1,1,1,1,hits_per_19_species,OG0006322,0,1,4,15
1,1,NA,0.821987717002756,1,NA,1,1,1,1,0.00376951190926622,NA,1,1,1,1,1,1,NA,1,NA,1,NA,1,1,hits_per_19_species,OG0006324,1,0,6,13
1,NA,NA,1,1,1,0.768089848642228,1,0.316909857100754,1,1,1,1,1,NA,1,NA,NA,NA,0.388223565734545,7.17564358931888e-05,1,1,1,1,hits_per_19_species,OG0006338,0,1,3,16
1,1,NA,NA,1,1,1,1,1,1,1,1,1,1,7.41991934649633e-06,1,NA,NA,NA,0.924876942658935,1,2.27603380587027e-09,1,1,NA,hits_per_19_species,OG0006341,2,0,5,14
NA,1,1,1,1,NA,1,NA,1,1,1,1,1,1,1,1,NA,NA,NA,1,1,1,1,1,1,hits_per_19_species,OG0006345,0,0,5,14
1,1,1,1,1,0.996312495711968,NA,1,1,0.125240769125206,1,1,NA,0.984532365209999,1,1,NA,NA,NA,1.18799271370262e-05,NA,1,0.0273138837859274,0.456217691030498,5.55335312991123e-05,hits_per_19_species,OG0006347,0,3,6,13
1,NA,1,1,1,NA,1,1,1,0.000583144147688119,1,0.00460710699461409,1,1,1,NA,NA,NA,NA,0.617872357208836,1,1,1,1,1,hits_per_19_species,OG0006351,0,2,5,14
1,1,1,1,1,0.94872754209766,1,1,1,1,NA,1,1,1,NA,NA,NA,NA,NA,1,1,1,1,1,1,hits_per_19_species,OG0006352,0,0,4,15
6.30463234041478e-06,1,1,1,NA,0.342166528698814,0.00630538491402599,NA,NA,0.141699585775378,1,0.188141235296021,1,NA,1,NA,0.00163957786951308,0.00220614457273782,NA,0.613649232384758,1,1,1,1,1,hits_per_19_species,OG0006357,1,3,6,13
0.0664640441474164,NA,1,1,1,NA,1,1,1,1,0.0155018979286367,0.0795447378962373,0.271315032852515,1,NA,1,NA,1,NA,0.806315649587313,1,1,1,NA,0.301569020363321,hits_per_19_species,OG0006361,1,0,4,15
1,0.000939329009103318,1,1,0.206286122822953,1,0.0801824333637971,0.925433381323363,1,0.992780514353288,NA,1,1,NA,NA,1,NA,NA,NA,0.0333752062546647,1,0.80234661907733,1,0.964812577316783,0.0321980897507289,hits_per_19_species,OG0006362,1,2,4,15
1,1,1,1,1,NA,NA,1,1,0.723233622287129,1,1,1,NA,NA,1.9094304191114e-06,NA,1,NA,1,1,0.502996070816408,5.48825707102907e-09,1,1,hits_per_19_species,OG0006363,0,2,5,14
1,1,1,1,1,NA,1,9.32567911782201e-11,1,1,1,1,1,NA,1,1,NA,NA,NA,1,1,NA,1,1,1,hits_per_19_species,OG0006371,1,0,5,14
1,1,1,1,1,NA,0.451464809177594,1,1,0.00520691686440422,1,1,0.205277679068346,NA,NA,1,NA,NA,NA,1,1,1,1,1,1,hits_per_19_species,OG0006376,0,1,5,14
1,0.115530041401133,1,1,1,1,1,1,1,1,0.719623655265665,1,NA,NA,NA,1,NA,NA,NA,1,1,1,1,1,0.00442752180709688,hits_per_19_species,OG0006379,0,1,5,14
1,1,0.0719484018255572,NA,1,1,1,0.0941054865052866,0.157294692401864,0.574788342447106,NA,1,NA,0.00197564708891385,0.244948413903297,1,0.440205185453946,NA,NA,NA,0.446322458722348,1,1,1,0.00950718911202963,hits_per_19_species,OG0006380,0,2,6,13
1,1,NA,NA,1,1,0.0798684207595641,0.000142088282739539,1,0.249314425595324,NA,1,1,0.283574621725017,0.441623327515685,1,NA,NA,NA,1,0.120486888912058,1,3.81048775865978e-09,1,1,hits_per_19_species,OG0006384,1,1,4,15
0.119023681987592,0.0102276571962614,1,0.000767581971477915,NA,2.71525086689706e-05,0.00014960151224136,NA,1,0.00341007400265908,0.833204307477236,1,1,4.53338815542548e-06,NA,1,NA,NA,NA,0.00242029275619565,1,1,1,1,1.8967577628537e-05,hits_per_19_species,OG0006388,1,7,4,15
NA,1,1,1,1,NA,0.00945515392029572,1,1,7.57422194883617e-05,0.0532427742430288,2.15766197325662e-06,0.64970181436163,0.359522672842474,NA,1,NA,NA,NA,1,0.0415308429711096,1,1,0.805656951670997,1,hits_per_19_species,OG0006397,0,4,5,14
