OG_ID,gene_symbol.x,analysis_absrel,gene_symbol.y,analysis_relax_selection,analysis_paml,analysis_cafe_expanded,gene_symbol.x,analysis_relax_relaxed,analysis_cafe_contracted,gene_symbol.y,condition,gene_symbol
OG0003522,NA,NA,NA,NA,NA,exapnded,NA,NA,NA,NA,NA,PTPRB
OG0003813,NA,NA,NA,NA,NA,NA,NA,NA,contracted,NA,NA,NA
OG0004048,NA,NA,NA,NA,NA,exapnded,NA,NA,NA,NA,NA,PPARD
OG0004336,NA,NA,CCDC77,intensified,NA,NA,NA,NA,NA,NA,NA,CCDC77
OG0004338,NA,NA,NA,NA,NA,exapnded,NA,NA,NA,NA,NA,NA
OG0004482,NA,NA,NA,NA,NA,exapnded,NA,NA,NA,NA,NA,RICTOR
OG0004672,NA,NA,NA,NA,NA,exapnded,NA,NA,NA,NA,NA,BCL2L14
OG0004698,NA,NA,NA,NA,NA,NA,TIMM9,relaxed,NA,NA,NA,TIMM9
OG0004898,NA,NA,NA,NA,paml_selected,NA,NA,NA,NA,NA,NA,TMEFF2
OG0005044,NA,NA,KNG1,intensified,NA,NA,NA,NA,NA,NA,NA,KNG1
OG0005118,NA,NA,NA,NA,paml_selected,NA,NR6A1,relaxed,NA,NA,NA,NR6A1
OG0005162,NA,NA,NA,NA,paml_selected,NA,CENPE,relaxed,NA,NA,NA,CENPE
OG0005227,NA,NA,GNMT,intensified,NA,NA,NA,NA,NA,NA,NA,GNMT
OG0005307,NA,NA,NA,NA,paml_selected,NA,NA,NA,NA,NA,NA,SRRM3
OG0005317,NA,NA,NA,NA,NA,exapnded,NA,NA,NA,NA,NA,C9orf84
OG0005323,NA,NA,NA,NA,paml_selected,NA,NA,NA,NA,NA,NA,PIBF1
OG0005356,NA,NA,UTP20,intensified,NA,NA,NA,NA,NA,NA,NA,UTP20
OG0005371,NA,NA,NA,NA,paml_selected,NA,NA,NA,NA,NA,NA,TDRD12
OG0005374,NA,NA,AMBRA1,intensified,NA,NA,NA,NA,NA,AMBRA1,pigmentation,AMBRA1
OG0005486,NA,NA,NA,NA,NA,NA,MED27,relaxed,NA,NA,NA,MED27
OG0005488,NA,NA,NA,NA,NA,NA,F11R,relaxed,NA,NA,NA,F11R
OG0005517,NA,NA,NA,NA,NA,NA,TRPC4AP,relaxed,NA,NA,NA,TRPC4AP
OG0005531,NA,NA,NA,NA,NA,NA,FOXM1,relaxed,NA,FOXM1,pigmentation,FOXM1
OG0005555,NA,NA,NA,NA,NA,NA,NKPD1,relaxed,NA,NA,NA,NKPD1
OG0005559,NA,NA,NA,NA,NA,NA,USH2A,relaxed,NA,NA,NA,USH2A
OG0005579,NA,NA,NA,NA,paml_selected,NA,NA,NA,NA,NA,NA,SELENBP1
OG0005592,NA,NA,SLC1A1,intensified,NA,NA,NA,NA,NA,NA,NA,SLC1A1
OG0005608,NA,NA,PTPRQ,intensified,paml_selected,NA,NA,NA,NA,NA,NA,PTPRQ
OG0005618,NA,NA,NA,NA,NA,NA,-,relaxed,NA,NA,NA,-
OG0005620,NA,NA,NA,NA,NA,NA,TMBIM6,relaxed,NA,NA,NA,TMBIM6
OG0005635,NA,NA,NA,NA,NA,NA,NA,NA,contracted,NA,NA,NA
OG0005662,NA,NA,NA,NA,NA,NA,XPO5,relaxed,NA,NA,NA,XPO5
OG0005668,NA,NA,NA,NA,NA,NA,TTLL11,relaxed,NA,NA,NA,TTLL11
OG0005683,RASA1,selected,RASA1,intensified,paml_selected,NA,NA,NA,NA,NA,NA,RASA1
OG0005695,NA,NA,SKP1,intensified,NA,NA,NA,NA,NA,NA,NA,SKP1
OG0005702,NA,NA,PPP1R3B,intensified,NA,NA,NA,NA,NA,NA,NA,PPP1R3B
OG0005710,NA,NA,ZBTB46,intensified,paml_selected,NA,NA,NA,NA,NA,NA,ZBTB46
OG0005717,NA,NA,NA,NA,paml_selected,NA,NA,NA,NA,NA,NA,ZC3H3
OG0005734,NA,NA,NA,NA,paml_selected,NA,MUSK,relaxed,NA,NA,NA,MUSK
OG0005767,NA,NA,NA,NA,NA,NA,PTS,relaxed,NA,PTS,pigmentation,PTS
OG0005801,NA,NA,NA,NA,NA,exapnded,NA,NA,NA,NA,NA,DNAH2
OG0005813,NA,NA,VSTM2B,intensified,NA,NA,NA,NA,NA,NA,NA,VSTM2B
OG0005818,NA,NA,NEK1,intensified,NA,NA,NA,NA,NA,NA,NA,NEK1
OG0005825,NA,NA,NA,NA,NA,NA,GLYR1,relaxed,NA,NA,NA,GLYR1
OG0005875,NA,NA,NA,NA,NA,NA,USP24,relaxed,NA,NA,NA,USP24
OG0005877,NA,NA,NA,NA,NA,NA,PRRC2C,relaxed,NA,NA,NA,PRRC2C
OG0005895,NA,NA,NA,NA,NA,NA,ZNF335,relaxed,NA,NA,NA,ZNF335
OG0005906,NA,NA,NA,NA,paml_selected,NA,NA,NA,NA,NA,NA,ANLN
OG0005914,NA,NA,NA,NA,NA,NA,INPP5E,relaxed,NA,INPP5E,pigmentation,INPP5E
OG0005916,NA,NA,SON,intensified,NA,NA,NA,NA,NA,NA,NA,SON
OG0005954,NA,NA,ENDOU,intensified,NA,NA,NA,NA,NA,NA,NA,ENDOU
OG0005972,NA,NA,NA,NA,NA,NA,UPF2,relaxed,NA,NA,NA,UPF2
OG0005990,ENOPH1,selected,NA,NA,NA,NA,ENOPH1,relaxed,NA,NA,NA,ENOPH1
OG0006000,NA,NA,TPCN2,intensified,NA,NA,NA,NA,NA,TPCN2,pigmentation,TPCN2
OG0006003,NA,NA,NA,NA,paml_selected,NA,NA,NA,NA,AP3D1,pigmentation,AP3D1
OG0006007,NA,NA,NA,NA,paml_selected,NA,NA,NA,NA,NA,NA,RPAP1
OG0006013,NA,NA,NA,NA,NA,NA,TTLL5,relaxed,NA,NA,NA,TTLL5
OG0006025,NA,NA,NA,NA,NA,NA,FAM20A,relaxed,NA,NA,NA,FAM20A
OG0006026,NA,NA,HEATR1,intensified,paml_selected,NA,NA,NA,NA,NA,NA,HEATR1
OG0006028,NA,NA,FANCA,intensified,NA,NA,NA,NA,NA,FANCA,pigmentation,FANCA
OG0006030,NA,NA,RHBDD1,intensified,NA,NA,NA,NA,NA,NA,NA,RHBDD1
OG0006043,NA,NA,VOPP1,intensified,NA,NA,NA,NA,NA,NA,NA,VOPP1
OG0006047,NA,NA,NA,NA,NA,NA,FOXJ1,relaxed,NA,NA,NA,FOXJ1
OG0006048,NA,NA,NA,NA,NA,NA,GBA,relaxed,NA,NA,NA,GBA
OG0006053,NA,NA,C7orf43,intensified,NA,NA,NA,NA,NA,NA,NA,C7orf43
OG0006057,NA,NA,NA,NA,NA,NA,EIF3A,relaxed,NA,NA,NA,EIF3A
OG0006065,NA,NA,NA,NA,paml_selected,NA,NA,NA,NA,NA,NA,TACC2
OG0006076,NA,NA,ASZ1,intensified,NA,NA,NA,NA,NA,NA,NA,ASZ1
OG0006079,NA,NA,NA,NA,paml_selected,NA,NA,NA,NA,NA,NA,LUZP2
OG0006081,NA,NA,NA,NA,NA,NA,RPS15A,relaxed,NA,NA,NA,RPS15A
OG0006099,NA,NA,NA,NA,NA,NA,NA,NA,contracted,NA,NA,FGL1
OG0006134,NA,NA,NA,NA,NA,NA,GPKOW,relaxed,NA,NA,NA,GPKOW
OG0006136,NA,NA,ESPN,intensified,NA,NA,NA,NA,NA,NA,NA,ESPN
OG0006156,NA,NA,YTHDC2,intensified,NA,NA,NA,NA,NA,NA,NA,YTHDC2
OG0006161,NA,NA,ORAI2,intensified,NA,NA,NA,NA,NA,NA,NA,ORAI2
OG0006162,NA,NA,NA,NA,NA,NA,NYAP1,relaxed,NA,NA,NA,NYAP1
OG0006164,NA,NA,NA,NA,NA,NA,RFX5,relaxed,NA,NA,NA,RFX5
OG0006165,NA,NA,NA,NA,paml_selected,NA,SEH1L,relaxed,NA,NA,NA,SEH1L
OG0006171,NA,NA,NA,NA,NA,NA,CARD11,relaxed,NA,NA,NA,CARD11
OG0006173,NA,NA,HSCB,intensified,NA,NA,NA,NA,NA,NA,NA,HSCB
OG0006184,NA,NA,RPL24,intensified,NA,NA,NA,NA,NA,RPL24,pigmentation,RPL24
OG0006186,NA,NA,NA,NA,paml_selected,NA,TUBGCP3,relaxed,NA,NA,NA,TUBGCP3
OG0006187,NA,NA,NA,NA,paml_selected,NA,NA,NA,NA,NA,NA,HDHD1
OG0006192,NA,NA,NA,NA,NA,NA,NDUFAF5,relaxed,NA,NA,NA,NDUFAF5
OG0006196,NA,NA,NA,NA,NA,NA,MTFR1,relaxed,NA,NA,NA,MTFR1
OG0006197,NA,NA,SPICE1,intensified,NA,NA,NA,NA,NA,NA,NA,SPICE1
OG0006198,NA,NA,NA,NA,NA,NA,ACOT9,relaxed,NA,NA,NA,ACOT9
OG0006204,NA,NA,NCAPD2,intensified,NA,NA,NA,NA,NA,NA,NA,NCAPD2
OG0006218,NA,NA,NA,NA,NA,NA,KMT2D,relaxed,NA,NA,NA,KMT2D
OG0006228,NA,NA,CTC1,intensified,paml_selected,NA,NA,NA,NA,CTC1,pigmentation,CTC1
OG0006232,NA,NA,NA,NA,paml_selected,NA,HERC2,relaxed,NA,NA,NA,HERC2
OG0006254,NA,NA,NA,NA,NA,NA,RPL15,relaxed,NA,NA,NA,RPL15
OG0006257,NA,NA,NA,NA,paml_selected,NA,NA,NA,NA,NA,NA,ZBTB12
OG0006258,NA,NA,NA,NA,NA,NA,EEPD1,relaxed,NA,NA,NA,EEPD1
OG0006269,NA,NA,NA,NA,NA,NA,ROBO2,relaxed,NA,NA,NA,ROBO2
OG0006274,NA,NA,MRPL49,intensified,NA,NA,NA,NA,NA,NA,NA,MRPL49
OG0006285,NA,NA,NA,NA,NA,NA,NPPC,relaxed,NA,NA,NA,NPPC
OG0006289,NA,NA,NA,NA,NA,NA,NDUFS7,relaxed,NA,NA,NA,NDUFS7
OG0006294,NA,NA,NA,NA,NA,NA,NEMF,relaxed,NA,NA,NA,NEMF
OG0006305,NA,NA,NA,NA,NA,NA,DNAI2,relaxed,NA,NA,NA,DNAI2
OG0006307,NA,NA,NA,NA,NA,NA,MTPAP,relaxed,NA,NA,NA,MTPAP
OG0006315,NA,NA,NDUFB8,intensified,NA,NA,NA,NA,NA,NA,NA,NDUFB8
OG0006318,NA,NA,FOLR1,intensified,NA,NA,NA,NA,NA,NA,NA,FOLR1
OG0006319,NA,NA,IL1RAP,intensified,NA,NA,NA,NA,NA,NA,NA,IL1RAP
OG0006321,NA,NA,NA,NA,NA,NA,KMT2A,relaxed,NA,NA,NA,KMT2A
OG0006326,NA,NA,NA,NA,paml_selected,NA,GCC2,relaxed,NA,NA,NA,GCC2
OG0006327,NA,NA,NA,NA,NA,NA,RNF17,relaxed,NA,NA,NA,RNF17
OG0006330,NA,NA,NA,NA,paml_selected,NA,NA,NA,NA,NA,NA,VWA8
OG0006331,NA,NA,NA,NA,paml_selected,NA,RIF1,relaxed,NA,NA,NA,RIF1
OG0006341,NA,NA,ENKUR,intensified,paml_selected,NA,NA,NA,NA,NA,NA,ENKUR
OG0006347,NA,NA,NA,NA,NA,NA,BCAN,relaxed,NA,NA,NA,BCAN
OG0006351,NA,NA,NA,NA,NA,NA,CDCA3,relaxed,NA,NA,NA,CDCA3
OG0006359,NA,NA,NA,NA,NA,NA,TNR,relaxed,NA,NA,NA,TNR
OG0006362,NA,NA,LRPPRC,intensified,NA,NA,NA,NA,NA,NA,NA,LRPPRC
OG0006363,NA,NA,NA,NA,NA,NA,MOCOS,relaxed,NA,NA,NA,MOCOS
OG0006365,NA,NA,NA,NA,paml_selected,NA,KNDC1,relaxed,NA,NA,NA,KNDC1
OG0006371,NA,NA,NR3C2,intensified,NA,NA,NA,NA,NA,NA,NA,NR3C2
OG0006373,NA,NA,NA,NA,NA,NA,VPS33B,relaxed,NA,NA,NA,VPS33B
OG0006374,NA,NA,NA,NA,NA,NA,SLTM,relaxed,NA,NA,NA,SLTM
OG0006376,NA,NA,NA,NA,NA,NA,ZBTB33,relaxed,NA,NA,NA,ZBTB33
OG0006380,NA,NA,NA,NA,paml_selected,NA,NA,NA,NA,NA,NA,C15orf39
OG0006383,NA,NA,NA,NA,NA,exapnded,NA,NA,NA,NA,NA,TANGO6
OG0006384,NA,NA,NA,NA,paml_selected,NA,NA,NA,NA,NA,NA,FRK
OG0006387,NA,NA,F8,intensified,NA,NA,NA,NA,NA,NA,NA,F8
OG0006388,NA,NA,NA,NA,NA,NA,REST,relaxed,NA,REST,pigmentation,REST
OG0006389,NA,NA,NA,NA,paml_selected,NA,NA,NA,NA,NA,NA,CDHR2
OG0006394,NA,NA,NA,NA,NA,NA,RAI1,relaxed,NA,NA,NA,RAI1
OG0006412,NA,NA,CDH15,intensified,NA,NA,NA,NA,NA,NA,NA,CDH15
OG0006450,NA,NA,NA,NA,paml_selected,NA,EP400,relaxed,NA,NA,NA,EP400
OG0006451,NA,NA,NA,NA,NA,NA,ACOT7,relaxed,NA,NA,NA,ACOT7
OG0006454,NA,NA,NAA30,intensified,NA,NA,NA,NA,NA,NA,NA,NAA30
OG0006456,NA,NA,NA,NA,paml_selected,NA,NA,NA,NA,NA,NA,CHGB
OG0006464,NA,NA,FGG,intensified,paml_selected,NA,NA,NA,NA,NA,NA,FGG
OG0006470,NA,NA,NA,NA,paml_selected,NA,NA,NA,NA,NA,NA,DUT
OG0006471,NA,NA,ARSA,intensified,NA,NA,NA,NA,NA,NA,NA,ARSA
OG0006478,NA,NA,NA,NA,NA,NA,PRR16,relaxed,NA,NA,NA,PRR16
OG0006483,NA,NA,NA,NA,NA,NA,DCLRE1B,relaxed,NA,NA,NA,DCLRE1B
OG0006485,NA,NA,NA,NA,NA,NA,NDUFAF2,relaxed,NA,NA,NA,NDUFAF2
OG0006487,NA,NA,NA,NA,NA,NA,PRRC2B,relaxed,NA,NA,NA,PRRC2B
OG0006488,NA,NA,NA,NA,paml_selected,NA,NA,NA,NA,NA,NA,GOLGA2
OG0006489,NA,NA,PISD,intensified,NA,NA,NA,NA,NA,NA,NA,PISD
OG0006490,NA,NA,P2RX1,intensified,NA,NA,NA,NA,NA,NA,NA,P2RX1
OG0006491,NA,NA,STK36,intensified,NA,NA,NA,NA,NA,NA,NA,STK36
OG0006492,NA,NA,C9orf78,intensified,NA,NA,NA,NA,NA,NA,NA,C9orf78
OG0006496,NA,NA,NA,NA,NA,NA,MAPKAP1,relaxed,NA,NA,NA,MAPKAP1
OG0006509,NA,NA,NA,NA,paml_selected,NA,NA,NA,NA,NA,NA,RNF216
OG0006510,NA,NA,NA,NA,NA,NA,CDCA8,relaxed,NA,NA,NA,CDCA8
OG0006515,NA,NA,NA,NA,paml_selected,NA,NA,NA,NA,NA,NA,DDX31
OG0006516,NA,NA,NA,NA,NA,NA,EPG5,relaxed,NA,EPG5,pigmentation,EPG5
OG0006522,NA,NA,NA,NA,NA,NA,SNAPC4,relaxed,NA,NA,NA,SNAPC4
OG0006526,NA,NA,NA,NA,NA,NA,SART3,relaxed,NA,NA,NA,SART3
OG0006527,HECTD4,selected,NA,NA,paml_selected,NA,HECTD4,relaxed,NA,NA,NA,HECTD4
OG0006530,NA,NA,NA,NA,NA,NA,ABCB9,relaxed,NA,NA,NA,ABCB9
OG0006533,NA,NA,NA,NA,paml_selected,NA,NA,NA,NA,NA,NA,ZC3H13
OG0006535,NA,NA,CDC37,intensified,NA,NA,NA,NA,NA,NA,NA,CDC37
OG0006536,NA,NA,NA,NA,NA,NA,PTCHD1,relaxed,NA,NA,NA,PTCHD1
OG0006538,NA,NA,NA,NA,paml_selected,NA,NA,NA,NA,NA,NA,TNFRSF11A
OG0006540,NA,NA,KIAA1407,intensified,paml_selected,NA,NA,NA,NA,NA,NA,KIAA1407
OG0006542,NA,NA,NA,NA,NA,NA,ZFPM2,relaxed,NA,NA,NA,ZFPM2
OG0006549,NA,NA,NA,NA,NA,NA,CDYL,relaxed,NA,NA,NA,CDYL
OG0006550,NA,NA,NA,NA,NA,NA,KCNQ3,relaxed,NA,NA,NA,KCNQ3
OG0006555,NA,NA,NA,NA,NA,NA,MZT2B,relaxed,NA,NA,NA,MZT2B
OG0006556,NA,NA,ERMP1,intensified,NA,NA,NA,NA,NA,NA,NA,ERMP1
OG0006557,NA,NA,NA,NA,paml_selected,NA,AKNA,relaxed,NA,NA,NA,AKNA
OG0006569,NA,NA,NA,NA,NA,NA,CCT6A,relaxed,NA,NA,NA,CCT6A
OG0006573,NA,NA,NA,NA,NA,NA,RNF207,relaxed,NA,NA,NA,RNF207
OG0006575,NA,NA,NA,NA,paml_selected,NA,NA,NA,NA,NA,NA,HAUS8
OG0006578,NA,NA,NA,NA,paml_selected,NA,NA,NA,NA,NA,NA,MAP7
OG0006580,NA,NA,NA,NA,paml_selected,NA,NA,NA,NA,NA,NA,KANSL2
OG0006586,NA,NA,NA,NA,NA,NA,CTH,relaxed,NA,NA,NA,CTH
OG0006588,NA,NA,NA,NA,NA,NA,PPIG,relaxed,NA,NA,NA,PPIG
OG0006591,NA,NA,NA,NA,NA,NA,CYP24A1,relaxed,NA,NA,NA,CYP24A1
OG0006603,NA,NA,NA,NA,NA,NA,RINT1,relaxed,NA,NA,NA,RINT1
OG0006604,NA,NA,LEMD3,intensified,paml_selected,NA,NA,NA,NA,NA,NA,LEMD3
OG0006608,NA,NA,NA,NA,paml_selected,NA,ZC3H11A,relaxed,NA,NA,NA,ZC3H11A
OG0006611,NA,NA,NA,NA,NA,NA,NOP58,relaxed,NA,NA,NA,NOP58
OG0006615,NA,NA,DAZL,intensified,NA,NA,NA,NA,NA,NA,NA,DAZL
OG0006616,NA,NA,NA,NA,paml_selected,NA,COL16A1,relaxed,NA,NA,NA,COL16A1
OG0006621,NA,NA,NA,NA,paml_selected,NA,NA,NA,NA,NA,NA,LRRK2
OG0006623,NA,NA,NA,NA,NA,NA,CCDC33,relaxed,NA,NA,NA,CCDC33
OG0006625,NA,NA,NA,NA,paml_selected,NA,NA,NA,NA,NA,NA,TICRR
OG0006629,NA,NA,NA,NA,NA,NA,DNAJC8,relaxed,NA,NA,NA,DNAJC8
OG0006630,NA,NA,NA,NA,NA,NA,DCP2,relaxed,NA,NA,NA,DCP2
OG0006635,NA,NA,DDX55,intensified,NA,NA,NA,NA,NA,NA,NA,DDX55
OG0006636,NA,NA,NA,NA,paml_selected,NA,DENR,relaxed,NA,NA,NA,DENR
OG0006638,NA,NA,NA,NA,NA,NA,SKA2,relaxed,NA,NA,NA,SKA2
OG0006647,NA,NA,ITGA2,intensified,NA,NA,NA,NA,NA,NA,NA,ITGA2
OG0006655,NA,NA,NA,NA,paml_selected,NA,NA,NA,NA,NA,NA,TICAM1
OG0006657,NA,NA,NA,NA,paml_selected,NA,NA,NA,NA,NA,NA,AXDND1
OG0006659,NA,NA,NA,NA,NA,NA,ECT2,relaxed,NA,NA,NA,ECT2
OG0006661,NA,NA,NA,NA,paml_selected,NA,RPS15,relaxed,NA,NA,NA,RPS15
OG0006665,NA,NA,SHC2,intensified,NA,NA,NA,NA,NA,NA,NA,SHC2
OG0006668,NA,NA,NA,NA,paml_selected,NA,NA,NA,NA,NA,NA,TOLLIP
OG0006671,NA,NA,NA,NA,NA,NA,CDK1,relaxed,NA,NA,NA,CDK1
OG0006673,NA,NA,NA,NA,paml_selected,NA,STARD9,relaxed,NA,NA,NA,STARD9
OG0006689,NA,NA,COX10,intensified,NA,NA,NA,NA,NA,NA,NA,COX10
OG0006691,NA,NA,TDRKH,intensified,NA,NA,NA,NA,NA,NA,NA,TDRKH
OG0006695,NA,NA,NA,NA,NA,NA,NFE2L1,relaxed,NA,NA,NA,NFE2L1
OG0006696,NA,NA,EIF2AK1,intensified,NA,NA,NA,NA,NA,NA,NA,EIF2AK1
OG0006697,NA,NA,NA,NA,NA,NA,TRRAP,relaxed,NA,NA,NA,TRRAP
OG0006716,NA,NA,SKA3,intensified,NA,NA,NA,NA,NA,NA,NA,SKA3
OG0006719,NA,NA,NA,NA,paml_selected,NA,NA,NA,NA,NA,NA,DDC
OG0006722,NA,NA,FARS2,intensified,paml_selected,NA,NA,NA,NA,NA,NA,FARS2
OG0006727,NA,NA,NA,NA,NA,NA,SETD2,relaxed,NA,NA,NA,SETD2
OG0006730,NA,NA,NA,NA,NA,NA,OTOA,relaxed,NA,NA,NA,OTOA
OG0006732,NA,NA,NA,NA,paml_selected,NA,NA,NA,NA,NA,NA,RPS4X
OG0006745,NA,NA,NA,NA,paml_selected,NA,NA,NA,NA,NA,NA,NOLC1
OG0006746,NA,NA,NA,NA,NA,NA,BFSP1,relaxed,NA,NA,NA,BFSP1
OG0006747,NA,NA,NA,NA,NA,NA,KLHL31,relaxed,NA,NA,NA,KLHL31
OG0006756,NA,NA,CNTLN,intensified,paml_selected,NA,NA,NA,NA,NA,NA,CNTLN
OG0006757,NA,NA,NA,NA,NA,NA,TIPIN,relaxed,NA,NA,NA,TIPIN
OG0006758,NA,NA,NA,NA,NA,NA,ZNF536,relaxed,NA,NA,NA,ZNF536
OG0006761,NA,NA,NA,NA,NA,NA,MPHOSPH10,relaxed,NA,NA,NA,MPHOSPH10
OG0006763,NA,NA,NA,NA,paml_selected,NA,NA,NA,NA,NA,NA,GTSE1
OG0006764,NA,NA,NA,NA,NA,NA,ARAP3,relaxed,NA,NA,NA,ARAP3
OG0006768,CBFB,selected,NA,NA,paml_selected,NA,CBFB,relaxed,NA,NA,NA,CBFB
OG0006772,NA,NA,NA,NA,paml_selected,NA,SHF,relaxed,NA,NA,NA,SHF
OG0006774,NA,NA,NA,NA,paml_selected,NA,C2CD5,relaxed,NA,NA,NA,C2CD5
OG0006776,NA,NA,NA,NA,NA,NA,ZC3H14,relaxed,NA,NA,NA,ZC3H14
OG0006778,NA,NA,NA,NA,NA,NA,ADGB,relaxed,NA,NA,NA,ADGB
OG0006779,NA,NA,NA,NA,paml_selected,NA,NA,NA,NA,NA,NA,COIL
OG0006782,NA,NA,NA,NA,paml_selected,NA,NA,NA,NA,NA,NA,SGOL1
OG0006783,NA,NA,NA,NA,paml_selected,NA,ZNF653,relaxed,NA,NA,NA,ZNF653
OG0006785,NA,NA,NA,NA,NA,NA,LUC7L3,relaxed,NA,NA,NA,LUC7L3
OG0006787,NA,NA,LRRC48,intensified,paml_selected,NA,NA,NA,NA,NA,NA,LRRC48
OG0006788,NA,NA,DHX58,intensified,NA,NA,NA,NA,NA,NA,NA,DHX58
OG0006794,NA,NA,SYCP3,intensified,NA,NA,NA,NA,NA,NA,NA,SYCP3
OG0006795,NA,NA,NA,NA,NA,NA,ACY1,relaxed,NA,NA,NA,ACY1
OG0006798,NA,NA,NA,NA,paml_selected,NA,NA,NA,NA,NA,NA,SLC25A26
OG0006799,NA,NA,NA,NA,NA,NA,MDM4,relaxed,NA,MDM4,pigmentation,MDM4
OG0006802,NA,NA,NA,NA,NA,NA,ZNF831,relaxed,NA,NA,NA,ZNF831
OG0006806,NA,NA,NA,NA,NA,NA,TMTC3,relaxed,NA,NA,NA,TMTC3
OG0006846,NA,NA,GINS4,intensified,NA,NA,NA,NA,NA,NA,NA,GINS4
OG0006848,NA,NA,NA,NA,NA,NA,EXOSC10,relaxed,NA,NA,NA,EXOSC10
OG0006852,NA,NA,MFSD2B,intensified,NA,NA,NA,NA,NA,NA,NA,MFSD2B
OG0006857,NA,NA,NA,NA,paml_selected,NA,PPAT,relaxed,NA,NA,NA,PPAT
OG0006858,NA,NA,NA,NA,NA,NA,SRD5A3,relaxed,NA,NA,NA,SRD5A3
OG0006861,NA,NA,NA,NA,NA,NA,INO80,relaxed,NA,NA,NA,INO80
OG0006868,NA,NA,NA,NA,NA,NA,PLRG1,relaxed,NA,NA,NA,PLRG1
OG0006886,NA,NA,NA,NA,NA,NA,GCN1L1,relaxed,NA,NA,NA,GCN1L1
OG0006889,NA,NA,NA,NA,NA,NA,OSBPL9,relaxed,NA,NA,NA,OSBPL9
OG0006893,NA,NA,GRIPAP1,intensified,paml_selected,NA,NA,NA,NA,NA,NA,GRIPAP1
OG0006896,NA,NA,NA,NA,paml_selected,NA,CEP350,relaxed,NA,NA,NA,CEP350
OG0006904,NA,NA,NA,NA,NA,NA,YTHDC1,relaxed,NA,NA,NA,YTHDC1
OG0006908,NA,NA,UAP1L1,intensified,NA,NA,NA,NA,NA,NA,NA,UAP1L1
OG0006910,NA,NA,RPL7A,intensified,NA,NA,NA,NA,NA,NA,NA,RPL7A
OG0006914,NA,NA,NA,NA,paml_selected,NA,FER,relaxed,NA,NA,NA,FER
OG0006916,NA,NA,NUP88,intensified,paml_selected,NA,NA,NA,NA,NUP88,pigmentation,NUP88
OG0006919,NA,NA,CCDC64B,intensified,NA,NA,NA,NA,NA,NA,NA,CCDC64B
OG0006930,NA,NA,NA,NA,NA,NA,IL21R,relaxed,NA,NA,NA,IL21R
OG0006933,NA,NA,NA,NA,NA,NA,BUD31,relaxed,NA,NA,NA,BUD31
OG0006935,NA,NA,NA,NA,paml_selected,NA,NA,NA,NA,NA,NA,TPMT
OG0006939,NA,NA,NA,NA,paml_selected,NA,NA,NA,NA,NA,NA,VSIG10
OG0006940,NA,NA,NA,NA,NA,NA,NPR3,relaxed,NA,NA,NA,NPR3
OG0006947,NA,NA,NA,NA,paml_selected,NA,NA,NA,NA,IDUA,pigmentation,IDUA
OG0006949,NA,NA,GOLGA3,intensified,NA,NA,NA,NA,NA,NA,NA,GOLGA3
OG0006952,NA,NA,NA,NA,paml_selected,NA,NA,NA,NA,NA,NA,CNPY3
OG0006955,NA,NA,NA,NA,NA,NA,BORA,relaxed,NA,NA,NA,BORA
