Ammel,Ammex,Asmec,Asmes,Bubuf,Chasi,Chlan,Cocri,Darer,Ectel,Elmax,Ereur,Gamor,Geser,Hegla,Jajac,Luden,Miuni,Mymur,Nagal,Orcun,Ornil,Plwal,Prang,Ranor,Sians,Sigra,Sirhi,Soara,Thmac,Trros,Trtib,nSp,og,selectionF,selectionB,allF,allB
1,NA,1,1,1,1,1,1,1,1,1,1,1,NA,8.55088500006929e-10,1,1,NA,1,1,1,1,NA,NA,1,NA,NA,NA,1,1,1,1,hits_per_24_species,OG0004788,1,0,7,17
0.348140299263254,NA,1,1,NA,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,NA,1,1,NA,NA,NA,NA,1,1,NA,hits_per_24_species,OG0004931,0,0,10,14
1,1,1,1,1,1,1,1,1,1,1,1,NA,1,1,1,1,0.771132177741557,NA,1,1,NA,1,NA,1,NA,NA,NA,1,NA,1,1,hits_per_24_species,OG0005010,0,0,9,15
NA,1,1,1,0.0120811405210133,1,1,1,NA,1,1,0.846034647627862,NA,1,1,1,1,0.319338989154323,1,1,1,1,1,0.0361692717751483,1,NA,NA,NA,1,1,NA,NA,hits_per_24_species,OG0005013,1,1,9,15
0.0508602197675357,1,NA,NA,1,1,0,1,NA,0.0495011432469215,1,1,3.77920716942981e-09,1,1,0.638561638929733,1,1,1,1,1,1,1,1,1,NA,NA,NA,0.0172043885351969,1,NA,NA,hits_per_24_species,OG0005023,0,4,8,16
1,NA,1,1,NA,1,1,3.04479419455106e-09,1,1,1,0.746631824142263,NA,NA,2.405304040487e-05,1,1,NA,1,1,1,1,NA,NA,1,1,NA,0.000166269647281392,1,1,0,1,hits_per_24_species,OG0005049,3,1,8,16
1,1,2.46820239246936e-08,1,1,1,1,1,NA,1,1,1,0.0713610968005889,1,1,1,0.630248757952122,1,NA,1,1,1,NA,1,1,NA,NA,NA,1,NA,1,NA,hits_per_24_species,OG0005063,1,0,10,14
1.8459424204198e-06,2.18623489312009e-08,2.44249065417534e-15,1,0.00179879084849321,1,1,1,NA,0.501315995417352,1,1,1.21530808376846e-05,1,1,1,NA,2.69592497104121e-07,1,1,1,NA,0.0263943381930509,NA,1,NA,NA,NA,0.364687568603522,NA,1,0,hits_per_24_species,OG0005066,2,6,8,16
1,1,NA,1,1,0.00818027675332822,1,NA,NA,1,1,1,0.00188933303262734,1,NA,1,NA,1,1,1,1,1,1,NA,1,NA,NA,1,1,1,1,1,hits_per_24_species,OG0005071,1,1,5,19
NA,1,NA,NA,1,1,1,0.0551037549304589,NA,1,1,1,1,1,1,1,1,1,1,1,NA,1,1,1,1,NA,NA,NA,1,1,1,1,hits_per_24_species,OG0005107,0,0,9,15
1,1,1,1,1,1,1,1,1,0.342685465884134,1,1,1,1,1,NA,4.19434721355971e-05,1,1,1,NA,1,NA,1.41336942149906e-11,NA,NA,NA,NA,0.0115767506952437,1,NA,7.70796655169548e-07,hits_per_24_species,OG0005119,2,2,9,15
1,1,1,1,1,1,1,1,1,1,1,NA,0.243640998594217,NA,1,NA,1,1,1,1,NA,1,1,1,NA,NA,NA,NA,1,1,1,1,hits_per_24_species,OG0005167,0,0,9,15
NA,NA,NA,NA,1,1,1,1,1,1,1,1,8.81176963827279e-05,1,1,1,NA,1,1,1,1,1,0.697088222393814,0.509301336252905,8.71420490292096e-05,NA,NA,NA,1,1,1,1,hits_per_24_species,OG0005171,0,2,8,16
1,1,NA,NA,1,0.869135209971056,1,0.00161616220378802,NA,1,1,0.0967578467652179,1,1,1,1,1,1,1,1,1,0.914087062042908,NA,1,1,NA,NA,NA,9.91731696764475e-11,1,1,NA,hits_per_24_species,OG0005181,1,1,9,15
1,1,1,1,NA,1,1,3.07521960446477e-05,1,1,NA,0.00157982066455542,1,1,1,NA,1,1,1,NA,1,1,1,1,NA,NA,NA,NA,0.0805631417103534,1,1,1,hits_per_24_species,OG0005193,1,1,9,15
1,NA,1,1,1,0.535226129655104,1,1,NA,1,1,1,0.0040881834711361,1,1,1,1,1,0.0587574868983345,NA,1,0.0523246406651647,1,NA,1,NA,NA,NA,0.720381271908784,0.0182842500315394,NA,0.000233189853570792,hits_per_24_species,OG0005194,0,3,7,17
1,NA,0,1,1,1,0.000147522587310267,1,1,1,1,NA,5.98367411241974e-06,1,1,1,NA,1,1,1,0.00659547403919314,1,NA,NA,1,1,NA,NA,1,NA,0.00951689649112608,1,hits_per_24_species,OG0005208,2,3,9,15
NA,1,NA,NA,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,NA,NA,NA,1,1,NA,NA,hits_per_24_species,OG0005218,0,0,8,16
NA,NA,1,1,1,NA,1,1,1,0.640380216416599,1,0.312367581014625,1,1,1,1,0.325079371224133,1,1,1,NA,1,1,NA,1,NA,NA,NA,1,1,1,1,hits_per_24_species,OG0005234,0,0,8,16
NA,1,1,1,NA,1,1,1,NA,1,1,1,1,1,1,1,1,1,1,1,1,1,1,6.76905133445427e-06,1,NA,NA,NA,1,1,NA,NA,hits_per_24_species,OG0005267,1,0,9,15
1,1,1,1,1,NA,1,1,1,1,1,1,1,1,1,NA,NA,1,1,1,NA,1,1,1,NA,NA,NA,NA,1,1,1,1,hits_per_24_species,OG0005277,0,0,8,16
NA,1,1,NA,0.199166407314221,1,1,1,NA,1,1,4.24267795895439e-07,1,1,1,1,1,1,1,1,1,0.000476496624307598,NA,1,1,NA,NA,NA,0.208223831531775,1,NA,1,hits_per_24_species,OG0005293,0,2,9,15
0.207402678985889,1,1,NA,1,1,1,1,NA,1,1,1,NA,1,1,1,0.425641339018515,0.00898249039591237,1,1,1,1,1,1,1,NA,NA,NA,1,1,NA,NA,hits_per_24_species,OG0005319,1,0,9,15
1,NA,1,1,1,1,1,1,0.117424969230727,0.00170754870229572,1,1,0.00166330299343265,NA,1,1,1,1,1,1,1,1,NA,NA,1,NA,NA,NA,1,0.422858201193794,1,NA,hits_per_24_species,OG0005330,0,2,8,16
0.293738924524656,1,NA,NA,1,1,1,1,1,1,1,1,0.0278750762041957,1,1,1,1,1,1,1,1,1,NA,0.186830969939781,1,NA,NA,NA,1,1,NA,NA,hits_per_24_species,OG0005342,0,1,8,16
NA,0.0211093402169913,1,NA,0.0813928750103854,1,1,0.124963633425287,NA,1,1,1,6.30658855421684e-05,1,1,1,1,0.105275735518919,1,1,1,1,NA,0.121901971872484,1,NA,NA,NA,0.0312697103694188,1,NA,1,hits_per_24_species,OG0005368,0,3,9,15
0.973677312634861,1,0,1,0.00337305009383304,3.73077904847197e-07,1,0.00193672763797936,NA,1,0.00694180604865924,1,NA,0.0420401901744646,1,1.36830468255855e-06,NA,1,0.00010602023485573,1,1,NA,0.341921698690178,2.44249065417534e-15,0.989005738722436,NA,NA,NA,1,NA,1,1,hits_per_24_species,OG0005375,5,4,9,15
1,NA,1,1,1,1,1,1,0.869743227552768,1,1,1,NA,NA,1,1,1,NA,1,1,1,1,1,NA,1,NA,NA,NA,1,1,1,1,hits_per_24_species,OG0005396,0,0,7,17
1,1,1,1,1,1,1,1,1,1,NA,1,1,1,NA,NA,1,1,1,1,NA,1,NA,0.00142434868521724,NA,NA,1,NA,1,1,1,1,hits_per_24_species,OG0005407,1,0,9,15
1,1,1,1,NA,1,1,1,NA,1,1,1,1,1,1,1,1,1,NA,0.0100983287336359,1,1,NA,1,NA,NA,NA,NA,1,1,1,1,hits_per_24_species,OG0005422,1,0,10,14
1,NA,1,1,NA,1,0.455025635739856,1,NA,1,1,1,1,NA,1,0.518076957676057,1,NA,1,1,1,NA,NA,NA,1,1,1,1,1,1,2.03927281086647e-05,1,hits_per_24_species,OG0005433,1,0,8,16
0.232163036356246,NA,0.961903572012302,0.0193706625031117,1,NA,1,0.0568397462173981,NA,1,0.690416044770099,1,2.15955456950301e-06,0.000617973834344809,1,1,0.13900399765076,NA,0.00252016810448003,0.0329638005597822,0.95546886477611,0.000280355437065449,0.0146914998959295,NA,1,NA,NA,NA,1,0.024737972839473,0,1,hits_per_24_species,OG0005450,3,6,7,17
1,NA,NA,1,1,1,1,1,1,1,1,1,0.543639033681633,1,1,1,NA,1,1,0.00614922006327112,1,1,1,NA,1,NA,NA,NA,NA,1.38731651366797e-05,1,1,hits_per_24_species,OG0005469,1,1,7,17
1,1,1,1,1,1,1,0.0110152077035563,NA,NA,1,1,0.124923777697172,1,1,1,1,1,1,1,1,1,NA,0.0272946776628969,1,NA,NA,NA,1,1,NA,NA,hits_per_24_species,OG0005474,2,0,9,15
0.230904891341075,1,NA,NA,1,1,1,1,1,1,1,1,0.190203777097283,1,1,1,0.845344996171027,1,1,0.432261870229548,1,0.627565459662535,1,1,1,NA,NA,NA,1,NA,NA,NA,hits_per_24_species,OG0005477,0,0,8,16
1,NA,1.22124532708767e-14,1,1,0.0039091288457449,1,1,1,1,0.000612747919817691,1,0.668494203656911,NA,0.550007213219207,NA,1,NA,0.00361120334013265,1,1,0.163590405695036,1,NA,1,NA,NA,NA,1,1,0,1,hits_per_24_species,OG0005481,3,2,7,17
0.058280389849168,1,1,1,NA,1,1,NA,0.601313845259953,1,1,1,0.701028041545985,1,1,0.0193681185922534,1,1,1,1,1,NA,NA,NA,1,NA,NA,NA,1,1,0.132909376821871,0.248932480401067,hits_per_24_species,OG0005485,0,1,8,16
1,NA,1,1,1,8.76854144848949e-12,1,1,1,1,0.00106124617795844,0.292825811682403,1,1,0.0764763860200595,1,1,NA,1,1,1,NA,0.820108460039709,NA,0.554373161046885,NA,NA,NA,NA,1,1,0,hits_per_24_species,OG0005489,1,2,8,16
1,NA,1,1,1,1,1,1,NA,1,1,1,1,1,1,1,NA,1,1,1,1,1,1,NA,1,NA,NA,NA,1,1,1,NA,hits_per_24_species,OG0005531,0,0,8,16
1,1,NA,NA,1,NA,1,1,NA,1,1,1,0.978107032940725,1,1,1,1,1,1,1,1,1,1,1,1,NA,NA,NA,1,1,NA,1,hits_per_24_species,OG0005542,0,0,7,17
0.876698648240784,0.0611962796652435,1,1,1,1,1,1,NA,1,1,1,1,1,1,1,NA,1,NA,1,1,NA,1,1,1,NA,NA,NA,1,NA,1,1,hits_per_24_species,OG0005546,0,0,9,15
1,0.0110877767968931,1,1,0.386633094084274,1,1,1,1,NA,1,1,1,NA,1,NA,1,1,1,1,1,1,1,NA,NA,NA,NA,NA,1,1,1,1,hits_per_24_species,OG0005558,0,1,8,16
1,1,1,1,1,NA,1,1,NA,NA,1,1,1,1,1,NA,0.000347999199683535,1,0.0244798304170624,1,0.405724734732012,0.68099132147236,1,3.81701308060922e-07,0.0368638322074134,NA,NA,NA,1,0.0407824375208075,1,NA,hits_per_24_species,OG0005559,2,3,9,15
1,1,NA,1,1,1,1,1,1,1,NA,1,1,1,NA,NA,1,1,1,1,1,1,NA,1,1,NA,NA,NA,1,1,1,1,hits_per_24_species,OG0005561,0,0,8,16
1,1,1,1,1,1,0,1,1,1,2.47521600049705e-06,NA,1,1,1,4.75141756495212e-08,NA,1,NA,1,1,NA,1,1,1,NA,NA,NA,1,NA,1,1,hits_per_24_species,OG0005570,0,3,9,15
1,1,1,1,0.0224104790436974,0.000626766931967004,7.34175540630932e-05,1,NA,1,1,1,1,1,NA,1,1,1,1,0.0106004033132143,0.00355084640877834,1,1,NA,1,NA,NA,NA,4.16140678666244e-06,1,NA,NA,hits_per_24_species,OG0005572,2,4,7,17
1,0.0887016510145686,1,NA,1,NA,1,1.2490009027033e-14,0.0384097424746682,1,0.275081565649316,1,NA,1,1,NA,1,1,0.494340656674027,0.000890605715627157,0.0454682196200706,0.000788171010924488,0.649411750770921,NA,1,NA,NA,NA,0.369429411747135,2.49847106617018e-05,1,1,hits_per_24_species,OG0005573,2,4,8,16
NA,NA,NA,1,1,1,1,3.1822433386175e-06,1,1,1,0.700630991559184,1,NA,1,1,0.00430760336565617,1,0.000410352230484356,1,1,0.0505385122835473,NA,1,1,NA,1,NA,5.14883136126798e-10,1,1,NA,hits_per_24_species,OG0005592,2,2,8,16
0.686607189885209,NA,1,1,0.0431006093190217,NA,1,0.298725178169103,1,2.54756965523129e-09,0.000914889956019904,1,0.000108984400997159,1,1,1,NA,1,0.021864650164211,1,1,NA,1,1,1,NA,NA,NA,0.426440782884525,NA,1,1,hits_per_24_species,OG0005616,0,5,8,16
1,0.512108472831263,1,1,NA,1,1,0.0734721008578409,1,1,1,1,NA,NA,1,1,1,0.0313167679447025,1,1,1,1,NA,NA,1,NA,NA,NA,1,1,0.0232889770301389,1,hits_per_24_species,OG0005617,2,0,8,16
0.365465711506611,1,1,1,1,1,1,1,NA,1,0.227071587124552,1,NA,1,1,1,NA,0.642447598233198,NA,1,1,NA,1,4.19486945180125e-10,1,NA,NA,1,1,NA,1,1,hits_per_24_species,OG0005620,1,0,9,15
1,NA,1,1,NA,1,1,1,0.934998076534344,1,1,1,1.72394299946532e-06,NA,1.88374149796e-05,0.20630017359286,1,0.269646698445728,0.127785258266442,1,1,1,NA,NA,1,NA,NA,NA,1,1,0,1,hits_per_24_species,OG0005621,2,1,8,16
NA,NA,1,1,1,1,1,1,NA,0.835629975222642,1,1,0.00175505117574615,1,1,1,NA,1,1,1,1,1,1,NA,1,NA,NA,NA,0.258971249483395,1,1,1,hits_per_24_species,OG0005622,0,1,8,16
1,NA,NA,NA,0.132771906577642,1,1,1,NA,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,NA,NA,1,0.000593950849022917,1,NA,NA,hits_per_24_species,OG0005623,0,1,8,16
NA,1,NA,NA,1,1,1,1,NA,1,1,1,1,1,6.78231763251436e-07,0.00043733859826911,1,1,1,7.77077949130067e-05,1,1,1,1,1,NA,NA,NA,NA,1,1,1,hits_per_24_species,OG0005664,2,1,9,15
1,NA,1,1,1,1,1,1,1,2.81487277986603e-06,1,1,1,1,1,NA,1,1,1,1,1,0.269654356284445,NA,NA,NA,NA,NA,NA,1,0.206860644492228,1,1,hits_per_24_species,OG0005677,0,1,9,15
1,NA,1,1,1,NA,1,1,1,1,1,1,0.771587926879101,1,NA,NA,1,1,1,1,1,1,1,NA,1,NA,NA,NA,1,1,1,1,hits_per_24_species,OG0005684,0,0,7,17
0.737214233111776,1,1,1,1,1,1,1,NA,1,1,1,1,1,1,1,1,1,1,1,1,NA,NA,0.34574580760277,1,NA,NA,NA,1,0.850934190955645,NA,NA,hits_per_24_species,OG0005693,0,0,9,15
1,1,1,1,1,1,1,1,1,1,NA,0.868373063037129,NA,1,1,0.766025363481593,NA,0.146217583603166,0.0838651549573455,1,1,NA,1,1,1,NA,NA,NA,1,NA,2.40807374041196e-12,1,hits_per_24_species,OG0005699,1,0,9,15
1,1,1,1,NA,1,NA,1,NA,1,1,1,1,1,NA,1,1,1,1,1,1,1,1,0.0660572004646501,1,NA,NA,NA,NA,1,1,1,hits_per_24_species,OG0005701,0,0,9,15
0.161572598937864,0.0563560279334536,1,1,0.00175348838418199,1,1,1,NA,1,1,1,0.00448617984705207,1,1,1,NA,1.10052965540675e-05,1,1,1,NA,NA,NA,1,NA,NA,NA,1,1,1,1,hits_per_24_species,OG0005711,1,2,8,16
0.361569698869959,1,1,1,1,1,1,1,1,1,1,1,NA,NA,0.625798106083502,1,NA,NA,1,1,1,1,1,NA,1,NA,NA,NA,1,1,1,1,hits_per_24_species,OG0005713,0,0,6,18
1,NA,1,1,1,1,1,1,1,1,1,1,0.000521505237479403,1,NA,1,0.348102174106394,0.00108117177037142,1,NA,0.461896710088486,NA,1,NA,1,NA,NA,NA,1,1,1,0.461514302713819,hits_per_24_species,OG0005725,1,1,7,17
1,1,NA,NA,0.0131208679692641,1,4.88498130835069e-15,1,2.07191682949359e-06,3.5797192410314e-06,1,0.150733159590661,NA,1,1,1,NA,1,NA,1,0.232916096036022,NA,7.20672145626544e-07,1,1,1,NA,0,0.239317574308132,NA,1,0,hits_per_24_species,OG0005729,0,7,9,15
0.00089998824134685,1,NA,NA,0.843752687676838,1,1,1,NA,1,1,1,1,1,1,1,NA,1,1,1,0.38994288994582,1,1,1,1,NA,NA,NA,NA,1,1,1,hits_per_24_species,OG0005730,0,1,8,16
0.442753422086576,1,4.49640324973188e-13,1,1,1,1,1,1,1,1,1,1,1,0.0222121846615083,NA,1,1,1,1,1,NA,NA,NA,1,NA,NA,NA,1,NA,1,1,hits_per_24_species,OG0005734,2,0,9,15
1,1,1,NA,1,1,1,1,1,1,1,1,1,1,1,1,1,1,NA,1,1,NA,NA,0.000134919681197276,1,NA,NA,NA,1,1,NA,1,hits_per_24_species,OG0005739,1,0,9,15
0.0526817141368974,1,1,1,NA,1,1,1,NA,1,1,1,1,NA,1,1,1,NA,0.16561875222042,1,1,1,NA,NA,1,NA,1,NA,1,1,1,1,hits_per_24_species,OG0005740,0,0,7,17
1,1,1,1,1,1,1,1,1,1,1,1,NA,1,1,1,NA,1,NA,1,1,NA,1,1,1,NA,NA,NA,1,NA,1,1,hits_per_24_species,OG0005750,0,0,9,15
0.191150919995033,1,1,1,0.128694584634391,1,1,1,NA,1,1,1,3.31145059595528e-07,1,1,0.0101812309242306,NA,NA,0.0124454249432222,1,1,1,NA,NA,1,NA,NA,NA,1,1,1,0,hits_per_24_species,OG0005752,0,4,7,17
NA,0.319192019890875,0,1,1,1,1,1,1,1,1,1,0.18912655436182,9.9537757031809e-05,0.598289321620394,NA,0.795095199721693,1,1,1,7.89940220069507e-06,1,1,NA,NA,NA,NA,NA,1,1,NA,0,hits_per_24_species,OG0005755,2,2,8,16
0.271544712898119,NA,1,1,1,1,1,1,NA,0.0123886031523441,1,1,1.04063138173238e-06,NA,1,1,NA,1.40869815812294e-10,1,1,1,1,1,NA,1,NA,NA,NA,1,1,1,0.0236749590856289,hits_per_24_species,OG0005757,1,3,7,17
9.57446344429513e-11,NA,1,1,0.0243388445319828,8.15874285908791e-06,0.896787599593623,2.86659029846703e-11,0,4.44400916066456e-09,1.57798051780844e-06,0.139923695778959,8.38026123495261e-08,0.00288442553271118,0.37556750159029,NA,0,NA,3.94018151439468e-13,NA,1.01355848158846e-08,1.12598819157483e-11,NA,0.00277739826930923,1.01521636697299e-06,NA,NA,NA,2.4149773024007e-05,1.14253051464175e-12,0.000544532302115319,3.28220228773546e-10,hits_per_24_species,OG0005764,6,13,8,16
1,1,1.00622010723583e-10,1,1,1,1,1,NA,1,1,1,NA,1,1,1,NA,1,1,0.275588460151713,3.16545030187854e-08,1,1,0.464289705854448,1,NA,NA,NA,1,1,NA,NA,hits_per_24_species,OG0005768,1,1,8,16
1,NA,1,1,1,1,1,8.44360812379819e-08,1,1,1,1,NA,1,1,2.79776202205539e-12,NA,1,NA,1,1,NA,NA,0.507900953618642,1,NA,1,1,1,NA,1,1,hits_per_24_species,OG0005770,1,1,9,15
1,0.0183794293508865,1,1,1,1,1,1,NA,1,NA,1,1,1,NA,1,1,1,1,1,1,1,1,NA,1,NA,NA,NA,0.61595745917508,1,NA,1,hits_per_24_species,OG0005773,0,1,7,17
NA,1,1,1,1,1,1,1,NA,NA,1,1,1,2.94191697669532e-08,0.655564871884929,1,NA,1,1,1,1,0.00955239085822268,1,NA,5.03507235904976e-10,NA,NA,NA,1,1,0.00178111591185659,0.124939795319953,hits_per_24_species,OG0005783,2,2,8,16
0.0492003166056581,0.000631723336107781,1,0.00158488703796233,0.332905769538558,NA,NA,0.537988087417591,4.80625828578329e-05,1,1,1,0.0025485982689355,0.000324777683750721,NA,1,0.845915059019849,NA,1,1,1,1,0.00171273354299323,NA,1,NA,NA,NA,1,1,1,1,hits_per_24_species,OG0005792,1,6,6,18
1,NA,1,1,NA,1,1,0.627639170472277,NA,1,1,1,1,1,1,1,NA,1,1,1,1,1,1,NA,1,NA,NA,NA,1,1,1,1,hits_per_24_species,OG0005794,0,0,8,16
1,1,1,1,1,1,1,1,NA,1,1,1,1,NA,1,1,1,NA,1,1,1,1,NA,NA,1,NA,NA,NA,1,1,1,1,hits_per_24_species,OG0005795,0,0,7,17
0.00231289900416165,1,1,1,1,1,4.24660306919122e-14,1,0.930402086002669,1,1,1,0.0141390703126346,1,1,1,NA,1,NA,1,1,NA,1,1,1,NA,NA,NA,1,NA,1,NA,hits_per_24_species,OG0005796,0,3,9,15
1,1,1,1,1,1,1,0.0858215879399015,NA,NA,1,1,1,1,1,1,1,NA,1,1,1,1,1,NA,NA,NA,NA,NA,1,1,1,1,hits_per_24_species,OG0005800,0,0,8,16
NA,1,NA,NA,1,1,1,1,1,1,1,0.910148927804895,1,1,1,1,NA,1,1,1,1,1,0.668779244150318,1,1,NA,NA,NA,1,1,NA,1,hits_per_24_species,OG0005807,0,0,7,17
1,NA,NA,0.0336656623791273,1,NA,1,0,1,1,1,1,0.354349175255115,NA,1,1,1,1,1,1,1,0.73000985733005,NA,1,1,NA,NA,NA,0.540659758822655,1,0.0954154467014678,1,hits_per_24_species,OG0005828,1,1,7,17
1,1,1,1,0.053086730469988,1,0.0338459384143071,1,1,1,1,1,NA,1,0.239905892601305,1,NA,1,NA,1,1,NA,1,1,1,NA,NA,NA,1,NA,1,1,hits_per_24_species,OG0005829,0,1,9,15
1,1,1,1,0.294086276343003,1,0.385527608123927,8.55664500032383e-07,1,1,2.22266649529956e-13,1,NA,1,0.0664758456852437,1,NA,1,NA,1,1,NA,1,1,1.57374113740616e-13,NA,NA,NA,1,NA,1,0.000228329629151869,hits_per_24_species,OG0005830,1,3,9,15
1,NA,1,1,1,1,1,1,NA,1,1,1,1,NA,1,1,0.583501002106549,NA,1,1,1,1,1,NA,1,NA,NA,NA,1,1,1,0.00017729274256445,hits_per_24_species,OG0005837,0,1,7,17
1,1,1,1,1,1,NA,1,1,NA,1,1,1,1,NA,1,1,1,1,NA,1,1,NA,1,1,NA,NA,NA,1,1,1,1,hits_per_24_species,OG0005840,0,0,8,16
0.942105644056802,NA,1,1,1,1,0.000237142658982281,0.0625663236091407,1,1,1,1,NA,0.0369369550618927,NA,NA,1,NA,1,1,1,1,1,0.114892166902853,1,NA,NA,NA,1,1,1,1,hits_per_24_species,OG0005841,1,1,8,16
0.00033743912213513,NA,1,1,1,1,1,1,1,1,1,1,0.130846195550976,1,1,NA,NA,1,1,1,1,1,NA,NA,1,NA,NA,NA,1,1,1,1,hits_per_24_species,OG0005842,0,1,8,16
1,NA,1,1,0.00196865392734224,1,1,2.4980018054066e-15,1,1,1,1,NA,1,1,1,NA,7.68433202968932e-06,1,1,1.28529298315527e-10,0.00972841332468466,NA,NA,1,NA,NA,NA,0.704310809675907,1,1,1,hits_per_24_species,OG0005846,2,3,8,16
0.568994001479314,0.141679456478319,1,1,0.117287521261668,1,1,1,1,0.573696168664759,1,0.387605585245682,1.0298340772652e-05,1,1,1,NA,1,0.713287716856243,NA,0.688896792573984,0.0194460765395861,1,NA,NA,NA,NA,NA,1,NA,0.0241526601933095,1,hits_per_24_species,OG0005853,1,2,7,17
1,NA,0,0.00137571824559368,1,1,1,1,NA,0.00283433732419291,1,NA,1.00166776872968e-07,0.00447180989876017,1,1,NA,1,0.18564349732183,1,1,0.128919553096043,1,NA,1,NA,NA,NA,1,1,1,0,hits_per_24_species,OG0005859,2,4,8,16
0.674784825235007,1,1,1,NA,1,1,1,NA,1,1,1,1,1,NA,1,0.176529150360234,1,1,1,1,1,1,0.0676435474069162,1,NA,NA,NA,1,1,NA,NA,hits_per_24_species,OG0005861,0,0,8,16
1,NA,1,1,NA,1,1,1,1,1,1,1,1,NA,1,1,1,NA,0.261841436435862,1,1,1,1,NA,1,NA,NA,NA,0.00583076037607183,1,1,0.238684864776796,hits_per_24_species,OG0005871,0,1,7,17
NA,1,1,1,1,1,1,1,1,1,1,1.53267381536315e-06,1,1,1,1,1,1,NA,1,1,NA,NA,1,1,NA,NA,NA,3.71362095119565e-06,NA,1,1,hits_per_24_species,OG0005872,0,2,10,14
1,1,NA,1,1,NA,1,1,NA,1,1,1,1,1,1,1,1,1,1,1,NA,6.51649308014424e-05,1,1,0.000437104913243891,NA,NA,NA,NA,1,1,1,hits_per_24_species,OG0005874,0,2,8,16
1,NA,1,1,1,1,1,1,NA,1,1,1,1,NA,1,1,1,NA,1,NA,1,1,1,1,1,NA,NA,0.0448845931196754,1,1,1,NA,hits_per_24_species,OG0005877,0,1,7,17
0.0673286916677007,1,1,1,1,1,1,1,1,1,1,1,NA,1,1,1,1,1,NA,1,1,NA,1,NA,1,NA,NA,NA,1,NA,1,0.00533265199696598,hits_per_24_species,OG0005884,0,1,9,15
0.299575664129383,1,1,1,1,1,1,1,1,1,1,1,NA,1,1,1,NA,1,NA,1,1,NA,1,1,1,NA,NA,NA,1,NA,1,1,hits_per_24_species,OG0005886,0,0,9,15
0.117151648996305,NA,NA,1,1.00098195032761e-06,0.0980231178630343,1,0.0193558899292412,0.0203218545222139,1,1,1,0.0308191249339107,1,1,0.128247583466095,1,0.00664528893190519,1,NA,1,1,1,1,1,NA,NA,NA,NA,1,0.031388301325172,NA,hits_per_24_species,OG0005888,3,3,8,16
