gene_symbol,OG,TargetSpecies_Count,Reference_Count
ACOX1,OG0008464,NA,NA
ACOX2,OG0012492,1,1
ACOX3,OG0005391,NA,NA
ACP1,OG0008144,NA,NA
ACP6,OG0011284,NA,NA
ACPP,NA,1,1
ACRC,OG0012117,NA,NA
ACSF2,OG0004183,NA,NA
ACSF3,OG0004622,NA,NA
ACSS3,OG0010682,NA,NA
ACTL8,NA,1,1
ACTR10,OG0010551,NA,NA
ACTR5,OG0010360,NA,NA
ACTR6,OG0010390,NA,NA
ACTR8,OG0010498,NA,NA
ACY1,OG0009050,NA,NA
ADA,NA,1,1
ADAD1,OG0005697,NA,NA
ADAD2,OG0011930,NA,NA
ADAL,OG0010087,NA,NA
ADAM11,OG0010221,NA,NA
ADAM12,NA,1,1
ADAM15,OG0011419,1,1
ADAM17,OG0007780,NA,NA
ADAM18,NA,1,1
ADAM19,NA,1,1
ADAM20,NA,1,1
ADAM22,OG0009271,NA,NA
ADAM23,OG0007846,NA,NA
ADAM32,NA,1,1
ADAM33,NA,1,1
ADAMTS1,OG0009447,NA,NA
ADAMTS13,OG0004766,NA,NA
ADAMTS15,OG0005313,NA,NA
ADAMTS20,NA,1,1
ADAMTS5,OG0005484,NA,NA
ADAMTS8,OG0005293,NA,NA
ADAMTSL4,NA,1,1
ADAMTSL5,OG0005298,NA,NA
ADAR,OG0006194,NA,NA
ADARB1,OG0007751,NA,NA
ADARB2,OG0005423,NA,NA
ADAT1,OG0005046,NA,NA
ADAT2,OG0011408,NA,NA
ADAT3,OG0011617,1,1
ADCK1,OG0010111,NA,NA
ADCK2,OG0010117,NA,NA
ADCK5,OG0011821,NA,NA
ADCY3,OG0005270,NA,NA
ADCY6,NA,1,1
ADCY7,NA,1,1
ADCY8,OG0006809,NA,NA
ADCY9,OG0003848,1,1
ADCYAP1,OG0008895,NA,NA
ADD1,OG0006274,NA,NA
ADGB,OG0008127,1,1
ADGRE5,NA,1,1
ADGRF3,NA,1,1
ADGRF4,NA,1,1
ADGRF5,NA,1,1
ADGRG1,NA,1,1
ADGRG5,NA,1,1
ADGRG7,NA,1,1
ADGRL1,NA,1,1
ADGRV1,NA,1,1
ADHFE1,OG0011699,NA,NA
ADI1,OG0010501,NA,NA
ADIG,NA,1,1
ADIPOQ,OG0008497,NA,NA
ADK,OG0006608,1,1
ADM,OG0003818,NA,NA
ADM2,OG0009469,NA,NA
ADNP,OG0007723,NA,NA
ADNP2,OG0008076,NA,NA
ADO,OG0005358,NA,NA
ADPGK,OG0007949,NA,NA
ADPRHL2,OG0008175,1,1
ADPRM,OG0005454,NA,NA
ADRA2B,NA,1,1
ADRA2C,NA,1,1
ADRB3,NA,1,1
ADRM1,OG0005676,NA,NA
ADSL,OG0005923,NA,NA
AEBP2,OG0007570,NA,NA
AFAP1,OG0007669,NA,NA
AFAP1L1,OG0005500,NA,NA
AFAP1L2,OG0011418,NA,NA
AFF1,OG0010070,1,1
AFF2,NA,1,1
AFF3,NA,1,1
AFF4,OG0009488,NA,NA
AFM,NA,1,1
AFMID,OG0008638,NA,NA
AFP,NA,1,1
AFTPH,OG0004006,NA,NA
AGA,OG0005790,NA,NA
AGBL5,OG0010588,NA,NA
AGER,NA,1,1
AGGF1,OG0008440,NA,NA
AGK,OG0008830,NA,NA
AGL,OG0004944,1,1
AGMAT,OG0011751,1,1
AGMO,OG0012008,NA,NA
AGPAT5,OG0007611,NA,NA
AGPS,OG0011245,NA,NA
AGT,OG0009645,1,1
AGTR1,OG0005892,1,1
AGTR2,OG0008208,NA,NA
AGTRAP,OG0010297,NA,NA
AGXT,OG0007151,NA,NA
AGXT2,OG0005360,NA,NA
AHCTF1,OG0004951,NA,NA
AHCY,OG0011058,1,1
AHDC1,OG0007692,NA,NA
AHI1,OG0006331,NA,NA
AHSA1,OG0007074,NA,NA
AHSG,OG0009540,1,1
AHSP,NA,1,1
AI413582,OG0007511,NA,NA
AICDA,OG0005050,NA,NA
AIDA,OG0004789,NA,NA
AIFM1,OG0005307,NA,NA
AIFM2,OG0010661,NA,NA
AIMP1,OG0003987,NA,NA
AIMP2,OG0007817,NA,NA
AIP,NA,1,1
AIRE,OG0009717,NA,NA
AJAP1,OG0010929,NA,NA
AK2,OG0007365,NA,NA
AK6,NA,1,1
AK7,OG0007030,NA,NA
AK8,OG0008507,NA,NA
AK9,OG0004540,1,1
AKAP1,OG0007740,NA,NA
AKAP10,OG0009281,NA,NA
AKAP11,OG0006631,1,1
AKAP12,OG0005681,NA,NA
AKAP13,NA,1,1
AKAP14,OG0012332,1,1
AKAP3,NA,1,1
AKAP4,NA,1,1
AKAP5,OG0012671,NA,NA
AKAP6,OG0005761,NA,NA
AKAP9,OG0002915,1,1
AKIP1,OG0006485,2,2
AKNA,NA,1,1
AKR1D1,NA,1,1
AKT1,NA,1,1
AKT1S1,OG0007635,NA,NA
AKT2,NA,1,1
AKTIP,OG0005469,NA,NA
ALAD,OG0008402,NA,NA
ALB,NA,1,1
ALCAM,OG0005195,1,1
ALDH16A1,OG0011236,1,1
ALDH18A1,OG0006386,NA,NA
ALDH1A1,NA,1,1
ALDH2,NA,1,1
ALDH3B1,NA,2,2
ALDH4A1,OG0011845,NA,NA
ALDH5A1,OG0008423,NA,NA
ALDH6A1,OG0007416,NA,NA
ALDH7A1,OG0005131,1,1
ALDH8A1,OG0007429,NA,NA
ALDH9A1,OG0004585,NA,NA
ALG1,OG0009381,NA,NA
ALG10,OG0009331,NA,NA
ALG11,OG0006323,NA,NA
ALG12,OG0010573,NA,NA
ALG13,OG0010840,NA,NA
ALG14,OG0004846,NA,NA
ALG2,OG0008855,NA,NA
ALG3,OG0008977,NA,NA
ALG5,OG0008971,NA,NA
ALG6,OG0007441,NA,NA
ALG8,OG0008384,NA,NA
ALG9,OG0009835,NA,NA
ALK,NA,1,1
ALKBH1,OG0010249,1,1
ALKBH2,OG0010572,NA,NA
ALKBH3,OG0011835,1,1
ALKBH4,OG0007221,NA,NA
ALKBH5,OG0007898,NA,NA
ALKBH6,OG0011402,1,1
ALKBH7,OG0010058,NA,NA
ALKBH8,OG0008468,NA,NA
ALLC,OG0011627,NA,NA
ALMS1,OG0004239,NA,NA
ALOX5,OG0003130,NA,NA
ALOX5AP,OG0005846,NA,NA
ALPG,NA,1,1
ALPI,NA,1,1
ALPK1,OG0010962,NA,NA
ALPK2,OG0011427,1,1
ALPK3,OG0005440,NA,NA
ALPP,NA,1,1
ALS2,OG0005643,NA,NA
ALS2CL,OG0010646,1,1
ALS2CR12,OG0010973,1,1
ALX1,OG0004628,NA,NA
ALX3,OG0011742,NA,NA
ALX4,OG0006174,NA,NA
ALYREF,OG0007701,NA,NA
AMACR,OG0010570,1,1
AMBP,OG0004562,NA,NA
AMBRA1,OG0005568,NA,NA
AMD1,OG0003452,NA,NA
AMDHD1,OG0005869,NA,NA
AMDHD2,OG0009898,NA,NA
AMER1,OG0007389,1,1
AMER2,OG0007191,NA,NA
AMFR,OG0005609,NA,NA
AMH,OG0010952,NA,NA
AMHR2,OG0012356,1,1
AMIGO1,OG0006400,NA,NA
AMIGO2,OG0011826,NA,NA
AMIGO3,OG0009315,NA,NA
AMN,OG0011041,NA,NA
AMN1,OG0011478,NA,NA
AMOTL2,OG0005426,1,1
AMPD2,OG0006145,NA,NA
AMT,OG0007261,NA,NA
ANAPC1,OG0009192,NA,NA
ANAPC10,OG0005060,NA,NA
ANAPC11,OG0009571,NA,NA
ANAPC13,OG0008362,NA,NA
ANAPC15,OG0004800,NA,NA
ANAPC16,OG0007818,NA,NA
ANAPC2,OG0008441,NA,NA
ANAPC4,OG0006901,1,1
ANAPC5,OG0009235,NA,NA
ANAPC7,OG0009068,NA,NA
ANGE1,NA,1,1
ANGPT4,NA,1,1
ANGPTL1,NA,1,1
ANGPTL3,OG0008433,1,1
ANGPTL4,OG0007749,NA,NA
ANGPTL6,NA,1,1
ANGPTL7,OG0007947,NA,NA
ANGPTL8,NA,1,1
ANK3,NA,1,1
ANKAR,OG0008118,NA,NA
ANKDD1A,NA,1,1
ANKEF1,OG0008136,NA,NA
ANKFY1,OG0006548,NA,NA
ANKH,OG0006496,NA,NA
ANKIB1,OG0004940,NA,NA
ANKLE1,OG0009166,1,1
ANKLE2,OG0006482,1,1
ANKMY1,OG0010910,NA,NA
ANKMY2,OG0006235,NA,NA
ANKRA2,OG0006264,NA,NA
ANKRD1,OG0004210,NA,NA
ANKRD10,OG0004936,NA,NA
ANKRD11,OG0005449,NA,NA
ANKRD12,OG0006994,NA,NA
ANKRD13A,OG0010882,NA,NA
ANKRD13C,OG0004036,NA,NA
ANKRD16,OG0008191,1,1
ANKRD2,OG0011723,NA,NA
ANKRD20A9P,NA,2,3
ANKRD22,OG0011682,NA,NA
ANKRD24,OG0009905,NA,NA
ANKRD26,NA,1,1
ANKRD27,OG0008389,NA,NA
ANKRD29,OG0006157,NA,NA
ANKRD31,NA,2,2
ANKRD32,OG0009985,NA,NA
ANKRD33,NA,1,1
ANKRD35,OG0011913,NA,NA
ANKRD37,OG0011633,NA,NA
ANKRD39,OG0011541,NA,NA
ANKRD40,NA,1,1
ANKRD42,OG0012054,NA,NA
ANKRD45,OG0011068,NA,NA
ANKRD46,OG0005933,NA,NA
ANKRD49,OG0008537,NA,NA
ANKRD52,OG0005781,NA,NA
ANKRD53,OG0012621,NA,NA
ANKRD54,OG0007248,NA,NA
ANKRD55,OG0011185,NA,NA
ANKRD6,OG0009504,NA,NA
ANKRD60,OG0012423,NA,NA
ANKRD61,OG0012662,NA,NA
ANKRD66,OG0010930,NA,NA
ANKS1B,OG0007965,NA,NA
ANKS3,OG0007319,NA,NA
ANKS4B,OG0011787,NA,NA
ANKS6,OG0010680,NA,NA
ANKUB1,OG0012020,NA,NA
ANKZF1,OG0011743,NA,NA
ANLN,NA,1,1
ANO5,NA,1,1
ANO7,NA,1,1
ANO8,OG0004229,NA,NA
ANPEP,OG0003005,NA,NA
ANRIL,NA,1,1
ANTXR1,NA,2,2
ANXA1,OG0003571,NA,NA
ANXA10,OG0012198,NA,NA
ANXA11,OG0005525,NA,NA
ANXA13,OG0004777,NA,NA
ANXA6,OG0010510,NA,NA
ANXA7,OG0011861,NA,NA
ANXA9,NA,1,1
AOAH,NA,1,1
AOC1,OG0004467,NA,NA
AOX1,NA,1,1
AP1AR,OG0007335,NA,NA
AP2A2,NA,1,1
AP2S1,OG0004691,NA,NA
AP3B2,NA,1,1
AP3D1,OG0007140,NA,NA
AP3S2,OG0011252,NA,NA
AP4B1,OG0008553,NA,NA
AP4E1,OG0010469,NA,NA
AP4M1,OG0010524,NA,NA
AP4S1,OG0008267,NA,NA
AP5B1,OG0011289,1,1
AP5M1,OG0010361,NA,NA
AP5S1,OG0006600,NA,NA
AP5Z1,OG0009373,2,2
APAF1,OG0010712,NA,NA
APBB1IP,OG0005833,NA,NA
APBB3,OG0010694,NA,NA
APC,OG0008664,NA,NA
APC2,OG0007527,1,1
APELA,OG0009624,NA,NA
APEX1,OG0005956,1,1
APEX2,OG0011178,NA,NA
API5,OG0008043,NA,NA
APIP,OG0010554,NA,NA
APLF,OG0011028,2,2
APLN,NA,1,1
APLP1,OG0008926,NA,NA
APMAP,OG0004332,1,1
APOA1,NA,2,2
APOA1BP,OG0010333,NA,NA
APOA2,OG0010799,1,1
APOA4,NA,2,2
APOB,OG0011404,1,1
APOBEC2,OG0004793,NA,NA
APOBEC4,OG0012259,NA,NA
APOC1,NA,2,3
APOC2,OG0012273,1,1
APOD,OG0003769,1,1
APOE,OG0007143,2,5
APOF,OG0012301,NA,NA
APOH,OG0004499,1,1
APOM,OG0009774,NA,NA
APOO,OG0003976,1,1
APOOL,OG0007056,NA,NA
APOPT1,OG0006917,NA,NA
APP,NA,2,2
APPBP2,OG0009220,NA,NA
APPL1,OG0010169,NA,NA
APPL2,OG0009292,NA,NA
APRT,OG0005138,NA,NA
APTX,OG0009971,NA,NA
AQP1,NA,1,1
AQP11,OG0007025,NA,NA
AQP12B,OG0010760,NA,NA
AQP4,OG0007471,NA,NA
AQR,OG0009138,1,1
AR,NA,1,1
ARAP1,NA,1,1
ARAP3,NA,1,1
ARCN1,OG0006413,NA,NA
AREG,OG0007404,NA,NA
AREL1,OG0010748,NA,NA
ARF5,NA,1,1
ARFGAP1,OG0011360,1,1
ARFRP1,OG0009311,NA,NA
ARGLU1,OG0007820,NA,NA
ARHGAP11A,NA,1,1
ARHGAP12,OG0004857,NA,NA
ARHGAP19,OG0004449,1,1
ARHGAP21,OG0005642,NA,NA
ARHGAP22,OG0009326,1,1
ARHGAP23,OG0005582,1,1
ARHGAP24,OG0009086,NA,NA
ARHGAP25,OG0008401,NA,NA
ARHGAP27,OG0005330,NA,NA
ARHGAP29,OG0004108,NA,NA
ARHGAP30,OG0009674,NA,NA
ARHGAP31,OG0009476,1,1
ARHGAP32,NA,1,1
ARHGAP35,OG0004886,NA,NA
ARHGAP4,NA,1,1
ARHGAP42,OG0009478,NA,NA
ARHGAP5,OG0005614,NA,NA
ARHGEF1,OG0007137,NA,NA
ARHGEF10,OG0009461,NA,NA
ARHGEF10L,OG0003700,NA,NA
ARHGEF11,OG0011931,NA,NA
ARHGEF12,OG0004634,1,1
ARHGEF15,OG0008545,NA,NA
ARHGEF16,OG0011455,NA,NA
ARHGEF17,OG0006178,NA,NA
ARHGEF18,OG0004395,NA,NA
ARHGEF2,OG0007859,1,1
ARHGEF26,OG0010705,NA,NA
ARHGEF28,OG0006519,NA,NA
ARHGEF3,OG0004253,NA,NA
ARHGEF37,OG0005471,1,1
ARHGEF38,OG0005518,NA,NA
ARHGEF39,OG0008702,NA,NA
ARHGEF40,OG0006944,NA,NA
ARHGEF5,NA,1,1
ARHGEF6,OG0010231,1,1
ARHGEF7,OG0006712,NA,NA
ARID2,OG0004443,NA,NA
ARID4A,OG0006456,NA,NA
ARID4B,OG0010632,NA,NA
ARID5A,OG0011569,NA,NA
ARID5B,OG0005607,1,1
ARIH2,OG0007182,NA,NA
ARL1,OG0008013,NA,NA
ARL14EP,OG0006800,NA,NA
ARL14EPL,OG0006717,NA,NA
ARL15,OG0004280,NA,NA
ARL16,OG0005188,NA,NA
ARL17A,NA,1,1
ARL2BP,OG0004705,NA,NA
ARL6,OG0003648,NA,NA
ARL6IP1,OG0007503,NA,NA
ARL6IP4,OG0011350,NA,NA
ARL6IP6,OG0007406,1,1
ARL9,NA,1,1
ARMC12,NA,1,1
ARMC2,OG0006477,NA,NA
ARMC3,OG0005145,NA,NA
ARMC5,OG0003919,NA,NA
ARMC6,OG0010638,NA,NA
ARMC7,OG0008615,NA,NA
ARMC8,OG0004607,NA,NA
ARMC9,OG0010842,NA,NA
ARMCX2,NA,1,1
ARMCX4,NA,1,1
ARMCX5-GPRASP2,NA,1,1
ARMH1,NA,1,1
ARMH2,NA,1,1
ARMT1,NA,1,1
ARPC2,OG0010330,NA,NA
ARPC3,OG0003932,NA,NA
ARPC4,OG0005545,NA,NA
ARPC5L,NA,1,1
ARRDC1,OG0004801,NA,NA
ARRDC4,OG0008659,NA,NA
ARSA,OG0004371,1,1
ARSB,OG0010350,NA,NA
ARSG,OG0008416,NA,NA
ARSI,NA,1,1
ARSK,OG0008366,NA,NA
ART4,NA,1,1
ART5,NA,1,1
ARV1,OG0010751,NA,NA
ARVCF,OG0006298,NA,NA
ASAH1,OG0005523,NA,NA
ASAH2,OG0006792,1,1
ASAP2,OG0006628,NA,NA
ASAP3,OG0011949,1,1
ASB1,OG0011722,NA,NA
ASB13,OG0003622,NA,NA
ASB18,NA,1,1
ASB2,OG0004796,NA,NA
ASB3,OG0009947,1,1
ASB4,OG0009723,NA,NA
ASB6,OG0010417,NA,NA
ASB7,OG0010871,NA,NA
ASB8,OG0011758,NA,NA
ASCC1,OG0009204,NA,NA
ASCC2,OG0005665,1,1
ASCL3,OG0012564,1,1
ASH1L,OG0004597,NA,NA
ASH2L,OG0007129,NA,NA
ASIC3,NA,1,1
ASIP,OG0010976,NA,NA
ASL,OG0011039,NA,NA
ASNA1,OG0007240,NA,NA
ASNS,OG0011035,NA,NA
ASNSD1,OG0010607,NA,NA
ASPDH,OG0010922,NA,NA
ASPH,NA,1,1
ASPM,NA,1,1
ASPSCR1,OG0006218,NA,NA
ASS1,OG0010993,NA,NA
ASTE1,OG0002918,1,1
ASTN1,OG0006440,NA,NA
ASTN2,OG0004650,NA,NA
ASUN,OG0009195,NA,NA
ASXL1,OG0007556,1,1
ASXL2,OG0004608,NA,NA
ASXL3,OG0011651,NA,NA
ASZ1,OG0004162,NA,NA
ATAD1,NA,1,1
ATAD2,NA,1,1
ATAD3A,OG0004584,NA,NA
ATAD5,OG0005667,1,1
ATAT1,OG0007684,NA,NA
ATE1,OG0009904,NA,NA
ATF2,OG0007863,NA,NA
ATF3,OG0006261,NA,NA
ATF4,OG0004099,NA,NA
ATF6,OG0006531,NA,NA
ATF6B,OG0008559,1,1
ATF7,OG0011061,NA,NA
ATF7IP,OG0010171,1,1
ATF7IP2,OG0012329,1,1
ATG10,OG0010412,NA,NA
ATG101,OG0010307,NA,NA
ATG12,OG0007002,NA,NA
ATG13,OG0006375,NA,NA
ATG14,OG0010838,NA,NA
ATG2A,NA,1,1
ATG2B,NA,1,1
ATG3,OG0007469,NA,NA
ATG4A,OG0008646,NA,NA
ATG4B,OG0010410,NA,NA
ATG4C,NA,1,1
ATG5,OG0010453,1,1
ATG7,OG0007500,NA,NA
ATHL1,OG0011709,NA,NA
ATIC,OG0008965,NA,NA
ATL2,NA,1,1
ATM,OG0005649,1,1
ATMIN,OG0005447,1,1
ATOH7,OG0011863,NA,NA
ATOH8,OG0007239,NA,NA
ATOX1,OG0004971,NA,NA
ATP10D,NA,1,1
ATP11B,OG0006623,1,1
ATP12A,NA,1,1
ATP13A1,OG0008777,NA,NA
ATP13A2,NA,1,1
ATP1A4,NA,1,1
ATP1B1,OG0006684,1,1
ATP1B4,OG0008688,1,1
ATP2B3,NA,1,1
ATP4A,OG0012387,NA,NA
ATP4B,OG0012143,NA,NA
ATP5A1,OG0004716,NA,NA
ATP5B,OG0005443,NA,NA
ATP5C1,OG0008547,NA,NA
ATP5D,OG0008331,NA,NA
ATP5F1A,NA,1,1
ATP5J,OG0005067,NA,NA
ATP5MF-PTCD1,NA,1,1
ATP5MG,NA,1,1
ATP5S,OG0010216,NA,NA
ATP5SL,OG0011206,NA,NA
ATP6AP1L,OG0011464,NA,NA
ATP6AP2,OG0006480,NA,NA
ATP6V0A4,NA,1,1
ATP6V0B,OG0006182,NA,NA
ATP6V1B1,NA,1,1
ATP6V1D,OG0006140,NA,NA
ATP6V1F,OG0005687,NA,NA
ATP6V1H,OG0009277,NA,NA
ATP7B,NA,1,1
ATPAF1,OG0009439,NA,NA
ATPAF2,OG0008035,NA,NA
ATR,OG0010721,NA,NA
ATRAID,OG0011024,NA,NA
ATRIP,OG0009273,NA,NA
ATRX,NA,1,1
ATXN1,OG0005974,1,1
ATXN10,OG0010409,NA,NA
ATXN1L,OG0008415,NA,NA
ATXN2,OG0007729,2,2
ATXN2-AS,NA,1,1
ATXN2L,OG0004386,NA,NA
ATXN3,OG0004822,NA,NA
ATXN7,OG0005243,NA,NA
ATXN7L1,OG0005803,NA,NA
ATXN7L2,OG0005378,NA,NA
ATXN7L3,OG0008714,NA,NA
AUNIP,OG0011644,1,1
AUP1,OG0007101,1,1
AURKAIP1,OG0006791,NA,NA
AVEN,OG0007771,NA,NA
AVL9,OG0010719,1,1
AVPI1,OG0011321,NA,NA
AXDND1,OG0007737,NA,NA
AXIN1,OG0005625,NA,NA
AXIN2,OG0006555,NA,NA
AZI2,OG0008622,NA,NA
AZIN1,OG0004893,NA,NA
B3GALNT1,OG0011112,NA,NA
B3GALNT2,OG0010530,NA,NA
B3GALT1,OG0005880,NA,NA
B3GALT2,OG0003439,NA,NA
B3GALT4,OG0012032,1,1
B3GALT6,OG0011847,NA,NA
B3GALTL,OG0005343,1,1
B3GAT2,OG0006825,NA,NA
B3GAT3,OG0011500,NA,NA
B3GLCT,NA,1,1
B3GNT1,OG0009180,NA,NA
B3GNT5,OG0007095,1,1
B3GNT8,NA,1,1
B3GNT9,OG0009293,NA,NA
B3GNTL1,OG0004063,NA,NA
B4GALNT1,OG0004014,NA,NA
B4GALNT4,NA,1,1
B4GALT2,NA,1,1
B4GALT4,OG0007170,NA,NA
B4GALT7,OG0007672,NA,NA
B9D1,OG0006929,NA,NA
B9D2,OG0006392,NA,NA
BAALC,OG0008194,NA,NA
BABAM1,OG0010158,NA,NA
BACH1,OG0005200,NA,NA
BACH2,OG0007131,NA,NA
BAD,OG0009113,1,1
BAG1,OG0008050,NA,NA
BAG2,OG0008550,NA,NA
BAG3,OG0006558,NA,NA
BAG4,OG0007510,NA,NA
BAG5,OG0006318,NA,NA
BAG6,OG0003548,NA,NA
BAHD1,OG0005950,NA,NA
BAIAP2L2,OG0009548,NA,NA
BAMBI,OG0008025,NA,NA
BANK1,OG0011924,NA,NA
BANP,OG0009556,NA,NA
BAP1,OG0007794,NA,NA
BARD1,OG0007017,1,1
BARHL1,NA,1,1
BARX1,OG0010150,NA,NA
BARX2,OG0008447,NA,NA
BASP1,OG0012144,NA,NA
BATF,OG0006673,NA,NA
BAZ1A,OG0007743,1,1
BAZ1B,OG0007920,NA,NA
BAZ2A,OG0011117,NA,NA
BAZ2B,OG0004065,NA,NA
BBOX1,OG0005863,NA,NA
BBS1,OG0007967,NA,NA
BBS10,OG0005759,1,1
BBS12,OG0010933,NA,NA
BBS2,OG0007662,NA,NA
BBS4,OG0005386,NA,NA
BBS5,OG0011190,NA,NA
BBS7,OG0008327,NA,NA
BBS9,OG0004190,1,1
BBX,OG0006828,NA,NA
BCAN,OG0009073,NA,NA
BCAR1,OG0010553,NA,NA
BCAS1,OG0011121,1,1
BCAS2,OG0008387,NA,NA
BCAS3,OG0009007,NA,NA
BCCIP,OG0004968,NA,NA
BCDIN3D,OG0010041,1,1
BCKDHA,OG0008544,NA,NA
BCKDHB,OG0008138,NA,NA
BCKDK,OG0005214,NA,NA
BCL10,OG0006481,NA,NA
BCL2L11,OG0009761,NA,NA
BCL2L12,OG0011726,NA,NA
BCL2L13,OG0006458,NA,NA
BCL2L15,NA,1,1
BCL3,OG0008139,NA,NA
BCL6B,NA,1,1
BCL7A,OG0004883,NA,NA
BCL9,OG0005290,NA,NA
BCL9L,OG0005066,NA,NA
BCLAF1,OG0009365,NA,NA
BCO1,OG0007194,NA,NA
BCO2,OG0006441,1,1
BCOR,OG0004450,NA,NA
BCORL1,OG0004655,1,1
BCS1L,OG0010256,NA,NA
BDH2,OG0010406,NA,NA
BDKRB2,OG0004343,NA,NA
BDNF,OG0009165,1,1
BDP1,OG0004649,1,1
BEAN1,OG0011429,NA,NA
BECN1,NA,1,1
BEGAIN,OG0006067,NA,NA
BEND2,NA,1,1
BEND3,OG0008988,2,2
BEND4,OG0005821,NA,NA
BEND7,OG0010055,NA,NA
BEST2,NA,1,1
BEST3,NA,1,1
BET1,OG0003759,NA,NA
BET1L,OG0011074,NA,NA
BFAR,OG0009449,NA,NA
BFSP1,OG0009911,1,1
BFSP2,OG0010280,NA,NA
BHLHA15,OG0009864,NA,NA
BHLHA9,OG0006891,NA,NA
BHLHE40,OG0004669,NA,NA
BHLHE41,OG0005417,NA,NA
BHMG1,OG0010939,NA,NA
BICD1,NA,1,1
BICDL2,NA,1,1
BID,OG0011400,NA,NA
BIN2,OG0004671,1,1
BIN3,OG0009815,NA,NA
BIRC3,NA,1,1
BIRC6,OG0009503,NA,NA
BIVM-ERCC5,NA,1,1
BLCAP,OG0011923,NA,NA
BLM,OG0011422,NA,NA
BLMH,OG0008293,NA,NA
BLOC1S1,OG0008167,1,1
BLOC1S2,OG0010728,NA,NA
BLOC1S3,OG0011253,1,1
BLOC1S5,OG0009990,NA,NA
BLOC1S6,OG0005564,NA,NA
BLVRA,OG0007008,NA,NA
BLVRB,OG0007228,NA,NA
BLZF1,OG0009228,NA,NA
BMF,OG0006476,NA,NA
BMP10,NA,1,1
BMP15,OG0008161,NA,NA
BMP3,OG0006340,NA,NA
BMPER,OG0007812,NA,NA
BMPR2,OG0004931,1,1
BNIP1,OG0005238,NA,NA
BOC,OG0011446,1,1
BOD1L1,NA,1,1
BOK,OG0003582,NA,NA
BOLA1,OG0011324,NA,NA
BOLA3,OG0007045,NA,NA
