OG,Preferred_name,Description,count,analysis
OG0004037,FHL1,Four and a half LIM domains,5,longevity
OG0004039,TOPORS,"Topoisomerase I binding, arginine serine-rich, E3 ubiquitin protein ligase",5,longevity
OG0004052,RTN2,Reticulon,5,longevity
OG0004058,SPAG1,Potential Monad-binding region of RPAP3,5,longevity
OG0004108,ARHGAP29,GTPase-activator protein for Rho-like GTPases,5,longevity
OG0004165,C6,Complement component,5,longevity
OG0004244,C9orf3,"Leukotriene A4 hydrolase, C-terminal",5,longevity
OG0004246,CFAP46,Cilia and flagella associated protein 46,5,longevity
OG0004283,CXorf23,THRAP3/BCLAF1 family,5,longevity
OG0004326,HAUS5,HAUS augmin-like complex subunit 5,5,longevity
OG0004327,PRDM2,C2H2-type zinc finger,5,longevity
OG0004354,PRRC2C,BAT2 N-terminus,5,longevity
OG0004395,ARHGEF18,Pleckstrin homology domain,5,longevity
OG0004397,ZRSR2,zinc finger,5,longevity
OG0004433,PDZD2,"Domain present in PSD-95, Dlg, and ZO-1/2.",5,longevity
OG0004495,RSPH10B,Radial spoke head 10 homolog,5,longevity
OG0004568,COL13A1,Collagen triple helix repeat (20 copies),5,longevity
OG0004584,ATAD3A,"ATPase family, AAA",5,longevity
OG0004708,CIITA,"Class II, major histocompatibility complex, transactivator",5,longevity
OG0004749,MED26,Mediator complex subunit 26 middle domain,5,longevity
OG0004758,RTN3,May be involved in membrane trafficking in the early secretory pathway. Inhibits BACE1 activity and amyloid precursor protein processing. May induce caspase-8 cascade and apoptosis. May favor BCL2 translocation to the mitochondria upon endoplasmic reticulum stress,5,longevity
OG0004762,CCDC61,Coiled-coil domain containing 61,5,longevity
OG0004780,WIPF2,WH2 motif,5,longevity
OG0004786,KITLG,"Ligand for the receptor-type protein-tyrosine kinase KIT. Plays an essential role in the regulation of cell survival and proliferation, hematopoiesis, stem cell maintenance, gametogenesis, mast cell development, migration and function, and in melanogenesis",5,longevity
OG0004801,ARRDC1,"Arrestin (or S-antigen), C-terminal domain",5,longevity
OG0004840,KNDC1,kinase non-catalytic C-lobe domain,5,longevity
OG0004853,MCM3AP,Minichromosome maintenance complex component 3 associated protein,5,longevity
OG0004862,SGOL1,Shugoshin C terminus,5,longevity
OG0004881,RRBP1,Ribosome binding protein 1,5,longevity
OG0004891,EWSR1,Zinc finger domain,5,longevity
OG0004914,ICE1,Interactor of little elongator complex ELL subunit 1,5,longevity
OG0004915,FAM208A,"Family with sequence similarity 208, member A",5,longevity
OG0004921,SLC6A9,"glycine secretion, neurotransmission",5,longevity
OG0004922,USPL1,Domain of unknown function (DUF4650),5,longevity
OG0004951,AHCTF1,beta-propeller of ELYS nucleoporin,5,longevity
OG0004992,SENP7,"Ulp1 protease family, C-terminal catalytic domain",5,longevity
OG0005014,C2orf71,Retinal protein,5,longevity
OG0005023,EPS8L3,Phosphotyrosine-binding domain,5,longevity
OG0005051,SON,Arginine/Serine-Rich protein 1,5,longevity
OG0005054,LOXHD1,Lipoxygenase homology 2 (beta barrel) domain,5,longevity
OG0005080,MRPL1,Ribosomal protein L1p/L10e family,5,longevity
OG0005085,RSPH1,"Possible plasma membrane-binding motif in junctophilins, PIP-5-kinases and protein kinases.",5,longevity
OG0005101,FHAD1,Forkhead-associated (FHA) phosphopeptide binding domain 1,5,longevity
OG0005223,FANCB,"Fanconi anemia, complementation group B",5,longevity
OG0005293,ADAMTS8,Metallo-peptidase family M12,5,longevity
OG0005295,MAN2B1,"Alpha mannosidase, middle domain",5,longevity
OG0005330,ARHGAP27,Pleckstrin homology domain,5,longevity
OG0005342,FOXO1,"KIX-binding domain of forkhead box O, CR2",5,longevity
OG0005351,SYNPO2L,"Domain present in PSD-95, Dlg, and ZO-1/2.",5,longevity
OG0005383,STK10,Polo kinase kinase,5,longevity
OG0005416,SCCPDH,oxidoreductase activity,5,longevity
OG0005440,ALPK3,Alpha-kinase 3,5,longevity
OG0005445,LAS1L,Las1-like,5,longevity
OG0005449,ANKRD11,Ankyrin repeat domain,5,longevity
OG0005460,SBNO2,Strawberry notch homolog 2,5,longevity
OG0005462,YAP1,Yes-associated protein 1,5,longevity
OG0005509,CD2AP,Src homology 3 domains,5,longevity
OG0005511,SKA3,Spindle and kinetochore associated complex subunit 3,5,longevity
OG0005518,ARHGEF38,RhoGEF domain,5,longevity
OG0005520,PLA2G4A,"Phospholipase A2, group IVA (Cytosolic, calcium-dependent)",5,longevity
OG0005571,HMMR,Hyaluronan-mediated motility receptor (RHAMM),5,longevity
OG0005588,MST1R,semaphorin domain,5,longevity
OG0005593,BRCA2,"Breast cancer 2, early onset",5,longevity
OG0005619,DAB2,"Phosphotyrosine-binding domain, phosphotyrosine-interaction (PI) domain",5,longevity
OG0005656,KIAA1211L,Domain of unknown function (DUF4592),5,longevity
OG0005667,ATAD5,"ATPase family, AAA",5,longevity
OG0005668,KIAA1217,Actin interacting protein 3,5,longevity
OG0005860,THYN1,EVE domain,5,longevity
OG0005886,MYO9B,Ras association (RalGDS/AF-6) domain,5,longevity
OG0005926,CBX4,Chromobox homolog 4,5,longevity
OG0005939,TRIM46,B-box zinc finger,5,longevity
OG0005957,TGFB1,Transforming growth factor,5,longevity
OG0006028,CASC5,Cancer susceptibility candidate 5,5,longevity
OG0006132,KIAA0825,Domain of unknown function (DUF4495),5,longevity
OG0006186,WBSCR16,Williams-Beuren syndrome chromosome region 16,5,longevity
OG0006237,TMPRSS4,"Transmembrane protease, serine 4",5,longevity
OG0006280,PERM1,PGC-1 and ERR-induced regulator in muscle protein 1,5,longevity
OG0006319,NCAPH,"Regulatory subunit of the condensin complex, a complex required for conversion of interphase chromatin into mitotic-like condense chromosomes",5,longevity
OG0006341,ITGA3,"Integrin, alpha 3 (antigen CD49C, alpha 3 subunit of VLA-3 receptor)",5,longevity
OG0006384,SRRM4,Serine/arginine repetitive matrix protein C-terminus,5,longevity
OG0006465,MAGI1,"Membrane associated guanylate kinase, WW and PDZ domain containing 1",5,longevity
OG0006479,NHSL1,NHS-like,5,longevity
OG0006519,ARHGEF28,Pleckstrin homology domain,5,longevity
OG0006536,IMPG2,"Domain found in sea urchin sperm protein, enterokinase, agrin",5,longevity
OG0006578,PLBD2,Phospholipase B,5,longevity
OG0006635,SYNPO,Synaptopodin,5,longevity
OG0006666,OBSL1,Obscurin-like 1,5,longevity
OG0006735,CEP83,Centrosomal protein,5,longevity
OG0006743,TMPRSS13,Belongs to the peptidase S1 family,5,longevity
OG0006764,HPX,"Binds heme and transports it to the liver for breakdown and iron recovery, after which the free hemopexin returns to the circulation",5,longevity
OG0006780,RRP8,Hypothetical methyltransferase,5,longevity
OG0006816,FSIP1,FSIP1 family,5,longevity
OG0006872,CFAP69,Cilia and flagella associated protein 69,5,longevity
OG0006877,GPR143,G protein-coupled receptor 143,5,longevity
OG0006897,TASP1,Asparaginase,5,longevity
OG0006942,NPL,Catalyzes the cleavage of N-acetylneuraminic acid (sialic acid) to form pyruvate and N-acetylmannosamine via a Schiff base intermediate. It prevents sialic acids from being recycled and returning to the cell surface. Involved in the N- glycolylneuraminic acid (Neu5Gc) degradation pathway,5,longevity
OG0006952,SDCCAG8,Serologically defined colon cancer antigen 8,5,longevity
OG0006979,IQCK,IQ motif containing K,5,longevity
OG0006987,LAD1,Anchoring filament protein which is a component of the basement membrane zone,5,longevity
OG0006994,ANKRD12,ankyrin repeat domain,5,longevity
OG0006999,CNPPD1,regulation of cyclin-dependent protein serine/threonine kinase activity,5,longevity
OG0007030,AK7,Dpy-30 motif,5,longevity
OG0007061,FAM65B,"Family with sequence similarity 65, member B",5,longevity
OG0007085,TMEM192,TMEM192 family,5,longevity
OG0007133,RASSF1,Ras association (RalGDS AF-6) domain family member 1,5,longevity
OG0007154,ELP6,Elongator acetyltransferase complex subunit 6,5,longevity
OG0007294,PTPRE,"Protein tyrosine phosphatase, receptor type, E",5,longevity
OG0007296,CCDC40,BRE1 E3 ubiquitin ligase,5,longevity
OG0007329,PCSK7,Proprotein convertase P-domain,5,longevity
OG0007352,SWT1,Large family of predicted nucleotide-binding domains,5,longevity
OG0007544,DAZAP1,DAZ-associated protein 1,5,longevity
OG0007575,HIVEP1,C2H2-type zinc-finger domain,5,longevity
OG0007582,MYCBPAP,MYCBP-associated protein family,5,longevity
OG0007583,SDC4,positive regulation of extracellular exosome assembly,5,longevity
OG0007589,POF1B,actin binding,5,longevity
OG0007591,CENPC,Mif2/CENP-C like,5,longevity
OG0007676,TBATA,"Thymus, brain and testes associated",5,longevity
OG0007718,CARKD,"Catalyzes the dehydration of the S-form of NAD(P)HX at the expense of ATP, which is converted to ADP. Together with NAD(P)HX epimerase, which catalyzes the epimerization of the S- and R-forms, the enzyme allows the repair of both epimers of NAD(P)HX, a damaged form of NAD(P)H that is a result of enzymatic or heat-dependent hydration",5,longevity
OG0007723,ADNP,Homeobox domain,5,longevity
OG0007743,BAZ1A,ATP-utilising chromatin assembly and remodelling N-terminal,5,longevity
OG0007833,KNOP1,Small acidic protein family,5,longevity
OG0007874,FES,Fes/CIP4 homology domain,5,longevity
OG0007881,LSR,Lipolysis stimulated receptor (LSR),5,longevity
OG0007977,KANK4,KN motif,5,longevity
OG0008169,LRRIQ1,Short calmodulin-binding motif containing conserved Ile and Gln residues.,5,longevity
OG0008210,LEKR1,"Leucine-, glutamate- and lysine-rich protein 1",5,longevity
OG0008222,RBM34,RNA recognition motif,5,longevity
OG0008257,POLE2,DNA polymerases epsilon N terminal,5,longevity
OG0008297,IRAK1,Interleukin-1 receptor-associated kinase 1,5,longevity
OG0008303,LHPP,Haloacid dehalogenase-like hydrolase,5,longevity
OG0008309,FGB,Fibrinogen alpha/beta chain family,5,longevity
OG0008463,MED29,Mediator of RNA polymerase II transcription subunit 29,5,longevity
OG0008469,LINS,Lines C-terminus,5,longevity
OG0008492,LRPAP1,"Alpha-2-macroglobulin RAP, N-terminal domain",5,longevity
OG0008534,PYROXD2,oxidoreductase activity,5,longevity
OG0008554,EPPK1,Plectin repeat,5,longevity
OG0008609,MYOCD,Myocardin,5,longevity
OG0008643,TNKS1BP1,Tankyrase 1 binding protein 1,5,longevity
OG0008664,APC,Adenomatous polyposis coli,5,longevity
OG0008731,GMIP,GTPase-activator protein for Rho-like GTPases,5,longevity
OG0008736,SERAC1,PGAP1-like protein,5,longevity
OG0008792,PCGF1,Polycomb group ring finger,5,longevity
OG0008820,SQSTM1,protein localization to perinuclear region of cytoplasm,5,longevity
OG0008834,RWDD4,RWD domain containing 4,5,longevity
OG0008840,CLSPN,Claspin isoform X1,5,longevity
OG0008888,SORBS3,Sorbin homologous domain,5,longevity
OG0008934,PLEKHN1,Pleckstrin homology domain.,5,longevity
OG0008951,CWF19L2,Protein similar to CwfJ C-terminus 2,5,longevity
OG0008977,ALG3,"Adds the first Dol-P-Man derived mannose in an alpha-1,3 linkage to Man5GlcNAc2-PP-Dol",5,longevity
OG0008981,METTL10,Putative methyltransferase,5,longevity
OG0008986,MYOT,Myotilin,5,longevity
OG0009032,XRN2,transcription termination site DNA binding,5,longevity
OG0009122,ZFYVE27,endoplasmic reticulum tubular network formation,5,longevity
OG0009144,MLXIPL,helix loop helix domain,5,longevity
OG0009158,POFUT2,peptide-O-fucosyltransferase activity,5,longevity
OG0009177,TACC3,Transforming acidic coiled-coil containing protein 3,5,longevity
OG0009189,LUZP1,neural fold bending,5,longevity
OG0009230,DPH2,"Required for the first step in the synthesis of diphthamide, a post-translational modification of histidine which occurs in translation elongation factor 2",5,longevity
OG0009274,ZNF827,Zinc finger protein 827,5,longevity
OG0009275,USHBP1,PDZ domain of MCC-2 bdg protein for Usher syndrome,5,longevity
OG0009320,C1orf85,Chromosome 1 open reading frame 85,5,longevity
OG0009397,NBN,"Component of the MRE11-RAD50-NBN (MRN complex) which plays a critical role in the cellular response to DNA damage and the maintenance of chromosome integrity. The complex is involved in double-strand break (DSB) repair, DNA recombination, maintenance of telomere integrity, cell cycle checkpoint control and meiosis. The complex possesses single-strand endonuclease activity and double-strand-specific 3'-5' exonuclease activity, which are provided by MRE11. RAD50 may be required to bind DNA ends and hold them in close proximity. NBN modulate the DNA damage signal sensing by recruiting PI3 PI4-kinase family members ATM, ATR, and probably DNA-PKcs to the DNA damage sites and activating their functions. It can also recruit MRE11 and RAD50 to the proximity of DSBs by an interaction with the histone H2AX. NBN also functions in telomere length maintenance by generating the 3' overhang which serves as a primer for telomerase dependent telomere elongation. NBN is a major player in the control of intra-S-phase checkpoint and there is some evidence that NBN is involved in G1 and G2 checkpoints. The roles of NBS1 MRN encompass DNA damage sensor, signal transducer, and effector, which enable cells to maintain DNA integrity and genomic stability. Forms a complex with RBBP8 to link DNA double-strand break sensing to resection. Enhances AKT1 phosphorylation possibly by association with the mTORC2 complex",5,longevity
OG0009413,KIAA0226,DUF4206,5,longevity
OG0009414,CHL1,Bravo-like intracellular region,5,longevity
OG0009419,SDPR,PTRF/SDPR family,5,longevity
OG0009470,DENND2A,"Domain always found upstream of DENN domain, found in a variety of signalling proteins",5,longevity
OG0009534,TRAFD1,zinc finger,5,longevity
OG0009538,UVRAG,UV radiation resistance associated,5,longevity
OG0009545,CIR1,"corepressor interacting with RBPJ, 1",5,longevity
OG0009572,FLT4,"Tyrosine kinase, catalytic domain",5,longevity
OG0009606,UBXN6,"domain in protein kinases, N-glycanases and other nuclear proteins",5,longevity
OG0009648,C7orf72,Chromosome 7 open reading frame,5,longevity
OG0009705,HYI,Hydroxypyruvate isomerase,5,longevity
OG0009753,CARD9,"Caspase recruitment domain family, member 9",5,longevity
OG0009773,TPK1,pyrophosphokinase 1,5,longevity
OG0009799,PARVG,Parvin gamma,5,longevity
OG0009817,IL20RA,"Interferon-alpha/beta receptor, fibronectin type III",5,longevity
OG0009870,LRRC71,Leucine Rich repeat,5,longevity
OG0009893,WDYHV1,WDYHV motif containing 1,5,longevity
OG0009897,TEKT2,Tektin family,5,longevity
OG0009934,FBXO5,F-box domain,5,longevity
OG0009961,HS1BP3,"PhoX homologous domain, present in p47phox and p40phox.",5,longevity
OG0009980,PIH1D1,pre-RNA processing PIH1/Nop17,5,longevity
OG0010003,NAGLU,Alpha-N-acetylglucosaminidase (NAGLU) C-terminal domain,5,longevity
OG0010017,NCCRP1,F-box associated region,5,longevity
OG0010043,RENBP,N-acylglucosamine 2-epimerase (GlcNAc 2-epimerase),5,longevity
OG0010084,PROSER2,Specifically androgen-regulated gene protein,5,longevity
OG0010088,IL17RE,Interleukin-17 receptor extracellular region,5,longevity
OG0010092,SUN2,Sad1 / UNC-like C-terminal,5,longevity
OG0010113,IFIH1,C-terminal domain of RIG-I,5,longevity
OG0010116,C15orf41,Chromosome 15 open reading frame 41,5,longevity
OG0010140,FBXO43,F-box protein 43,5,longevity
OG0010171,ATF7IP,ATF-interacting protein binding domain,5,longevity
OG0010185,IL31RA,"Interleukin-6 receptor alpha chain, binding",5,longevity
OG0010197,RAI1,Retinoic acid induced 1,5,longevity
OG0010204,GPAA1,"Gaa1-like, GPI transamidase component",5,longevity
OG0010210,RNF222,zinc-RING finger domain,5,longevity
OG0010221,ADAM11,ADAM metallopeptidase domain,5,longevity
OG0010228,TGS1,RNA cap guanine-N2 methyltransferase,5,longevity
OG0010238,LRRC41,Leucine rich repeat containing 41,5,longevity
OG0010328,ZNF142,Zinc finger protein 142,5,longevity
OG0010391,BSDC1,domain in transcription factors and synapse-associated proteins,5,longevity
OG0010400,PTPRC,"Protein tyrosine phosphatase, receptor type C",5,longevity
OG0010410,ATG4B,Cysteine protease required for the cytoplasm to vacuole transport (Cvt) and autophagy,5,longevity
OG0010415,ERCC6L2,Excision repair cross-complementation group 6-like 2,5,longevity
OG0010494,NAGPA,Pfam:DUF2233,5,longevity
OG0010558,LCP2,Sterile alpha motif.,5,longevity
OG0010592,C2CD2L,C2CD2-like,5,longevity
OG0010616,ESYT1,Binds glycerophospholipids in a barrel-like domain and may play a role in cellular lipid transport (By similarity). Binds calcium (via the C2 domains) and translocates to sites of contact between the endoplasmic reticulum and the cell membrane in response to increased cytosolic calcium levels. Helps tether the endoplasmic reticulum to the cell membrane and promotes the formation of appositions between the endoplasmic reticulum and the cell membrane,5,longevity
OG0010618,GTSE1,G-2 and S-phase expressed 1,5,longevity
OG0010650,TERF2IP,TRF2-interacting telomeric protein/Rap1 - C terminal domain,5,longevity
OG0010685,REPS2,RALBP1 associated Eps domain containing 2,5,longevity
OG0010704,DDX54,DBP10CT (NUC160) domain,5,longevity
OG0010713,RFTN2,Raftlin family member 2,5,longevity
OG0010716,SYNE3,Nuclear envelope localisation domain,5,longevity
OG0010735,CDAN1,Codanin-1 C-terminus,5,longevity
OG0010743,RFWD3,RING-type zinc-finger,5,longevity
OG0010766,C1orf177,Chromosome 1 open reading frame 177,5,longevity
OG0010816,CDH17,Cadherin repeats.,5,longevity
OG0010844,SPICE1,spindle and centriole associated protein 1,5,longevity
OG0010870,PLEKHA4,Pleckstrin homology domain.,5,longevity
OG0010910,ANKMY1,Ankyrin repeat and MYND domain containing 1,5,longevity
OG0010923,TSPAN32,Belongs to the tetraspanin (TM4SF) family,5,longevity
OG0010939,BHMG1,high mobility group,5,longevity
OG0010952,AMH,"Anti-Mullerian hormone, N terminal region",5,longevity
OG0011005,CEP44,Centrosomal protein,5,longevity
OG0011084,MAP10,Protein of unknown function (DUF4497),5,longevity
OG0011102,STPG1,Sperm-tail PG-rich repeat,5,longevity
OG0011125,FAM198B,FAM198 protein,5,longevity
OG0011216,MAPK15,Mitogen-activated protein kinase 15,5,longevity
OG0011223,MRPS9,Ribosomal protein S9/S16,5,longevity
OG0011321,AVPI1,arginine vasopressin-induced,5,longevity
OG0011345,ERCC6,transcription elongation from RNA polymerase I promoter,5,longevity
OG0011369,SLCO4A1,Solute carrier organic anion transporter family member 4A1,5,longevity
OG0011418,AFAP1L2,Actin filament associated protein,5,longevity
OG0011428,GPR98,G protein-coupled receptor,5,longevity
OG0011439,WRN,Werner syndrome,5,longevity
OG0011468,STRA13,Stimulated by retinoic acid 13,5,longevity
OG0011503,PROM2,Prominin 2,5,longevity
OG0011629,FAM227A,Protein of unknown function,5,longevity
OG0011800,TP53I13,Tumor protein p53 inducible protein 13,5,longevity
OG0011822,SHPK,"FGGY family of carbohydrate kinases, N-terminal domain",5,longevity
OG0011835,ALKBH3,"alkB, alkylation repair homolog 3 (E. coli)",5,longevity
OG0012002,IL6R,Interleukin 6 receptor,5,longevity
OG0012088,ITGA2B,Integrin alpha cytoplasmic region,5,longevity
OG0012099,IL17RB,Interleukin 17 receptor D,5,longevity
OG0012129,MST1,Belongs to the peptidase S1 family. Plasminogen subfamily,5,longevity
OG0012201,TDRD15,Tudor domain,5,longevity
OG0012250,FAM179A,"Family with sequence similarity 179, member A",5,longevity
OG0012251,C4orf45,Domain of unknown function (DUF4562),5,longevity
OG0012305,GAL3ST4,Galactose-3-O-sulfotransferase,5,longevity
OG0012533,ZMYND15,MYND finger,5,longevity
OG0012534,IFNLR1,Tissue factor,5,longevity
OG0012535,KLHDC9,Kelch domain containing 9,5,longevity
OG0012609,C16orf91,CCSMST1 family,5,longevity
OG0012624,TEPP,"Testis, prostate and placenta expressed",5,longevity
OG0002744,VPS13B,Vacuolar-sorting-associated 13 protein C-terminal,4,longevity
OG0002807,COL6A3,BPTI/Kunitz family of serine protease inhibitors.,4,longevity
OG0002918,ASTE1,nuclease activity,4,longevity
OG0003376,BSN,Piccolo Zn-finger,4,longevity
OG0003596,FRMPD1,Band 4.1 homologues,4,longevity
