OG_ID	selection
OG0014115	none
OG0014117	none
OG0014122	intensified
OG0014127	none
OG0014136	none
OG0014147	none
OG0014148	intensified
OG0014157	none
OG0014164	intensified
OG0014188	intensified
OG0014195	relaxed
OG0014199	none
OG0014605	none
OG0014617	none
OG0014625	none
OG0014646	intensified
OG0014649	intensified
OG0014652	none
OG0014654	none
OG0014658	none
OG0014666	none
OG0014688	none
OG0014690	none
OG0014691	none
OG0014716	none
OG0014723	none
OG0014727	intensified
OG0014729	none
OG0014730	none
OG0014741	none
OG0014745	intensified
OG0014763	none
OG0002010	none
OG0004384	none
OG0005083	none
OG0005139	relaxed
OG0005171	relaxed
OG0005229	none
OG0005244	none
OG0005253	intensified
OG0005280	none
OG0005289	intensified
OG0005406	none
OG0005414	intensified
OG0005486	none
OG0005497	none
OG0005537	none
OG0005582	none
OG0005592	intensified
OG0005600	none
OG0005607	intensified
OG0005610	unknown
OG0005648	relaxed
OG0005678	none
OG0005679	intensified
OG0005692	none
OG0005694	none
OG0005714	none
OG0005734	none
OG0005791	none
OG0005792	intensified
OG0005796	none
OG0005846	none
OG0005896	none
OG0005959	intensified
OG0005966	none
OG0005976	intensified
OG0005988	none
OG0005990	none
OG0005996	none
OG0006008	none
OG0006014	none
OG0006060	none
OG0006061	none
OG0006066	intensified
OG0006084	none
OG0006086	relaxed
OG0006090	none
OG0006094	none
OG0006095	none
OG0006121	none
OG0006128	none
OG0006129	none
OG0006141	none
OG0006142	none
OG0006160	none
OG0006171	relaxed
OG0006174	relaxed
OG0006185	none
OG0006191	none
OG0006197	none
OG0006207	unknown
OG0006229	none
OG0006231	none
OG0006253	intensified
OG0006264	relaxed
OG0006267	intensified
OG0006272	relaxed
OG0006274	intensified
OG0006276	none
OG0006280	intensified
OG0006281	none
OG0006284	none
OG0006290	none
OG0006294	none
OG0006296	relaxed
OG0006303	relaxed
OG0006310	none
OG0006317	relaxed
OG0006323	none
OG0006334	none
OG0006335	none
OG0006347	intensified
OG0006409	none
OG0006415	intensified
OG0006416	relaxed
OG0006417	none
OG0006423	intensified
OG0006425	none
OG0006431	intensified
OG0006432	intensified
OG0006433	intensified
OG0006440	none
OG0006441	intensified
OG0006446	none
OG0006456	none
OG0006459	none
OG0006460	none
OG0006462	unknown
OG0006463	relaxed
OG0006466	none
OG0006467	none
OG0006468	none
OG0006471	none
OG0006472	none
OG0006482	none
OG0006487	intensified
OG0006491	none
OG0006493	none
OG0006497	none
OG0006507	none
OG0006508	intensified
OG0006513	relaxed
OG0006514	intensified
OG0006526	intensified
OG0006532	relaxed
OG0006539	none
OG0006541	none
OG0006542	relaxed
OG0006547	relaxed
OG0006551	none
OG0006561	none
OG0006569	intensified
OG0006571	relaxed
OG0006573	none
OG0006575	none
OG0006585	intensified
OG0006594	intensified
OG0006595	none
OG0006601	none
OG0006605	none
OG0006607	none
OG0006618	none
OG0006619	none
OG0006620	none
OG0006624	none
OG0006634	none
OG0006637	intensified
OG0006639	none
OG0006643	none
OG0006653	none
OG0006654	none
OG0006655	intensified
OG0006663	intensified
OG0006666	none
OG0006672	none
OG0006675	none
OG0006678	none
OG0006679	none
OG0006682	relaxed
OG0006684	none
OG0006685	none
OG0006687	none
OG0006690	intensified
OG0006695	intensified
OG0006704	none
OG0006705	none
OG0006711	relaxed
OG0006719	intensified
OG0006722	none
OG0006727	intensified
OG0006728	none
OG0006732	relaxed
OG0006736	none
OG0006739	intensified
OG0006741	none
OG0006746	none
OG0006750	none
OG0006753	intensified
OG0006762	none
OG0006765	none
OG0006766	none
OG0006770	intensified
OG0006771	none
OG0006773	none
OG0006779	none
OG0006781	none
OG0006782	none
OG0006844	none
OG0006845	none
OG0006848	none
OG0006860	none
OG0006861	relaxed
OG0006867	none
OG0006868	none
OG0006877	intensified
OG0006884	none
OG0006887	intensified
OG0006888	none
OG0006889	none
OG0006890	none
OG0006891	none
OG0006892	none
OG0006896	none
OG0006899	none
OG0006901	none
OG0006904	intensified
OG0006911	intensified
OG0006912	intensified
OG0006917	none
OG0006918	intensified
OG0006919	none
OG0006921	none
OG0006922	relaxed
OG0006924	relaxed
OG0006927	intensified
OG0006933	none
OG0006937	none
OG0006942	none
OG0006949	none
OG0006950	none
OG0006952	none
OG0006954	none
OG0006955	relaxed
OG0006956	intensified
OG0006957	intensified
OG0006958	none
OG0006959	none
OG0006960	none
OG0006966	intensified
OG0006969	none
OG0006970	intensified
OG0006977	intensified
OG0006982	intensified
OG0006983	none
OG0006984	none
OG0006989	relaxed
OG0006992	none
OG0006993	none
OG0006995	none
OG0006997	none
OG0006998	none
OG0007001	none
OG0007002	none
OG0007008	intensified
OG0007019	none
OG0007023	none
OG0007025	relaxed
OG0007026	none
OG0007028	none
OG0007030	none
OG0007031	none
OG0007032	none
OG0007033	intensified
OG0007046	none
OG0007050	none
OG0007053	none
OG0007058	none
OG0007060	none
OG0007064	none
OG0007070	relaxed
OG0007071	none
OG0007073	intensified
OG0007075	relaxed
OG0007077	intensified
OG0007079	none
OG0007082	none
OG0007084	none
OG0007086	none
OG0007094	none
OG0007101	none
OG0007102	none
OG0007108	relaxed
OG0007110	none
OG0007115	intensified
OG0007116	intensified
OG0007123	none
OG0007131	none
OG0007133	relaxed
OG0007135	none
OG0007138	none
OG0007140	none
OG0007146	none
OG0007151	none
OG0007153	none
OG0007155	unknown
OG0007166	none
OG0007173	none
OG0007175	none
OG0007189	none
OG0007192	intensified
OG0007195	relaxed
OG0007200	relaxed
OG0007204	none
OG0007205	none
OG0007206	intensified
OG0007212	none
OG0007217	none
OG0007220	none
OG0007221	none
OG0007222	none
OG0007223	none
OG0007226	none
OG0007231	intensified
OG0007234	none
OG0007235	none
OG0007236	none
OG0007242	intensified
OG0007250	none
OG0007253	none
OG0007257	none
OG0007259	none
OG0007260	none
OG0007262	none
OG0007264	none
OG0007266	relaxed
OG0007275	none
OG0007288	none
OG0007289	none
OG0007292	none
OG0007294	none
OG0007295	none
OG0007296	relaxed
OG0007298	intensified
OG0007303	intensified
OG0007309	intensified
OG0007310	intensified
OG0007318	none
OG0007320	none
OG0007323	none
OG0007325	relaxed
OG0007327	intensified
OG0007330	none
OG0007334	none
OG0007335	none
OG0007337	none
OG0007338	intensified
OG0007342	none
OG0007345	relaxed
OG0007346	none
OG0007348	none
OG0007350	intensified
OG0007352	relaxed
OG0007353	none
OG0007355	none
OG0007403	none
OG0007408	none
OG0007425	none
OG0007426	none
OG0007427	intensified
OG0007433	intensified
OG0007435	intensified
OG0007442	intensified
OG0007444	none
OG0007449	none
OG0007453	none
OG0007459	intensified
OG0007464	relaxed
OG0007480	none
OG0007481	intensified
OG0007487	none
OG0007488	none
OG0007495	none
OG0007510	none
OG0007514	none
OG0007516	none
OG0007527	none
OG0007531	none
OG0007538	none
OG0007541	intensified
OG0007543	relaxed
OG0007546	none
OG0007548	none
OG0007549	none
OG0007550	none
OG0007563	none
OG0007565	relaxed
OG0007570	intensified
OG0007574	none
OG0007582	none
OG0007589	none
OG0007606	intensified
OG0007608	none
OG0007621	none
OG0007624	none
OG0007631	none
OG0007639	intensified
OG0007644	relaxed
OG0007646	none
OG0007648	none
OG0007655	none
OG0007658	none
OG0007687	none
OG0007691	none
OG0007703	none
OG0007704	none
OG0007705	none
OG0007714	none
OG0007717	intensified
OG0007719	none
OG0007720	none
OG0007723	none
OG0007731	none
OG0007735	none
OG0007741	none
OG0007750	intensified
OG0007752	none
OG0007764	intensified
OG0007765	none
OG0007766	none
OG0007768	intensified
OG0007770	intensified
OG0007771	intensified
OG0007775	none
OG0007777	none
OG0007779	intensified
OG0007780	none
OG0007788	none
OG0007792	intensified
OG0007800	none
OG0007807	none
OG0007811	intensified
OG0007812	none
OG0007814	none
OG0007815	relaxed
OG0007833	none
OG0007836	none
OG0007843	intensified
OG0007846	none
OG0007856	intensified
OG0007860	none
OG0007862	none
OG0007863	none
OG0007864	none
OG0007866	none
OG0007867	intensified
OG0007873	none
OG0007879	none
OG0007880	none
OG0007888	none
OG0007905	intensified
OG0007916	none
OG0007918	intensified
OG0007920	none
OG0007925	none
OG0007932	relaxed
OG0007936	none
OG0007941	none
OG0007946	relaxed
OG0007950	none
OG0007952	none
OG0007957	intensified
OG0007958	intensified
OG0007964	none
OG0007966	none
OG0007970	none
OG0007974	none
OG0007976	none
OG0007992	none
OG0007995	none
OG0007998	intensified
OG0007999	none
OG0008002	none
OG0008010	none
OG0008011	none
OG0008022	none
OG0008023	intensified
OG0008032	none
OG0008034	relaxed
OG0008042	none
OG0008047	none
OG0008048	none
OG0008053	intensified
OG0008057	none
OG0008073	intensified
OG0008074	none
OG0008079	intensified
OG0008090	none
OG0008091	none
OG0008097	none
OG0008106	intensified
OG0008109	none
OG0008116	intensified
OG0008117	none
OG0008118	none
OG0008125	none
OG0008127	intensified
OG0008144	none
OG0008149	none
OG0008150	none
OG0008152	intensified
OG0008157	none
OG0008160	intensified
OG0008161	none
OG0008169	intensified
OG0008177	none
OG0008179	none
OG0008182	relaxed
OG0008190	none
OG0008191	none
OG0008197	none
OG0008204	none
OG0008216	none
OG0008230	none
OG0008232	none
OG0008244	none
OG0008246	none
OG0008253	intensified
OG0008257	none
OG0008271	none
OG0008273	none
OG0008274	intensified
OG0008280	intensified
OG0008282	none
OG0008285	none
OG0008290	relaxed
OG0008292	intensified
OG0008294	intensified
OG0008331	none
OG0008338	none
OG0008339	none
OG0008345	intensified
OG0008346	relaxed
OG0008348	relaxed
OG0008351	none
OG0008352	relaxed
OG0008353	none
OG0008358	relaxed
OG0008360	none
OG0008364	none
OG0008365	none
OG0008368	relaxed
OG0008370	none
OG0008374	none
OG0008375	none
OG0008382	none
OG0008388	none
OG0008393	none
OG0008396	none
OG0008398	none
OG0008401	none
OG0008404	none
OG0008406	none
OG0008407	none
OG0008408	relaxed
OG0008411	none
OG0008420	intensified
OG0008421	none
OG0008422	none
OG0008424	relaxed
OG0008428	relaxed
OG0008430	relaxed
OG0008432	none
OG0008433	none
OG0008434	intensified
OG0008436	none
OG0008437	none
OG0008440	none
OG0008446	none
OG0008447	none
OG0008448	none
OG0008450	intensified
OG0008451	none
OG0008453	none
OG0008456	none
OG0008460	intensified
OG0008463	none
OG0008464	none
OG0008470	intensified
