qname,query,OG_ID,chr,seqStart,seqEnd
evm.model.ptg024601l.3_Prang-OG0005914.fa,evm.model.ptg024601l.3_Prang,OG0005914,chr8,827180348,827181047
evm.model.ptg000234l.8_Prang-OG0005932.fa,evm.model.ptg000234l.8_Prang,OG0005932,chr13,845412199,845413858
evm.model.ptg004478l.5_Prang-OG0005954.fa,evm.model.ptg004478l.5_Prang,OG0005954,chr2,2548404597,2548405104
evm.model.ptg008501l.3_Prang-OG0005959.fa,evm.model.ptg008501l.3_Prang,OG0005959,chr13,966607667,966609014
evm.model.ptg007739l.4_Prang-OG0005960.fa,evm.model.ptg007739l.4_Prang,OG0005960,chr9,583768169,583769945
evm.model.ptg031320l.1_Prang-OG0005965.fa,evm.model.ptg031320l.1_Prang,OG0005965,chr5,1792759290,1792760967
evm.model.ptg002833l.4_Prang-OG0005976.fa,evm.model.ptg002833l.4_Prang,OG0005976,chr15,711160794,711170766
evm.model.ptg011785l.1_Prang-OG0005990.fa,evm.model.ptg011785l.1_Prang,OG0005990,chr6,1921076621,1921077641
evm.model.ptg012685l.1_Prang-OG0005996.fa,evm.model.ptg012685l.1_Prang,OG0005996,chr5,858782980,858784432
evm.model.ptg001878l.6_Prang-OG0006001.fa,evm.model.ptg001878l.6_Prang,OG0006001,chr10,559084616,559086710
evm.model.ptg005812l.3_Prang-OG0006008.fa,evm.model.ptg005812l.3_Prang,OG0006008,chr10,141408132,141409563
evm.model.ptg019691l.1_Prang-OG0006061.fa,evm.model.ptg019691l.1_Prang,OG0006061,chr10,151987140,151989042
evm.model.ptg000378l.1_Prang-OG0006066.fa,evm.model.ptg000378l.1_Prang,OG0006066,chr4,943864973,943867082
evm.model.ptg009307l.3_Prang-OG0006067.fa,evm.model.ptg009307l.3_Prang,OG0006067,chr4,1950619402,1950621799
evm.model.ptg007488l.1_Prang-OG0006073.fa,evm.model.ptg007488l.1_Prang,OG0006073,chr9,679960492,679961254
evm.model.ptg021885l.5_Prang-OG0006075.fa,evm.model.ptg021885l.5_Prang,OG0006075,chr5,2153685420,2153686929
evm.model.ptg016445l.1_Prang-OG0006082.fa,evm.model.ptg016445l.1_Prang,OG0006082,chr5,753596376,753600090
evm.model.ptg008473l.5_Prang-OG0006084.fa,evm.model.ptg008473l.5_Prang,OG0006084,chr9,136956093,136957821
evm.model.ptg006253l.5_Prang-OG0006086.fa,evm.model.ptg006253l.5_Prang,OG0006086,chr11,260761827,260763336
evm.model.ptg002786l.4_Prang-OG0006088.fa,evm.model.ptg002786l.4_Prang,OG0006088,chr12,807896820,807902337
evm.model.ptg010325l.4_Prang-OG0006089.fa,evm.model.ptg010325l.4_Prang,OG0006089,chr1,3111604344,3111608877
evm.model.ptg003649l.2_Prang-OG0006090.fa,evm.model.ptg003649l.2_Prang,OG0006090,chr13,612887939,612888191
evm.model.ptg001735l.4_Prang-OG0006091.fa,evm.model.ptg001735l.4_Prang,OG0006091,chr1,346166983,346168414
evm.model.ptg005054l.4_Prang-OG0006094.fa,evm.model.ptg005054l.4_Prang,OG0006094,chr6,826459470,826460379
evm.model.ptg005903l.2_Prang-OG0006095.fa,evm.model.ptg005903l.2_Prang,OG0006095,chr17,270368636,270370520
evm.model.ptg004347l.1_Prang-OG0006106.fa,evm.model.ptg004347l.1_Prang,OG0006106,chr2,702420170,702421460
evm.model.ptg001661l.3_Prang-OG0006111.fa,evm.model.ptg001661l.3_Prang,OG0006111,chr13,887477959,887483602
evm.model.ptg021765l.2_Prang-OG0006115.fa,evm.model.ptg021765l.2_Prang,OG0006115,chr1,3326724675,3326726073
evm.model.ptg002660l.7_Prang-OG0006121.fa,evm.model.ptg002660l.7_Prang,OG0006121,chr3,2972237248,2972241355
evm.model.ptg010813l.2_Prang-OG0006129.fa,evm.model.ptg010813l.2_Prang,OG0006129,chr4,736604619,736605858
evm.model.ptg001414l.2_Prang-OG0006133.fa,evm.model.ptg001414l.2_Prang,OG0006133,chr3,1820581498,1820582791
evm.model.ptg002378l.1_Prang-OG0006138.fa,evm.model.ptg002378l.1_Prang,OG0006138,chr19,224113636,224115379
evm.model.ptg003519l.2_Prang-OG0006141.fa,evm.model.ptg003519l.2_Prang,OG0006141,chr2,1126203656,1126205207
evm.model.ptg002873l.3_Prang-OG0006142.fa,evm.model.ptg002873l.3_Prang,OG0006142,chr1,3741711316,3741711949
evm.model.ptg012325l.1_Prang-OG0006168.fa,evm.model.ptg012325l.1_Prang,OG0006168,chr5,530711432,530712335
evm.model.ptg001954l.5_Prang-OG0006171.fa,evm.model.ptg001954l.5_Prang,OG0006171,chr12,797128323,797130426
evm.model.ptg001687l.10_Prang-OG0006184.fa,evm.model.ptg001687l.10_Prang,OG0006184,chr16,505815095,505817033
evm.model.ptg004540l.2_Prang-OG0006185.fa,evm.model.ptg004540l.2_Prang,OG0006185,chr9,1292157643,1292159227
evm.model.ptg012500l.5_Prang-OG0006191.fa,evm.model.ptg012500l.5_Prang,OG0006191,chr13,945825756,945826455
evm.model.ptg009533l.2_Prang-OG0006193.fa,evm.model.ptg009533l.2_Prang,OG0006193,chr6,1884616406,1884618656
evm.model.ptg002684l.1_Prang-OG0006207.fa,evm.model.ptg002684l.1_Prang,OG0006207,chr3,2332346725,2332348204
evm.model.ptg006589l.1_Prang-OG0006225.fa,evm.model.ptg006589l.1_Prang,OG0006225,chr6,1606029882,1606032249
evm.model.ptg005273l.4_Prang-OG0006227.fa,evm.model.ptg005273l.4_Prang,OG0006227,chr14,821356611,821362386
evm.model.ptg016532l.4_Prang-OG0006231.fa,evm.model.ptg016532l.4_Prang,OG0006231,chr13,287169074,287169740
evm.model.ptg005299l.4_Prang-OG0006242.fa,evm.model.ptg005299l.4_Prang,OG0006242,chr8,152110841,152125898
evm.model.ptg011984l.2_Prang-OG0006253.fa,evm.model.ptg011984l.2_Prang,OG0006253,chr13,808893724,808895611
evm.model.ptg002136l.3_Prang-OG0006255.fa,evm.model.ptg002136l.3_Prang,OG0006255,chr16,264540532,264542338
evm.model.ptg000539l.3_Prang-OG0006264.fa,evm.model.ptg000539l.3_Prang,OG0006264,chr3,706566862,706581595
evm.model.ptg017165l.1_Prang-OG0006272.fa,evm.model.ptg017165l.1_Prang,OG0006272,chr19,786838689,786841290
evm.model.ptg011187l.5_Prang-OG0006276.fa,evm.model.ptg011187l.5_Prang,OG0006276,chr3,2315890660,2315891620
evm.model.ptg005483l.4_Prang-OG0006281.fa,evm.model.ptg005483l.4_Prang,OG0006281,chr1,4005026822,4005027515
evm.model.ptg001746l.2_Prang-OG0006284.fa,evm.model.ptg001746l.2_Prang,OG0006284,chr19,223911719,223916255
evm.model.ptg004584l.1_Prang-OG0006294.fa,evm.model.ptg004584l.1_Prang,OG0006294,chr2,2201481243,2201482434
evm.model.ptg001759l.1_Prang-OG0006297.fa,evm.model.ptg001759l.1_Prang,OG0006297,chr2,1204447394,1204454630
evm.model.ptg001590l.5_Prang-OG0006299.fa,evm.model.ptg001590l.5_Prang,OG0006299,chr9,416141883,416145639
evm.model.ptg004208l.2_Prang-OG0006303.fa,evm.model.ptg004208l.2_Prang,OG0006303,chr7,22176613,22179997
evm.model.ptg000943l.1_Prang-OG0006317.fa,evm.model.ptg000943l.1_Prang,OG0006317,chr4,1880998092,1880999250
evm.model.ptg015835l.4_Prang-OG0006318.fa,evm.model.ptg015835l.4_Prang,OG0006318,chr1,1723364089,1723367266
evm.model.ptg000504l.5_Prang-OG0006320.fa,evm.model.ptg000504l.5_Prang,OG0006320,chr1,1003005334,1003008280
evm.model.ptg011427l.2_Prang-OG0006323.fa,evm.model.ptg011427l.2_Prang,OG0006323,chr14,831450559,831452401
evm.model.ptg004968l.1_Prang-OG0006330.fa,evm.model.ptg004968l.1_Prang,OG0006330,chr4,2609019911,2609021519
evm.model.ptg005106l.1_Prang-OG0006334.fa,evm.model.ptg005106l.1_Prang,OG0006334,chr1,888531785,888546566
evm.model.ptg001859l.2_Prang-OG0006336.fa,evm.model.ptg001859l.2_Prang,OG0006336,chr3,438997506,439001469
evm.model.ptg005571l.2_Prang-OG0006346.fa,evm.model.ptg005571l.2_Prang,OG0006346,chr2,2912483110,2912485006
evm.model.ptg000516l.6_Prang-OG0006347.fa,evm.model.ptg000516l.6_Prang,OG0006347,chr16,152733757,152734243
evm.model.ptg002374l.4_Prang-OG0006402.fa,evm.model.ptg002374l.4_Prang,OG0006402,chr1,3690639603,3690640866
evm.model.ptg002226l.3_Prang-OG0006404.fa,evm.model.ptg002226l.3_Prang,OG0006404,chr6,1277170068,1277179116
evm.model.ptg000074l.2_Prang-OG0006405.fa,evm.model.ptg000074l.2_Prang,OG0006405,chr10,156041985,156043014
evm.model.ptg008675l.1_Prang-OG0006408.fa,evm.model.ptg008675l.1_Prang,OG0006408,chr8,595417175,595418012
evm.model.ptg006219l.5_Prang-OG0006411.fa,evm.model.ptg006219l.5_Prang,OG0006411,chr1,759755150,759756638
evm.model.ptg018904l.1_Prang-OG0006414.fa,evm.model.ptg018904l.1_Prang,OG0006414,chr8,492406084,492408841
evm.model.ptg008209l.2_Prang-OG0006415.fa,evm.model.ptg008209l.2_Prang,OG0006415,chr8,291564947,291565940
evm.model.ptg003118l.6_Prang-OG0006416.fa,evm.model.ptg003118l.6_Prang,OG0006416,chr1,1046741982,1046743044
evm.model.ptg002227l.3_Prang-OG0006417.fa,evm.model.ptg002227l.3_Prang,OG0006417,chr1,54923454,54925971
evm.model.ptg038151l.1_Prang-OG0006421.fa,evm.model.ptg038151l.1_Prang,OG0006421,chr19,635659408,635660749
evm.model.ptg002006l.1_Prang-OG0006423.fa,evm.model.ptg002006l.1_Prang,OG0006423,chr1,2004616308,2004617709
evm.model.ptg006045l.2_Prang-OG0006425.fa,evm.model.ptg006045l.2_Prang,OG0006425,chr8,1066633791,1066634721
evm.model.ptg006537l.3_Prang-OG0006427.fa,evm.model.ptg006537l.3_Prang,OG0006427,chr18,347545875,347547105
evm.model.ptg000760l.2_Prang-OG0006429.fa,evm.model.ptg000760l.2_Prang,OG0006429,chr5,1592610827,1592611724
evi.model.ptg002175l.15_Prang-OG0006431.fa,evi.model.ptg002175l.15_Prang,OG0006431,chr1,3059149046,3059149940
evm.model.ptg001799l.7_Prang-OG0006436.fa,evm.model.ptg001799l.7_Prang,OG0006436,chr1,3491760110,3491760437
evm.model.ptg014685l.2_Prang-OG0006441.fa,evm.model.ptg014685l.2_Prang,OG0006441,chr11,286535948,286537910
evm.model.ptg028631l.2_Prang-OG0006444.fa,evm.model.ptg028631l.2_Prang,OG0006444,chr11,70765365,70767048
evm.model.ptg009478l.4_Prang-OG0006445.fa,evm.model.ptg009478l.4_Prang,OG0006445,chr5,351621357,351622386
evm.model.ptg001844l.1_Prang-OG0006446.fa,evm.model.ptg001844l.1_Prang,OG0006446,chr5,225946531,225947836
evm.model.ptg013614l.1_Prang-OG0006452.fa,evm.model.ptg013614l.1_Prang,OG0006452,chr2,3370502627,3370503674
evm.model.ptg002938l.5_Prang-OG0006454.fa,evm.model.ptg002938l.5_Prang,OG0006454,chr9,547720826,547723106
evm.model.ptg013516l.1_Prang-OG0006456.fa,evm.model.ptg013516l.1_Prang,OG0006456,chr16,656512312,656512672
evm.model.ptg000895l.2_Prang-OG0006459.fa,evm.model.ptg000895l.2_Prang,OG0006459,chr2,2073401949,2073402594
evm.model.ptg013485l.1_Prang-OG0006467.fa,evm.model.ptg013485l.1_Prang,OG0006467,chr8,280637565,280638069
evm.model.ptg057338l.1_Prang-OG0006468.fa,evm.model.ptg057338l.1_Prang,OG0006468,chr11,83390789,83391119
evm.model.ptg007856l.2_Prang-OG0006469.fa,evm.model.ptg007856l.2_Prang,OG0006469,chr1,3895362708,3895370478
evm.model.ptg008740l.4_Prang-OG0006470.fa,evm.model.ptg008740l.4_Prang,OG0006470,chr1,3603135174,3603137208
evm.model.ptg001713l.1_Prang-OG0006471.fa,evm.model.ptg001713l.1_Prang,OG0006471,chr1,2034457828,2034458803
evm.model.ptg000748l.6_Prang-OG0006474.fa,evm.model.ptg000748l.6_Prang,OG0006474,chr11,218862484,218867707
evm.model.ptg000280l.4_Prang-OG0006475.fa,evm.model.ptg000280l.4_Prang,OG0006475,chr6,819177202,819180046
evm.model.ptg001764l.2_Prang-OG0006480.fa,evm.model.ptg001764l.2_Prang,OG0006480,chr1,1426154077,1426155988
evm.model.ptg021269l.1_Prang-OG0006482.fa,evm.model.ptg021269l.1_Prang,OG0006482,chr11,380414769,380415849
evm.model.ptg003118l.1_Prang-OG0006483.fa,evm.model.ptg003118l.1_Prang,OG0006483,chr1,1050622105,1050623629
evm.model.ptg006838l.1_Prang-OG0006488.fa,evm.model.ptg006838l.1_Prang,OG0006488,chr1,2561757920,2561758907
evm.model.ptg011279l.2_Prang-OG0006494.fa,evm.model.ptg011279l.2_Prang,OG0006494,chr2,1721534419,1721536390
evm.model.ptg000722l.2_Prang-OG0006496.fa,evm.model.ptg000722l.2_Prang,OG0006496,chr3,3129851905,3129854725
evm.model.ptg007509l.1_Prang-OG0006497.fa,evm.model.ptg007509l.1_Prang,OG0006497,chr2,775310179,775311607
evm.model.ptg000795l.1_Prang-OG0006500.fa,evm.model.ptg000795l.1_Prang,OG0006500,chr2,506241317,506244746
evm.model.ptg004770l.2_Prang-OG0006503.fa,evm.model.ptg004770l.2_Prang,OG0006503,chr8,1200951832,1200952843
evm.model.ptg013313l.2_Prang-OG0006504.fa,evm.model.ptg013313l.2_Prang,OG0006504,chr16,495403395,495404844
evm.model.ptg025177l.2_Prang-OG0006505.fa,evm.model.ptg025177l.2_Prang,OG0006505,chr2,2117330005,2117332243
evm.model.ptg021847l.1_Prang-OG0006507.fa,evm.model.ptg021847l.1_Prang,OG0006507,chr2,2204503750,2204505379
evm.model.ptg011568l.2_Prang-OG0006508.fa,evm.model.ptg011568l.2_Prang,OG0006508,chr2,166601744,166604345
evm.model.ptg012625l.2_Prang-OG0006510.fa,evm.model.ptg012625l.2_Prang,OG0006510,chr5,498808134,498810528
evm.model.ptg001682l.10_Prang-OG0006513.fa,evm.model.ptg001682l.10_Prang,OG0006513,chr1,2915261389,2915264023
evm.model.ptg002363l.4_Prang-OG0006516.fa,evm.model.ptg002363l.4_Prang,OG0006516,chr1,161144280,161144730
evm.model.ptg015553l.1_Prang-OG0006522.fa,evm.model.ptg015553l.1_Prang,OG0006522,chr2,599488757,599490668
evm.model.ptg004109l.3_Prang-OG0006525.fa,evm.model.ptg004109l.3_Prang,OG0006525,chr1,2260835394,2260836393
evm.model.ptg021571l.3_Prang-OG0006526.fa,evm.model.ptg021571l.3_Prang,OG0006526,chr1,2317316804,2317317866
evm.model.ptg001495l.2_Prang-OG0006532.fa,evm.model.ptg001495l.2_Prang,OG0006532,chr14,669967890,669968628
evm.model.ptg007040l.2_Prang-OG0006533.fa,evm.model.ptg007040l.2_Prang,OG0006533,chr4,1980172047,1980173886
evm.model.ptg009811l.6_Prang-OG0006536.fa,evm.model.ptg009811l.6_Prang,OG0006536,chr10,220813615,220815976
evm.model.ptg022363l.2_Prang-OG0006540.fa,evm.model.ptg022363l.2_Prang,OG0006540,chr10,1225683910,1225684885
evm.model.ptg001217l.2_Prang-OG0006542.fa,evm.model.ptg001217l.2_Prang,OG0006542,chr12,532173077,532177565
evm.model.ptg003990l.4_Prang-OG0006550.fa,evm.model.ptg003990l.4_Prang,OG0006550,chr12,399355848,399357060
evm.model.ptg021555l.3_Prang-OG0006551.fa,evm.model.ptg021555l.3_Prang,OG0006551,chr12,403836343,403837471
evm.model.ptg008245l.1_Prang-OG0006552.fa,evm.model.ptg008245l.1_Prang,OG0006552,chr9,83689754,83690435
evm.model.ptg004782l.8_Prang-OG0006560.fa,evm.model.ptg004782l.8_Prang,OG0006560,chr7,481457403,481459962
evm.model.ptg008778l.9_Prang-OG0006562.fa,evm.model.ptg008778l.9_Prang,OG0006562,chr7,1100893089,1100894508
evm.model.ptg006413l.6_Prang-OG0006565.fa,evm.model.ptg006413l.6_Prang,OG0006565,chr7,61386615,61388586
evm.model.ptg006277l.4_Prang-OG0006566.fa,evm.model.ptg006277l.4_Prang,OG0006566,chr7,908999688,909001218
evm.model.ptg006083l.2_Prang-OG0006567.fa,evm.model.ptg006083l.2_Prang,OG0006567,chr7,1269770303,1269771410
evm.model.ptg004495l.11_Prang-OG0006569.fa,evm.model.ptg004495l.11_Prang,OG0006569,chr9,265790002,265793122
evm.model.ptg012500l.3_Prang-OG0006578.fa,evm.model.ptg012500l.3_Prang,OG0006578,chr13,944819161,944821129
evm.model.ptg000352l.1_Prang-OG0006580.fa,evm.model.ptg000352l.1_Prang,OG0006580,chr7,55097272,55098256
evm.model.ptg000576l.1_Prang-OG0006586.fa,evm.model.ptg000576l.1_Prang,OG0006586,chr7,1368204396,1368211938
evm.model.ptg034991l.1_Prang-OG0006591.fa,evm.model.ptg034991l.1_Prang,OG0006591,chr14,618590057,618591515
evm.model.ptg007276l.3_Prang-OG0006594.fa,evm.model.ptg007276l.3_Prang,OG0006594,chr3,2824439394,2824444080
evm.model.ptg020092l.6_Prang-OG0006595.fa,evm.model.ptg020092l.6_Prang,OG0006595,chr3,3087133492,3087134410
evm.model.ptg012810l.2_Prang-OG0006597.fa,evm.model.ptg012810l.2_Prang,OG0006597,chr13,85220463,85221033
evm.model.ptg011697l.2_Prang-OG0006600.fa,evm.model.ptg011697l.2_Prang,OG0006600,chr4,1220447518,1220448433
evm.model.ptg007556l.4_Prang-OG0006605.fa,evm.model.ptg007556l.4_Prang,OG0006605,chr10,1007288527,1007289571
evm.model.ptg011589l.1_Prang-OG0006610.fa,evm.model.ptg011589l.1_Prang,OG0006610,chr18,57730966,57733303
evm.model.ptg000229l.6_Prang-OG0006614.fa,evm.model.ptg000229l.6_Prang,OG0006614,chr13,588608054,588608513
evm.model.ptg000431l.1_Prang-OG0006617.fa,evm.model.ptg000431l.1_Prang,OG0006617,chr18,73588907,73590980
evm.model.ptg006639l.2_Prang-OG0006619.fa,evm.model.ptg006639l.2_Prang,OG0006619,chr13,291080030,291080468
evm.model.ptg006860l.1_Prang-OG0006621.fa,evm.model.ptg006860l.1_Prang,OG0006621,chr13,472275648,472277595
evm.model.ptg007787l.1_Prang-OG0006624.fa,evm.model.ptg007787l.1_Prang,OG0006624,chr13,249710979,249713853
evm.model.ptg034470l.1_Prang-OG0006625.fa,evm.model.ptg034470l.1_Prang,OG0006625,chr6,91012757,91013279
evm.model.ptg007021l.9_Prang-OG0006626.fa,evm.model.ptg007021l.9_Prang,OG0006626,chr5,2237390284,2237391097
evm.model.ptg028357l.1_Prang-OG0006627.fa,evm.model.ptg028357l.1_Prang,OG0006627,chr14,352976448,352977498
evm.model.ptg002903l.4_Prang-OG0006637.fa,evm.model.ptg002903l.4_Prang,OG0006637,chr4,838809997,838813744
evm.model.ptg002932l.2_Prang-OG0006641.fa,evm.model.ptg002932l.2_Prang,OG0006641,chr4,1776490041,1776492582
evm.model.ptg020169l.4_Prang-OG0006643.fa,evm.model.ptg020169l.4_Prang,OG0006643,chr9,1238592284,1238593238
evm.model.ptg004208l.1_Prang-OG0006645.fa,evm.model.ptg004208l.1_Prang,OG0006645,chr1,489605926,489608395
evm.model.ptg011382l.1_Prang-OG0006646.fa,evm.model.ptg011382l.1_Prang,OG0006646,chr15,501270697,501271600
evm.model.ptg003412l.7_Prang-OG0006648.fa,evm.model.ptg003412l.7_Prang,OG0006648,chr9,535232725,535234450
evm.model.ptg009948l.2_Prang-OG0006649.fa,evm.model.ptg009948l.2_Prang,OG0006649,chr4,702987083,702988598
evm.model.ptg011071l.1_Prang-OG0006654.fa,evm.model.ptg011071l.1_Prang,OG0006654,chr10,797157650,797159663
evm.model.ptg000322l.2_Prang-OG0006655.fa,evm.model.ptg000322l.2_Prang,OG0006655,chr10,819253045,819264550
evm.model.ptg012910l.1_Prang-OG0006660.fa,evm.model.ptg012910l.1_Prang,OG0006660,chr3,127983067,127983523
evm.model.ptg019541l.3_Prang-OG0006663.fa,evm.model.ptg019541l.3_Prang,OG0006663,chr5,403151466,403158252
evm.model.ptg002237l.2_Prang-OG0006666.fa,evm.model.ptg002237l.2_Prang,OG0006666,chr17,62940906,62944305
evm.model.ptg023943l.4_Prang-OG0006667.fa,evm.model.ptg023943l.4_Prang,OG0006667,chr3,895816879,895817968
evm.model.ptg000222l.8_Prang-OG0006671.fa,evm.model.ptg000222l.8_Prang,OG0006671,chr19,510309929,510312791
evm.model.ptg006373l.2_Prang-OG0006673.fa,evm.model.ptg006373l.2_Prang,OG0006673,chr19,595665156,595669959
evm.model.ptg006110l.6_Prang-OG0006675.fa,evm.model.ptg006110l.6_Prang,OG0006675,chr3,1282121877,1282127478
evm.model.ptg003768l.1_Prang-OG0006678.fa,evm.model.ptg003768l.1_Prang,OG0006678,chr3,1260989511,1260991182
evm.model.ptg005311l.5_Prang-OG0006684.fa,evm.model.ptg005311l.5_Prang,OG0006684,chr2,484322345,484323239
