Ammel,Ammex,Asmec,Asmes,Darer,Gamor,Hosap,Leocu,Luden,Mymur,Nebri,Plwal,Prang,Sians,Sigra,Sirhi,Tagut,Thmac,Trros,Trtib,Xetro,Zoviv,nSp,og,selectionF,selectionB,allF,allB
NA,1,NA,NA,1,1,1,1,1,1,0.974730511327879,1,0.115024901848142,NA,NA,NA,1,1,1,1,1,1,hits_per_16_species,OG0005080,0,0,3,13
1,NA,1,1,NA,0.154407234665419,0.112403415422363,1,NA,1,1,1,1,NA,NA,NA,1,1,1,1,1,1,hits_per_16_species,OG0005165,0,0,3,13
1,NA,1,1,1,0.671164002711651,0.175611465196916,1,1,1,1,NA,NA,NA,NA,NA,0.299546580816974,1,1,1,1,0.885322328747848,hits_per_16_species,OG0005180,0,0,3,13
0.339738513804443,1,1,1,NA,3.58264107660489e-05,NA,5.74051028934264e-09,0.028575832312745,1,0.000198285091851491,1,NA,NA,NA,NA,2.10011924517417e-09,0.000289659361967232,1,0.194909347288856,0.628417050053801,0.674433915752115,hits_per_16_species,OG0005211,1,5,3,13
0.483647831356618,1,1,1,NA,0.00219390331261254,3.29377004298914e-05,0.770096981222027,NA,1,0.469048166678449,NA,1,NA,NA,NA,1,1,1,1,1,1,hits_per_16_species,OG0005315,0,2,3,13
1,NA,0,1,0.947811851052814,0.0182750608016418,1,0.659586769364392,NA,1,1,1,NA,NA,NA,NA,1,1,0.0874659938590105,1,1,1,hits_per_16_species,OG0005341,1,1,2,14
1,NA,1,1,1,0.0318681712537404,4.22706943539186e-05,0.27128712275256,NA,0.179851570217681,1,1,0.0816623598576705,NA,NA,NA,0.699395505791448,NA,1,0.909680461552031,1,1,hits_per_16_species,OG0005344,0,2,3,13
0.139140636788326,NA,1,1,0.0693291132597536,1,1.7938815846108e-06,1.098190022919e-06,0.304331515791995,0.0691853266905227,0.187685589988914,2.44551336181509e-07,NA,NA,NA,NA,0.249950030539581,0.282074885521041,NA,0.275923053259071,3.42216024962205e-07,0.137153901793863,hits_per_16_species,OG0005402,0,4,2,14
0.0520831387678266,1,1,1,1,0.0434026969483838,1,1,1,1,1,NA,1,NA,NA,NA,1,1,1,NA,NA,1,hits_per_16_species,OG0005404,0,1,4,12
NA,0.160881724411811,1,1,NA,NA,1,1,NA,1,1,1,1,1.7901892322536e-05,NA,1,1,1,0.0024279628492565,1,NA,1,hits_per_16_species,OG0005412,2,0,5,11
1,1,1,1,0.580029613457321,1,1,0.0925199926263611,NA,1,1,NA,NA,NA,NA,NA,1,1,1,1,1,1,hits_per_16_species,OG0005432,0,0,2,14
1,NA,1,1,NA,1,1,1,1,1,1,1,NA,NA,NA,NA,1,1,1,0.352743575353655,0.501763775482715,1,hits_per_16_species,OG0005433,0,0,3,13
1,NA,1,1,0.0913122515317752,1,1,1,NA,1,NA,NA,1,NA,0.451665055380611,NA,0.220395681396753,0.290188282422353,1,1,1,1,hits_per_16_species,OG0005470,0,0,3,13
1,1,0,1,NA,0.118631654376194,0.118390440111167,0.157932521462851,NA,0.608890614872524,1,1,0.00388665550868311,NA,NA,NA,0.191970230216739,0.00649375797478896,NA,1,0.0694259155223322,1,hits_per_16_species,OG0005477,2,1,2,14
3.66058601467545e-05,0.0492236992219164,0,1,1,0.0381564029791343,NA,NA,1.9291093478202e-07,0.0313913742829692,1.7762860779591e-05,0.00376981049768049,2.9869032747154e-08,NA,NA,NA,1,0.00287817463138773,NA,4.10621316948578e-06,1,0.193428490464569,hits_per_16_species,OG0005492,3,8,3,13
1,NA,1,1,NA,1,1,1,1,0.215147154191799,8.02412764011606e-09,1,NA,NA,1,NA,1,1,1,0.21156302425551,1,NA,hits_per_16_species,OG0005507,0,1,3,13
1,1,1,1,NA,1,1,1,1,1,0.0461172429148715,1,1,NA,NA,NA,1,1,NA,NA,1,1,hits_per_16_species,OG0005514,0,1,3,13
1,1,1,1,1,1,1,1,1,0.344858082752771,1,NA,NA,NA,NA,NA,1,1,1,1,NA,1,hits_per_16_species,OG0005531,0,0,3,13
1,1,NA,NA,1,1,NA,1,1,1,0.241708576868474,NA,1,1,NA,NA,1,1,1,1,1,1,hits_per_16_species,OG0005544,0,0,4,12
1,NA,1,1,1,1,1,NA,1,1,1,NA,0.825335356706799,NA,NA,NA,1,1,1,1,1,1,hits_per_16_species,OG0005546,0,0,4,12
1,NA,1,1,NA,1,1,1,1,1,1,1,1,NA,NA,NA,1,1,1,NA,1,1,hits_per_16_species,OG0005590,0,0,4,12
0.0403422250376642,1,1,1,NA,1,1,0.599858346612949,0.0199479005596842,1,1,NA,2.30675649692813e-08,NA,NA,NA,NA,1,0,1,1,1,hits_per_16_species,OG0005622,3,1,4,12
1,NA,1,1,0.00576207883348612,1,1,0.090500117147493,1,1,1,NA,NA,0.0124068554957992,NA,NA,1,1,1,0,NA,1,hits_per_16_species,OG0005629,1,2,4,12
1,1,1,1,NA,1,1,1,1,NA,1,NA,1,NA,NA,NA,1,1,1,1,1,1,hits_per_16_species,OG0005638,0,0,4,12
0.00219102554207518,1,NA,1,1,0.252049798645544,0.201178425123832,1,1,0.686939176078504,1,1,NA,1,NA,NA,1,NA,0.000226195572050447,0.259046694666189,0.00841781018098009,NA,hits_per_16_species,OG0005650,1,2,3,13
0.003502108382476,NA,2.14140638554738e-09,1,0.692238825356207,0.0206431468554112,2.38133210261893e-07,0.00210431977185283,NA,0.147511914061463,1,NA,0.318535388282693,NA,NA,NA,0.0200568751007371,0.870362617166886,1,0.793817164363792,0.000135947618827625,0.00178458401387382,hits_per_16_species,OG0005659,1,7,3,13
1,NA,1,1,1,1,1,1,NA,NA,1,1,NA,0.488339468272113,NA,NA,0.404258471484584,1,1,0.00305363496095068,1,1,hits_per_16_species,OG0005673,0,1,3,13
1,1,1,1,0.0860157036198693,1,1,1,NA,1,0.932071811117437,1,NA,NA,NA,NA,NA,1,1,1,1,0.0661576167454718,hits_per_16_species,OG0005688,0,0,2,14
1,NA,1,1,1,1,1,1,1,1,1,NA,1,NA,NA,NA,1,1,0.812236017917599,1,1,NA,hits_per_16_species,OG0005689,0,0,4,12
1,NA,6.97731644472288e-06,1,1,7.25957721765536e-05,NA,1,1,0.1716720400534,1,NA,NA,NA,1,NA,1,1,0.0299068300519795,1,1,1,hits_per_16_species,OG0005695,2,1,3,13
0.000432028865097855,NA,1,1,1,0.536278212820751,NA,0.180644831240946,NA,NA,1,1,0.00079367217668791,1,NA,1,0.573084592948955,1,NA,0.42678928053665,1,1,hits_per_16_species,OG0005700,1,1,4,12
1,NA,1,1,NA,1,1,1,0.915883069746416,1,0.903145985973142,NA,NA,1,1,NA,1,1,1,1,1,NA,hits_per_16_species,OG0005707,0,0,4,12
1,NA,1,1,1,1,1,1,NA,1,0.521356463694174,1,NA,NA,0.000237099643108751,NA,0.281223938563513,0.0966940714370532,1,NA,1,0.00935466044148781,hits_per_16_species,OG0005721,0,2,2,14
1,NA,0.173582003358421,1,1,1,1,1,1,0.925986429120245,1,NA,NA,NA,NA,NA,1,1,1,1,1,1,hits_per_16_species,OG0005732,0,0,3,13
1,NA,1,1,1,1,0.707589905404661,1,0.057719107677806,1,NA,1,NA,NA,NA,NA,0.557538366070087,0.747643579958923,1,1,1,1,hits_per_16_species,OG0005738,0,0,3,13
0.157135550183726,NA,1,1,1,NA,1,1,NA,1,1,1,NA,0.576046916479384,NA,NA,1,1,1,1,0.25774402879242,1,hits_per_16_species,OG0005740,0,0,3,13
1,NA,1,1,1,1,1,1,1,1,0.00619365776789088,1,NA,NA,NA,NA,1,1,1,1,1,NA,hits_per_16_species,OG0005746,0,1,3,13
1,NA,1,1,NA,1,1,1,0.994534651118438,0.0279440966141382,6.5500059265311e-09,1,NA,1,NA,NA,1,1,1,1,1,NA,hits_per_16_species,OG0005817,0,2,4,12
0.480818568866828,NA,1,NA,NA,1,1,1,0.0284105890682909,1,1,1,1,NA,NA,NA,1,1,1,1,0.836408598295807,1,hits_per_16_species,OG0005853,1,0,4,12
0.174879673662209,1,7.82203717353269e-08,0.539146555307403,NA,1,1,0.222302626298154,NA,1,1,0.639145195740852,1,NA,NA,NA,NA,1,1,1,0.260241908733055,1,hits_per_16_species,OG0005870,1,0,3,13
1,NA,1,1,1,0.602320372014586,1,1,1,1,1,NA,NA,NA,NA,NA,1,1,1,1,1,1,hits_per_16_species,OG0005876,0,0,3,13
1,1,1,1,1,0.0734506592787976,NA,1,NA,1,1,1,NA,NA,NA,NA,1,1,1,1,1,1,hits_per_16_species,OG0005879,0,0,2,14
1,NA,1,1,1,1,1,1,1,1,1,1,NA,NA,NA,NA,1,1,1,1,1,NA,hits_per_16_species,OG0005899,0,0,3,13
0.86629233183743,1,1,1,NA,1,1,0.190230747686671,1,0.650470479191251,1,1,8.6456928449774e-08,NA,NA,NA,1,1,NA,NA,1,1,hits_per_16_species,OG0005903,1,0,3,13
1,NA,1,1,1,1,1,0.796025819160969,1,1,1,1,NA,NA,NA,NA,1.47118512930367e-05,1,1,1,NA,0.776542040959725,hits_per_16_species,OG0005906,0,1,3,13
1,NA,1,1,NA,0.802380561619033,0.00339757933080359,0.876603028565643,7.30598273435135e-07,1,0.858074418182024,NA,1,NA,NA,NA,0.888052619178765,1,1,2.28184532760078e-05,1,1,hits_per_16_species,OG0005911,1,2,4,12
1,1,1,1,NA,1,1,1,1,0.0287862901543898,1,1,1,NA,NA,NA,1,0.0297033023798298,NA,NA,1,1,hits_per_16_species,OG0005914,0,2,3,13
1,0.746112945879677,0,1,1,1,0.212780521956866,1,NA,1,0.0550182113505988,NA,NA,NA,NA,NA,1,1,3.97927302109302e-07,0,0.589350017948461,1,hits_per_16_species,OG0005921,2,1,2,14
1,1,NA,NA,1,1,1,1,1,1,1,NA,NA,1,1,NA,1,0.088497505802682,1,1,NA,1,hits_per_16_species,OG0005927,0,0,3,13
1,1,1,1,NA,0.194410446079477,1,1,NA,1,1,0.695253780976622,1,NA,NA,NA,1,1,2.09787193172772e-09,1,NA,0.519237578520086,hits_per_16_species,OG0005932,1,0,3,13
1,1,1,1,NA,1,NA,0.0172488209089646,0.0122040257538887,1,1,1,0.00194649969879812,NA,NA,NA,1,8.37627872407598e-05,NA,1,1,1,hits_per_16_species,OG0005954,2,2,3,13
1,1,1,1,1,1,1,1,1,1,1,NA,1,NA,NA,NA,NA,1,1.13492548692307e-12,1,0.126447736514689,NA,hits_per_16_species,OG0005960,1,0,4,12
0.0846645197700943,1,1,1,1,NA,1,1,NA,1,NA,1,1,NA,NA,1,0.43236336703334,1,1,1,1,NA,hits_per_16_species,OG0005965,0,0,4,12
0.66904444577713,0.292047800483311,1,1,1,0.000294673929484679,1,1,NA,1,1,0.116857437492015,NA,NA,NA,NA,0.00138742386978963,0.000361382571656022,1,0.357953253827723,0.0651859034918481,NA,hits_per_16_species,OG0005972,0,3,2,14
1,NA,1,1,NA,1,1,1,1,1,1,1,NA,NA,NA,NA,1,1,1,1,1,1,hits_per_16_species,OG0006009,0,0,3,13
1,NA,1,1,1,1,1,1,1,1,NA,1,NA,NA,NA,NA,0.197966440136848,1,1,8.04911692853238e-15,1,1,hits_per_16_species,OG0006015,0,1,3,13
1,NA,1,1,1,0.756491084954326,1,1,1,1,0.00223737740852853,1,NA,NA,NA,NA,1,0.513964753262282,1,1,NA,1,hits_per_16_species,OG0006059,0,1,3,13
NA,1,1,1,0.0119080517283328,0.917034237333433,0.516814871182503,0.518314558424924,0.251533745257639,1,1.38949402728739e-05,0.32914204806525,NA,NA,NA,NA,0.627084626264432,1,1,NA,0.336269163866019,1,hits_per_16_species,OG0006064,0,2,3,13
0.117994026299686,1,1,0.176172602124015,1,1,NA,0.733404039665114,1,0.000253522440882836,NA,1,1,NA,NA,NA,NA,0.0517561103490743,1,1,1,0.121642091826605,hits_per_16_species,OG0006067,0,1,4,12
1,1,1,1,0.976550760958918,NA,1,1,1,NA,1,1,1.89475265921502e-06,NA,NA,NA,1,NA,1,1,1,1,hits_per_16_species,OG0006075,1,0,4,12
1,NA,1,1,1,1,1,1,1,1,1,1,NA,NA,NA,NA,1,0.563344397412416,1,1,NA,1,hits_per_16_species,OG0006076,0,0,3,13
1,NA,1,1,NA,1,1,1,NA,1,1,1,0.070384976387762,NA,NA,NA,1,1,1,1,1,1,hits_per_16_species,OG0006082,0,0,3,13
NA,0.418140203840729,0.235185569273551,0.959731226435896,0.373970782790913,0.00508334727606508,0.531624573262183,3.08572775498117e-06,1,0.108824950627822,7.89271448198292e-09,1,1,NA,NA,NA,0.0031247355672015,0.215974289782519,0.906900677061679,3.661571046365e-12,NA,NA,hits_per_16_species,OG0006088,0,5,4,12
NA,NA,1,1,1.29912747226513e-12,1,0.0681095438267582,1,0.131130230564828,1,1,NA,1,NA,NA,0.388926040983186,NA,1,0.136663044714253,0.00956560954097641,1,1,hits_per_16_species,OG0006089,0,2,5,11
0.513096283090282,1,1,1,1,0.000624307615238018,0.0183875302490703,1,1,1,NA,1,NA,NA,NA,NA,0.00743282512847709,1,NA,0.0266581163581758,0.499726551137533,0.928586488121102,hits_per_16_species,OG0006093,0,4,2,14
1,NA,1,1,1,0.843363939348847,1,0.311321766773189,1,1,1,NA,NA,NA,NA,NA,1,1,2.78243161844216e-09,1,1,1,hits_per_16_species,OG0006096,1,0,3,13
1,NA,1,1,NA,0.169893640051051,0.638813196998073,1,NA,1,1,1,2.46801157288701e-09,NA,NA,NA,1,1,0,1,1,1,hits_per_16_species,OG0006106,2,0,3,13
1,1,1,1,0.39579889131629,NA,0.0157572047640625,4.0969955102721e-05,0.753701894507073,NA,NA,1,0.000819734726314358,NA,NA,NA,0.0481445786918577,1,0.193285730394857,0.765757784778549,6.98240600698341e-05,0.304408379253044,hits_per_16_species,OG0006111,1,4,4,12
1,0.000833914822451653,1,1,1,1,0.402795359837114,1,NA,1,1,NA,NA,NA,0.000105506673591549,NA,1,1,1,4.31996912397814e-06,1,NA,hits_per_16_species,OG0006114,0,3,2,14
1,1,1,9.04118963418465e-07,NA,1,1,1,1,1,1,NA,1,NA,1,NA,1,1,NA,NA,1,1,hits_per_16_species,OG0006115,0,1,3,13
NA,0.000928588089783355,1,1,1,1,1,1,1,1,0.0434522862590275,1,NA,NA,NA,NA,1,0.784560349623286,NA,1,1,1,hits_per_16_species,OG0006120,0,2,2,14
1,NA,1,1,1,1,1,1,1,1,0.953848989983486,NA,NA,NA,NA,NA,1,0.00473907797070977,1,1,1,1,hits_per_16_species,OG0006134,0,1,3,13
0.412144657610032,1,NA,1,1,1,NA,0.480133070177975,NA,1,1,0.234459814896903,1,NA,NA,NA,1,1,1,1,1,0.982250627950701,hits_per_16_species,OG0006138,0,0,2,14
1,NA,NA,0.0922167838259436,1,1,1,1,1,1,NA,NA,NA,1,1,1,NA,1,1,0,1,1,hits_per_16_species,OG0006145,0,1,4,12
1,0.00615975801639856,1,0,1,1.72501724016172e-07,1,0.000446042197893792,NA,0,1,0.463807469148088,NA,1,NA,NA,0.2444700463143,1,NA,1,NA,1,hits_per_16_species,OG0006149,0,5,2,14
1,1,NA,NA,NA,1,1,1,1,1,1,1,1,NA,NA,NA,0.00268373277253464,1,1,3.47392780875033e-07,1,1,hits_per_16_species,OG0006168,0,2,3,13
NA,1,0,1,1,1,1,1,0.0597164097400595,1,1,1,NA,NA,NA,NA,1,1,1,NA,1,1,hits_per_16_species,OG0006170,1,0,3,13
1,NA,1,1,1,1,1,NA,1,1,1,1,0.709047876848079,NA,NA,NA,1,1,NA,1,1,1,hits_per_16_species,OG0006184,0,0,3,13
1,1,1,1,1,NA,1,1,NA,1,1,1,NA,NA,NA,NA,1,1,1,1,1,1,hits_per_16_species,OG0006187,0,0,2,14
1,NA,1,1,1,0.0822610954476249,0.18382537551197,8.31583285343385e-07,NA,1,1,NA,NA,1,NA,NA,1,1,1,1,0.0387623049102768,0.971095640002819,hits_per_16_species,OG0006192,0,2,3,13
1,NA,1,0.140972845978049,NA,1,1,1,1,1,1,NA,1,NA,NA,NA,1,1,1,1,1,1,hits_per_16_species,OG0006193,0,0,4,12
0.414141946940952,NA,1,1,1,0.00268203747433293,1,1,1,1,1.78690395813419e-13,NA,NA,NA,NA,NA,1,1,1,1,1,1,hits_per_16_species,OG0006194,0,2,3,13
1,1,1,1,1,1,NA,1,NA,1,1,0.438119436921372,NA,NA,NA,NA,1,1,1,1,0.188298752165132,1,hits_per_16_species,OG0006198,0,0,2,14
0.604852528748162,1,1,NA,NA,1,1,1,1,1,1,0.945877199627243,NA,NA,NA,NA,0.148728528318034,1,1,1,1,1,hits_per_16_species,OG0006200,0,0,3,13
1,1,1,1,1,1,1,1,1,0.403577068545794,1,NA,NA,NA,NA,NA,1,1,1,1,NA,0.57747398124117,hits_per_16_species,OG0006203,0,0,3,13
1,1,1,1,1,1,1,1,1,NA,NA,1,1,NA,NA,NA,1,NA,1,1,1,1,hits_per_16_species,OG0006225,0,0,4,12
1,NA,7.17885793577455e-06,0.353131957555092,0.657945400858384,0.586681501125704,1,0.713945254206389,1,1,1,NA,1,NA,NA,NA,NA,1,1,0.050028999018132,1,0.606832436051829,hits_per_16_species,OG0006227,1,0,4,12
1,NA,1,1,1,0.222397943333401,1,1,0.0264525029040175,1,2.32447860959439e-09,NA,NA,NA,NA,0.620040759855909,1,1,1,NA,0.718600177078765,1,hits_per_16_species,OG0006228,1,1,4,12
0.681781410328577,NA,NA,1,1,0.414839890689936,0.000173142267281268,1,0.329208557613487,1,0.0328135090533074,NA,NA,1,1,1,0.0232440537475616,1,1,0,NA,NA,hits_per_16_species,OG0006234,0,4,4,12
0.198092587371754,1,1,1,NA,1,0.337494973316946,0.339549966075002,NA,1,1,NA,NA,NA,1,NA,1,0.348268679581325,1,1,0.045096719682667,1,hits_per_16_species,OG0006235,0,1,2,14
1,1,1,1,1,1,1,0.00392042834064488,1,1,NA,NA,NA,NA,NA,NA,1,1,1,1,0.863975982060301,1,hits_per_16_species,OG0006237,0,1,3,13
1,NA,1,1,NA,0.356580902158801,1,1,1,1,1,1,NA,NA,NA,NA,1,1,1,1,1,1,hits_per_16_species,OG0006246,0,0,3,13
1,1,1,1,1,0.00395733974874019,1,1,NA,0.179422723347375,NA,1,NA,NA,NA,NA,1,0.26014116355638,1,1,0.597923059087643,1,hits_per_16_species,OG0006247,0,1,2,14
1,NA,0.00103018044758507,1,NA,1,0.505616518152493,1,1,1,1,NA,1,NA,NA,NA,1,1,1,0.828804355348149,1,1,hits_per_16_species,OG0006255,1,0,4,12
NA,0.230734254216682,1,1,1,0.160269271360564,1,0.0279458183058779,1,1,1,1,NA,NA,NA,NA,0.0143854007382922,1,1,NA,0.514796747396194,0.000941203268553514,hits_per_16_species,OG0006256,0,3,3,13
1,1,1,1,0.118119343331361,1,1,1,1,1,0.0134010732773605,1,NA,NA,NA,NA,NA,1,1,NA,0.188501136499097,1,hits_per_16_species,OG0006271,0,1,3,13
1,NA,NA,1,1,0.637898651217378,1,1,1,1,1,1,NA,NA,NA,NA,0.434531016504996,0.000174573002062195,1,1,1,1,hits_per_16_species,OG0006287,0,1,2,14
1,1,1,1,1,NA,8.4117215615187e-07,0.0139366755449286,1,1,NA,0.581895777626822,1,NA,NA,NA,0.0572615039598728,NA,1,0.026103856927946,1,0.000478738485235331,hits_per_16_species,OG0006299,0,4,4,12
1,0.00156317326990391,1,1,NA,1,1,1,1,1,1,1,NA,NA,NA,NA,1,1,NA,1,1,1,hits_per_16_species,OG0006307,0,1,2,14
0.561610923047963,NA,1,1,NA,1,1,1,0.00428084454864297,1,0.125464895430992,1,NA,NA,1,NA,0.122574026385932,1,1,1,NA,1,hits_per_16_species,OG0006312,1,0,3,13
1,0.000811674047323074,1,1,1,0.284221055764225,0.0327185414082118,1,NA,1,1,NA,NA,NA,NA,NA,0.0325292342013597,1,0.75723331260374,1,1,0.00170865684604593,hits_per_16_species,OG0006313,0,4,2,14
1,1,1,1,NA,NA,1,1,1,1,1,NA,NA,NA,1,NA,1,1,0.445602046969999,4.65658317461148e-09,1,1,hits_per_16_species,OG0006314,0,1,3,13
1,NA,1,1,1,1,1,1,NA,1,1,NA,0.055386615080206,NA,NA,NA,1,1,0,1,1,1,hits_per_16_species,OG0006318,1,0,3,13
1,1,1,1,NA,0.712960914809854,1,1,0.497844021750321,1,0.790412688499208,NA,1,NA,NA,NA,1,1,NA,0.737153725968957,1,1,hits_per_16_species,OG0006320,0,0,3,13
1,1,1,1,NA,1,1,0.423066420714583,1,1,1,NA,NA,NA,NA,NA,1,1,1,1,1,0.343002422846982,hits_per_16_species,OG0006325,0,0,3,13
1,1,NA,NA,1,1,1,0.121352349711537,NA,1,1,0.261893383834909,0.883863614462231,NA,NA,NA,1,0.0164793109832509,1,1.14146458951581e-09,0.891911530831909,1,hits_per_16_species,OG0006330,0,2,2,14
NA,1,1,1,NA,0.000914263434286022,1,0.000382782711234819,0.0321155461514446,1.42438558742297e-06,1,0.381861122675899,NA,NA,NA,NA,1,0.397575059114336,1,1,1,1,hits_per_16_species,OG0006342,1,3,3,13
1,1,1,1,NA,1,1,1,1,1,1,NA,NA,NA,NA,NA,1,1,1,1,1,1,hits_per_16_species,OG0006344,0,0,3,13
1,1,1,1,NA,1,1,1,1,1,NA,1,1,NA,NA,NA,1,0.281281243558791,1,1,1,NA,hits_per_16_species,OG0006402,0,0,4,12
1,NA,NA,0.0688845479467995,1,1,1,0.794945707792214,1,1,1,NA,1,NA,NA,NA,1,1,0.153116571503617,1,1,1,hits_per_16_species,OG0006405,0,0,3,13
NA,1,1,1,NA,1,1,1,1,1,1,0.00865252152725304,NA,0.0559682811696654,NA,NA,1,1,1,1,0.864051400284345,NA,hits_per_16_species,OG0006407,0,1,4,12
NA,0.290142633602165,NA,NA,1,0.0141646160889952,1,1,1,1,1,1,1,NA,NA,NA,2.06478670141674e-05,1,6.68076705068188e-13,1,0.0126588723709009,1.2433331519901e-07,hits_per_16_species,OG0006408,1,4,3,13
0.360655159563874,NA,0.394999179351369,1,1,0.75379691923206,1,1,1,1,1,NA,NA,NA,NA,NA,1,1,1,0.945535201123932,1,1,hits_per_16_species,OG0006410,0,0,3,13
NA,1,NA,NA,1,0.415366656194561,1,1,1,1,1,1,0,NA,NA,NA,1,1,1,1,1,1,hits_per_16_species,OG0006414,1,0,3,13
1,1,1,1,1,1,1,1,NA,1,NA,NA,1,NA,NA,0.770465603244472,1,1,0.0974805405238294,NA,1,1,hits_per_16_species,OG0006421,0,0,4,12
1,1,1,1,NA,1,NA,1,1,1,1,1,1,NA,1,NA,1,1,1,1,NA,NA,hits_per_16_species,OG0006427,0,0,4,12
1,NA,1,1,NA,1,1,1,1,1,1,1,1,NA,NA,NA,NA,1,1,1,1,1,hits_per_16_species,OG0006436,0,0,4,12
3.48429114043203e-05,NA,0.384191581046295,1,1,0.000201060813452558,0.000380238890953621,NA,0.639485845173096,0.174123202502855,NA,0.221577254623729,NA,0.0132199955644752,NA,0.00476077344713355,0.468539700654297,1,1,NA,0.174722275714357,0.0429626259387861,hits_per_16_species,OG0006438,2,4,5,11
1,1,1,1,NA,1,0.000495904547239356,9.89605827637074e-05,2.72077863123221e-05,0.973997532867465,1,1,NA,NA,NA,NA,1,0.944121821796379,1,1,NA,1,hits_per_16_species,OG0006442,1,2,3,13
1,0.0213318139263301,1,1,NA,1,0.400753040803681,1,1,1,1,NA,1.13449856176118e-08,NA,NA,NA,NA,1,0.0776316826842419,1,1,1,hits_per_16_species,OG0006444,1,1,4,12
1,0.162953563734584,1,1,NA,1,NA,1,1,1,1,NA,0.00435919103258003,NA,NA,NA,1,1,1,0,0.0213352512467766,1,hits_per_16_species,OG0006445,1,2,4,12
1,NA,1,1,1,0.0133212085654644,0.112796008525558,1,1,1,1,NA,NA,NA,NA,NA,0.00149269596543544,1,1.7994605805427e-11,1,1,1,hits_per_16_species,OG0006450,1,2,3,13
0.629209459164757,1,NA,NA,NA,1,0.549266047368171,1,1,1,0.319251507807627,1,6.92224055853785e-14,NA,NA,NA,1,1,0.0729518648835459,1,1,0.475271761101714,hits_per_16_species,OG0006452,1,0,3,13
NA,1,1,1,0.353940005368613,0.00470580321578562,NA,1,1,1,1,1,NA,NA,NA,NA,1,1,1,1,0.418980956431397,1,hits_per_16_species,OG0006453,0,1,3,13
1,0.906217559612416,1,0,1,0.0014337342891283,1,0.104245973395699,1,1,NA,NA,0.00200562391552173,NA,NA,NA,0.0119429165585889,0.14359877691545,1,NA,1,1,hits_per_16_species,OG0006454,1,3,4,12
0.083749170314517,1,1,1,NA,1,1,1,1,1,1,1,NA,NA,NA,NA,1,1,1,1,1,NA,hits_per_16_species,OG0006458,0,0,3,13
1,1,1,1,NA,1,1,NA,1,1,1,NA,1,NA,NA,NA,1,1,1,0.560434265243037,1,1,hits_per_16_species,OG0006470,0,0,4,12
2.40952744423595e-06,1,1,0.000586649471658873,1,0.000261688393662418,0.0455404097142109,0.00239978385443235,NA,1.39175986735296e-07,0.115198217393683,0.20624620464624,0.212231555587757,NA,NA,NA,0.179453485586899,8.74273872435438e-05,NA,NA,0.0991851288498161,0.000213130729795341,hits_per_16_species,OG0006474,0,8,2,14
