OG_ID,analysis_absrel,analysis_paml,analysis_relax_intens,analysis_cafe_expanded,analysis_relax_relaxed,analysis_cafe_contr,condition_pigmentation,condition_eyes,gene_symbol,count_NA,count_sel
OG0005341,NA,PAML,intensified,NA,NA,NA,NA,NA,PTPRQ,3,3
OG0005648,NA,PAML,intensified,NA,NA,NA,NA,NA,ZBTB46,3,3
OG0006264,NA,PAML,intensified,NA,NA,NA,NA,NA,DNHD1,3,3
OG0006296,NA,PAML,intensified,NA,NA,NA,NA,NA,CUBN,3,3
OG0006303,NA,PAML,intensified,NA,NA,NA,NA,NA,SORCS2,3,3
OG0006444,NA,PAML,intensified,NA,NA,NA,NA,NA,SREK1,3,3
OG0007056,NA,PAML,intensified,NA,NA,NA,NA,NA,COL22A1,3,3
OG0007194,NA,PAML,intensified,NA,NA,NA,NA,NA,CCDC178,3,3
OG0007352,NA,PAML,intensified,NA,NA,NA,NA,NA,PRMT7,3,3
OG0007530,NA,PAML,intensified,NA,NA,NA,NA,NA,GAB3,3,3
OG0007721,NA,PAML,intensified,NA,NA,NA,NA,NA,RAVER2,3,3
OG0007848,NA,PAML,intensified,NA,NA,NA,NA,NA,TCTN1,3,3
OG0007884,NA,PAML,intensified,NA,NA,NA,NA,NA,ANKRD24,3,3
OG0008201,NA,PAML,intensified,NA,NA,NA,NA,NA,SPATA5,3,3
OG0008334,NA,PAML,intensified,NA,NA,NA,NA,NA,RTDR1,3,3
OG0008352,NA,PAML,intensified,NA,NA,NA,NA,NA,MMP23B,3,3
OG0008435,NA,PAML,intensified,NA,NA,NA,NA,NA,MECP2,3,3
OG0008507,NA,PAML,intensified,NA,NA,NA,NA,NA,SUSD5,3,3
OG0008512,NA,PAML,intensified,NA,NA,NA,NA,NA,FLII,3,3
OG0008584,NA,PAML,intensified,NA,NA,NA,NA,NA,C8orf34,3,3
OG0008589,NA,PAML,intensified,NA,NA,NA,NA,NA,STAU2,3,3
OG0008651,NA,PAML,intensified,NA,NA,NA,NA,NA,RHBDL2,3,3
OG0008717,NA,PAML,intensified,NA,NA,NA,NA,NA,COL9A3,3,3
OG0008828,NA,PAML,intensified,NA,NA,NA,NA,NA,IGF1,3,3
OG0008935,NA,PAML,intensified,NA,NA,NA,NA,NA,EXOC2,3,3
OG0009084,NA,PAML,intensified,NA,NA,NA,NA,NA,XRCC6,3,3
OG0009139,NA,PAML,intensified,NA,NA,NA,NA,NA,SLC46A1,3,3
OG0009216,NA,PAML,intensified,NA,NA,NA,NA,NA,UBE3D,3,3
OG0009273,NA,PAML,intensified,NA,NA,NA,NA,NA,ECSIT,3,3
OG0009379,NA,PAML,intensified,NA,NA,NA,NA,NA,TRPT1,3,3
OG0009412,NA,PAML,intensified,NA,NA,NA,NA,NA,RFX4,3,3
OG0009493,NA,PAML,intensified,NA,NA,NA,NA,NA,LAMB3,3,3
OG0009794,NA,PAML,intensified,NA,NA,NA,NA,NA,DDX54,3,3
OG0009829,NA,PAML,intensified,NA,NA,NA,NA,NA,GMIP,3,3
OG0010112,NA,PAML,intensified,NA,NA,NA,NA,NA,RNF219,3,3
OG0010268,NA,PAML,intensified,NA,NA,NA,NA,NA,HYOU1,3,3
OG0010302,NA,PAML,intensified,NA,NA,NA,NA,NA,RNF8,3,3
OG0010486,NA,PAML,intensified,NA,NA,NA,NA,NA,SPCS2,3,3
OG0010550,NA,PAML,intensified,NA,NA,NA,NA,NA,AFF3,3,3
OG0010680,NA,PAML,intensified,NA,NA,NA,NA,NA,SYT16,3,3
OG0010734,NA,PAML,intensified,NA,NA,NA,NA,NA,CYP2U1,3,3
OG0010897,NA,PAML,intensified,NA,NA,NA,NA,NA,CCDC66,3,3
OG0011140,NA,PAML,intensified,NA,NA,NA,NA,NA,GUSB,3,3
OG0011167,NA,PAML,intensified,NA,NA,NA,NA,NA,NA,3,3
OG0011172,NA,PAML,intensified,NA,NA,NA,NA,NA,CTNNAL1,3,3
OG0011289,NA,PAML,intensified,NA,NA,NA,NA,NA,IGSF10,3,3
OG0011387,NA,PAML,intensified,NA,NA,NA,NA,NA,C1orf159,3,3
OG0011467,NA,PAML,intensified,NA,NA,NA,NA,NA,DUS3L,3,3
OG0011483,NA,PAML,intensified,NA,NA,NA,NA,NA,CNNM3,3,3
OG0011510,NA,PAML,intensified,NA,NA,NA,NA,NA,ASPSCR1,3,3
OG0011534,NA,PAML,intensified,NA,NA,NA,NA,NA,IMMP1L,3,3
OG0011676,NA,PAML,intensified,NA,NA,NA,NA,NA,TRIM45,3,3
OG0011680,NA,PAML,intensified,NA,NA,NA,NA,NA,COMMD6,3,3
OG0011701,NA,PAML,intensified,NA,NA,NA,NA,NA,CYP7B1,3,3
OG0011722,NA,PAML,intensified,NA,NA,NA,NA,eyeloss,EFNA4,3,3
OG0011769,NA,PAML,intensified,NA,NA,NA,NA,NA,FAM73A,3,3
OG0011840,NA,PAML,intensified,NA,NA,NA,NA,NA,EFCAB6,3,3
OG0011898,NA,PAML,intensified,NA,NA,NA,NA,NA,WDR1,3,3
OG0011995,NA,PAML,intensified,NA,NA,NA,NA,NA,ID4,3,3
OG0012316,NA,PAML,intensified,NA,NA,NA,NA,NA,ZFP64,3,3
OG0012551,NA,PAML,intensified,NA,NA,NA,NA,NA,XRCC2,3,3
OG0012622,NA,PAML,intensified,NA,NA,NA,NA,NA,METTL15,3,3
OG0012635,NA,PAML,intensified,NA,NA,NA,NA,NA,CENPU,3,3
OG0012692,NA,PAML,intensified,NA,NA,NA,NA,NA,TMEM43,3,3
OG0012702,NA,PAML,intensified,NA,NA,NA,NA,NA,ARFGAP1,3,3
OG0012750,NA,PAML,intensified,NA,NA,NA,NA,NA,FHIT,3,3
OG0012942,NA,PAML,intensified,NA,NA,NA,NA,NA,LRRC36,3,3
OG0013004,NA,PAML,intensified,NA,NA,NA,NA,NA,NA,3,3
OG0013080,NA,PAML,intensified,NA,NA,NA,NA,NA,CHMP1A,3,3
OG0013109,NA,PAML,intensified,NA,NA,NA,NA,NA,RBBP8,3,3
OG0013116,NA,PAML,intensified,NA,NA,NA,NA,NA,THEM5,3,3
OG0013140,NA,PAML,intensified,NA,NA,NA,pigmentation,NA,TYMS,3,3
OG0013148,NA,PAML,intensified,NA,NA,NA,NA,NA,LRRC27,3,3
OG0013164,NA,PAML,intensified,NA,NA,NA,NA,NA,LONP2,3,3
OG0013399,NA,PAML,intensified,NA,NA,NA,NA,NA,KIAA2026,3,3
OG0013410,NA,PAML,intensified,NA,NA,NA,NA,NA,EPM2A,3,3
OG0013424,NA,PAML,intensified,NA,NA,NA,NA,NA,TAB1,3,3
OG0013464,NA,PAML,intensified,NA,NA,NA,NA,NA,SLC25A21,3,3
OG0013715,NA,PAML,intensified,NA,NA,NA,NA,NA,CENPM,3,3
OG0013770,NA,PAML,intensified,NA,NA,NA,NA,NA,ACP7,3,3
OG0013776,NA,PAML,intensified,NA,NA,NA,NA,NA,MRPL33,3,3
OG0014106,NA,PAML,intensified,NA,NA,NA,NA,NA,PARK2,3,3
OG0014494,NA,PAML,intensified,NA,NA,NA,NA,NA,KLF1,3,3
OG0002470,NA,PAML,NA,NA,relaxed,NA,NA,NA,AADACL4,3,3
OG0005083,NA,PAML,NA,NA,NA,NA,NA,NA,PIBF1,4,2
OG0005229,NA,PAML,NA,NA,NA,NA,NA,NA,SRRM3,4,2
OG0005492,NA,PAML,NA,NA,NA,NA,NA,NA,CTAGE5,4,2
OG0005610,NA,PAML,NA,NA,NA,NA,NA,NA,SEH1L,4,2
OG0005846,NA,PAML,NA,NA,NA,NA,NA,NA,CDH26,4,2
OG0005910,NA,PAML,NA,NA,relaxed,NA,NA,NA,NEMF,3,3
OG0005911,NA,PAML,NA,NA,NA,NA,NA,NA,RPAP1,4,2
OG0005954,NA,PAML,NA,NA,NA,NA,NA,eyeloss,VOPP1,4,2
OG0005976,NA,PAML,NA,NA,relaxed,NA,NA,NA,TACC2,3,3
OG0005990,NA,PAML,NA,NA,NA,NA,NA,NA,LUZP2,4,2
OG0006089,NA,PAML,NA,NA,relaxed,NA,NA,NA,YTHDC2,3,3
OG0006207,NA,PAML,NA,NA,NA,NA,NA,NA,TPTE2,4,2
OG0006333,NA,PAML,NA,NA,relaxed,NA,NA,NA,CFAP206,3,3
OG0006336,NA,PAML,NA,NA,NA,NA,NA,NA,CDHR2,4,2
OG0006452,NA,PAML,NA,NA,relaxed,NA,pigmentation,NA,EDA,3,3
OG0006466,NA,PAML,NA,NA,NA,NA,pigmentation,NA,TET3,4,2
OG0006468,NA,PAML,NA,NA,NA,NA,NA,NA,DDX31,4,2
OG0006476,NA,PAML,NA,NA,relaxed,NA,NA,NA,HECTD4,3,3
OG0006580,NA,PAML,NA,NA,relaxed,NA,NA,NA,SCAF11,3,3
OG0006619,NA,PAML,NA,NA,NA,NA,NA,NA,RPS15,4,2
OG0006645,NA,PAML,NA,NA,relaxed,NA,NA,NA,AFAP1,3,3
OG0006686,NA,PAML,NA,NA,NA,NA,NA,NA,DRC1,4,2
OG0006703,NA,PAML,NA,NA,NA,NA,NA,NA,NOL7,4,2
OG0006737,NA,PAML,NA,NA,NA,NA,NA,NA,KIFC3,4,2
OG0006740,NA,PAML,NA,NA,NA,NA,NA,NA,C2CD5,4,2
OG0006742,NA,PAML,NA,NA,relaxed,NA,NA,NA,ADGB,3,3
OG0006842,NA,PAML,NA,NA,relaxed,NA,NA,NA,PPAT,3,3
OG0006876,NA,PAML,NA,NA,relaxed,NA,NA,NA,CASR,3,3
OG0006910,NA,PAML,NA,NA,NA,NA,NA,NA,VSIG10,4,2
OG0006940,NA,PAML,NA,NA,NA,NA,NA,NA,RTTN,4,2
OG0006942,NA,PAML,NA,NA,NA,NA,NA,NA,EPB41L4B,4,2
OG0006973,NA,PAML,NA,NA,relaxed,NA,NA,NA,WIPF3,3,3
OG0006983,NA,PAML,NA,NA,NA,NA,NA,NA,HAUS8,4,2
OG0006984,NA,PAML,NA,NA,NA,NA,NA,NA,SLC2A4RG,4,2
OG0006986,NA,PAML,NA,NA,NA,NA,pigmentation,NA,CORIN,4,2
OG0006987,NA,PAML,NA,NA,NA,NA,NA,NA,PLEKHG1,4,2
OG0007033,NA,PAML,NA,NA,relaxed,NA,NA,NA,WIPF1,3,3
OG0007050,NA,PAML,NA,NA,NA,NA,NA,NA,PSMA4,4,2
OG0007055,NA,PAML,NA,NA,NA,NA,NA,NA,GTF2H1,4,2
OG0007057,NA,PAML,NA,NA,relaxed,NA,pigmentation,NA,TERT,3,3
OG0007095,NA,PAML,NA,NA,NA,NA,NA,NA,POLRMT,4,2
OG0007113,NA,PAML,NA,NA,NA,NA,NA,NA,PACRG,4,2
OG0007115,NA,PAML,NA,NA,relaxed,NA,NA,NA,FANCM,3,3
OG0007116,NA,PAML,NA,NA,relaxed,NA,NA,NA,MIS18BP1,3,3
OG0007153,NA,PAML,NA,NA,NA,NA,NA,NA,CEP164,4,2
OG0007155,NA,PAML,NA,NA,NA,NA,NA,NA,NOX4,4,2
OG0007162,NA,PAML,NA,NA,NA,NA,NA,NA,KIAA0753,4,2
OG0007206,NA,PAML,NA,NA,relaxed,NA,NA,NA,NES,3,3
OG0007208,NA,PAML,NA,NA,NA,NA,NA,NA,DCST2,4,2
OG0007217,NA,PAML,NA,NA,NA,NA,NA,NA,GBA2,4,2
OG0007221,NA,PAML,NA,NA,NA,NA,NA,NA,SH3TC1,4,2
OG0007247,NA,PAML,NA,NA,NA,NA,NA,NA,STOX1,4,2
OG0007286,NA,PAML,NA,NA,NA,NA,NA,NA,ARNTL2,4,2
OG0007298,NA,PAML,NA,NA,relaxed,NA,NA,NA,SWT1,3,3
OG0007314,NA,PAML,NA,NA,NA,NA,NA,NA,LRRC48,4,2
OG0007315,NA,PAML,NA,NA,relaxed,NA,NA,NA,RAI1,3,3
OG0007319,NA,PAML,NA,NA,NA,NA,NA,NA,CNTNAP1,4,2
OG0007346,NA,PAML,NA,NA,NA,NA,NA,NA,MRPL18,4,2
OG0007351,NA,PAML,NA,NA,NA,NA,pigmentation,eyeloss,CEP290,4,2
OG0007410,NA,PAML,NA,NA,relaxed,NA,NA,NA,CEP78,3,3
OG0007466,NA,PAML,NA,NA,relaxed,NA,NA,NA,FRMD4A,3,3
OG0007476,NA,PAML,NA,NA,NA,NA,NA,NA,CCDC64,4,2
OG0007500,NA,PAML,NA,NA,NA,NA,NA,NA,ERICH3,4,2
OG0007525,NA,PAML,NA,NA,NA,NA,NA,NA,CLIP2,4,2
OG0007559,NA,PAML,NA,NA,NA,NA,NA,NA,SRRM4,4,2
OG0007570,NA,PAML,NA,NA,relaxed,NA,NA,NA,CNTRL,3,3
OG0007642,NA,PAML,NA,NA,NA,NA,NA,NA,SHROOM3,4,2
OG0007652,NA,PAML,NA,NA,relaxed,NA,NA,NA,PWWP2A,3,3
OG0007656,NA,PAML,NA,NA,NA,NA,pigmentation,NA,SUPT6H,4,2
OG0007682,NA,PAML,NA,NA,NA,NA,NA,NA,UBR4,4,2
OG0007691,NA,PAML,NA,NA,NA,NA,NA,NA,NFXL1,4,2
OG0007705,NA,PAML,NA,NA,NA,NA,NA,NA,NCOA5,4,2
OG0007722,NA,PAML,NA,NA,NA,NA,NA,NA,CACHD1,4,2
OG0007730,NA,PAML,NA,NA,NA,NA,NA,NA,RSPH9,4,2
OG0007741,NA,PAML,NA,NA,NA,NA,NA,NA,FBXO18,4,2
OG0007748,NA,PAML,NA,NA,NA,NA,NA,NA,GOLGB1,4,2
OG0007771,NA,PAML,NA,NA,relaxed,NA,NA,NA,PHF14,3,3
OG0007783,NA,PAML,NA,NA,NA,NA,NA,NA,ANKS1B,4,2
OG0007792,NA,PAML,NA,NA,relaxed,NA,NA,NA,HMGXB3,3,3
OG0007817,NA,PAML,NA,NA,relaxed,NA,NA,eyeloss,DCP2,3,3
OG0007881,NA,PAML,NA,NA,NA,NA,NA,NA,MED16,4,2
OG0007922,NA,PAML,NA,NA,relaxed,NA,NA,NA,BIRC6,3,3
OG0007926,NA,PAML,NA,NA,NA,NA,NA,NA,POLR2A,4,2
OG0007956,NA,PAML,NA,NA,NA,NA,NA,NA,HSPA9,4,2
OG0007998,NA,PAML,NA,NA,relaxed,NA,NA,NA,LRCH1,3,3
OG0008000,NA,PAML,NA,NA,NA,NA,NA,NA,GCC2,4,2
OG0008031,NA,PAML,NA,NA,NA,NA,NA,NA,POPDC2,4,2
OG0008087,NA,PAML,NA,NA,relaxed,NA,NA,NA,KLHL6,3,3
OG0008091,NA,PAML,NA,NA,NA,NA,NA,NA,RIPK2,4,2
OG0008102,NA,PAML,NA,NA,NA,NA,NA,NA,TRIP11,4,2
OG0008110,NA,PAML,NA,NA,NA,NA,NA,NA,TJAP1,4,2
OG0008144,NA,PAML,NA,NA,NA,NA,pigmentation,NA,FTO,4,2
OG0008149,NA,PAML,NA,NA,NA,NA,NA,NA,UACA,4,2
OG0008153,NA,PAML,NA,NA,NA,NA,NA,NA,FA2H,4,2
OG0008158,NA,PAML,NA,NA,NA,NA,NA,NA,PCDH11X,4,2
OG0008164,NA,PAML,NA,NA,relaxed,NA,NA,NA,ENPP6,3,3
OG0008191,NA,PAML,NA,NA,NA,NA,NA,NA,DDB1,4,2
OG0008209,NA,PAML,NA,NA,NA,NA,NA,NA,TTC18,4,2
OG0008244,NA,PAML,NA,NA,NA,NA,NA,NA,CASS4,4,2
OG0008251,NA,PAML,NA,NA,NA,NA,pigmentation,NA,SLC7A5,4,2
OG0008304,NA,PAML,NA,NA,NA,NA,pigmentation,NA,HSD3B1,4,2
OG0008393,NA,PAML,NA,NA,NA,NA,NA,NA,N4BP2,4,2
OG0008396,NA,PAML,NA,NA,NA,NA,NA,NA,PRSS12,4,2
OG0008404,NA,PAML,NA,NA,NA,NA,NA,NA,KIAA0355,4,2
OG0008434,NA,PAML,NA,NA,relaxed,NA,NA,NA,FAM208B,3,3
OG0008439,NA,PAML,NA,NA,NA,NA,NA,NA,NEXN,4,2
OG0008448,NA,PAML,NA,NA,NA,NA,NA,NA,DDRGK1,4,2
OG0008464,NA,PAML,NA,NA,NA,NA,NA,NA,SPECC1,4,2
OG0008499,NA,PAML,NA,NA,NA,NA,NA,NA,TRIT1,4,2
OG0008514,NA,PAML,NA,NA,NA,NA,NA,NA,CLSPN,4,2
OG0008519,NA,PAML,NA,NA,relaxed,NA,NA,NA,KAT6A,3,3
OG0008543,NA,PAML,NA,NA,relaxed,NA,NA,eyeloss,POMT1,3,3
OG0008564,NA,PAML,NA,NA,NA,NA,NA,NA,CASC5,4,2
OG0008586,NA,PAML,NA,NA,NA,NA,NA,NA,BOC,4,2
OG0008625,NA,PAML,NA,NA,NA,NA,NA,NA,XRN1,4,2
OG0008633,NA,PAML,NA,NA,NA,NA,NA,NA,SIRT6,4,2
OG0008644,NA,PAML,NA,NA,NA,NA,NA,NA,SMC4,4,2
OG0008655,NA,PAML,NA,NA,relaxed,NA,NA,NA,C9orf114,3,3
OG0008663,NA,PAML,NA,NA,NA,NA,NA,NA,GTF3C4,4,2
OG0008693,NA,PAML,NA,NA,NA,NA,NA,NA,RAI14,4,2
OG0008715,NA,PAML,NA,NA,NA,NA,NA,eyeloss,NCOA6,4,2
OG0008738,NA,PAML,NA,NA,relaxed,NA,NA,NA,TFIP11,3,3
OG0008761,NA,PAML,NA,NA,relaxed,NA,NA,NA,FAM50A,3,3
OG0008767,NA,PAML,NA,NA,relaxed,NA,NA,NA,PCDH9,3,3
OG0008777,NA,PAML,NA,NA,NA,NA,pigmentation,eyeloss,DCTN2,4,2
OG0008789,NA,PAML,NA,NA,relaxed,NA,NA,NA,TBC1D23,3,3
OG0008798,NA,PAML,NA,NA,NA,NA,NA,NA,EPS8,4,2
OG0008816,NA,PAML,NA,NA,NA,NA,NA,NA,PODXL,4,2
OG0008842,NA,PAML,NA,NA,NA,NA,NA,NA,RPTOR,4,2
OG0008845,NA,PAML,NA,NA,relaxed,NA,NA,NA,STX8,3,3
OG0008879,NA,PAML,NA,NA,NA,NA,NA,eyeloss,USH1C,4,2
OG0008906,NA,PAML,NA,NA,NA,NA,NA,NA,SIGMAR1,4,2
OG0008907,NA,PAML,NA,NA,relaxed,NA,NA,NA,CNTFR,3,3
OG0008937,NA,PAML,NA,NA,NA,NA,NA,eyeloss,FGFR1OP,4,2
OG0008964,NA,PAML,NA,NA,NA,NA,NA,NA,OGFOD1,4,2
OG0008966,NA,PAML,NA,NA,NA,NA,NA,NA,KARS,4,2
OG0008992,NA,PAML,NA,NA,NA,NA,NA,NA,PRAM1,4,2
OG0009048,NA,PAML,NA,NA,NA,NA,NA,NA,CDC5L,4,2
OG0009071,NA,PAML,NA,NA,relaxed,NA,NA,NA,POLR3A,3,3
OG0009087,NA,PAML,NA,NA,NA,NA,NA,NA,MEIOB,4,2
OG0009099,NA,PAML,NA,NA,NA,NA,NA,NA,NT5M,4,2
OG0009121,NA,PAML,NA,NA,NA,NA,NA,NA,SIK3,4,2
OG0009134,NA,PAML,NA,NA,NA,NA,NA,NA,RNF169,4,2
OG0009162,NA,PAML,NA,NA,relaxed,NA,NA,NA,SYTL5,3,3
OG0009173,NA,PAML,NA,NA,relaxed,NA,NA,NA,GPR1,3,3
OG0009190,NA,PAML,NA,NA,relaxed,NA,pigmentation,NA,PIKFYVE,3,3
OG0009194,NA,PAML,NA,NA,relaxed,NA,NA,NA,MPRIP,3,3
OG0009242,NA,PAML,NA,NA,NA,NA,NA,NA,RASIP1,4,2
OG0009274,NA,PAML,NA,NA,relaxed,NA,NA,NA,SEC62,3,3
OG0009297,NA,PAML,NA,NA,relaxed,NA,NA,NA,PDE10A,3,3
OG0009329,NA,PAML,NA,NA,NA,NA,NA,NA,GALM,4,2
OG0009346,NA,PAML,NA,NA,NA,NA,NA,NA,RUFY2,4,2
OG0009376,NA,PAML,NA,NA,NA,NA,NA,NA,BEND4,4,2
OG0009388,NA,PAML,NA,NA,relaxed,NA,NA,NA,FNTA,3,3
OG0009406,NA,PAML,NA,NA,NA,NA,NA,NA,PPCDC,4,2
OG0009417,NA,PAML,NA,NA,NA,NA,NA,NA,C19orf47,4,2
OG0009418,NA,PAML,NA,NA,NA,NA,NA,NA,CLASRP,4,2
OG0009444,NA,PAML,NA,NA,NA,NA,NA,NA,CD164,4,2
OG0009449,NA,PAML,NA,NA,relaxed,NA,NA,NA,HEATR2,3,3
OG0009472,NA,PAML,NA,NA,NA,NA,NA,NA,ASB16,4,2
OG0009494,NA,PAML,NA,NA,NA,NA,NA,NA,ELF3,4,2
OG0009495,NA,PAML,NA,NA,relaxed,NA,NA,NA,BYSL,3,3
OG0009519,NA,PAML,NA,NA,relaxed,NA,NA,NA,IL17RD,3,3
OG0009528,NA,PAML,NA,NA,relaxed,NA,NA,NA,IPO9,3,3
OG0009688,NA,PAML,NA,NA,relaxed,NA,NA,NA,ELP3,3,3
OG0009691,NA,PAML,NA,NA,NA,NA,NA,NA,SMPDL3A,4,2
OG0009703,NA,PAML,NA,NA,NA,NA,NA,NA,MAP9,4,2
OG0009726,NA,PAML,NA,NA,NA,NA,NA,NA,MAPK8IP2,4,2
OG0009740,NA,PAML,NA,NA,NA,NA,NA,NA,CUX2,4,2
OG0009754,NA,PAML,NA,NA,relaxed,NA,NA,NA,DNTTIP2,3,3
