OG_ID,analysis_absrel,gene_symbol.x,analysis_relaxed_intensified,analysis_paml,analysis_cafe_expanded,gene_symbol.y,analysis_relax_relaxed,analysis_cafe_contracted,gene_symbol
OG0003145,NA,NA,NA,NA,NA,QDPR,relaxed,NA,QDPR
OG0003149,NA,NA,NA,NA,NA,HNRNPC,relaxed,NA,HNRNPC
OG0003184,NA,NA,NA,NA,NA,HPGD,relaxed,NA,HPGD
OG0003190,NA,NA,NA,NA,NA,RELN,relaxed,NA,RELN
OG0003203,NA,NA,NA,NA,NA,RCVRN,relaxed,NA,RCVRN
OG0003217,NA,NA,NA,paml_selected,NA,TMEM68,relaxed,NA,TMEM68
OG0003239,NA,XPO5,intensified,paml_selected,NA,NA,NA,NA,XPO5
OG0003276,NA,NA,NA,paml_selected,NA,NA,NA,NA,LRAT
OG0003303,NA,NA,NA,paml_selected,NA,NA,NA,NA,CEP350
OG0003318,NA,NA,NA,paml_selected,NA,NA,NA,NA,USP42
OG0003326,NA,NA,NA,NA,NA,NXPE3,relaxed,NA,NXPE3
OG0003327,NA,NA,NA,paml_selected,NA,NA,NA,NA,GATA1
OG0003355,NA,NA,NA,NA,NA,NAMPT,relaxed,NA,NAMPT
OG0003376,NA,NA,NA,paml_selected,NA,BSN,relaxed,NA,BSN
OG0003378,NA,NA,NA,NA,NA,CLDN10,relaxed,NA,CLDN10
OG0003381,NA,NA,NA,NA,NA,GIN1,relaxed,NA,GIN1
OG0003389,NA,NA,NA,NA,NA,RPS18,relaxed,NA,RPS18
OG0003415,NA,NA,NA,NA,NA,ZBTB38,relaxed,NA,ZBTB38
OG0003417,NA,USP54,intensified,paml_selected,NA,NA,NA,NA,USP54
OG0003427,NA,NA,NA,paml_selected,NA,NEFM,relaxed,NA,NEFM
OG0003439,NA,NA,NA,NA,NA,B3GALT2,relaxed,NA,B3GALT2
OG0003441,NA,NA,NA,paml_selected,NA,SSRP1,relaxed,NA,SSRP1
OG0003444,NA,NA,NA,paml_selected,NA,NA,NA,NA,FANCA
OG0003451,NA,NA,NA,paml_selected,NA,NA,NA,NA,SZT2
OG0003452,NA,NA,NA,NA,NA,AMD1,relaxed,NA,AMD1
OG0003465,NA,NA,NA,NA,NA,HCCS,relaxed,NA,HCCS
OG0003478,NA,NA,NA,paml_selected,NA,FGL2,relaxed,NA,FGL2
OG0003486,NA,NA,NA,NA,NA,IER3,relaxed,NA,IER3
OG0003490,NA,NA,NA,paml_selected,NA,IRF2,relaxed,NA,IRF2
OG0003491,NA,NA,NA,paml_selected,NA,TNRC18,relaxed,NA,TNRC18
OG0003513,NA,NA,NA,paml_selected,NA,NA,NA,NA,ZCCHC2
OG0003516,NA,NA,NA,NA,NA,RPL15,relaxed,NA,RPL15
OG0003525,NA,NA,NA,NA,NA,PPHLN1,relaxed,NA,PPHLN1
OG0003533,NA,NA,NA,NA,NA,TNC,relaxed,NA,TNC
OG0003534,NA,SETD8,intensified,NA,NA,NA,NA,NA,SETD8
OG0003537,NA,NA,NA,NA,NA,TMEM136,relaxed,NA,TMEM136
OG0003538,NA,NA,NA,paml_selected,NA,HNMT,relaxed,NA,HNMT
OG0003546,NA,NA,NA,paml_selected,NA,lcorl,relaxed,NA,lcorl
OG0003549,NA,GUCY2C,intensified,paml_selected,NA,NA,NA,NA,GUCY2C
OG0003554,NA,LUZP2,intensified,NA,NA,NA,NA,NA,LUZP2
OG0003556,NA,NA,NA,NA,NA,WDR26,relaxed,NA,WDR26
OG0003558,NA,NA,NA,paml_selected,NA,NA,NA,NA,CCDC80
OG0003561,NA,NA,NA,paml_selected,NA,NA,NA,NA,E2F6
OG0003564,NA,NA,NA,NA,NA,SCN1B,relaxed,NA,SCN1B
OG0003568,NA,NA,NA,paml_selected,NA,RNF19B,relaxed,NA,RNF19B
OG0003569,NA,NA,NA,NA,NA,PCDH15,relaxed,NA,PCDH15
OG0003571,NA,NA,NA,paml_selected,NA,ANXA1,relaxed,NA,ANXA1
OG0003573,NA,NA,NA,paml_selected,NA,NA,NA,NA,EIF4G2
OG0003576,NA,NA,NA,paml_selected,NA,MORC3,relaxed,NA,MORC3
OG0003579,NA,NA,NA,NA,NA,UBE2K,relaxed,NA,UBE2K
OG0003582,NA,NA,NA,paml_selected,NA,BOK,relaxed,NA,BOK
OG0003588,NA,NA,NA,NA,NA,KLHL10,relaxed,NA,KLHL10
OG0003596,NA,NA,NA,paml_selected,NA,NA,NA,NA,FRMPD1
OG0003599,NA,NA,NA,paml_selected,NA,NA,NA,NA,HOMEZ
OG0003601,NA,NA,NA,paml_selected,NA,NA,NA,NA,CFAP54
OG0003605,NA,NA,NA,paml_selected,NA,NDUFA5,relaxed,NA,NDUFA5
OG0003607,NA,UQCRB,intensified,paml_selected,NA,NA,NA,NA,UQCRB
OG0003608,NA,NA,NA,NA,NA,PSMC1,relaxed,NA,PSMC1
OG0003614,NA,NA,NA,NA,NA,RPL19,relaxed,NA,RPL19
OG0003615,NA,NA,NA,paml_selected,NA,NA,NA,NA,MSH2
OG0003619,NA,NA,NA,paml_selected,NA,TDRD1,relaxed,NA,TDRD1
OG0003620,NA,NA,NA,paml_selected,NA,NA,NA,NA,RAB33B
OG0003622,NA,NA,NA,NA,NA,ASB13,relaxed,NA,ASB13
OG0003623,NA,NA,NA,NA,NA,TTBK1,relaxed,NA,TTBK1
OG0003629,NA,NA,NA,NA,NA,KCNJ1,relaxed,NA,KCNJ1
OG0003631,NA,NA,NA,NA,NA,PRR12,relaxed,NA,PRR12
OG0003632,NA,NA,NA,NA,NA,PSMA2,relaxed,NA,PSMA2
OG0003633,NA,NA,NA,paml_selected,NA,NA,NA,NA,CTDNEP1
OG0003635,NA,NA,NA,NA,NA,CHCHD4,relaxed,NA,CHCHD4
OG0003639,NA,NA,NA,paml_selected,NA,UBN2,relaxed,NA,UBN2
OG0003645,NA,NA,NA,paml_selected,NA,NA,NA,NA,RPRD2
OG0003649,NA,NA,NA,NA,NA,RBM39,relaxed,NA,RBM39
OG0003650,NA,NA,NA,NA,NA,HNRNPL,relaxed,NA,HNRNPL
OG0003660,NA,PPP4R2,intensified,paml_selected,NA,NA,NA,NA,PPP4R2
OG0003664,NA,PFDN4,intensified,NA,NA,NA,NA,NA,PFDN4
OG0003671,NA,NA,NA,NA,NA,WTAP,relaxed,NA,WTAP
OG0003675,NA,NA,NA,NA,NA,NSA2,relaxed,NA,NSA2
OG0003676,NA,NA,NA,NA,expanded,NA,NA,NA,MAD2L1
OG0003680,NA,NA,NA,NA,NA,ETF1,relaxed,NA,ETF1
OG0003690,NA,NA,NA,paml_selected,NA,RACGAP1,relaxed,NA,RACGAP1
OG0003692,NA,NA,NA,NA,NA,SUCO,relaxed,NA,SUCO
OG0003696,NA,CASP6,intensified,paml_selected,NA,NA,NA,NA,CASP6
OG0003697,NA,NA,NA,NA,NA,KCNMA1,relaxed,NA,KCNMA1
OG0003699,NA,ABI3BP,intensified,paml_selected,NA,NA,NA,NA,ABI3BP
OG0003700,NA,NA,NA,NA,NA,ARHGEF10L,relaxed,NA,ARHGEF10L
OG0003704,NA,NA,NA,NA,NA,SORT1,relaxed,NA,SORT1
OG0003710,NA,NA,NA,paml_selected,NA,C10orf12,relaxed,NA,C10orf12
OG0003714,NA,NA,NA,paml_selected,NA,USP19,relaxed,NA,USP19
OG0003715,NA,NA,NA,paml_selected,NA,BPTF,relaxed,NA,BPTF
OG0003716,NA,NA,NA,NA,NA,UBR5,relaxed,NA,UBR5
OG0003717,NA,NA,NA,paml_selected,NA,COL12A1,relaxed,NA,COL12A1
OG0003720,NA,NA,NA,NA,NA,PTEN,relaxed,NA,PTEN
OG0003735,NA,NA,NA,NA,NA,RPL7L1,relaxed,NA,RPL7L1
OG0003739,NA,NA,NA,paml_selected,NA,CUBN,relaxed,NA,CUBN
OG0003744,NA,RPL35,intensified,NA,NA,NA,NA,NA,RPL35
OG0003747,NA,NA,NA,paml_selected,NA,NANS,relaxed,NA,NANS
OG0003750,NA,NA,NA,NA,NA,CCDC171,relaxed,NA,CCDC171
OG0003753,NA,NA,NA,paml_selected,NA,IQSEC3,relaxed,NA,IQSEC3
OG0003754,NA,NA,NA,paml_selected,NA,RPL18A,relaxed,NA,RPL18A
OG0003755,NA,NA,NA,NA,NA,PREP,relaxed,NA,PREP
OG0003757,NA,NA,NA,NA,NA,NRG3,relaxed,NA,NRG3
OG0003759,NA,NA,NA,NA,NA,BET1,relaxed,NA,BET1
OG0003762,NA,NA,NA,paml_selected,NA,NA,NA,NA,KIF1C
OG0003769,NA,NA,NA,NA,NA,APOD,relaxed,NA,APOD
OG0003771,NA,GART,intensified,NA,NA,NA,NA,NA,GART
OG0003777,NA,NA,NA,paml_selected,NA,RBM12B,relaxed,NA,RBM12B
OG0003778,NA,FRAS1,intensified,paml_selected,NA,NA,NA,NA,FRAS1
OG0003779,absrel_selected,NA,NA,paml_selected,NA,NA,NA,NA,RGS3
OG0003780,NA,NA,NA,paml_selected,NA,NA,NA,NA,NDC80
OG0003781,NA,NA,NA,paml_selected,NA,NA,NA,NA,ZNF318
OG0003783,NA,NA,NA,NA,NA,ZBTB16,relaxed,NA,ZBTB16
OG0003784,NA,MLPH,intensified,paml_selected,NA,NA,NA,NA,MLPH
OG0003785,NA,NA,NA,paml_selected,NA,WIZ,relaxed,NA,WIZ
OG0003788,NA,NA,NA,paml_selected,NA,NA,NA,NA,GPR160
OG0003792,NA,NA,NA,NA,NA,TCF20,relaxed,NA,TCF20
OG0003796,NA,NA,NA,NA,NA,EIF3H,relaxed,NA,EIF3H
OG0003803,NA,NA,NA,paml_selected,NA,PLEC,relaxed,NA,PLEC
OG0003804,NA,NA,NA,NA,NA,UGP2,relaxed,NA,UGP2
OG0003805,NA,NA,NA,paml_selected,NA,NA,NA,NA,MARCKSL1
OG0003808,NA,NA,NA,NA,NA,ST6GAL1,relaxed,NA,ST6GAL1
OG0003812,NA,NA,NA,NA,NA,CLN8,relaxed,NA,CLN8
OG0003813,NA,NA,NA,paml_selected,NA,PRKCE,relaxed,NA,PRKCE
OG0003816,NA,NA,NA,paml_selected,NA,NA,NA,NA,KIRREL3
OG0003819,NA,TPCN2,intensified,paml_selected,NA,NA,NA,NA,TPCN2
OG0003822,NA,NA,NA,paml_selected,NA,COL6A1,relaxed,NA,COL6A1
OG0003824,NA,NA,NA,NA,NA,PAQR3,relaxed,NA,PAQR3
OG0003826,NA,NA,NA,NA,NA,NOD1,relaxed,NA,NOD1
OG0003827,NA,NA,NA,NA,NA,HSPA14,relaxed,NA,HSPA14
OG0003829,NA,NA,NA,NA,NA,FAM135B,relaxed,NA,FAM135B
OG0003831,NA,NA,NA,NA,NA,PHB,relaxed,NA,PHB
OG0003834,NA,NA,NA,NA,NA,ABCC5,relaxed,NA,ABCC5
OG0003835,NA,NA,NA,NA,NA,THOC2,relaxed,NA,THOC2
OG0003836,NA,NA,NA,paml_selected,NA,NA,NA,NA,SLAIN1
OG0003840,NA,NA,NA,NA,NA,TGM1,relaxed,NA,TGM1
OG0003842,NA,NA,NA,paml_selected,NA,SLC22A23,relaxed,NA,SLC22A23
OG0003843,NA,NA,NA,NA,NA,HPD,relaxed,NA,HPD
OG0003845,NA,NA,NA,NA,NA,MAGI2,relaxed,NA,MAGI2
OG0003848,NA,NA,NA,paml_selected,NA,ADCY9,relaxed,NA,ADCY9
OG0003851,NA,NA,NA,paml_selected,NA,NA,NA,NA,DDX11
OG0003852,NA,TTF1,intensified,paml_selected,NA,NA,NA,NA,TTF1
OG0003853,NA,NA,NA,NA,NA,NACC1,relaxed,NA,NACC1
OG0003854,NA,NA,NA,paml_selected,NA,NA,NA,NA,TMEM230
OG0003855,NA,NA,NA,paml_selected,NA,NR3C1,relaxed,NA,NR3C1
OG0003858,NA,NA,NA,NA,NA,RIPK2,relaxed,NA,RIPK2
OG0003862,NA,NA,NA,NA,NA,PDAP1,relaxed,NA,PDAP1
OG0003863,NA,NA,NA,NA,NA,KIAA1958,relaxed,NA,KIAA1958
OG0003865,NA,NA,NA,NA,NA,MCL1,relaxed,NA,MCL1
OG0003867,NA,NA,NA,NA,NA,KCTD15,relaxed,NA,KCTD15
OG0003868,NA,NA,NA,paml_selected,NA,SAP130,relaxed,NA,SAP130
OG0003869,NA,NA,NA,paml_selected,NA,NA,NA,NA,DIDO1
OG0003870,NA,NA,NA,paml_selected,NA,NA,NA,NA,THBD
OG0003873,NA,CUL1,intensified,paml_selected,NA,NA,NA,NA,CUL1
OG0003874,NA,NA,NA,NA,NA,CAMSAP2,relaxed,NA,CAMSAP2
OG0003875,NA,NA,NA,paml_selected,NA,NA,NA,NA,PECAM1
OG0003876,NA,F11R,intensified,paml_selected,NA,NA,NA,NA,F11R
OG0003879,NA,NA,NA,paml_selected,NA,NA,NA,NA,MAN1B1
OG0003886,NA,NA,NA,paml_selected,NA,CMAS,relaxed,NA,CMAS
OG0003892,NA,TMEM258,intensified,NA,NA,NA,NA,NA,TMEM258
OG0003916,NA,NA,NA,NA,NA,NPEPL1,relaxed,NA,NPEPL1
OG0003917,NA,NA,NA,paml_selected,NA,NA,NA,NA,SUSD3
OG0003919,NA,NA,NA,paml_selected,NA,NA,NA,NA,ARMC5
OG0003920,NA,NA,NA,paml_selected,NA,NA,NA,NA,SASS6
OG0003922,NA,NA,NA,paml_selected,NA,PRG4,relaxed,NA,PRG4
OG0003924,NA,C5orf42,intensified,paml_selected,NA,NA,NA,NA,C5orf42
OG0003926,NA,NA,NA,NA,NA,MLLT4,relaxed,NA,MLLT4
OG0003928,NA,NA,NA,paml_selected,NA,KCMF1,relaxed,NA,KCMF1
OG0003930,NA,NA,NA,paml_selected,NA,REV3L,relaxed,NA,REV3L
OG0003933,NA,NA,NA,NA,NA,PEX5L,relaxed,NA,PEX5L
OG0003938,NA,NA,NA,NA,NA,FBXL19,relaxed,NA,FBXL19
OG0003942,NA,NA,NA,NA,NA,SAMD12,relaxed,NA,SAMD12
OG0003948,NA,PDXK,intensified,paml_selected,NA,NA,NA,NA,PDXK
OG0003951,NA,NA,NA,paml_selected,NA,NA,NA,NA,CEP162
OG0003953,NA,CNTLN,intensified,paml_selected,NA,NA,NA,NA,CNTLN
OG0003954,NA,NA,NA,NA,NA,RD3,relaxed,NA,RD3
OG0003956,NA,NA,NA,paml_selected,NA,NA,NA,NA,SPEF2
OG0003957,NA,NA,NA,NA,NA,SLC25A17,relaxed,NA,SLC25A17
OG0003962,NA,NA,NA,NA,NA,EI24,relaxed,NA,EI24
OG0003964,NA,NA,NA,paml_selected,NA,C6orf106,relaxed,NA,C6orf106
OG0003968,NA,NA,NA,NA,NA,PHB2,relaxed,NA,PHB2
OG0003969,NA,NA,NA,NA,NA,EIF2S1,relaxed,NA,EIF2S1
OG0003970,NA,NA,NA,paml_selected,NA,SNX18,relaxed,NA,SNX18
OG0003971,NA,COL6A2,intensified,paml_selected,NA,NA,NA,NA,COL6A2
OG0003973,NA,LMO7,intensified,paml_selected,NA,NA,NA,NA,LMO7
OG0003975,NA,NA,NA,paml_selected,NA,NA,NA,NA,Wash1
OG0003977,NA,NA,NA,NA,NA,MMGT1,relaxed,NA,MMGT1
OG0003978,NA,NA,NA,paml_selected,NA,GRAMD1B,relaxed,NA,GRAMD1B
OG0003979,NA,NA,NA,NA,NA,CHAF1A,relaxed,NA,CHAF1A
OG0003981,NA,NA,NA,paml_selected,NA,CCSER2,relaxed,NA,CCSER2
OG0003982,NA,NA,NA,paml_selected,NA,NA,NA,NA,CEP70
OG0003984,NA,NA,NA,paml_selected,NA,NA,NA,NA,PHF12
OG0003986,NA,WDR19,intensified,NA,NA,NA,NA,NA,WDR19
OG0003987,NA,NA,NA,NA,NA,AIMP1,relaxed,NA,AIMP1
OG0003989,NA,NA,NA,NA,NA,CBX6,relaxed,NA,CBX6
OG0003991,NA,SLC25A38,intensified,NA,NA,NA,NA,NA,SLC25A38
OG0003995,NA,NA,NA,paml_selected,NA,NA,NA,NA,SYT7
OG0003998,NA,NA,NA,paml_selected,NA,KIFC1,relaxed,NA,KIFC1
OG0003999,NA,NA,NA,NA,NA,CHTOP,relaxed,NA,CHTOP
OG0004002,NA,NA,NA,paml_selected,NA,NA,NA,NA,SCEL
OG0004006,NA,AFTPH,intensified,paml_selected,NA,NA,NA,NA,AFTPH
OG0004009,NA,NA,NA,paml_selected,NA,FGD5,relaxed,NA,FGD5
OG0004013,NA,NA,NA,NA,NA,TNNC2,relaxed,NA,TNNC2
OG0004014,NA,NA,NA,paml_selected,NA,B4GALNT1,relaxed,NA,B4GALNT1
OG0004015,NA,NA,NA,paml_selected,NA,NA,NA,NA,FAM129A
OG0004016,NA,NA,NA,paml_selected,NA,NA,NA,NA,RAB11FIP4
OG0004018,NA,NA,NA,NA,NA,EXOC3L2,relaxed,NA,EXOC3L2
OG0004020,NA,NA,NA,NA,NA,CREB5,relaxed,NA,CREB5
OG0004022,NA,NA,NA,paml_selected,NA,RHBDD2,relaxed,NA,RHBDD2
OG0004025,NA,NA,NA,paml_selected,NA,ITGB3,relaxed,NA,ITGB3
OG0004026,NA,NF1,intensified,NA,NA,NA,NA,NA,NF1
OG0004027,NA,NA,NA,NA,NA,INHBB,relaxed,NA,INHBB
OG0004031,NA,NA,NA,paml_selected,NA,NA,NA,NA,PHC2
OG0004032,NA,DHRS13,intensified,paml_selected,NA,NA,NA,NA,DHRS13
OG0004034,NA,NA,NA,paml_selected,NA,NA,NA,NA,PLCE1
OG0004035,NA,NA,NA,paml_selected,NA,NA,NA,NA,TNS1
OG0004037,NA,NA,NA,paml_selected,NA,NA,NA,NA,FHL1
OG0004038,NA,NA,NA,paml_selected,NA,DFNB31,relaxed,NA,DFNB31
OG0004039,NA,NA,NA,paml_selected,NA,NA,NA,NA,TOPORS
OG0004040,NA,NA,NA,NA,NA,PDE7A,relaxed,NA,PDE7A
OG0004042,NA,NA,NA,NA,NA,ABCD3,relaxed,NA,ABCD3
OG0004043,NA,NA,NA,paml_selected,NA,NA,NA,NA,F3
OG0004045,NA,NA,NA,NA,NA,PPP1R10,relaxed,NA,PPP1R10
OG0004046,NA,NA,NA,NA,NA,TMEM67,relaxed,NA,TMEM67
OG0004047,NA,NA,NA,paml_selected,NA,TARDBP,relaxed,NA,TARDBP
OG0004048,NA,NA,NA,NA,NA,TNFAIP2,relaxed,NA,TNFAIP2
OG0004050,NA,NA,NA,paml_selected,NA,NA,NA,NA,CABIN1
OG0004051,NA,HUS1,intensified,NA,NA,NA,NA,NA,HUS1
OG0004052,NA,NA,NA,paml_selected,NA,NA,NA,NA,RTN2
OG0004053,NA,ZBTB8A,intensified,NA,NA,NA,NA,NA,ZBTB8A
OG0004054,NA,NA,NA,NA,NA,TAT,relaxed,NA,TAT
OG0004058,NA,NA,NA,paml_selected,NA,NA,NA,NA,SPAG1
OG0004061,NA,NA,NA,NA,NA,PCGF5,relaxed,NA,PCGF5
OG0004062,NA,NA,NA,NA,NA,PTDSS1,relaxed,NA,PTDSS1
OG0004064,NA,NA,NA,paml_selected,NA,RNF34,relaxed,NA,RNF34
OG0004065,NA,NA,NA,NA,NA,BAZ2B,relaxed,NA,BAZ2B
OG0004068,NA,NA,NA,paml_selected,NA,ZNF292,relaxed,NA,ZNF292
OG0004069,NA,NA,NA,NA,NA,CLINT1,relaxed,NA,CLINT1
OG0004070,NA,NA,NA,paml_selected,NA,NA,NA,NA,MKI67
OG0004071,NA,NA,NA,NA,NA,CDYL,relaxed,NA,CDYL
OG0004073,NA,NA,NA,NA,NA,DYNC1H1,relaxed,NA,DYNC1H1
OG0004076,NA,KAZN,intensified,NA,NA,NA,NA,NA,KAZN
OG0004078,NA,NA,NA,paml_selected,NA,NA,NA,NA,NCAPG
OG0004081,NA,TP53BP1,intensified,paml_selected,NA,NA,NA,NA,TP53BP1
OG0004082,NA,NA,NA,paml_selected,NA,PHF20,relaxed,NA,PHF20
OG0004083,NA,NA,NA,paml_selected,NA,NA,NA,NA,SENP6
OG0004085,NA,NA,NA,paml_selected,NA,NBAS,relaxed,NA,NBAS
OG0004087,NA,NA,NA,paml_selected,NA,CNST,relaxed,NA,CNST
OG0004089,NA,NA,NA,NA,NA,SCAPER,relaxed,NA,SCAPER
OG0004090,NA,NA,NA,paml_selected,NA,NA,NA,NA,CUL5
OG0004091,NA,NA,NA,NA,NA,OPTN,relaxed,NA,OPTN
OG0004092,NA,NA,NA,paml_selected,NA,NA,NA,NA,FKBP15
OG0004093,NA,NA,NA,NA,NA,SWAP70,relaxed,NA,SWAP70
OG0004096,NA,NA,NA,NA,NA,UNC5D,relaxed,NA,UNC5D
OG0004097,NA,NA,NA,paml_selected,NA,SETX,relaxed,NA,SETX
OG0004098,NA,NA,NA,paml_selected,NA,NA,NA,NA,DENND3
OG0004099,NA,NA,NA,paml_selected,NA,ATF4,relaxed,NA,ATF4
OG0004100,NA,NA,NA,NA,NA,RPE65,relaxed,NA,RPE65
OG0004101,NA,NA,NA,paml_selected,NA,NA,NA,NA,GRN
OG0004103,NA,NA,NA,paml_selected,NA,NA,NA,NA,TRIM25
OG0004104,NA,NA,NA,paml_selected,NA,NA,NA,NA,DNMBP
OG0004105,NA,NA,NA,NA,NA,TAX1BP1,relaxed,NA,TAX1BP1
OG0004107,NA,NA,NA,paml_selected,NA,NA,NA,NA,CSPP1
OG0004108,NA,NA,NA,paml_selected,NA,NA,NA,NA,ARHGAP29
OG0004109,NA,SUN1,intensified,NA,NA,NA,NA,NA,SUN1
OG0004110,NA,NA,NA,NA,NA,UBE2O,relaxed,NA,UBE2O
OG0004111,NA,NA,NA,NA,NA,RBM17,relaxed,NA,RBM17
OG0004112,NA,NA,NA,NA,NA,PPFIBP1,relaxed,NA,PPFIBP1
OG0004113,NA,NA,NA,paml_selected,NA,NA,NA,NA,IL4R
OG0004114,NA,NA,NA,paml_selected,NA,COL14A1,relaxed,NA,COL14A1
OG0004115,NA,NA,NA,paml_selected,NA,NA,NA,NA,L1CAM
OG0004116,NA,NA,NA,NA,NA,URB1,relaxed,NA,URB1
OG0004117,NA,NA,NA,NA,NA,MAGI3,relaxed,NA,MAGI3
OG0004120,NA,NA,NA,paml_selected,NA,NA,NA,NA,RFK
OG0004132,NA,NA,NA,paml_selected,NA,NA,NA,NA,KIAA0586
OG0004133,NA,NA,NA,paml_selected,NA,NA,NA,NA,SUGP2
OG0004134,NA,NA,NA,paml_selected,NA,CBX7,relaxed,NA,CBX7
OG0004148,NA,NA,NA,NA,NA,TRPM2,relaxed,NA,TRPM2
OG0004151,NA,NA,NA,paml_selected,NA,NA,NA,NA,SLC5A6
OG0004152,NA,NA,NA,paml_selected,NA,CD7,relaxed,NA,CD7
OG0004155,NA,NA,NA,paml_selected,NA,F5,relaxed,NA,F5
OG0004161,NA,NA,NA,NA,NA,RPL18,relaxed,NA,RPL18
OG0004162,NA,NA,NA,paml_selected,NA,NA,NA,NA,ASZ1
OG0004165,NA,NA,NA,paml_selected,NA,NA,NA,NA,C6
OG0004166,NA,NA,NA,paml_selected,NA,MUSK,relaxed,NA,MUSK
OG0004169,NA,NA,NA,NA,NA,NDUFAF4,relaxed,NA,NDUFAF4
OG0004170,NA,NA,NA,NA,NA,PDP1,relaxed,NA,PDP1
OG0004172,NA,NA,NA,paml_selected,NA,PTGER4,relaxed,NA,PTGER4
OG0004173,NA,NA,NA,paml_selected,NA,NA,NA,NA,MUC1
OG0004174,NA,NA,NA,paml_selected,NA,TSR2,relaxed,NA,TSR2
OG0004179,NA,NA,NA,paml_selected,NA,NA,NA,NA,FKBP3
OG0004180,NA,SYT14,intensified,NA,NA,NA,NA,NA,SYT14
OG0004183,NA,ACSF2,intensified,paml_selected,NA,NA,NA,NA,ACSF2
OG0004185,NA,NA,NA,paml_selected,NA,NA,NA,NA,HSD3B7
OG0004191,NA,NA,NA,paml_selected,NA,NA,NA,NA,CRTAC1
OG0004193,NA,NA,NA,NA,NA,SMARCAD1,relaxed,NA,SMARCAD1
OG0004201,NA,NA,NA,NA,NA,FAM84B,relaxed,NA,FAM84B
OG0004202,NA,ENOPH1,intensified,paml_selected,NA,NA,NA,NA,ENOPH1
OG0004206,NA,NA,NA,NA,NA,RTN1,relaxed,NA,RTN1
OG0004210,NA,NA,NA,paml_selected,NA,ANKRD1,relaxed,NA,ANKRD1
OG0004216,NA,NA,NA,NA,NA,SNAP91,relaxed,NA,SNAP91
OG0004217,NA,NA,NA,NA,NA,HELZ,relaxed,NA,HELZ
OG0004220,NA,NA,NA,NA,NA,ABI3,relaxed,NA,ABI3
OG0004222,NA,NA,NA,NA,NA,CECR2,relaxed,NA,CECR2
OG0004224,NA,NA,NA,paml_selected,NA,NA,NA,NA,MEI1
OG0004226,NA,CDA,intensified,NA,NA,NA,NA,NA,CDA
OG0004227,NA,NA,NA,NA,NA,KIAA1161,relaxed,NA,KIAA1161
OG0004228,NA,NA,NA,paml_selected,NA,PISD,relaxed,NA,PISD
OG0004229,NA,NA,NA,NA,NA,ANO8,relaxed,NA,ANO8
OG0004230,NA,NA,NA,NA,NA,FST,relaxed,NA,FST
OG0004232,NA,KIAA1614,intensified,paml_selected,NA,NA,NA,NA,KIAA1614
OG0004234,NA,NA,NA,paml_selected,NA,NA,NA,NA,CEP170B
OG0004238,NA,SDE2,intensified,NA,NA,NA,NA,NA,SDE2
OG0004239,NA,NA,NA,paml_selected,NA,NA,NA,NA,ALMS1
OG0004240,NA,NA,NA,paml_selected,NA,NA,NA,NA,MTFR1
OG0004241,NA,NA,NA,NA,NA,NFKBIA,relaxed,NA,NFKBIA
OG0004244,absrel_selected,C9orf3,intensified,paml_selected,NA,NA,NA,NA,C9orf3
