gene_symbol,OG_ID,analysis_absrel,analysis_relax_selection,analysis_paml,analysis_cafe_expanded,analysis_relax_relaxed,analysis_cafe_contracted,count_sel,count_rel,condition,TargetSpecies_Count,Reference_Count
LRP2,OG0009596,NA,NA,paml_selected,NA,NA,NA,1,0,long-lived,2,2
MOV10,OG0006714,NA,NA,paml_selected,NA,NA,NA,1,0,long-lived,2,2
MTBP,OG0007797,NA,NA,paml_selected,NA,NA,NA,1,0,long-lived,2,2
NET1,OG0007532,NA,NA,paml_selected,NA,NA,NA,1,0,long-lived,2,2
NRDE2,OG0010454,NA,NA,paml_selected,NA,relaxed,NA,1,1,long-lived,2,2
PLAU,OG0007167,NA,NA,paml_selected,NA,NA,NA,1,0,long-lived,2,2
PRG4,OG0003922,NA,NA,paml_selected,NA,relaxed,NA,1,1,long-lived,2,2
PRKDC,OG0009390,NA,NA,paml_selected,NA,relaxed,NA,1,1,long-lived,2,2
PTGER4,OG0004172,NA,NA,paml_selected,NA,relaxed,NA,1,1,long-lived,2,2
PTK7,OG0007847,NA,NA,paml_selected,NA,relaxed,NA,1,1,long-lived,2,2
RIMBP2,OG0002847,NA,NA,paml_selected,NA,relaxed,NA,1,1,long-lived,2,2
SERPINE1,OG0006963,NA,NA,paml_selected,NA,NA,NA,1,0,long-lived,2,2
STOX1,OG0005209,NA,NA,paml_selected,NA,NA,NA,1,0,long-lived,2,2
TDRKH,OG0006082,NA,NA,paml_selected,NA,NA,NA,1,0,long-lived,2,2
TMEM44,OG0011356,NA,NA,paml_selected,NA,NA,NA,1,0,long-lived,2,2
TNKS1BP1,OG0008643,NA,NA,paml_selected,NA,NA,NA,1,0,long-lived,2,2
TRAFD1,OG0009534,NA,NA,paml_selected,NA,NA,NA,1,0,long-lived,2,2
ZC3HC1,OG0006486,NA,NA,paml_selected,NA,NA,NA,1,0,long-lived,2,2
ZNF318,OG0003781,NA,NA,paml_selected,NA,NA,NA,1,0,long-lived,2,2
BEND3,OG0008988,NA,NA,NA,NA,relaxed,NA,0,1,long-lived,2,2
CHRNA4,OG0011052,NA,NA,NA,NA,relaxed,NA,0,1,long-lived,2,2
CYB5R4,OG0004872,NA,NA,NA,NA,relaxed,NA,0,1,long-lived,2,2
EXOC3L2,OG0004018,NA,NA,NA,NA,relaxed,NA,0,1,long-lived,2,2
IMMT,OG0010550,NA,NA,NA,NA,relaxed,NA,0,1,long-lived,2,2
LRIT1,OG0005109,NA,NA,NA,NA,relaxed,NA,0,1,long-lived,2,2
LRRC72,OG0012323,NA,NA,NA,NA,relaxed,NA,0,1,long-lived,2,2
MAGI3,OG0004117,NA,NA,NA,NA,relaxed,NA,0,1,long-lived,2,2
MED6,OG0011948,NA,NA,NA,NA,relaxed,NA,0,1,long-lived,2,2
NID2,OG0005834,NA,NA,NA,NA,relaxed,NA,0,1,long-lived,2,2
POR,OG0006744,NA,NA,NA,NA,relaxed,NA,0,1,long-lived,2,2
RBBP6,OG0004950,NA,NA,NA,NA,relaxed,NA,0,1,long-lived,2,2
SIRT1,OG0010535,NA,NA,NA,NA,relaxed,NA,0,1,long-lived,2,2
SLC4A7,OG0012683,NA,NA,NA,NA,relaxed,NA,0,1,long-lived,2,2
TYRO3,OG0005352,NA,NA,NA,NA,relaxed,NA,0,1,long-lived,2,2
ZW10,OG0005876,NA,NA,NA,NA,relaxed,NA,0,1,long-lived,2,2
ACE2,OG0010810,absrel_selected,intensified,paml_selected,NA,NA,NA,3,0,long-lived,1,1
ALKBH3,OG0011835,absrel_selected,intensified,paml_selected,NA,NA,NA,3,0,long-lived,1,1
EIF4E3,OG0006528,absrel_selected,intensified,paml_selected,NA,NA,NA,3,0,long-lived,1,1
ABI3BP,OG0003699,NA,intensified,paml_selected,NA,NA,NA,2,0,long-lived,1,1
ADAM15,OG0011419,NA,intensified,paml_selected,NA,NA,NA,2,0,long-lived,1,1
AFF1,OG0010070,NA,intensified,paml_selected,NA,NA,NA,2,0,long-lived,1,1
ALDH16A1,OG0011236,NA,intensified,paml_selected,NA,NA,NA,2,0,long-lived,1,1
ALS2CR12,OG0010973,NA,intensified,paml_selected,NA,NA,NA,2,0,long-lived,1,1
ARSA,OG0004371,NA,intensified,paml_selected,NA,NA,NA,2,0,long-lived,1,1
ASXL1,OG0007556,NA,intensified,paml_selected,NA,NA,NA,2,0,long-lived,1,1
ATAD5,OG0005667,NA,intensified,paml_selected,NA,NA,NA,2,0,long-lived,1,1
AUNIP,OG0011644,NA,intensified,paml_selected,NA,NA,NA,2,0,long-lived,1,1
BBS10,OG0005759,NA,intensified,paml_selected,NA,NA,NA,2,0,long-lived,1,1
BUB1,OG0008897,NA,intensified,paml_selected,NA,NA,NA,2,0,long-lived,1,1
C11orf65,OG0012068,NA,intensified,paml_selected,NA,NA,NA,2,0,long-lived,1,1
C19orf54,OG0006030,NA,intensified,paml_selected,NA,NA,NA,2,0,long-lived,1,1
C2CD3,OG0004408,NA,intensified,paml_selected,NA,NA,NA,2,0,long-lived,1,1
CCDC115,OG0006322,NA,intensified,paml_selected,NA,NA,NA,2,0,long-lived,1,1
CCDC141,OG0004576,NA,intensified,paml_selected,NA,NA,NA,2,0,long-lived,1,1
CCDC73,OG0011987,NA,intensified,paml_selected,NA,NA,NA,2,0,long-lived,1,1
CCDC77,OG0008242,NA,intensified,paml_selected,NA,NA,NA,2,0,long-lived,1,1
CCHCR1,OG0009157,NA,intensified,paml_selected,NA,NA,NA,2,0,long-lived,1,1
CCNB3,OG0004787,NA,intensified,paml_selected,NA,NA,NA,2,0,long-lived,1,1
CCNDBP1,OG0008846,NA,intensified,paml_selected,NA,NA,NA,2,0,long-lived,1,1
CCR6,OG0004368,NA,intensified,paml_selected,NA,NA,NA,2,0,long-lived,1,1
CD3EAP,OG0011310,NA,intensified,paml_selected,NA,NA,NA,2,0,long-lived,1,1
CDKL3,OG0012490,NA,intensified,paml_selected,NA,NA,NA,2,0,long-lived,1,1
CENPQ,OG0006870,NA,intensified,paml_selected,NA,NA,NA,2,0,long-lived,1,1
CEP112,OG0006412,NA,intensified,paml_selected,NA,NA,NA,2,0,long-lived,1,1
CEP192,OG0004828,NA,intensified,paml_selected,NA,NA,NA,2,0,long-lived,1,1
CEP290,OG0010042,NA,intensified,paml_selected,NA,NA,NA,2,0,long-lived,1,1
CFTR,OG0008048,NA,intensified,paml_selected,NA,NA,NA,2,0,long-lived,1,1
CHGB,OG0009164,NA,intensified,paml_selected,NA,NA,NA,2,0,long-lived,1,1
CHRNA2,OG0009605,NA,intensified,paml_selected,NA,NA,NA,2,0,long-lived,1,1
CMYA5,OG0011140,NA,intensified,paml_selected,NA,NA,NA,2,0,long-lived,1,1
DCST2,OG0011934,NA,intensified,paml_selected,NA,NA,NA,2,0,long-lived,1,1
DLEC1,OG0005012,NA,intensified,paml_selected,NA,NA,NA,2,0,long-lived,1,1
DNAJA3,OG0005612,NA,intensified,paml_selected,NA,NA,NA,2,0,long-lived,1,1
DPH1,OG0006024,NA,intensified,paml_selected,NA,NA,NA,2,0,long-lived,1,1
DPH2,OG0009230,NA,intensified,paml_selected,NA,NA,NA,2,0,long-lived,1,1
DSN1,OG0007321,NA,intensified,paml_selected,NA,NA,NA,2,0,long-lived,1,1
DZANK1,OG0006468,NA,intensified,paml_selected,NA,NA,NA,2,0,long-lived,1,1
EPS8L3,OG0005023,NA,intensified,paml_selected,NA,NA,NA,2,0,long-lived,1,1
ERICH3,OG0005047,NA,intensified,paml_selected,NA,NA,NA,2,0,long-lived,1,1
ETAA1,OG0004266,NA,intensified,paml_selected,NA,NA,NA,2,0,long-lived,1,1
EXO1,OG0007311,NA,intensified,paml_selected,NA,NA,NA,2,0,long-lived,1,1
FAM161A,OG0005902,NA,intensified,paml_selected,NA,NA,NA,2,0,long-lived,1,1
FANCB,OG0005223,NA,intensified,paml_selected,NA,NA,NA,2,0,long-lived,1,1
FASTKD2,OG0010481,NA,intensified,paml_selected,NA,NA,NA,2,0,long-lived,1,1
FBXO16,OG0009825,NA,intensified,paml_selected,NA,NA,NA,2,0,long-lived,1,1
FBXO48,OG0012073,NA,intensified,paml_selected,NA,NA,NA,2,0,long-lived,1,1
FGB,OG0008309,NA,intensified,paml_selected,NA,NA,NA,2,0,long-lived,1,1
FRAS1,OG0003778,NA,intensified,paml_selected,NA,NA,NA,2,0,long-lived,1,1
FSIP1,OG0006816,NA,intensified,paml_selected,NA,NA,NA,2,0,long-lived,1,1
GBA2,OG0010322,NA,intensified,paml_selected,NA,NA,NA,2,0,long-lived,1,1
GLE1,OG0010674,NA,intensified,paml_selected,NA,NA,NA,2,0,long-lived,1,1
GP1BA,OG0008155,NA,intensified,paml_selected,NA,NA,NA,2,0,long-lived,1,1
HAUS5,OG0004326,NA,intensified,paml_selected,NA,NA,NA,2,0,long-lived,1,1
HPX,OG0006764,NA,intensified,paml_selected,NA,NA,NA,2,0,long-lived,1,1
ICE2,OG0007925,NA,intensified,paml_selected,NA,NA,NA,2,0,long-lived,1,1
IFT172,OG0010015,absrel_selected,NA,paml_selected,NA,relaxed,NA,2,1,long-lived,1,1
IL10,OG0009529,NA,intensified,paml_selected,NA,NA,NA,2,0,long-lived,1,1
IL18,OG0007728,NA,intensified,paml_selected,NA,NA,NA,2,0,long-lived,1,1
IL31RA,OG0010185,NA,intensified,paml_selected,NA,NA,NA,2,0,long-lived,1,1
IMPG2,OG0006536,NA,intensified,paml_selected,NA,NA,NA,2,0,long-lived,1,1
INPP4B,OG0009131,absrel_selected,NA,paml_selected,NA,relaxed,NA,2,1,long-lived,1,1
KIAA0391,OG0006365,NA,intensified,paml_selected,NA,NA,NA,2,0,long-lived,1,1
KIAA1107,OG0004606,NA,intensified,paml_selected,NA,NA,NA,2,0,long-lived,1,1
KIAA1755,OG0010745,NA,intensified,paml_selected,NA,NA,NA,2,0,long-lived,1,1
KIF20B,OG0005666,NA,intensified,paml_selected,NA,NA,NA,2,0,long-lived,1,1
KNOP1,OG0007833,NA,intensified,paml_selected,NA,NA,NA,2,0,long-lived,1,1
MALRD1,OG0005013,NA,intensified,paml_selected,NA,NA,NA,2,0,long-lived,1,1
MAP6,OG0005373,NA,intensified,paml_selected,NA,NA,NA,2,0,long-lived,1,1
MFRP,OG0009960,NA,intensified,paml_selected,NA,NA,NA,2,0,long-lived,1,1
MFSD6,OG0005585,NA,intensified,paml_selected,NA,NA,NA,2,0,long-lived,1,1
MLIP,OG0007226,NA,intensified,paml_selected,NA,NA,NA,2,0,long-lived,1,1
MSH4,OG0004480,NA,intensified,paml_selected,NA,NA,NA,2,0,long-lived,1,1
MTR,OG0004885,NA,intensified,paml_selected,NA,NA,NA,2,0,long-lived,1,1
MUC15,OG0006147,NA,intensified,paml_selected,NA,NA,NA,2,0,long-lived,1,1
MVB12A,OG0010224,NA,intensified,paml_selected,NA,NA,NA,2,0,long-lived,1,1
MYBBP1A,OG0009345,NA,intensified,paml_selected,NA,NA,NA,2,0,long-lived,1,1
NCAPD3,OG0009303,NA,intensified,paml_selected,NA,NA,NA,2,0,long-lived,1,1
NUDT18,OG0012153,NA,intensified,paml_selected,NA,NA,NA,2,0,long-lived,1,1
ORC2,OG0010476,NA,intensified,paml_selected,NA,NA,NA,2,0,long-lived,1,1
PDSS2,OG0008913,NA,intensified,paml_selected,NA,NA,NA,2,0,long-lived,1,1
PDZD2,OG0004433,NA,intensified,paml_selected,NA,NA,NA,2,0,long-lived,1,1
PECR,OG0006946,NA,intensified,paml_selected,NA,NA,NA,2,0,long-lived,1,1
PIN1,OG0009442,NA,intensified,paml_selected,NA,NA,NA,2,0,long-lived,1,1
PLA2R1,OG0010355,NA,intensified,paml_selected,NA,NA,NA,2,0,long-lived,1,1
PLCZ1,OG0012364,NA,intensified,paml_selected,NA,NA,NA,2,0,long-lived,1,1
POLH,OG0007481,NA,intensified,paml_selected,NA,NA,NA,2,0,long-lived,1,1
POLRMT,OG0007628,NA,intensified,paml_selected,NA,NA,NA,2,0,long-lived,1,1
PROSER3,OG0011307,NA,intensified,paml_selected,NA,NA,NA,2,0,long-lived,1,1
R3HCC1,OG0011833,NA,intensified,paml_selected,NA,NA,NA,2,0,long-lived,1,1
RAB11FIP1,OG0011944,NA,intensified,paml_selected,NA,NA,NA,2,0,long-lived,1,1
RAD52,OG0008894,NA,intensified,paml_selected,NA,NA,NA,2,0,long-lived,1,1
RASSF1,OG0007133,NA,intensified,paml_selected,NA,NA,NA,2,0,long-lived,1,1
RBM34,OG0008222,NA,intensified,paml_selected,NA,NA,NA,2,0,long-lived,1,1
RELB,OG0006347,absrel_selected,NA,paml_selected,NA,relaxed,NA,2,1,long-lived,1,1
RFWD3,OG0010743,NA,intensified,paml_selected,NA,NA,NA,2,0,long-lived,1,1
RFX8,OG0012727,NA,intensified,paml_selected,NA,NA,NA,2,0,long-lived,1,1
RNMT,OG0007266,NA,intensified,paml_selected,NA,NA,NA,2,0,long-lived,1,1
RTN4,OG0012304,NA,intensified,paml_selected,NA,NA,NA,2,0,long-lived,1,1
RTTN,OG0008900,NA,intensified,paml_selected,NA,NA,NA,2,0,long-lived,1,1
SAMD11,OG0006570,NA,intensified,paml_selected,NA,NA,NA,2,0,long-lived,1,1
SENP7,OG0004992,NA,intensified,paml_selected,NA,NA,NA,2,0,long-lived,1,1
SERPINF2,OG0007055,NA,intensified,paml_selected,NA,NA,NA,2,0,long-lived,1,1
SFI1,OG0009330,NA,intensified,paml_selected,NA,NA,NA,2,0,long-lived,1,1
SIMC1,OG0009391,NA,intensified,paml_selected,NA,NA,NA,2,0,long-lived,1,1
SLC12A8,OG0005791,NA,intensified,paml_selected,NA,NA,NA,2,0,long-lived,1,1
SMYD4,OG0008970,NA,intensified,paml_selected,NA,NA,NA,2,0,long-lived,1,1
SPAG16,OG0008285,NA,intensified,paml_selected,NA,NA,NA,2,0,long-lived,1,1
TAF1C,OG0006469,NA,intensified,paml_selected,NA,NA,NA,2,0,long-lived,1,1
TBCE,OG0009936,NA,intensified,paml_selected,NA,NA,NA,2,0,long-lived,1,1
THEGL,OG0012431,NA,intensified,paml_selected,NA,NA,NA,2,0,long-lived,1,1
TLR5,OG0005749,NA,intensified,paml_selected,NA,NA,NA,2,0,long-lived,1,1
TMC5,OG0004807,NA,intensified,paml_selected,NA,NA,NA,2,0,long-lived,1,1
TMEM63C,OG0010681,NA,intensified,paml_selected,NA,NA,NA,2,0,long-lived,1,1
TP53BP1,OG0004081,NA,intensified,paml_selected,NA,NA,NA,2,0,long-lived,1,1
TP63,OG0004842,absrel_selected,NA,paml_selected,NA,relaxed,NA,2,1,long-lived,1,1
TSEN2,OG0010105,NA,intensified,paml_selected,NA,NA,NA,2,0,long-lived,1,1
TTC12,OG0011316,NA,intensified,paml_selected,NA,NA,NA,2,0,long-lived,1,1
USPL1,OG0004922,NA,intensified,paml_selected,NA,NA,NA,2,0,long-lived,1,1
UTP6,OG0004803,NA,intensified,paml_selected,NA,NA,NA,2,0,long-lived,1,1
XKR8,OG0004321,NA,intensified,paml_selected,NA,NA,NA,2,0,long-lived,1,1
ZBBX,OG0007639,NA,intensified,paml_selected,NA,NA,NA,2,0,long-lived,1,1
ZC2HC1C,OG0010951,NA,intensified,paml_selected,NA,NA,NA,2,0,long-lived,1,1
TMTC2,OG0004935,NA,NA,paml_selected,NA,relaxed,NA,1,1,long-lived,1,2
USP42,OG0003318,NA,NA,paml_selected,NA,NA,NA,1,0,long-lived,1,2
AAAS,OG0011071,NA,NA,paml_selected,NA,NA,NA,1,0,long-lived,1,1
AASDH,OG0009708,NA,NA,paml_selected,NA,NA,NA,1,0,long-lived,1,1
ABCC10,OG0005263,NA,NA,paml_selected,NA,NA,NA,1,0,long-lived,1,1
ACAA1,OG0006993,NA,NA,paml_selected,NA,NA,NA,1,0,long-lived,1,1
ACAN,OG0004904,NA,NA,paml_selected,NA,NA,NA,1,0,long-lived,1,1
ACBD5,OG0006562,NA,NA,paml_selected,NA,NA,NA,1,0,long-lived,1,1
ACOX2,OG0012492,NA,NA,paml_selected,NA,NA,NA,1,0,long-lived,1,1
ADCY9,OG0003848,NA,NA,paml_selected,NA,relaxed,NA,1,1,long-lived,1,1
ADGB,OG0008127,NA,NA,paml_selected,NA,relaxed,NA,1,1,long-lived,1,1
AGL,OG0004944,NA,NA,paml_selected,NA,relaxed,NA,1,1,long-lived,1,1
AGMAT,OG0011751,NA,NA,paml_selected,NA,NA,NA,1,0,long-lived,1,1
AGT,OG0009645,NA,NA,paml_selected,NA,relaxed,NA,1,1,long-lived,1,1
AHSG,OG0009540,NA,NA,paml_selected,NA,NA,NA,1,0,long-lived,1,1
AK9,OG0004540,NA,NA,paml_selected,NA,relaxed,NA,1,1,long-lived,1,1
AKAP11,OG0006631,NA,NA,paml_selected,NA,NA,NA,1,0,long-lived,1,1
AKAP9,OG0002915,NA,NA,paml_selected,NA,NA,NA,1,0,long-lived,1,1
ALCAM,OG0005195,NA,NA,paml_selected,NA,relaxed,NA,1,1,long-lived,1,1
ALKBH6,OG0011402,NA,intensified,NA,NA,NA,NA,1,0,long-lived,1,1
ALPK2,OG0011427,NA,NA,paml_selected,NA,NA,NA,1,0,long-lived,1,1
ALS2CL,OG0010646,NA,NA,paml_selected,NA,relaxed,NA,1,1,long-lived,1,1
AMER1,OG0007389,NA,NA,paml_selected,NA,NA,NA,1,0,long-lived,1,1
ANKLE1,OG0009166,NA,NA,paml_selected,NA,NA,NA,1,0,long-lived,1,1
APEX1,OG0005956,NA,NA,paml_selected,NA,relaxed,NA,1,1,long-lived,1,1
APOB,OG0011404,NA,NA,paml_selected,NA,relaxed,NA,1,1,long-lived,1,1
APOH,OG0004499,NA,NA,paml_selected,NA,NA,NA,1,0,long-lived,1,1
AQR,OG0009138,NA,NA,paml_selected,NA,relaxed,NA,1,1,long-lived,1,1
ARFGAP1,OG0011360,NA,NA,paml_selected,NA,relaxed,NA,1,1,long-lived,1,1
ARHGAP23,OG0005582,NA,NA,paml_selected,NA,relaxed,NA,1,1,long-lived,1,1
ARHGAP31,OG0009476,NA,NA,paml_selected,NA,NA,NA,1,0,long-lived,1,1
ARHGEF12,OG0004634,NA,NA,paml_selected,NA,relaxed,NA,1,1,long-lived,1,1
ARHGEF2,OG0007859,NA,NA,paml_selected,NA,NA,NA,1,0,long-lived,1,1
ARL6IP6,OG0007406,NA,NA,paml_selected,NA,NA,NA,1,0,long-lived,1,1
ASB3,OG0009947,NA,NA,paml_selected,NA,relaxed,NA,1,1,long-lived,1,1
ASCC2,OG0005665,NA,NA,paml_selected,NA,relaxed,NA,1,1,long-lived,1,1
ASCL3,OG0012564,NA,NA,paml_selected,NA,relaxed,NA,1,1,long-lived,1,1
ASTE1,OG0002918,NA,NA,paml_selected,NA,NA,NA,1,0,long-lived,1,1
ATF6B,OG0008559,NA,NA,paml_selected,NA,NA,NA,1,0,long-lived,1,1
ATF7IP,OG0010171,NA,NA,paml_selected,NA,NA,NA,1,0,long-lived,1,1
ATF7IP2,OG0012329,NA,NA,paml_selected,NA,NA,NA,1,0,long-lived,1,1
ATM,OG0005649,NA,NA,paml_selected,NA,NA,NA,1,0,long-lived,1,1
ATMIN,OG0005447,NA,NA,paml_selected,NA,relaxed,NA,1,1,long-lived,1,1
ATP11B,OG0006623,NA,NA,paml_selected,NA,relaxed,NA,1,1,long-lived,1,1
ATP1B1,OG0006684,NA,NA,paml_selected,NA,relaxed,NA,1,1,long-lived,1,1
ATP1B4,OG0008688,NA,NA,paml_selected,NA,NA,NA,1,0,long-lived,1,1
AVL9,OG0010719,NA,NA,paml_selected,NA,NA,NA,1,0,long-lived,1,1
B3GALTL,OG0005343,NA,NA,paml_selected,NA,relaxed,NA,1,1,long-lived,1,1
BAZ1A,OG0007743,NA,NA,paml_selected,NA,relaxed,NA,1,1,long-lived,1,1
BCAS1,OG0011121,NA,NA,paml_selected,NA,NA,NA,1,0,long-lived,1,1
BCO2,OG0006441,NA,NA,paml_selected,NA,NA,NA,1,0,long-lived,1,1
BCORL1,OG0004655,NA,NA,paml_selected,NA,relaxed,NA,1,1,long-lived,1,1
BDNF,OG0009165,NA,intensified,NA,NA,NA,NA,1,0,long-lived,1,1
BDP1,OG0004649,NA,NA,paml_selected,NA,NA,NA,1,0,long-lived,1,1
BFSP1,OG0009911,NA,NA,paml_selected,NA,relaxed,NA,1,1,long-lived,1,1
BMPR2,OG0004931,NA,NA,paml_selected,NA,relaxed,NA,1,1,long-lived,1,1
BOC,OG0011446,NA,NA,paml_selected,NA,relaxed,NA,1,1,long-lived,1,1
BPTF,OG0003715,NA,NA,paml_selected,NA,relaxed,NA,1,1,long-lived,1,1
BRCA2,OG0005593,NA,NA,paml_selected,NA,NA,NA,1,0,long-lived,1,1
C15orf39,OG0006464,NA,NA,paml_selected,NA,relaxed,NA,1,1,long-lived,1,1
C16orf89,OG0011791,NA,NA,paml_selected,NA,relaxed,NA,1,1,long-lived,1,1
C1orf94,OG0012684,NA,NA,paml_selected,NA,relaxed,NA,1,1,long-lived,1,1
C2orf70,OG0012024,NA,NA,paml_selected,NA,NA,NA,1,0,long-lived,1,1
C3orf14,OG0011141,NA,intensified,NA,NA,NA,NA,1,0,long-lived,1,1
C6orf89,OG0011442,NA,NA,paml_selected,NA,NA,NA,1,0,long-lived,1,1
C8B,OG0011660,NA,NA,paml_selected,NA,NA,NA,1,0,long-lived,1,1
C9,OG0008182,NA,NA,paml_selected,NA,NA,NA,1,0,long-lived,1,1
CAPS2,OG0011689,NA,intensified,NA,NA,NA,NA,1,0,long-lived,1,1
CARD14,OG0011421,NA,NA,paml_selected,NA,relaxed,NA,1,1,long-lived,1,1
CARF,OG0007571,NA,intensified,NA,NA,NA,NA,1,0,long-lived,1,1
CASP8AP2,OG0005310,NA,NA,paml_selected,NA,NA,NA,1,0,long-lived,1,1
CATIP,OG0008217,NA,NA,paml_selected,NA,NA,NA,1,0,long-lived,1,1
CCDC105,OG0008313,NA,NA,paml_selected,NA,NA,NA,1,0,long-lived,1,1
CCDC14,OG0010163,NA,intensified,NA,NA,NA,NA,1,0,long-lived,1,1
CCDC151,OG0008617,NA,NA,paml_selected,NA,NA,NA,1,0,long-lived,1,1
CCDC173,OG0010519,NA,NA,paml_selected,NA,NA,NA,1,0,long-lived,1,1
CCDC174,OG0007377,NA,NA,paml_selected,NA,NA,NA,1,0,long-lived,1,1
CCDC175,OG0008133,NA,NA,paml_selected,NA,relaxed,NA,1,1,long-lived,1,1
CCDC18,OG0005644,NA,NA,paml_selected,NA,NA,NA,1,0,long-lived,1,1
CCDC180,OG0005973,NA,NA,paml_selected,NA,relaxed,NA,1,1,long-lived,1,1
CCDC34,OG0006837,NA,NA,paml_selected,NA,NA,NA,1,0,long-lived,1,1
CCDC51,OG0011507,NA,intensified,NA,NA,NA,NA,1,0,long-lived,1,1
CCDC66,OG0011859,NA,NA,paml_selected,NA,NA,NA,1,0,long-lived,1,1
CCNH,OG0010048,NA,NA,paml_selected,NA,relaxed,NA,1,1,long-lived,1,1
CCNT1,OG0010209,NA,NA,paml_selected,NA,NA,NA,1,0,long-lived,1,1
CCP110,OG0004685,NA,NA,paml_selected,NA,NA,NA,1,0,long-lived,1,1
CCT2,OG0007172,NA,NA,paml_selected,NA,relaxed,NA,1,1,long-lived,1,1
CD248,OG0005592,NA,NA,paml_selected,NA,NA,NA,1,0,long-lived,1,1
CD36,OG0004980,NA,NA,paml_selected,NA,NA,NA,1,0,long-lived,1,1
CD6,OG0010832,NA,NA,paml_selected,NA,NA,NA,1,0,long-lived,1,1
CD7,OG0004152,NA,NA,paml_selected,NA,relaxed,NA,1,1,long-lived,1,1
CD74,OG0008673,NA,NA,paml_selected,NA,NA,NA,1,0,long-lived,1,1
CD93,OG0010276,NA,NA,paml_selected,NA,NA,NA,1,0,long-lived,1,1
CDADC1,OG0008823,NA,NA,paml_selected,NA,relaxed,NA,1,1,long-lived,1,1
CDCA2,OG0009441,NA,NA,paml_selected,NA,NA,NA,1,0,long-lived,1,1
CDCP1,OG0004714,NA,NA,paml_selected,NA,relaxed,NA,1,1,long-lived,1,1
CDH13,OG0004363,NA,NA,paml_selected,NA,NA,NA,1,0,long-lived,1,1
CDH16,OG0011433,NA,NA,paml_selected,NA,relaxed,NA,1,1,long-lived,1,1
CDH17,OG0010816,NA,NA,paml_selected,NA,NA,NA,1,0,long-lived,1,1
CDHR2,OG0005530,NA,NA,paml_selected,NA,NA,NA,1,0,long-lived,1,1
CDKN2AIPNL,OG0006408,NA,NA,paml_selected,NA,NA,NA,1,0,long-lived,1,1
CDON,OG0008992,NA,NA,paml_selected,NA,NA,NA,1,0,long-lived,1,1
