OG	gene_symbol
OG0000149	PHLPP1
OG0000150	ZIC5
OG0000152	TEC
OG0000153	PPIA
OG0000154	CD1E
OG0000155	ZP3
OG0000156	ITGAD
OG0000157	MYL7
OG0000158	ABCC1
OG0000159	RAB8A
OG0000160	CLCA2
OG0000161	CFH
OG0000162	IFITM3
OG0000163	UBE2D4
OG0000164	MAST4
OG0000165	TMSB15B
OG0000166	PROC
OG0000167	TM4SF1
OG0000168	RPS27
OG0000169	ALDH1B1
OG0000170	WNK1
OG0000171	-
OG0000172	TPM1
OG0000173	Sep-10
OG0000174	NLRP12
OG0000175	ANKRD26
OG0000176	PNMA3
OG0000177	NLGN3
OG0000178	PEG10
OG0000179	HYAL2
OG0000180	LGALS8
OG0000181	-
OG0000182	GNAI2
OG0000183	ADAM29
OG0000184	ATP12A
OG0000185	AVPR1B
OG0000186	IGHV6-1
OG0000187	LY6E
OG0000188	-
OG0000189	HRASLS
OG0000190	TRPM6
OG0000191	-
OG0000192	MC4R
OG0000193	DLG2
OG0000194	FXYD5
OG0000195	GNA15
OG0000196	ATP13A3
OG0000197	CAMK2B
OG0000198	ATP2B3
OG0000199	SLC2A3
OG0000200	FOXD2
OG0000201	IL37
OG0000202	PDE4A
OG0000203	MAPK14
OG0000204	ENDOD1
OG0000205	KCNIP2
OG0000206	CA7
OG0000207	AKR1C1
OG0000208	PCBP4
OG0000209	RAB3C
OG0000210	MMP15
OG0000211	CRMP1
OG0000213	ASIC4
OG0000214	GRM8
OG0000216	-
OG0000217	CYTH2
OG0000218	PCDHA10
OG0000219	CELF4
OG0000220	PFKFB3
OG0000221	NCALD
OG0000222	NDRG4
OG0000223	VAMP2
OG0000224	TENM4
OG0000225	TLE4
OG0000226	ZP1
OG0000227	HCN4
OG0000228	MYH14
OG0000229	KCNC3
OG0000230	EEF1A2
OG0000231	MAP4K3
OG0000232	SIRPA
OG0000233	RAB17
OG0000234	CYP4A11
OG0000235	ZCCHC3
OG0000236	GFAP
OG0000237	PSD3
OG0000238	GABRA2
OG0000239	PPP1R14D
OG0000240	CAMK1G
OG0000241	SHANK1
OG0000242	TFAP2B
OG0000243	ASTL
OG0000244	ANP32E
OG0000245	FAM46A
OG0000246	SLC6A11
OG0000247	PPP2R2B
OG0000248	MAP3K9
OG0000249	EYA4
OG0000250	MAF
OG0000251	PIAS1
OG0000252	CNTNAP3
OG0000253	BMP6
OG0000254	SRC
OG0000255	NDST3
OG0000256	OPRM1
OG0000257	AQP7
OG0000258	FCRLB
OG0000259	NXPH4
OG0000260	CABP1
OG0000261	POU3F3
OG0000262	SLC7A2
OG0000263	DNAJB6
OG0000264	NLRP12
OG0000265	ZBED5
OG0000266	RBP1
OG0000267	TNFAIP8L3
OG0000268	C1QL2
OG0000269	GNB3
OG0000270	FAM19A2
OG0000271	RPS6KA6
OG0000272	STX2
OG0000273	DLC1
OG0000274	REG3A
OG0000275	PVALB
OG0000276	SLC12A6
OG0000277	PDK1
OG0000278	PTP4A1
OG0000279	NTM
OG0000280	KCNJ12
OG0000281	OR1E2
OG0000282	NAPSA
OG0000283	AGO2
OG0000284	TUB
OG0000285	HOXA4
OG0000286	CBLN2
OG0000287	CNFN
OG0000288	EHD1
OG0000289	GLRA1
OG0000290	FGFR1
OG0000291	REEP1
OG0000292	SRSF4
OG0000293	ACTN1
OG0000294	ADRA2A
OG0000295	EMX1
OG0000296	DNASE1
OG0000297	SLC25A31
OG0000298	ZFP36L2
OG0000299	KLRF1
OG0000300	PBX1
OG0000301	CYP3A7
OG0000302	TRIM62
OG0000303	SPTBN4
OG0000304	-
OG0000305	PLXNA2
OG0000306	-
OG0000307	LCK
OG0000308	ACAP2
OG0000309	SLC27A5
OG0000310	HK1
OG0000311	RPL39
OG0000312	NR2F1
OG0000313	GPR87
OG0000314	SLCO1B3
OG0000316	GSTA1
OG0000317	KCNJ9
OG0000318	EBF4
OG0000319	CORO1C
OG0000320	ABCB4
OG0000321	MUC16
OG0000322	-
OG0000323	GPR6
OG0000324	GJB5
OG0000325	AQP1
OG0000326	NKAIN4
OG0000327	PPP3CB
OG0000328	RHOB
OG0000329	RAB11B
OG0000330	COL11A1
OG0000331	C2CD4C
OG0000332	SFTPD
OG0000333	GABRG2
OG0000334	ZNF483
OG0000335	CNTN5
OG0000336	IFIT3
OG0000337	ITPKB
OG0000338	ARRB1
OG0000339	PPFIA1
OG0000340	CBX5
OG0000341	NME2
OG0000342	PLA2G4B
OG0000343	KCNH7
OG0000344	YPEL3
OG0000345	CLK1
OG0000346	TAAR9
OG0000350	KLC1
OG0000351	RDH13
OG0000352	LDHAL6A
OG0000353	ODF3L1
OG0000354	BEST3
OG0000355	TMOD1
OG0000356	PABPC4
OG0000357	NOTCH1
OG0000358	CACNA1C
OG0000359	TMPRSS11F
OG0000360	RAB42
OG0000361	PRF1
OG0000362	GABRB2
OG0000363	CRYBB1
OG0000364	NIPAL1
OG0000365	BPGM
OG0000366	SLC25A23
OG0000367	SYT2
OG0000369	FAT3
OG0000370	CD40
OG0000371	GADD45A
OG0000372	NRXN2
OG0000373	CYP4F22
OG0000374	-
OG0000375	RPH3A
OG0000376	IFI44
OG0000377	ARHGAP17
OG0000378	Sep-03
OG0000379	PPP1CC
OG0000380	MYPOP
OG0000381	HAVCR1
OG0000382	SLC8A1
OG0000383	ITGA11
OG0000384	EPHB2
OG0000385	ACSM3
OG0000386	Zfp955a
OG0000387	-
OG0000389	TACR3
OG0000390	CRYBA1
OG0000391	BTF3
OG0000392	ALDH3A1
OG0000393	KRAS
OG0000394	LRFN1
OG0000395	-
OG0000396	JPH3
OG0000397	MAP4K4
OG0000398	RBFOX1
OG0000399	ABCB9
OG0000400	LRP8
OG0000401	HNRNPDL
OG0000402	BRINP2
OG0000403	PLCD4
OG0000404	-
OG0000405	CSMD3
OG0000406	TTN
OG0000407	ARL4C
OG0000408	CDIP1
OG0000409	-
OG0000410	GSG1
OG0000411	AGAP2
OG0000412	MAP1LC3A
OG0000413	ANXA3
OG0000414	SLC9A1
OG0000415	TNRC6A
OG0000416	CACNA1A
OG0000417	ENAH
OG0000418	OLFM1
OG0000419	ATP2A3
OG0000420	STAG2
OG0000421	MTA1
OG0000422	ARHGEF4
OG0000423	PRKCG
OG0000424	LAMB1
OG0000425	GPR35
OG0000426	MASP1
OG0000427	TNNI3
OG0000428	CTRL
OG0000429	CYCS
OG0000430	CELSR3
OG0000431	FUT4
OG0000432	TNNT2
OG0000433	ARSE
OG0000434	SSH2
OG0000435	ARAP2
OG0000436	PPARG
OG0000437	SSBP4
OG0000438	JUNB
OG0000439	NAT8
OG0000440	EPN1
OG0000441	OAS3
OG0000442	-
OG0000443	GPR50
OG0000444	ADRA1D
OG0000445	FADS1
OG0000446	AP1S2
OG0000447	MYADM
OG0000448	FMNL1
OG0000449	POU4F1
OG0000450	LHFPL4
OG0000451	TRIM55
OG0000452	ALOXE3
OG0000453	IGF1R
OG0000454	VDAC2
OG0000455	ANGPT4
OG0000456	SRPK2
OG0000457	EFNB1
OG0000458	PLSCR5
OG0000459	LIPM
OG0000460	GSTM4
OG0000462	SUMO3
OG0000463	GPR56
OG0000464	MCF2L
OG0000465	ALPI
OG0000466	MARK1
OG0000467	DNAH11
OG0000468	RGS20
OG0000469	LHB
OG0000470	RND3
OG0000471	CST6
OG0000472	MSN
OG0000473	TXLNB
OG0000474	DYRK4
OG0000475	CCND1
OG0000476	CDK18
OG0000477	SPIN2B
OG0000478	DIP2C
OG0000479	ACSL5
OG0000481	ONECUT2
OG0000482	GIPR
OG0000483	SSTR3
OG0000484	DNM3
OG0000485	SYNGR2
OG0000486	KLF14
OG0000487	PLIN2
OG0000488	LPHN3
OG0000489	PTBP3
OG0000490	CPNE5
OG0000491	ETV5
OG0000492	PRKAG2
OG0000493	SLC44A5
OG0000494	ICAM5
OG0000495	FAM71B
OG0000496	ZBED1
OG0000497	HS6ST2
OG0000498	PXN
OG0000499	PARD6G
OG0000500	APBA1
OG0000501	DNAJB5
OG0000502	WWP1
OG0000503	DPF3
OG0000504	ALDOA
OG0000505	ATP5G2
OG0000506	CERS4
OG0000507	PELI3
OG0000508	SV2A
OG0000509	PDLIM4
OG0000510	UBP1
OG0000511	SOX3
OG0000512	GRK4
OG0000513	STRN3
OG0000514	CD81
OG0000515	PACS1
OG0000516	EPPIN
OG0000517	CRP
OG0000518	FOXI3
OG0000519	ZBTB12
OG0000520	ROR1
OG0000521	RUNX2
OG0000522	DBP
OG0000523	PRMT3
OG0000524	ACOT2
OG0000525	NUDT4
OG0000526	PITPNM2
OG0000527	PRDX4
OG0000528	SLIT1
OG0000529	DNAJC5B
OG0000530	CLCN3
OG0000531	SLC4A3
OG0000532	CBLB
OG0000533	SLC17A8
OG0000534	SMAD9
OG0000535	CYP2J2
OG0000536	AKT2
OG0000537	SESN1
OG0000538	FSCN2
OG0000539	COLGALT2
OG0000540	LOXL2
OG0000541	LTBP2
OG0000542	FFAR3
OG0000543	LY9
OG0000544	OR14C36
OG0000545	-
OG0000547	CREB3L3
OG0000548	GDF5
OG0000549	HSD17B1
OG0000550	TPH2
OG0000551	ADRB1
OG0000552	CNN1
OG0000553	NPHS2
OG0000554	HES5
OG0000555	TOR3A
OG0000556	DVL2
OG0000557	KCNH8
OG0000558	PIM1
OG0000559	CACNG8
OG0000560	HEY2
OG0000561	METTL7A
OG0000562	KCTD17
OG0000563	HOXA1
OG0000564	SH3BGRL
OG0000565	CHD3
OG0000566	CREM
OG0000567	CNGA3
OG0000568	PRKD1
OG0000569	ADAMTS14
OG0000570	DOCK1
OG0000571	MBNL1
OG0000572	SEZ6
OG0000573	ITPR1
OG0000574	LPAR3
OG0000575	GRIK1
OG0000576	ADAM19
OG0000577	CLDN19
OG0000578	ARID3A
OG0000579	RPL23A
OG0000580	NPY1R
OG0000581	SGCZ
OG0000582	DENND1A
OG0000583	NKX2-3
OG0000584	FOXA1
OG0000585	PAK1
OG0000586	ZDHHC2
OG0000587	PRL
OG0000588	RCAN1
OG0000589	GAL3ST1
OG0000590	PFKM
OG0000591	GRB10
OG0000592	TEAD3
OG0000593	IFI6
OG0000594	PDZRN3
OG0000595	P2RX1
OG0000596	ABHD17A
OG0000597	RXRB
OG0000598	UNC13B
OG0000599	KCNK3
OG0000600	RAP2B
OG0000601	PTPRS
OG0000602	LTB4R2
OG0000603	UBE2E3
OG0000604	DOCK7
OG0000605	-
OG0000606	RTP1
OG0000607	PIK3R2
OG0000608	GPR116
OG0000609	-
OG0000610	HCAR2
OG0000611	MCOLN1
OG0000612	AKR1B10
OG0000613	FNBP1
OG0000614	PLS3
OG0000615	EFNA2
OG0000616	ESRRB
OG0000617	SLC6A19
OG0000618	LIN7A
OG0000619	ANTXRL
OG0000620	DIAPH1
OG0000621	IGF2BP3
OG0000622	ENO3
OG0000623	RARA
OG0000624	CPT1C
OG0000625	TCEA3
OG0000626	OSBPL6
OG0000627	DLX6
OG0000628	SFPQ
OG0000629	ATL3
OG0000630	BRWD1
OG0000631	OGT
OG0000633	RPL22
OG0000634	PIWIL2
OG0000635	SNCG
OG0000636	HOXD11
OG0000637	CSTB
OG0000638	KCNN2
OG0000639	LFNG
OG0000640	KCND3
OG0000641	SH3GL2
OG0000642	RYR1
OG0000643	ZNF346
OG0000644	FCRL5
OG0000645	TNFAIP1
OG0000646	HAS1
OG0000647	ACVR1B
OG0000648	PYGL
OG0000649	GPR124
OG0000650	THBS3
OG0000651	FLNC
OG0000652	CDX2
OG0000653	HMGN2
OG0000654	ARTN
OG0000655	CPA5
OG0000656	PLCB3
OG0000657	MICAL3
OG0000658	MAFK
OG0000659	RPL21
OG0000660	SPRY1
OG0000661	RHCG
OG0000662	CFL1
OG0000663	TRPC3
OG0000664	TSHR
OG0000665	HMGN1
OG0000666	RRAD
OG0000667	PPP2R5B
OG0000668	USP15
OG0000669	FZD1
OG0000670	COL4A5
OG0000671	TBC1D10B
OG0000672	CSNK1G3
OG0000673	-
OG0000674	MTMR1
OG0000675	KCNAB3
OG0000676	JAKMIP3
OG0000677	PANK2
OG0000678	ATP10A
OG0000679	FBN2
OG0000680	MTMR8
OG0000681	L3MBTL1
OG0000682	TSPAN17
OG0000683	ARL5C
OG0000684	HSPA4L
OG0000685	KIF5A
OG0000686	DGKA
OG0000687	DOCK10
OG0000688	SLC25A48
OG0000689	DGAT2
OG0000690	DOK4
OG0000691	GABRR1
OG0000692	LEPRE1
OG0000693	SAT2
OG0000694	NDUFA4L2
OG0000695	FGF20
OG0000696	PSMB11
OG0000697	EGLN1
OG0000698	MEIS3
OG0000699	ORMDL1
OG0000700	HOXB3
OG0000701	AHNAK
OG0000702	TMEM106B
OG0000703	AOX1
OG0000704	FBXO2
OG0000705	LPIN1
OG0000706	SYN1
OG0000707	RBMS2
OG0000708	REXO1
OG0000710	SPRR3
OG0000711	ZNF551
OG0000712	STK32C
OG0000713	APOA4
OG0000714	SELP
OG0000715	SLC16A7
OG0000716	RPL36A
OG0000717	NANOS1
OG0000718	TAGLN2
OG0000719	MYLK3
OG0000720	NKX6-1
OG0000721	CDC42BPA
OG0000722	TPPP
OG0000723	ELAVL4
OG0000724	IL1RL2
OG0000725	SERINC3
OG0000726	SHH
OG0000727	PLOD1
OG0000728	TRIB3
OG0000729	BAIAP2
OG0000730	FUT1
OG0000731	UNC5A
OG0000732	GPR137C
OG0000733	ABCC4
OG0000734	-
OG0000735	NUTM1
OG0000736	-
OG0000737	HOXD9
OG0000738	FCN1
OG0000739	RPS26
OG0000740	ASB9
OG0000741	MFSD2A
OG0000742	PHLDA1
OG0000743	GPR27
OG0000744	FAM3A
OG0000745	MSX1
OG0000746	TLX1
OG0000747	MYO15A
OG0000748	OTX1
OG0000749	SLC34A2
OG0000750	ASPN
OG0000751	SMARCD2
OG0000752	CTBP2
OG0000753	MAN1A1
OG0000754	MPO
OG0000755	HNRNPH1
OG0000756	HEPH
OG0000757	GIPC3
OG0000758	SFXN2
OG0000759	ATP8B4
OG0000760	KDELR3
OG0000761	MAPK8
OG0000762	STK24
OG0000763	IQGAP1
OG0000764	GJB1
OG0000765	KPNA6
OG0000766	-
OG0000767	SLC30A3
OG0000768	ASB10
OG0000769	RLN3
OG0000770	DRD5
OG0000771	GAPDHS
OG0000772	TLL2
OG0000773	PLK2
OG0000774	Sep-04
OG0000775	CSRP2
OG0000776	SP100
OG0000777	DYSF
OG0000778	KCNG4
OG0000779	ARHGDIA
OG0000780	ATP6V1G3
OG0000781	PDE1C
OG0000782	TMEM30A
OG0000783	IQCF1
OG0000784	ASMTL
OG0000785	OTOF
OG0000786	CIRBP
OG0000787	MOB3A
OG0000788	DDR1
OG0000789	SPACA4
OG0000790	CTDSP1
OG0000791	ZNF385B
OG0000792	ITIH4
OG0000793	ADAM32
OG0000794	OR56A3
OG0000795	LGALS1
OG0000796	HOXD8
OG0000797	WAS
OG0000798	CYP27A1
OG0000799	GJD2
OG0000800	GSTT1
OG0000801	TRPV4
OG0000802	PYCARD
OG0000803	GATA6
OG0000804	EIF1
OG0000805	SLC47A2
OG0000806	PPP6R2
OG0000807	VEGFA
OG0000808	ZSWIM6
OG0000809	SPSB1
OG0000810	EIF4EBP2
OG0000811	CNIH3
OG0000812	TMEM132C
OG0000813	DUSP7
OG0000814	ADCY2
OG0000815	GGT5
OG0000816	CPNE2
OG0000817	KLHL5
OG0000818	PADI2
OG0000819	ZNF24
OG0000820	RXFP3
OG0000821	ACR
OG0000822	MOGAT2
OG0000823	OVOL2
OG0000824	CSNK2A1
OG0000825	YBX2
OG0000826	PNPLA2
OG0000827	SBK1
OG0000828	PTPN6
OG0000829	EDNRB
OG0000830	SNAP23
OG0000831	SCUBE2
OG0000832	SPNS1
OG0000833	DNAH8
OG0000834	AADACL4
OG0000835	MYBPC3
OG0000836	CYP8B1
OG0000837	SLC24A4
OG0000838	-
OG0000839	RPL17
OG0000840	DIRAS1
OG0000841	BCL2
OG0000842	ARL2
OG0000843	CHMP4C
OG0000844	SEMA3F
OG0000845	ZFAND5
OG0000846	TIMP4
OG0000847	ARHGAP28
OG0000848	SLC6A15
OG0000849	MEX3D
OG0000850	SLC36A3
OG0000851	CYBB
OG0000852	TRAK1
OG0000853	TMED9
OG0000854	ABCA5
OG0000855	TRIM51
OG0000856	USP17L10
OG0000857	-
OG0000858	NLRP12
OG0000859	-
OG0000860	BTD
OG0000861	NPAS2
OG0000862	CCDC88C
OG0000863	C1QB
OG0000864	NEUROG2
OG0000865	GPD1L
OG0000866	GJC2
OG0000867	KIF2A
OG0000868	NRN1
OG0000869	ZNRF4
OG0000870	CPNE7
OG0000871	AUTS2
OG0000872	TGM5
OG0000873	COL6A5
OG0000874	L1TD1
OG0000875	TRAF2
OG0000876	LRRC37A2
OG0000877	ADAP2
OG0000878	TSPAN4
OG0000879	SH2D7
OG0000880	VCP
OG0000881	DUSP14
OG0000882	PDE6A
OG0000883	DGKD
OG0000884	KDM6B
OG0000885	PPM1B
OG0000886	ROM1
OG0000887	-
OG0000888	SLC25A36
OG0000889	SLC22A1
OG0000890	GPC3
OG0000891	UPK3B
OG0000892	BTBD11
OG0000893	ANGPTL2
OG0000894	GAD1
OG0000895	PKN2
OG0000896	RPL10L
OG0000897	GDPD5
OG0000898	GNAT3
OG0000899	KRTAP13-2
OG0000900	PRAME
OG0000901	SLC28A3
OG0000902	CTSV
OG0000903	CTXN1
OG0000904	F2RL3
OG0000905	MGAT4C
OG0000906	SLC22A5
OG0000907	TLR8
OG0000908	FMN2
OG0000909	CYB5R2
OG0000910	CACNA1G
OG0000911	OR7G1
OG0000912	CAMP
OG0000913	MYL12A
OG0000914	UBQLN2
OG0000915	MAT1A
OG0000916	CLEC19A
OG0000917	RAB6A
OG0000918	MX2
OG0000919	TECRL
OG0000920	SET
OG0000921	PIEZO2
OG0000922	UCP3
OG0000923	KMT2A
OG0000924	TRIO
OG0000925	COL18A1
OG0000926	COL4A2
OG0000927	DYNLL1
OG0000929	SETD1B
OG0000930	CYP11A1
OG0000932	PSMB6
OG0000933	CD200
OG0000934	CPLX4
OG0000935	MID1IP1
OG0000936	EMP2
OG0000937	MYO5A
OG0000938	FAM49B
OG0000939	RAP1GAP
OG0000940	KMT2D
OG0000941	CRISP2
OG0000942	SOX21
OG0000943	PITPNB
OG0000944	BTG1
OG0000945	LRRC16A
OG0000946	C1QTNF1
OG0000947	HIATL1
OG0000948	MGAT4B
OG0000949	RAB1A
OG0000950	TAOK1
OG0000951	CD276
OG0000952	DAPK2
OG0000953	GSDMC
OG0000954	CNNM2
OG0000955	USP12
OG0000956	MAPRE3
OG0000957	PRPS2
OG0000958	NTNG2
OG0000959	UBE2V2
OG0000960	ITLN2
OG0000962	ABCA7
OG0000963	SLC52A3
OG0000964	FHOD3
OG0000965	FAM107B
OG0000966	-
OG0000967	TMEM14C
OG0000968	ASGR2
OG0000970	CYSLTR2
OG0000971	LMX1B
OG0000972	TXNDC8
OG0000973	TWIST1
OG0000974	CDK5R2
OG0000975	KCNJ8
OG0000976	SNX6
OG0000977	NPFFR1
OG0000978	MYO18B
OG0000979	C3
OG0000980	CASKIN1
OG0000981	EVA1C
OG0000982	TMEM151B
OG0000983	SMEK2
OG0000984	HDGF
OG0000985	RPLP1
OG0000987	-
OG0000988	LDB3
OG0000989	SST
OG0000990	IL1RAPL1
OG0000991	KCNK12
OG0000992	CETN1
OG0000993	P2RY10
OG0000994	MYO1F
OG0000995	KCNK1
OG0000996	CROCC
OG0000997	CREBBP
OG0000998	GFI1
OG0000999	RAB32
OG0001000	ENSA
OG0001001	NEU4
OG0001002	LRP1B
OG0001003	NELL2
OG0001004	KIF13B
OG0001005	MYOM2
OG0001006	NCOR1
OG0001007	NTRK3
OG0001008	HSPB9
OG0001009	DPP6
OG0001010	CRK
OG0001011	TNFRSF10A
OG0001012	SLC4A5
OG0001013	GRID2
OG0001014	ATP5J2
OG0001015	-
OG0001016	RAET1G
OG0001017	-
OG0001018	CXCR3
OG0001019	HTR2A
OG0001020	HERC4
OG0001021	SNAI3
OG0001022	RXFP1
OG0001023	NR0B1
OG0001024	MMP17
OG0001025	LAMA2
OG0001026	-
OG0001027	DSG2
OG0001028	GIGYF2
OG0001029	CAPZA1
OG0001030	METRNL
OG0001031	SLC35F1
OG0001032	OLIG2
OG0001033	BTBD6
OG0001034	ATP1B2
OG0001035	SYNDIG1
OG0001036	KLHL25
OG0001037	CFB
OG0001038	ARPC1B
OG0001039	ORAI1
OG0001040	TFPI
OG0001041	LRRN1
OG0001042	SIAH2
OG0001043	TNR
OG0001044	TSC22D4
OG0001045	NR1I2
OG0001046	ZMYM2
OG0001047	PER1
OG0001048	IL5RA
OG0001049	MAP3K3
OG0001050	EIF4E
OG0001051	TTC39A
OG0001052	-
OG0001053	H2AFZ
OG0001054	MXRA5
OG0001055	CHRM4
OG0001056	CKS1B
OG0001057	DBI
OG0001058	GNGT1
OG0001059	GNRHR
OG0001060	RAD23B
OG0001061	PLD4
OG0001062	TBX19
OG0001063	LSM14A
OG0001064	RASL11B
OG0001065	GUCY2F
OG0001066	-
OG0001067	CTSS
OG0001068	RIPPLY3
OG0001069	CALCR
OG0001070	RRM2
OG0001071	BNIP3L
OG0001072	RNF24
OG0001073	PAX7
OG0001074	DEGS1
OG0001075	AURKA
OG0001076	CASP8
OG0001077	SLC7A6
OG0001078	GRIN2A
OG0001079	SLC4A10
OG0001080	TRPM4
OG0001081	AIG1
OG0001082	DYNLT3
OG0001083	COX7A2
OG0001084	EIF4A2
OG0001085	CLIP1
OG0001086	TOP1
OG0001087	CTNNA2
OG0001088	CD99L2
OG0001089	SCD
OG0001090	CHCHD2
OG0001091	NAP1L1
OG0001092	ST3GAL2
OG0001093	MSLN
OG0001094	-
OG0001095	UBAP2
OG0001096	PRSS35
OG0001097	BMP2K
OG0001098	ANK3
OG0001099	OPN5
OG0001100	RPL29
OG0001101	RPS29
OG0001102	-
OG0001103	ELSPBP1
OG0001104	-
OG0001105	QRICH2
OG0001106	TRHR
OG0001107	GPR68
OG0001108	RAP1A
OG0001109	CHRNB2
OG0001110	ALB
OG0001111	CBR3
OG0001112	SLC35F4
OG0001113	P2RY2
OG0001114	RAPGEF2
OG0001115	USP16
OG0001116	TXNRD3
OG0001117	TRPC4
OG0001118	MMD2
OG0001119	TKT
OG0001120	AGPAT9
OG0001121	KDM2B
OG0001122	RHOBTB2
OG0001123	FKBP1A
OG0001124	STK17A
OG0001125	RBM10
OG0001126	STK35
OG0001127	MAP3K5
OG0001128	ERC1
OG0001129	ADIPOR2
OG0001130	MEP1A
OG0001131	FAM98A
OG0001132	B4GALT2
OG0001133	KDM5A
OG0001134	SLMO2
OG0001135	SGK1
OG0001136	CORO2A
OG0001137	HTRA2
OG0001138	COL27A1
OG0001139	MSI1
OG0001140	CCNYL1
OG0001141	CDK2AP2
OG0001142	ARL8B
OG0001143	SPRED1
OG0001144	TMEM8B
OG0001145	ADORA1
OG0001146	CYP2D6
OG0001147	ADCK3
OG0001148	CASP7
OG0001149	FASLG
OG0001150	MPDZ
OG0001151	FOS
OG0001152	DLGAP2
OG0001153	ELL2
OG0001154	HRH3
OG0001155	CNDP1
OG0001156	MSMB
OG0001157	RPL31
OG0001158	IMPDH1
OG0001159	COQ10A
OG0001160	ARHGAP32
OG0001161	TBX3
OG0001162	BCR
OG0001163	SIX2
OG0001164	HINT2
OG0001165	PRTFDC1
OG0001166	NUAK1
OG0001167	RNF40
OG0001168	CUX1
OG0001169	TFE3
OG0001170	ARID1B
OG0001171	NXF1
OG0001172	TARSL2
OG0001173	IRX4
OG0001174	IGFBP3
OG0001175	DGUOK
OG0001176	LHX2
OG0001177	HMGA2
OG0001178	NPTXR
OG0001179	CSNK1D
OG0001180	ZDHHC3
OG0001181	ADSSL1
OG0001182	KIT
OG0001183	TSSK2
OG0001184	HECW1
OG0001185	RBM4
OG0001186	ZNF280D
OG0001187	NTN1
OG0001188	HMOX2
OG0001189	SPIRE1
OG0001190	DDX19B
OG0001191	OR10H1
OG0001192	PGLYRP3
OG0001193	GCNT7
OG0001194	-
OG0001195	NCR3
OG0001196	SLC13A2
OG0001197	FOLR1
OG0001198	NAV2
OG0001199	CLDN25
OG0001200	NAT1
OG0001201	PRLHR
OG0001202	UTS2R
OG0001203	RPL35A
OG0001204	PLCL2
OG0001205	COX4I2
OG0001206	KCNT1
OG0001207	EPB41L2
OG0001208	P4HA2
OG0001209	PCSK5
OG0001210	NMRK2
OG0001211	GOLPH3L
OG0001212	BARHL2
OG0001213	AVIL
OG0001214	ZFHX3
OG0001215	UCHL3
OG0001216	EHBP1L1
