Acbae,Ancor,Botau,Cacar,Capor,Chpic,Chsab,Cocri,Darer,Elmax,Ercal,Hegla,Hosap,Lacha,Modom,Myluc,Ororc,Ovari,Prang,Ranor,Rhtyp,Sasal,Scvul,Tagut,Tecar,nSp,og,selectionF,selectionB,allF,allB
NA,NA,1,1,1,1,1,1,1.57673696321581e-08,1,2.48582551126697e-05,1,1,1,0.037398268406911,NA,1,1,0.278753791657245,1,1,NA,NA,1.67896152536429e-09,NA,hits_per_19_species,OG0003085,0,4,8,11
1,0.162597481425112,1,NA,1,NA,1,1,NA,0.0134601911852048,NA,1.44057229700678e-06,1,1,1,0.00118165108567325,0.688899629506185,1,1,1,NA,NA,1,1,0.0748776026285304,hits_per_19_species,OG0003122,3,0,9,10
1,1,1,NA,1,1,1,1,NA,1,NA,1,1,1,1,1,1,1,NA,1,NA,NA,1,4.14517788593916e-06,1,hits_per_19_species,OG0003130,0,1,8,11
NA,NA,1,1,1,0.893928996085216,1,1,1,1,1,1,0.430843380177964,0.312088964928092,0.174117775245328,1,1,1,NA,1,NA,NA,0.587411926833084,1,NA,hits_per_19_species,OG0003131,0,0,7,12
1,1,1,1,1,1,NA,1,NA,0.444355222661724,1,NA,1,NA,1,0.0368682180343563,1,1,1,1,1,NA,NA,1,1,hits_per_19_species,OG0003140,1,0,9,10
1,1,1,1,NA,1,NA,1,NA,1,1,1,NA,1,1,1,1,1,0.0239975510412977,1,1,NA,NA,0.00157366780053875,1,hits_per_19_species,OG0003149,1,1,10,9
NA,1,1,1,1,1,3.65034972471534e-06,1,1,NA,1,NA,1,1,NA,1,1,1,1,1,1,NA,NA,1,1,hits_per_19_species,OG0003172,0,1,8,11
NA,1,1,NA,1,1,1,1,NA,0.206388970150081,NA,1,1,1,1,1,1,1,1,1,NA,NA,1,1,1,hits_per_19_species,OG0003184,0,0,8,11
NA,1,1,1,1,1.56552838548318e-05,1,1,NA,1,NA,1,1,NA,1,1,1,1,NA,1,1,NA,1,1,0.00160278163650118,hits_per_19_species,OG0003203,1,1,8,11
NA,1,1,NA,2.65387156694885e-10,3.88998476397173e-06,1,1,NA,1,0.0515061534883881,1,1,NA,0.000281422817566101,1,1,1,NA,1,1,NA,1,1,1,hits_per_19_species,OG0003230,0,3,7,12
1,NA,1,NA,1,1,1,0.358022194684481,1,1,NA,1,1,0.164264384440283,1,1,0.406559538491,1,NA,1,NA,1,0.000842796011674973,0.735793866474123,NA,hits_per_19_species,OG0003253,0,1,7,12
1,1,1,NA,1,1,1,1,1,NA,1,1,1,1,1,1,1,NA,0.00251966910722401,1,NA,NA,NA,1,1,hits_per_19_species,OG0003297,1,0,8,11
NA,1,1,NA,0.080229616727733,0.0324062671471742,1,1,NA,1,1,1,1,1,NA,NA,1,1,1,1,1,NA,1,0.1485523258994,0.00682666883489758,hits_per_19_species,OG0003327,1,1,8,11
NA,0.000123001478485041,0.0864094202256471,1,1,NA,1,1,NA,1,7.8159700933611e-14,1,1,NA,3.57849803216403e-05,0.00217360299444314,1,1,NA,1,1,NA,1,0,3.29736238313671e-14,hits_per_19_species,OG0003376,2,4,8,11
NA,0.942343226146845,1,NA,1,1,1,1,NA,1,NA,1,1,NA,1,1,1,1,1,1,0.00156389461955553,NA,1,1,1,hits_per_19_species,OG0003415,1,0,8,11
NA,1,1,1,1,1,1,1,NA,1,5.59539986144664e-06,1,1,0.0282281063637445,0.372112570399013,1,1,NA,NA,1,0.0141673159824857,NA,1,NA,1,hits_per_19_species,OG0003417,2,1,9,10
1,1,1,1,1,1,1,1,NA,1,1,0.0739798070258979,1,1,1,1,1,NA,NA,NA,0.000279996745474465,NA,NA,1,1,hits_per_19_species,OG0003419,1,0,10,9
NA,0.000804551423744471,0.0185775890795076,NA,1,1,1,1,NA,1,0.860557400404466,1,1,0.488786342105789,NA,0.172645042835526,0.438871130615998,1,0.461125405804385,1,NA,NA,1,0.0677787835817022,1,hits_per_19_species,OG0003427,0,2,8,11
1,1,1,1,1,NA,1,1,NA,1,1,1,1,1,NA,1,1,1,NA,1,1,NA,1,1,NA,hits_per_19_species,OG0003439,0,0,9,10
1,1,1,NA,1,1,1,1,NA,1,1,NA,1,1,1,1,1,NA,1.6435297567341e-11,0.850486075837792,1,NA,NA,1,1,hits_per_19_species,OG0003452,1,0,9,10
NA,1,1,1,NA,1,1,1,NA,1,1,1,1,1,1,1,1,1,1,1,1,NA,NA,1,NA,hits_per_19_species,OG0003465,0,0,9,10
NA,NA,1,1,1,1,1,1,NA,1,NA,1,1,NA,1,1,1,1,1,1,1,NA,1,1,1,hits_per_19_species,OG0003478,0,0,9,10
NA,1,1,NA,1,1,1,1,NA,1,NA,1,1,NA,1,1,1,1,1,1,1,NA,0.559592166661176,1,1,hits_per_19_species,OG0003489,0,0,8,11
NA,1,1,1,1,1,1,1,NA,0,NA,1,1,NA,1,1,1,1,1,1,NA,NA,1,1,1,hits_per_19_species,OG0003490,1,0,8,11
NA,NA,1,0.00117513745145342,1,1,1,1,0.0190376278572329,1,1.19170588360751e-05,1,1,0.336023368774653,NA,1,1,1,NA,1,NA,NA,1,1,0.358946979511486,hits_per_19_species,OG0003491,1,2,8,11
NA,0.115175098487162,1,0.249325544047257,0,1,NA,0.888603101112551,1,1,1,NA,1,NA,1,1,1,1,NA,1,1,NA,1,1,1,hits_per_19_species,OG0003513,0,1,7,12
1,0.406072893542459,1,NA,1,1,NA,1,1,1,1,NA,2.75437223029584e-08,1,1,0.043867156509406,1,NA,1,1,NA,NA,1,1,1,hits_per_19_species,OG0003525,2,0,8,11
0.0884851005715819,1,1,1,1,1,1,1,NA,1,1,NA,1,NA,1,1,0.809681294037489,1,NA,1,1,NA,NA,0.0345570744854191,1,hits_per_19_species,OG0003532,0,1,8,11
NA,NA,1,0.325806246791582,1,1,1,0.000548607795921474,NA,1,1,1,1,NA,0.915959915504162,1,1,1,1,1,NA,NA,1,1,1,hits_per_19_species,OG0003533,0,1,8,11
1,NA,1,1,1,NA,1,1,NA,1,1,1,1,1,1,1,1,1,1,1,1,NA,1,NA,NA,hits_per_19_species,OG0003537,0,0,10,9
0.436790675132194,NA,1,NA,0.290423844923112,1,1.83863719804833e-08,1,1,1,1,1,1,NA,1,NA,1,0,1,1,1,NA,1,NA,1,hits_per_19_species,OG0003538,0,2,8,11
NA,1,1,1,1,NA,1,1,NA,1,0.187340614792645,1,1,1,1,0.0201362431901946,1,1,NA,1,5.19588122527281e-09,NA,0.170143333088763,0.561618920918787,NA,hits_per_19_species,OG0003549,2,0,8,11
0.063017947831359,NA,1,1,NA,1,NA,0.0336837321718104,0.56849860829956,1,1,1,1,0.0799792462052835,1,1,1,1,NA,1,1,NA,1,NA,1,hits_per_19_species,OG0003554,0,1,10,9
0.139853366043399,6.29824964681891e-07,1,NA,1,0.670016422450674,1,1,NA,1,1,1,1,1,6.85302819072309e-05,1,1,1,NA,0.00956630499444522,NA,NA,1,1,NA,hits_per_19_species,OG0003556,0,3,7,12
NA,1,1,NA,1,1,1,1,NA,1,NA,1,1,0.0824754231210822,0.00530771397804469,0.457532369737286,1,1,1,1,NA,NA,1,1,1,hits_per_19_species,OG0003558,0,1,8,11
NA,0.000973878633500513,1,1,0,1,1,1,NA,1,1,1,1,1,1,1,1,1,NA,0.25689045235511,NA,NA,1,NA,1,hits_per_19_species,OG0003568,0,2,8,11
0.0446998967210555,6.08487841335936e-07,1,0.0912538900052595,4.73723393512593e-07,5.17115239517807e-11,1,4.70548896513989e-08,NA,0,1,1.64453813233933e-07,1,0.206743668577824,1.1863510174237e-09,0,1.31894495325469e-13,1,NA,NA,1,NA,NA,0.000163319448887034,NA,hits_per_19_species,OG0003573,5,6,9,10
1,1,1,1,1,1,1.91468204130407e-05,1,NA,1,1,1,1,1,0.000179848469690991,1,NA,NA,1,1,NA,NA,NA,0.000182385467537183,1,hits_per_19_species,OG0003575,0,3,9,10
NA,0.283675793033714,1,1,1,1,1,1,NA,0.228746445210442,NA,0.000581193772293542,1,NA,1,1,1,1,0.00389018019244869,1,0.792517137139066,NA,1,1,NA,hits_per_19_species,OG0003576,2,0,8,11
NA,0.000799791362556368,1,1,1,8.43621658203064e-05,1,1,NA,1,0.0455922173044574,1,1,0.0582198670900314,1.40135236748051e-08,NA,1,1,5.68364509989649e-06,0.232681066273431,0.242249361932546,NA,NA,9.74247526669414e-05,NA,hits_per_19_species,OG0003596,1,5,8,11
NA,0.146168185735049,0.499745939716204,1,0.0491326512334642,1,1,0.516773170728619,NA,0.675557660838692,1,4.16749967868668e-12,1,NA,1.45257789130326e-08,0.00250102972737487,1,0.228634517599419,NA,0.312730655533995,NA,1,NA,0.393411444015969,1,hits_per_19_species,OG0003601,2,2,7,12
1,1,1,1,1,1,NA,1,1,0.000332970507260777,1,NA,1.65409064759037e-05,1,1,1,NA,1,1,NA,1,NA,NA,1,1,hits_per_19_species,OG0003607,2,0,9,10
1,1,1,NA,1,1,1,0.801263055455721,NA,1,1,1,1,NA,1,1,1,1,NA,1,NA,NA,0.811117582397294,1,1,hits_per_19_species,OG0003611,0,0,7,12
NA,1,1,1,1,1,1,1,NA,1,1,1,1,NA,1,1,1,1,NA,1,1,NA,NA,1,1,hits_per_19_species,OG0003620,0,0,8,11
1,1,1,NA,1,1,NA,1,0.718374492031905,1,1,1,1,1,1,NA,1,1,1,NA,1,NA,NA,1,1,hits_per_19_species,OG0003626,0,0,9,10
NA,0.501295998100562,1,1,NA,1.62304458639628e-06,1,2.97469898713487e-08,NA,1,0.695473215593448,1,1,0.00190357678411379,0.81470700809215,0.0304039059790802,1,1,1,1,0.0631287561112706,NA,NA,7.54951656745106e-15,NA,hits_per_19_species,OG0003631,2,3,9,10
1,1,1,1,1,NA,1,1,NA,1,1,1,1,1,1,1,1,1,NA,1,1,NA,NA,1,NA,hits_per_19_species,OG0003632,0,0,9,10
NA,1,1,NA,2.4373315179016e-05,1,1,1,NA,1,NA,1,1,1,1,1,2.12138816446661e-05,1,1,1,NA,NA,1,0.0114325279183484,1,hits_per_19_species,OG0003641,1,2,8,11
1,1,1,NA,1,1,1,1,NA,1,NA,1,1,NA,1,1,1,1,1,1,NA,NA,1,1,1,hits_per_19_species,OG0003648,0,0,8,11
1,1,1,NA,1,1,1,1,1,1,1,1,1,NA,NA,1,1,1,NA,1,NA,NA,1,0.955768943063532,1,hits_per_19_species,OG0003669,0,0,7,12
1,1,1,1,1,1,NA,1,1,NA,1,NA,1,1,1,1,1,NA,1,NA,1,NA,1,1,1,hits_per_19_species,OG0003675,0,0,9,10
1,1,1,1,1,1,NA,1,NA,1,1,NA,1,1,1,1,1,NA,1,1,1,NA,NA,1,1,hits_per_19_species,OG0003680,0,0,10,9
0.746366128703586,1,1,1,1,1,NA,1,NA,1,NA,1,6.19788528277709e-08,1,1,1,1,1,NA,1,1,NA,NA,1,1,hits_per_19_species,OG0003686,1,0,10,9
NA,1,1,1,1,1,1,0.754899446943832,NA,1,NA,1,1,NA,1,1,NA,1,0.00635972915584115,0.257982966237891,0,NA,1,1,1,hits_per_19_species,OG0003690,2,0,8,11
NA,NA,1,1,3.18569340018726e-07,1,1,1,0.0999790061360367,1,3.68284921394291e-05,1,1,0.178291693411135,0.64962687944795,1,1,1,NA,1,NA,NA,1,1,NA,hits_per_19_species,OG0003692,0,2,7,12
1,1,1,NA,1,1,1,1,NA,1,NA,1,1,NA,1,1,1,1,1,1,NA,NA,1,0.132940225596656,1,hits_per_19_species,OG0003693,0,0,8,11
NA,6.10415947988052e-06,1,NA,7.70628394093364e-05,0.00304897893510908,1,1,NA,1,1,1,0.000388591737154997,1,7.20758612793304e-08,1,1,0.550210522984,8.1311901656278e-11,1,NA,NA,1,1,NA,hits_per_19_species,OG0003697,2,4,7,12
0.517105864624125,NA,0,1,1,1,1,0.0311407608475929,NA,1,0.696780660713013,1,1,NA,NA,NA,1,1,1,1,1,NA,1,2.58207244332453e-05,0,hits_per_19_species,OG0003700,1,3,9,10
0.724086830166008,0.403155738980386,1,NA,1,1,1,1,NA,1,NA,1,1,1,1,1,1,1,0.0727319683610412,1,NA,NA,1,NA,1,hits_per_19_species,OG0003704,0,0,9,10
0.0247164936671031,NA,1,1.21852694268121e-07,0.0327857056731864,NA,1,NA,NA,0.0292880976872947,8.0157414039661e-10,0.0126974738589614,0.810861864700933,0.00421883523952105,0.0084772452927005,1,1,0,3.86813354326665e-05,0.00037953612199576,NA,NA,1,0.055865580565012,0.000138637885775506,hits_per_19_species,OG0003710,7,5,10,9
1,NA,1,0.759731688235785,NA,0.276981254883799,1,1,NA,1,1,NA,1,1,1,0.111460462804676,1,1,NA,1,1,NA,1,1,1,hits_per_19_species,OG0003717,0,0,9,10
NA,0.8364106887141,1,1,1,1,1,5.47047462248762e-05,NA,1,1,1,1,NA,1,NA,1,1,NA,1,1,NA,1,1,1,hits_per_19_species,OG0003732,0,1,7,12
NA,1,1,1,0.323044653413395,1,1,1,NA,1,NA,1,1,NA,1,1,1,1,0.886393256510772,1,1,NA,1,1,NA,hits_per_19_species,OG0003746,0,0,8,11
NA,1,1,NA,0.458963455648187,1,1,1,NA,1,NA,1,1,1,1,1,1,0.0008816862240979,1,1,NA,NA,1,1,1,hits_per_19_species,OG0003748,0,1,8,11
1,1,1,1,1,1,NA,1,1,1,1,1,1,1,1,6.98216388417272e-05,NA,1,NA,NA,1,NA,1,1,NA,hits_per_19_species,OG0003754,1,0,8,11
NA,1,1,NA,1,1,1,1,1,1,NA,1,1,NA,1,1.39157998932382e-05,1,1,1,1,NA,NA,1,0.483634274111464,1,hits_per_19_species,OG0003755,1,0,7,12
1,1,1,NA,1,1,1,6.28228911392359e-07,NA,1,NA,1,1,NA,0.716533564930738,1,1,1,NA,1,1,NA,1,1,1,hits_per_19_species,OG0003756,0,1,8,11
NA,1,1,1,NA,1,1,1,1,1,0.0612140242234195,1,1,NA,1,0.000245864938186735,1,1,NA,1,NA,NA,1,1,1,hits_per_19_species,OG0003757,1,0,7,12
1,1,1,1,0.0115060095625464,1,NA,1,NA,1,1,0.102819867322845,1,1,1,1,NA,NA,NA,1,1,NA,1,1,1,hits_per_19_species,OG0003759,0,1,9,10
NA,NA,1,NA,1,1,1,NA,NA,1,0.17391859059941,1,1,1,1,1,1,1,NA,1,1,0.00440288831375785,1,1.03426658570882e-07,0,hits_per_19_species,OG0003762,1,2,8,11
1,NA,1,NA,1,1,0.124419155259133,1,NA,1,NA,1,1,1,1,1,1,1,0.393849069175396,1,NA,NA,1,1,1,hits_per_19_species,OG0003769,0,0,9,10
1,NA,1,0.787409991880001,0.820859666819052,NA,1,1,0.00396776656340236,1,1,1,1,1,1,1,0,1,NA,1,NA,1,3.34900329690413e-10,NA,NA,hits_per_19_species,OG0003771,1,2,8,11
NA,1,0.0467149056468195,0.172054479350139,1.54078971803529e-10,1,8.10905778525495e-07,1,NA,1,0.182415041185344,1,1,NA,1,2.0250873256078e-07,1,1,NA,1,NA,NA,1,0.646891653825101,1,hits_per_19_species,OG0003778,1,3,7,12
1,1,1,1,1,NA,1,1,1,1,NA,1,1,NA,1,1,1,1,0.178099827681977,1,NA,NA,1,1,NA,hits_per_19_species,OG0003780,0,0,8,11
1,1,1,NA,1,1,1,1,NA,NA,1,1,1,NA,1,1,1,1,0.00242166178250652,1,NA,NA,1,1,1,hits_per_19_species,OG0003783,1,0,7,12
1,1,1,1,1,1,1,NA,NA,1,NA,1.56985535681997e-12,1,1,1,0.072141624554889,1,1,1,1,0.154967357084412,NA,NA,1,NA,hits_per_19_species,OG0003784,1,0,10,9
1,1,1,1,1,1,NA,1,NA,1,1,1,1,1,1,1,NA,1,NA,1,NA,NA,1,1,1,hits_per_19_species,OG0003796,0,0,8,11
NA,1,1,NA,1,1,1,1,NA,1,1,1,1,1,1,1,1,1,NA,1,NA,NA,1,0.17844839759504,1,hits_per_19_species,OG0003798,0,0,7,12
NA,0.81189222077087,1,NA,1,1,1,1,NA,1,NA,1,1,1,1,1,1,1,1,1,NA,NA,1,1,0.0446317896045101,hits_per_19_species,OG0003799,1,0,8,11
NA,0.0349549036571028,1,1,1,NA,1,1,1,1,NA,1,1,NA,1,1,1,NA,NA,1,1,1,1,1,0.272819306737916,hits_per_19_species,OG0003808,0,1,8,11
1,0.736044708343348,0.615482420886934,1,1,1,1,1,NA,0.143094452229185,NA,1,1,NA,1,1,0.792906788504229,1,NA,1,NA,NA,1,1,1,hits_per_19_species,OG0003818,0,0,8,11
NA,0.703546278936365,1,1,9.13158437754191e-14,0.00195145375090094,1,NA,0.00117690305877005,1,NA,1,1,NA,0.000170587167395819,1.40704115025869e-11,1,1,NA,1,1,NA,1,1,0.00601610334996594,hits_per_19_species,OG0003822,2,4,8,11
1,1,NA,NA,1,1,1,1,NA,1,1,1,1,1,1,1,1,NA,1,1,NA,NA,0.419490189621663,1,1,hits_per_19_species,OG0003828,0,0,9,10
NA,0.827290818577882,1,1,NA,1,1,NA,1,1,0.086947126063839,1,1,1,0.204323349449415,1,NA,1,NA,1,0.508845511606378,NA,1,0.0327527048897752,1,hits_per_19_species,OG0003829,0,1,8,11
1,1,NA,1,0,0.109580628877386,1,1,1,1,0.149614675389012,0.325819510239269,1,1,0.0121274551340702,NA,1,1,NA,NA,NA,NA,1,1,1,hits_per_19_species,OG0003835,0,2,8,11
NA,NA,1,0.994934610910427,0.000363262879809478,1,1,0.0632594860459415,NA,1,0.887324712787257,1,1,NA,1,0.0503444507389061,0.0216017719081296,1,1,1,NA,NA,1,0.00230496228919497,1,hits_per_19_species,OG0003840,1,2,8,11
NA,1,1,1,1,1,0,6.64898200679054e-05,NA,1,NA,1,1,1,1,NA,1,1,NA,1,1.02417853703463e-05,NA,1,1,1,hits_per_19_species,OG0003843,1,2,8,11
1,1,NA,1,1,1,1,1,1,1,1,NA,1,NA,NA,1,NA,1,1,1,NA,1,1,1,1,hits_per_19_species,OG0003844,0,0,7,12
NA,NA,1,0.329559487827762,0.0964407633025486,1,1,1,NA,0.276794335565546,NA,0.260804636203787,0.00188327807038219,0.0138694190283207,2.57431342909342e-09,0.0139563502309979,0,1,NA,1.15823535762338e-08,1,NA,1,0.00111838129693176,1,hits_per_19_species,OG0003852,4,3,9,10
1,NA,1,1,1,1,1,1,NA,1,1,1,1,1,1,NA,1,NA,NA,0.00113533000961091,1,NA,1,1,1,hits_per_19_species,OG0003854,0,1,9,10
1,1,1,NA,0.0135584918449823,2.62950772267345e-11,1,0.153605301744544,NA,1,0.774531162168056,1,1,1,1,1,NA,1,NA,1,NA,NA,1,0.904170532157086,1,hits_per_19_species,OG0003858,0,2,7,12
1,1,1,1,1,1,NA,1,NA,1,1,1,1,1,1,1,NA,1,1,NA,1,NA,NA,1,1,hits_per_19_species,OG0003859,0,0,10,9
0.692362482033767,1,1,1,1,1,1,1,NA,5.21673907349918e-06,NA,1,1,1,1,1,NA,1,NA,1,1,NA,NA,1,1,hits_per_19_species,OG0003862,1,0,9,10
NA,1,1,1,1,NA,1,1,1,1,1,1,1,1,1,1,1,1,NA,1,1,NA,1,NA,NA,hits_per_19_species,OG0003863,0,0,8,11
0.00366169556165019,1,1,1,8.01150812357321e-11,1,1,1,NA,1,1,NA,1,0.0281214905219347,1,NA,1,1,0.0047867231289902,0.0836177937650444,NA,NA,1,1,NA,hits_per_19_species,OG0003868,3,1,7,12
NA,1,1,0.324104070722905,NA,1,1,0.0305367891851982,NA,1,0.298999166751631,NA,1,1,0.780322042762788,0.710466379146423,1,1,NA,1,0.00905842112537325,NA,0.00893553781907902,1,1,hits_per_19_species,OG0003869,1,2,8,11
NA,0.000641032102186911,1,NA,1,1,1,1,NA,1,0.4539193184233,1,1,1,1,1,0.000274911105800912,1,0.0161266953476693,0.668032216197556,NA,NA,1,0.551617728868192,NA,hits_per_19_species,OG0003874,2,1,7,12
1,NA,0.00447034318490225,NA,1,4.39759340054025e-13,1,1,NA,1,1,1,1,NA,0.162156995673124,1.28418709000044e-08,1.36002320516582e-14,1,0.0970830807899526,1,NA,NA,1,0.305186295211525,1,hits_per_19_species,OG0003875,2,2,8,11
1,1,NA,1,0.954365640546319,1,1,0.00975732753223824,NA,NA,1,1,NA,1,1,1.63802240327193e-06,6.74878849749039e-07,NA,1,1,1,NA,1,1,1,hits_per_19_species,OG0003879,2,1,9,10
NA,1,1,0.423247243575376,1,1,NA,1,NA,1,0.463628790239037,1,1,1,1,NA,1,1,NA,1,1,NA,1,1,1,hits_per_19_species,OG0003886,0,0,8,11
NA,0.183616817686778,1,NA,1,1,2.12444762059949e-07,0.103686764554482,NA,1,1,0.00150365676793995,1,NA,1,1,1,0.0493550638550726,1,1,NA,NA,1,1,1,hits_per_19_species,OG0003887,1,2,7,12
NA,1,1,NA,1,1,1,1,NA,1,NA,1,1,1,1,1,1,1,1,1,NA,NA,1,1,1,hits_per_19_species,OG0003903,0,0,8,11
NA,1,1,NA,1,1,0,5.83597668271096e-05,1,1,NA,1,1,NA,1,1,1,1,NA,1,NA,1,1.2232481694241e-09,1,1,hits_per_19_species,OG0003916,0,3,6,13
NA,1,1,NA,1,NA,6.26609875098438e-12,1,0.341136439853902,1,1,0,1,NA,1,1,4.86453735626391e-08,1,NA,1,1,1,1,1,NA,hits_per_19_species,OG0003920,2,1,6,13
1,1,1,1,1,1,NA,1,1,1,1,1,1,1,1,6.38578515066435e-08,1,NA,NA,NA,1,NA,NA,1,1,hits_per_19_species,OG0003921,1,0,10,9
NA,1,1,NA,1,1,0.659650290519699,1,NA,1,1,1,1,NA,1,1,1,1,1,1,NA,NA,1,1,1,hits_per_19_species,OG0003923,0,0,7,12
1,1,1,1,1,1,NA,1,1,1,NA,1,1,0.0108154200326657,NA,1,NA,1,1,1,1,NA,NA,1,1,hits_per_19_species,OG0003932,1,0,10,9
NA,1,1,NA,1,1,1,1,1,1,1,1,1,1,0.00274611489259974,0,1,1,1,1,NA,NA,1,NA,NA,hits_per_19_species,OG0003938,1,1,7,12
NA,1,0.0369203244128263,NA,1,NA,1,1,1,0.0984672631462634,0.153212880454061,0.00406250406959846,0.110058250259374,1,0.000239844415293788,2.3715376280431e-05,1,2.13717932240343e-14,NA,1,NA,NA,1,1,1,hits_per_19_species,OG0003942,2,3,7,12
NA,1,1,1,1,1,1,1,NA,1,NA,0.579664853454443,1,NA,1,NA,1,1,1,1,1,NA,1,1,1,hits_per_19_species,OG0003954,0,0,8,11
NA,NA,1,1,1,1,1,1,1,NA,1,1,1,NA,1,0.00605386081291098,1,1,NA,1,1,NA,1,1,1,hits_per_19_species,OG0003961,1,0,7,12
1,1,1,1,1,1,NA,1,NA,1,1,1,1,NA,1,1,1,1,NA,1,NA,NA,1,1,1,hits_per_19_species,OG0003968,0,0,8,11
1,1,1,1,1,1,NA,1,NA,1,1,0.00265967049905169,1,1,0.724870841308059,1,1,1,1,NA,1,NA,NA,1,NA,hits_per_19_species,OG0003976,1,0,10,9
1,1,NA,1,1,1,1,1,NA,1,1,1,1,1,NA,1,1,NA,1,1,1,NA,NA,1,1,hits_per_19_species,OG0003977,0,0,11,8
NA,1,1,0.0134447959248494,0.219080863310237,1,1,0.387099438600605,NA,0.811175765192317,0.0536149625842446,0.19843882677931,1,0.00565308137765491,0.169885517015861,NA,1,1,NA,0.000732919580491487,NA,NA,0,1,1,hits_per_19_species,OG0003979,2,2,7,12
1,1,1,1,1,1,NA,1,1,1,1,1,1,1,1,NA,NA,1,1,NA,1,NA,NA,1,1,hits_per_19_species,OG0003983,0,0,9,10
NA,NA,1,1,0,NA,3.66373598126302e-14,1,NA,0,0.0798259075410307,1,1,1,0.000784451076803805,1,1,1,0.355871618523454,1,1,NA,NA,1,1,hits_per_19_species,OG0003984,1,3,10,9
1,1,1,1,1,1,1,1,NA,1,1,0.353635697016428,1,NA,NA,NA,1,1,1,1,NA,NA,1,1,1,hits_per_19_species,OG0003986,0,0,8,11
NA,1,1,1,1,1,1,1,NA,8.28460466895109e-09,0.292215714108787,NA,0.0520235309329848,1,1,0.266438464686364,1,1,NA,1,1,NA,NA,1,7.36494542019628e-08,hits_per_19_species,OG0003988,2,0,8,11
1,1,1,1,1,1,NA,1,NA,1,1,1,1,1,1,1,NA,NA,NA,1,1,NA,1,1,1,hits_per_19_species,OG0003990,0,0,9,10
1,NA,1,1,1,1,0.000351805617662682,NA,1,NA,1,1,1,NA,1,1,1,1,1,NA,1,NA,1,1,1,hits_per_19_species,OG0004008,0,1,9,10
1,NA,1,NA,1.6570898875301e-07,3.64259293617053e-07,1,1.93830409011553e-05,NA,0.336394778334523,1,1,0.719003090260995,1,1,NA,1,1,1,1,NA,NA,1,1,1,hits_per_19_species,OG0004010,0,3,8,11
1,NA,1,0.431807608124705,1,1,0.168345256481523,1,NA,1,NA,0.0653586651672652,1,NA,1,NA,1,1,1,1,0.897620999549271,NA,1,1,1,hits_per_19_species,OG0004013,0,0,9,10
NA,0.00147269405494344,2.52575738102223e-14,1.11147757664298e-11,0.000915221264884414,1,1,1,NA,0.553125344523453,NA,1,9.90329818151281e-10,NA,1.19383547780849e-06,0.113924067120884,0.300423588952582,1,0.0323654393973397,0.0224394318367412,1,NA,0.165811140563109,1,NA,hits_per_19_species,OG0004015,3,5,8,11
