"OG_ID","analysis_absrel","analysis_paml","analysis_relax_intens","analysis_cafe_expanded","analysis_relax_relaxed","analysis_cafe_contr","condition_pigmentation","condition_eyes","gene_symbol","count_NA","count_sel","qname","query","chr","seqStart","seqEnd"
"OG0008410","absrel","PAML",NA,NA,NA,NA,NA,NA,"DAW1",4,2,"evm.model.ptg014680l.1_Prang-OG0008410.fa","evm.model.ptg014680l.1_Prang","chr18",522767588,522768608
"OG0008600","absrel","PAML",NA,NA,"relaxed",NA,NA,NA,"KIAA1429",3,3,"evm.model.ptg002772l.2_Prang-OG0008600.fa","evm.model.ptg002772l.2_Prang","chr2",599617191,599622750
"OG0008612","absrel","PAML",NA,NA,"relaxed",NA,NA,NA,"UBR5",3,3,NA,NA,NA,NA,NA
"OG0008810","absrel","PAML",NA,NA,NA,NA,NA,NA,"TFEC",4,2,"evm.model.ptg000561l.1_Prang-OG0008810.fa","evm.model.ptg000561l.1_Prang","chr7",1755939355,1755940336
"OG0009454","absrel","PAML",NA,NA,NA,NA,NA,NA,"FBXL16",4,2,"evm.model.ptg009522l.1_Prang-OG0009454.fa","evm.model.ptg009522l.1_Prang","chr10",367849547,367851044
"OG0009904","absrel","PAML",NA,NA,"relaxed",NA,NA,NA,"CFAP58",3,3,"evm.model.ptg005245l.3_Prang-OG0009904.fa","evm.model.ptg005245l.3_Prang","chr1",3428632761,3428635380
"OG0009972","absrel","PAML",NA,NA,"relaxed",NA,"pigmentation",NA,"MIB1",3,3,"evm.model.ptg001372l.3_Prang-OG0009972.fa","evm.model.ptg001372l.3_Prang","chr15",27678155,27680969
"OG0009980","absrel","PAML",NA,NA,NA,NA,NA,NA,"ALG3",4,2,"evm.model.ptg006156l.7_Prang-OG0009980.fa","evm.model.ptg006156l.7_Prang","chr18",140121344,140122532
"OG0010049","absrel","PAML",NA,NA,"relaxed",NA,NA,NA,"MPP1",3,3,"evm.model.ptg023329l.1_Prang-OG0010049.fa","evm.model.ptg023329l.1_Prang","chr16",419572047,419573340
"OG0010205","absrel","PAML",NA,NA,NA,NA,NA,NA,"KIAA1467",4,2,NA,NA,NA,NA,NA
"OG0010217","absrel","PAML",NA,NA,NA,NA,NA,NA,"CSPG4",4,2,"evm.model.ptg003941l.1_Prang-OG0010217.fa","evm.model.ptg003941l.1_Prang","chr14",559108482,559115613
"OG0010261","absrel","PAML",NA,NA,"relaxed",NA,NA,NA,"GALT",3,3,"evm.model.ptg002470l.3_Prang-OG0010261.fa","evm.model.ptg002470l.3_Prang","chr1",149568855,149569968
"OG0010525","absrel","PAML",NA,NA,NA,NA,NA,NA,"SHOX",4,2,"evm.model.ptg004743l.3_Prang-OG0010525.fa","evm.model.ptg004743l.3_Prang","chr3",2572637070,2572637961
"OG0011099","absrel","PAML",NA,NA,NA,NA,NA,NA,"GATM",4,2,"evm.model.ptg000528l.4_Prang-OG0011099.fa","evm.model.ptg000528l.4_Prang","chr14",790051992,790053261
"OG0011345","absrel","PAML",NA,NA,NA,NA,NA,NA,"WDR63",4,2,"evm.model.ptg001598l.2_Prang-OG0011345.fa","evm.model.ptg001598l.2_Prang","chr12",530794550,530797367
"OG0011489","absrel","PAML",NA,NA,"relaxed",NA,NA,NA,"USP25",3,3,"evm.model.ptg005742l.4_Prang-OG0011489.fa","evm.model.ptg005742l.4_Prang","chr3",2841968382,2841971739
"OG0011556","absrel","PAML",NA,NA,NA,NA,NA,NA,"DNAJC17",4,2,NA,NA,NA,NA,NA
"OG0011941","absrel","PAML",NA,NA,"relaxed",NA,"pigmentation",NA,"MCM2",3,3,"evm.model.ptg007533l.1_Prang-OG0011941.fa","evm.model.ptg007533l.1_Prang","chr17",627407221,627409828
"OG0012159","absrel","PAML",NA,NA,"relaxed",NA,NA,NA,"STIP1",3,3,"evm.model.ptg014793l.3_Prang-OG0012159.fa","evm.model.ptg014793l.3_Prang","chr5",2185391686,2185393456
"OG0012339","absrel","PAML",NA,NA,"relaxed",NA,NA,NA,"FOXP2",3,3,"evm.model.ptg011093l.1_Prang-OG0012339.fa","evm.model.ptg011093l.1_Prang","chr4",2499777904,2499779884
"OG0012543","absrel","PAML",NA,NA,NA,NA,NA,NA,"ABCD4",4,2,"evm.model.ptg011532l.1_Prang-OG0012543.fa","evm.model.ptg011532l.1_Prang","chr8",277464714,277466505
"OG0013169","absrel","PAML",NA,NA,"relaxed",NA,NA,NA,"CMC2",3,3,NA,NA,NA,NA,NA
"OG0013204","absrel","PAML",NA,NA,NA,NA,NA,NA,"MALSU1",4,2,"evm.model.ptg004401l.7_Prang-OG0013204.fa","evm.model.ptg004401l.7_Prang","chr9",909607741,909608503
"OG0007946","absrel",NA,"intensified",NA,NA,NA,NA,NA,"JOSD1",3,3,"evm.model.ptg003041l.2_Prang-OG0007946.fa","evm.model.ptg003041l.2_Prang","chr5",889493115,889493718
"OG0008581","absrel",NA,"intensified",NA,NA,NA,NA,NA,"NUPL1",3,3,"evm.model.ptg040204l.1_Prang-OG0008581.fa","evm.model.ptg040204l.1_Prang","chr3",1237145423,1237147205
"OG0009426","absrel",NA,"intensified",NA,NA,NA,NA,NA,"CCDC79",3,3,"evm.model.ptg005687l.1_Prang-OG0009426.fa","evm.model.ptg005687l.1_Prang","chr6",616499786,616501400
"OG0012645","absrel",NA,"intensified",NA,NA,NA,NA,NA,"TCF25",3,3,"evm.model.ptg007211l.5_Prang-OG0012645.fa","evm.model.ptg007211l.5_Prang","chr6",1981540883,1981542986
"OG0005477","absrel",NA,NA,NA,NA,NA,NA,NA,"AKAP2",4,2,"evm.model.ptg000782l.1_Prang-OG0005477.fa","evm.model.ptg000782l.1_Prang","chr1",1948656387,1948660353
"OG0007062","absrel",NA,NA,NA,NA,NA,NA,NA,"ENOPH1",4,2,"evm.model.ptg009600l.5_Prang-OG0007062.fa","evm.model.ptg009600l.5_Prang","chr1",2192259825,2192260614
"OG0007475","absrel",NA,NA,NA,NA,NA,NA,NA,"GUCD1",4,2,"evm.model.ptg019928l.1_Prang-OG0007475.fa","evm.model.ptg019928l.1_Prang","chr6",1162094547,1162095384
"OG0007891","absrel",NA,NA,NA,"relaxed",NA,NA,NA,"KDM1A",3,3,"evm.model.ptg010605l.2_Prang-OG0007891.fa","evm.model.ptg010605l.2_Prang","chr3",339733200,339735639
"OG0008232","absrel",NA,NA,NA,NA,NA,NA,NA,"SP1",4,2,"evm.model.ptg007768l.1_Prang-OG0008232.fa","evm.model.ptg007768l.1_Prang","chr5",515632840,515633509
"OG0008412","absrel",NA,NA,NA,"relaxed",NA,NA,"eyeloss","DNER",3,3,"evm.model.ptg002180l.1_Prang-OG0008412.fa","evm.model.ptg002180l.1_Prang","chr18",574642305,574644153
"OG0008459","absrel",NA,NA,NA,NA,NA,NA,NA,"DPM2",4,2,"evm.model.ptg036437l.1_Prang-OG0008459.fa","evm.model.ptg036437l.1_Prang","chr11",17309442,17309706
"OG0008473","absrel",NA,NA,NA,NA,NA,NA,NA,"POU2F3",4,2,"evm.model.ptg013829l.3_Prang-OG0008473.fa","evm.model.ptg013829l.3_Prang","chr5",1487345879,1487347178
"OG0008493","absrel",NA,NA,NA,NA,NA,NA,NA,"HEPACAM2",4,2,"evm.model.ptg009302l.1_Prang-OG0008493.fa","evm.model.ptg009302l.1_Prang","chr16",667328974,667330177
"OG0008740","absrel",NA,NA,NA,"relaxed",NA,NA,NA,"TM9SF4",3,3,"evm.model.ptg017174l.1_Prang-OG0008740.fa","evm.model.ptg017174l.1_Prang","chr5",2643306296,2643307334
"OG0008807","absrel",NA,NA,NA,NA,NA,NA,NA,"TBC1D30",4,2,NA,NA,NA,NA,NA
"OG0009455","absrel",NA,NA,NA,NA,NA,NA,NA,"METTL22",4,2,"evm.model.ptg005400l.1_Prang-OG0009455.fa","evm.model.ptg005400l.1_Prang","chr10",375100614,375101826
"OG0009541","absrel",NA,NA,NA,"relaxed",NA,NA,"eyeloss","ELMO3",3,3,"evm.model.ptg020735l.1_Prang-OG0009541.fa","evm.model.ptg020735l.1_Prang","chr6",90209051,90211106
"OG0009651","absrel",NA,NA,NA,NA,NA,NA,NA,"KDM5C",4,2,"evm.model.ptg008475l.1_Prang-OG0009651.fa","evm.model.ptg008475l.1_Prang","chr13",569498433,569502924
"OG0009702","absrel",NA,NA,NA,NA,NA,NA,NA,"ILVBL",4,2,"evm.model.ptg000888l.9_Prang-OG0009702.fa","evm.model.ptg000888l.9_Prang","chr9",342977591,342980288
"OG0009820","absrel",NA,NA,NA,NA,NA,NA,NA,"KPNB1",4,2,NA,NA,NA,NA,NA
"OG0010113","absrel",NA,NA,NA,NA,NA,NA,NA,"MST1",4,2,"evm.model.ptg007395l.1_Prang-OG0010113.fa","evm.model.ptg007395l.1_Prang","chr17",219229302,219231423
"OG0010995","absrel",NA,NA,NA,"relaxed",NA,NA,NA,"DCUN1D5",3,3,"evm.model.ptg001768l.5_Prang-OG0010995.fa","evm.model.ptg001768l.5_Prang","chr9",1183643361,1183644084
"OG0011903","absrel",NA,NA,NA,"relaxed",NA,NA,NA,"EPHA10",3,3,"evm.model.ptg010210l.2_Prang-OG0011903.fa","evm.model.ptg010210l.2_Prang","chr14",93915059,93917489
"OG0012366","absrel",NA,NA,NA,"relaxed",NA,NA,NA,"MYBPC1",3,3,"evm.model.ptg052286l.1_Prang-OG0012366.fa","evm.model.ptg052286l.1_Prang","chr7",24704235,24705804
"OG0013497","absrel",NA,NA,NA,NA,NA,NA,NA,"SLC38A11",4,2,NA,NA,NA,NA,NA
"OG0013553","absrel",NA,NA,NA,NA,NA,NA,NA,NA,4,2,"evm.model.ptg000688l.5_Prang-OG0013553.fa","evm.model.ptg000688l.5_Prang","chr7",307037852,307039985
"OG0005171",NA,"PAML","intensified",NA,NA,NA,NA,NA,"RBMXL2",3,3,"evm.model.ptg009326l.2_Prang-OG0005171.fa","evm.model.ptg009326l.2_Prang","chr2",2962775474,2962776470
"OG0005341",NA,"PAML","intensified",NA,NA,NA,NA,NA,"PTPRQ",3,3,NA,NA,NA,NA,NA
"OG0005648",NA,"PAML","intensified",NA,NA,NA,NA,NA,"ZBTB46",3,3,"evm.model.ptg003312l.11_Prang-OG0005648.fa","evm.model.ptg003312l.11_Prang","chr5",2218352432,2218354286
"OG0006264",NA,"PAML","intensified",NA,NA,NA,NA,NA,"DNHD1",3,3,"evm.model.ptg000539l.3_Prang-OG0006264.fa","evm.model.ptg000539l.3_Prang","chr3",706566862,706581595
"OG0006296",NA,"PAML","intensified",NA,NA,NA,NA,NA,"CUBN",3,3,NA,NA,NA,NA,NA
"OG0006303",NA,"PAML","intensified",NA,NA,NA,NA,NA,"SORCS2",3,3,"evm.model.ptg004208l.2_Prang-OG0006303.fa","evm.model.ptg004208l.2_Prang","chr7",22176613,22179997
"OG0006444",NA,"PAML","intensified",NA,NA,NA,NA,NA,"SREK1",3,3,"evm.model.ptg028631l.2_Prang-OG0006444.fa","evm.model.ptg028631l.2_Prang","chr11",70765365,70767048
"OG0007056",NA,"PAML","intensified",NA,NA,NA,NA,NA,"COL22A1",3,3,"evm.model.ptg006104l.2_Prang-OG0007056.fa","evm.model.ptg006104l.2_Prang","chr2",3468744414,3468749715
"OG0007194",NA,"PAML","intensified",NA,NA,NA,NA,NA,"CCDC178",3,3,"evm.model.ptg000893l.4_Prang-OG0007194.fa","evm.model.ptg000893l.4_Prang","chr2",1007353914,1007356572
"OG0007352",NA,"PAML","intensified",NA,NA,NA,NA,NA,"PRMT7",3,3,"evm.model.ptg006390l.1_Prang-OG0007352.fa","evm.model.ptg006390l.1_Prang","chr6",1951802928,1951805007
"OG0007530",NA,"PAML","intensified",NA,NA,NA,NA,NA,"GAB3",3,3,"evm.model.ptg003145l.2_Prang-OG0007530.fa","evm.model.ptg003145l.2_Prang","chr2",3198819541,3198821314
"OG0007721",NA,"PAML","intensified",NA,NA,NA,NA,NA,"RAVER2",3,3,NA,NA,NA,NA,NA
"OG0007848",NA,"PAML","intensified",NA,NA,NA,NA,NA,"TCTN1",3,3,"evm.model.ptg012456l.2_Prang-OG0007848.fa","evm.model.ptg012456l.2_Prang","chr6",767607184,767609074
"OG0007884",NA,"PAML","intensified",NA,NA,NA,NA,NA,"ANKRD24",3,3,"evm.model.ptg011642l.8_Prang-OG0007884.fa","evm.model.ptg011642l.8_Prang","chr13",621967642,621970918
"OG0008201",NA,"PAML","intensified",NA,NA,NA,NA,NA,"SPATA5",3,3,"evm.model.ptg001234l.6_Prang-OG0008201.fa","evm.model.ptg001234l.6_Prang","chr1",904078516,904081126
"OG0008334",NA,"PAML","intensified",NA,NA,NA,NA,NA,"RTDR1",3,3,"evm.model.ptg000728l.2_Prang-OG0008334.fa","evm.model.ptg000728l.2_Prang","chr6",1154792127,1154793063
"OG0008352",NA,"PAML","intensified",NA,NA,NA,NA,NA,"MMP23B",3,3,"evm.model.ptg010168l.3_Prang-OG0008352.fa","evm.model.ptg010168l.3_Prang","chr10",131769199,131770543
"OG0008435",NA,"PAML","intensified",NA,NA,NA,NA,NA,"MECP2",3,3,"evm.model.ptg024871l.2_Prang-OG0008435.fa","evm.model.ptg024871l.2_Prang","chr10",1213926053,1213927535
"OG0008507",NA,"PAML","intensified",NA,NA,NA,NA,NA,"SUSD5",3,3,"evm.model.ptg005164l.1_Prang-OG0008507.fa","evm.model.ptg005164l.1_Prang","chr2",2542097014,2542098562
"OG0008512",NA,"PAML","intensified",NA,NA,NA,NA,NA,"FLII",3,3,"evm.model.ptg032321l.2_Prang-OG0008512.fa","evm.model.ptg032321l.2_Prang","chr10",1011746202,1011750069
"OG0008584",NA,"PAML","intensified",NA,NA,NA,NA,NA,"C8orf34",3,3,"evm.model.ptg006511l.2_Prang-OG0008584.fa","evm.model.ptg006511l.2_Prang","chr2",805564391,805566356
"OG0008589",NA,"PAML","intensified",NA,NA,NA,NA,NA,"STAU2",3,3,"evm.model.ptg010800l.3_Prang-OG0008589.fa","evm.model.ptg010800l.3_Prang","chr5",2418284961,2418285612
"OG0008651",NA,"PAML","intensified",NA,NA,NA,NA,NA,"RHBDL2",3,3,"evm.model.ptg016015l.1_Prang-OG0008651.fa","evm.model.ptg016015l.1_Prang","chr14",114346025,114346922
"OG0008717",NA,"PAML","intensified",NA,NA,NA,NA,NA,"COL9A3",3,3,"evm.model.ptg001577l.4_Prang-OG0008717.fa","evm.model.ptg001577l.4_Prang","chr5",2156702512,2156706829
"OG0008828",NA,"PAML","intensified",NA,NA,NA,NA,NA,"IGF1",3,3,"evm.model.ptg022543l.1_Prang-OG0008828.fa","evm.model.ptg022543l.1_Prang","chr7",1274626952,1274627510
"OG0008935",NA,"PAML","intensified",NA,NA,NA,NA,NA,"EXOC2",3,3,"evm.model.ptg012414l.1_Prang-OG0008935.fa","evm.model.ptg012414l.1_Prang","chr4",151357363,151360096
"OG0009084",NA,"PAML","intensified",NA,NA,NA,NA,NA,"XRCC6",3,3,"evm.model.ptg013045l.3_Prang-OG0009084.fa","evm.model.ptg013045l.3_Prang","chr5",845694277,845696116
"OG0009139",NA,"PAML","intensified",NA,NA,NA,NA,NA,"SLC46A1",3,3,"evm.model.ptg014165l.5_Prang-OG0009139.fa","evm.model.ptg014165l.5_Prang","chr5",413387358,413388756
"OG0009216",NA,"PAML","intensified",NA,NA,NA,NA,NA,"UBE3D",3,3,"evm.model.ptg008401l.2_Prang-OG0009216.fa","evm.model.ptg008401l.2_Prang","chr4",2166867242,2166868295
"OG0009273",NA,"PAML","intensified",NA,NA,NA,NA,NA,"ECSIT",3,3,"evm.model.ptg000735l.1_Prang-OG0009273.fa","evm.model.ptg000735l.1_Prang","chr5",1230247238,1230248534
"OG0009379",NA,"PAML","intensified",NA,NA,NA,NA,NA,"TRPT1",3,3,"evm.model.ptg034097l.2_Prang-OG0009379.fa","evm.model.ptg034097l.2_Prang","chr12",1177993709,1177994399
"OG0009412",NA,"PAML","intensified",NA,NA,NA,NA,NA,"RFX4",3,3,"evm.model.ptg005554l.6_Prang-OG0009412.fa","evm.model.ptg005554l.6_Prang","chr7",629892521,629894687
"OG0009493",NA,"PAML","intensified",NA,NA,NA,NA,NA,"LAMB3",3,3,"evm.model.ptg016358l.2_Prang-OG0009493.fa","evm.model.ptg016358l.2_Prang","chr9",189385656,189389106
"OG0009794",NA,"PAML","intensified",NA,NA,NA,NA,NA,"DDX54",3,3,"evm.model.ptg000397l.3_Prang-OG0009794.fa","evm.model.ptg000397l.3_Prang","chr6",981015204,981017766
"OG0009829",NA,"PAML","intensified",NA,NA,NA,NA,NA,"GMIP",3,3,"evm.model.ptg011263l.6_Prang-OG0009829.fa","evm.model.ptg011263l.6_Prang","chr5",1122498660,1122501615
"OG0010112",NA,"PAML","intensified",NA,NA,NA,NA,NA,"RNF219",3,3,"evm.model.ptg001896l.2_Prang-OG0010112.fa","evm.model.ptg001896l.2_Prang","chr3",1545944286,1545946431
"OG0010268",NA,"PAML","intensified",NA,NA,NA,NA,NA,"HYOU1",3,3,"evm.model.ptg010849l.8_Prang-OG0010268.fa","evm.model.ptg010849l.8_Prang","chr5",1521594440,1521597389
"OG0010302",NA,"PAML","intensified",NA,NA,NA,NA,NA,"RNF8",3,3,"evm.model.ptg012277l.1_Prang-OG0010302.fa","evm.model.ptg012277l.1_Prang","chr4",368201272,368203393
"OG0010486",NA,"PAML","intensified",NA,NA,NA,NA,NA,"SPCS2",3,3,"evm.model.ptg013844l.1_Prang-OG0010486.fa","evm.model.ptg013844l.1_Prang","chr3",846838400,846839039
"OG0010550",NA,"PAML","intensified",NA,NA,NA,NA,NA,"AFF3",3,3,"evm.model.ptg001106l.6_Prang-OG0010550.fa","evm.model.ptg001106l.6_Prang","chr3",2532984483,2532987981
"OG0010680",NA,"PAML","intensified",NA,NA,NA,NA,NA,"SYT16",3,3,"evm.model.ptg017559l.2_Prang-OG0010680.fa","evm.model.ptg017559l.2_Prang","chr8",725073808,725075545
"OG0010734",NA,"PAML","intensified",NA,NA,NA,NA,NA,"CYP2U1",3,3,"evm.model.ptg010857l.1_Prang-OG0010734.fa","evm.model.ptg010857l.1_Prang","chr1",1698336526,1698338194
"OG0010897",NA,"PAML","intensified",NA,NA,NA,NA,NA,"CCDC66",3,3,"evm.model.ptg001426l.1_Prang-OG0010897.fa","evm.model.ptg001426l.1_Prang","chr17",726357080,726360143
"OG0011140",NA,"PAML","intensified",NA,NA,NA,NA,NA,"GUSB",3,3,NA,NA,NA,NA,NA
"OG0011167",NA,"PAML","intensified",NA,NA,NA,NA,NA,NA,3,3,"evm.model.ptg000511l.13_Prang-OG0011167.fa","evm.model.ptg000511l.13_Prang","chr16",609931170,609935241
"OG0011172",NA,"PAML","intensified",NA,NA,NA,NA,NA,"CTNNAL1",3,3,"evm.model.ptg002315l.2_Prang-OG0011172.fa","evm.model.ptg002315l.2_Prang","chr2",1935243227,1935245516
"OG0011289",NA,"PAML","intensified",NA,NA,NA,NA,NA,"IGSF10",3,3,"evm.model.ptg007503l.1_Prang-OG0011289.fa","evm.model.ptg007503l.1_Prang","chr18",470945666,470953922
"OG0011387",NA,"PAML","intensified",NA,NA,NA,NA,NA,"C1orf159",3,3,"evm.model.ptg018301l.1_Prang-OG0011387.fa","evm.model.ptg018301l.1_Prang","chr10",210595977,210596616
"OG0011467",NA,"PAML","intensified",NA,NA,NA,NA,NA,"DUS3L",3,3,"evm.model.ptg011601l.1_Prang-OG0011467.fa","evm.model.ptg011601l.1_Prang","chr16",695446213,695448385
"OG0011483",NA,"PAML","intensified",NA,NA,NA,NA,NA,"CNNM3",3,3,"evm.model.ptg010970l.1_Prang-OG0011483.fa","evm.model.ptg010970l.1_Prang","chr13",12141237,12143745
"OG0011510",NA,"PAML","intensified",NA,NA,NA,NA,NA,"ASPSCR1",3,3,"evm.model.ptg002767l.1_Prang-OG0011510.fa","evm.model.ptg002767l.1_Prang","chr13",723200472,723202464
"OG0011534",NA,"PAML","intensified",NA,NA,NA,NA,NA,"IMMP1L",3,3,"evm.model.ptg000806l.5_Prang-OG0011534.fa","evm.model.ptg000806l.5_Prang","chr6",1878077248,1878077701
"OG0011676",NA,"PAML","intensified",NA,NA,NA,NA,NA,"TRIM45",3,3,"evm.model.ptg006738l.5_Prang-OG0011676.fa","evm.model.ptg006738l.5_Prang","chr3",90728835,90730539
"OG0011680",NA,"PAML","intensified",NA,NA,NA,NA,NA,"COMMD6",3,3,"evm.model.ptg004338l.4_Prang-OG0011680.fa","evm.model.ptg004338l.4_Prang","chr3",1709406252,1709406840
"OG0011701",NA,"PAML","intensified",NA,NA,NA,NA,NA,"CYP7B1",3,3,"evm.model.ptg005147l.3_Prang-OG0011701.fa","evm.model.ptg005147l.3_Prang","chr2",848228359,848229781
"OG0011722",NA,"PAML","intensified",NA,NA,NA,NA,"eyeloss","EFNA4",3,3,"evm.model.ptg003767l.1_Prang-OG0011722.fa","evm.model.ptg003767l.1_Prang","chr9",563844784,563845375
"OG0011769",NA,"PAML","intensified",NA,NA,NA,NA,NA,"FAM73A",3,3,"evm.model.ptg011824l.1_Prang-OG0011769.fa","evm.model.ptg011824l.1_Prang","chr12",681125340,681126489
"OG0011840",NA,"PAML","intensified",NA,NA,NA,NA,NA,"EFCAB6",3,3,NA,NA,NA,NA,NA
"OG0011898",NA,"PAML","intensified",NA,NA,NA,NA,NA,"WDR1",3,3,"evm.model.ptg000586l.5_Prang-OG0011898.fa","evm.model.ptg000586l.5_Prang","chr1",447351074,447352895
"OG0011995",NA,"PAML","intensified",NA,NA,NA,NA,NA,"ID4",3,3,"evm.model.ptg003891l.1_Prang-OG0011995.fa","evm.model.ptg003891l.1_Prang","chr2",1599989489,1599989951
"OG0012316",NA,"PAML","intensified",NA,NA,NA,NA,NA,"ZFP64",3,3,"evm.model.ptg001085l.1_Prang-OG0012316.fa","evm.model.ptg001085l.1_Prang","chr5",2375465961,2375467998
"OG0012551",NA,"PAML","intensified",NA,NA,NA,NA,NA,"XRCC2",3,3,"evm.model.ptg000549l.2_Prang-OG0012551.fa","evm.model.ptg000549l.2_Prang","chr16",157544225,157545071
"OG0012622",NA,"PAML","intensified",NA,NA,NA,NA,NA,"METTL15",3,3,"evm.model.ptg001985l.3_Prang-OG0012622.fa","evm.model.ptg001985l.3_Prang","chr6",1899026436,1899027639
"OG0012635",NA,"PAML","intensified",NA,NA,NA,NA,NA,"CENPU",3,3,NA,NA,NA,NA,NA
"OG0012692",NA,"PAML","intensified",NA,NA,NA,NA,NA,"TMEM43",3,3,"evm.model.ptg000442l.6_Prang-OG0012692.fa","evm.model.ptg000442l.6_Prang","chr17",563021166,563022381
"OG0012702",NA,"PAML","intensified",NA,NA,NA,NA,NA,"ARFGAP1",3,3,"evm.model.ptg000821l.1_Prang-OG0012702.fa","evm.model.ptg000821l.1_Prang","chr5",2172937545,2172938871
"OG0012750",NA,"PAML","intensified",NA,NA,NA,NA,NA,"FHIT",3,3,"evm.model.ptg007214l.5_Prang-OG0012750.fa","evm.model.ptg007214l.5_Prang","chr5",768641585,768642041
