OG_ID,analysis_absrel,analysis_relax_intens,analysis_PAML,analysis_cafe_expanded,analysis_relax_relaxed,analysis_cafe_contr,condition_pigmentation,condition_eyes,gene_symbol
OG0013553,absrel_shared_sign,NA,NA,NA,NA,NA,NA,NA,NA
OG0005171,NA,intensified,PAML,NA,NA,NA,NA,NA,RBMXL2
OG0005341,NA,intensified,PAML,NA,NA,NA,NA,NA,PTPRQ
OG0005648,NA,intensified,PAML,NA,NA,NA,NA,NA,ZBTB46
OG0006264,NA,intensified,PAML,NA,NA,NA,NA,NA,DNHD1
OG0006296,NA,intensified,PAML,NA,NA,NA,NA,NA,CUBN
OG0006303,NA,intensified,PAML,NA,NA,NA,NA,NA,SORCS2
OG0006444,NA,intensified,PAML,NA,NA,NA,NA,NA,SREK1
OG0007056,NA,intensified,PAML,NA,NA,NA,NA,NA,COL22A1
OG0007194,NA,intensified,PAML,NA,NA,NA,NA,NA,CCDC178
OG0007352,NA,intensified,PAML,NA,NA,NA,NA,NA,PRMT7
OG0007530,NA,intensified,PAML,NA,NA,NA,NA,NA,GAB3
OG0007721,NA,intensified,PAML,NA,NA,NA,NA,NA,RAVER2
OG0007848,NA,intensified,PAML,NA,NA,NA,NA,NA,TCTN1
OG0007884,NA,intensified,PAML,NA,NA,NA,NA,NA,ANKRD24
OG0008201,NA,intensified,PAML,NA,NA,NA,NA,NA,SPATA5
OG0008334,NA,intensified,PAML,NA,NA,NA,NA,NA,RTDR1
OG0008352,NA,intensified,PAML,NA,NA,NA,NA,NA,MMP23B
OG0008435,NA,intensified,PAML,NA,NA,NA,NA,NA,MECP2
OG0008507,NA,intensified,PAML,NA,NA,NA,NA,NA,SUSD5
OG0008512,NA,intensified,PAML,NA,NA,NA,NA,NA,FLII
OG0008584,NA,intensified,PAML,NA,NA,NA,NA,NA,C8orf34
OG0008589,NA,intensified,PAML,NA,NA,NA,NA,NA,STAU2
OG0008651,NA,intensified,PAML,NA,NA,NA,NA,NA,RHBDL2
OG0008717,NA,intensified,PAML,NA,NA,NA,NA,NA,COL9A3
OG0008828,NA,intensified,PAML,NA,NA,NA,NA,NA,IGF1
OG0008935,NA,intensified,PAML,NA,NA,NA,NA,NA,EXOC2
OG0009084,NA,intensified,PAML,NA,NA,NA,NA,NA,XRCC6
OG0009139,NA,intensified,PAML,NA,NA,NA,NA,NA,SLC46A1
OG0009216,NA,intensified,PAML,NA,NA,NA,NA,NA,UBE3D
OG0009273,NA,intensified,PAML,NA,NA,NA,NA,NA,ECSIT
OG0009379,NA,intensified,PAML,NA,NA,NA,NA,NA,TRPT1
OG0009412,NA,intensified,PAML,NA,NA,NA,NA,NA,RFX4
OG0009493,NA,intensified,PAML,NA,NA,NA,NA,NA,LAMB3
OG0009794,NA,intensified,PAML,NA,NA,NA,NA,NA,DDX54
OG0009829,NA,intensified,PAML,NA,NA,NA,NA,NA,GMIP
OG0010112,NA,intensified,PAML,NA,NA,NA,NA,NA,RNF219
OG0010268,NA,intensified,PAML,NA,NA,NA,NA,NA,HYOU1
OG0010302,NA,intensified,PAML,NA,NA,NA,NA,NA,RNF8
OG0010486,NA,intensified,PAML,NA,NA,NA,NA,NA,SPCS2
OG0010550,NA,intensified,PAML,NA,NA,NA,NA,NA,AFF3
OG0010680,NA,intensified,PAML,NA,NA,NA,NA,NA,SYT16
OG0010734,NA,intensified,PAML,NA,NA,NA,NA,NA,CYP2U1
OG0010897,NA,intensified,PAML,NA,NA,NA,NA,NA,CCDC66
OG0011140,NA,intensified,PAML,NA,NA,NA,NA,NA,GUSB
OG0011167,NA,intensified,PAML,NA,NA,NA,NA,NA,NA
OG0011172,NA,intensified,PAML,NA,NA,NA,NA,NA,CTNNAL1
OG0011289,NA,intensified,PAML,NA,NA,NA,NA,NA,IGSF10
OG0011387,NA,intensified,PAML,NA,NA,NA,NA,NA,C1orf159
OG0011467,NA,intensified,PAML,NA,NA,NA,NA,NA,DUS3L
OG0011483,NA,intensified,PAML,NA,NA,NA,NA,NA,CNNM3
OG0011510,NA,intensified,PAML,NA,NA,NA,NA,NA,ASPSCR1
OG0011534,NA,intensified,PAML,NA,NA,NA,NA,NA,IMMP1L
OG0011676,NA,intensified,PAML,NA,NA,NA,NA,NA,TRIM45
OG0011680,NA,intensified,PAML,NA,NA,NA,NA,NA,COMMD6
OG0011701,NA,intensified,PAML,NA,NA,NA,NA,NA,CYP7B1
OG0011722,NA,intensified,PAML,NA,NA,NA,NA,eyeloss,EFNA4
OG0011769,NA,intensified,PAML,NA,NA,NA,NA,NA,FAM73A
OG0011840,NA,intensified,PAML,NA,NA,NA,NA,NA,EFCAB6
OG0011898,NA,intensified,PAML,NA,NA,NA,NA,NA,WDR1
OG0011995,NA,intensified,PAML,NA,NA,NA,NA,NA,ID4
OG0012316,NA,intensified,PAML,NA,NA,NA,NA,NA,ZFP64
OG0012551,NA,intensified,PAML,NA,NA,NA,NA,NA,XRCC2
OG0012622,NA,intensified,PAML,NA,NA,NA,NA,NA,METTL15
OG0012635,NA,intensified,PAML,NA,NA,NA,NA,NA,CENPU
OG0012692,NA,intensified,PAML,NA,NA,NA,NA,NA,TMEM43
OG0012702,NA,intensified,PAML,NA,NA,NA,NA,NA,ARFGAP1
OG0012750,NA,intensified,PAML,NA,NA,NA,NA,NA,FHIT
OG0012942,NA,intensified,PAML,NA,NA,NA,NA,NA,LRRC36
OG0013004,NA,intensified,PAML,NA,NA,NA,NA,NA,NA
OG0013080,NA,intensified,PAML,NA,NA,NA,NA,NA,CHMP1A
OG0013109,NA,intensified,PAML,NA,NA,NA,NA,NA,RBBP8
OG0013116,NA,intensified,PAML,NA,NA,NA,NA,NA,THEM5
OG0013140,NA,intensified,PAML,NA,NA,NA,pigmentation,NA,TYMS
OG0013148,NA,intensified,PAML,NA,NA,NA,NA,NA,LRRC27
OG0013164,NA,intensified,PAML,NA,NA,NA,NA,NA,LONP2
OG0013399,NA,intensified,PAML,NA,NA,NA,NA,NA,KIAA2026
OG0013410,NA,intensified,PAML,NA,NA,NA,NA,NA,EPM2A
OG0013424,NA,intensified,PAML,NA,NA,NA,NA,NA,TAB1
OG0013464,NA,intensified,PAML,NA,NA,NA,NA,NA,SLC25A21
OG0013715,NA,intensified,PAML,NA,NA,NA,NA,NA,CENPM
OG0013770,NA,intensified,PAML,NA,NA,NA,NA,NA,ACP7
OG0013776,NA,intensified,PAML,NA,NA,NA,NA,NA,MRPL33
OG0014106,NA,intensified,PAML,NA,NA,NA,NA,NA,PARK2
OG0014494,NA,intensified,PAML,NA,NA,NA,NA,NA,KLF1
OG0004960,NA,intensified,NA,NA,NA,NA,NA,NA,KNG1
OG0004975,NA,intensified,NA,NA,NA,NA,NA,NA,UROS
OG0005139,NA,intensified,NA,NA,NA,NA,NA,NA,GNMT
OG0005638,NA,intensified,NA,NA,NA,NA,NA,NA,PPP1R3B
OG0005695,NA,intensified,NA,NA,NA,NA,NA,NA,G2E3
OG0005700,NA,intensified,NA,NA,NA,NA,NA,NA,FBXW10
OG0005721,NA,intensified,NA,NA,NA,NA,NA,NA,SUGCT
OG0005732,NA,intensified,NA,NA,NA,NA,NA,NA,RPS24
OG0005740,NA,intensified,NA,NA,NA,NA,pigmentation,NA,MDN1
OG0005853,NA,intensified,NA,NA,NA,NA,NA,NA,RNF207
OG0005903,NA,intensified,NA,NA,NA,NA,NA,NA,ITGA2
OG0005965,NA,intensified,NA,NA,NA,NA,NA,NA,C7orf43
OG0006086,NA,intensified,NA,NA,NA,NA,NA,NA,SLC2A6
OG0006096,NA,intensified,NA,NA,NA,NA,NA,NA,ORAI2
OG0006149,NA,intensified,NA,NA,NA,NA,NA,NA,CDK5RAP2
OG0006171,NA,intensified,NA,NA,NA,NA,NA,eyeloss,NOS1AP
OG0006174,NA,intensified,NA,NA,NA,NA,NA,NA,INPP5D
OG0006228,NA,intensified,NA,NA,NA,NA,NA,eyeloss,LRRK1
OG0006272,NA,intensified,NA,NA,NA,NA,NA,NA,CWC22
OG0006317,NA,intensified,NA,NA,NA,NA,pigmentation,NA,OPN3
OG0006408,NA,intensified,NA,NA,NA,NA,NA,NA,NAA30
OG0006442,NA,intensified,NA,NA,NA,NA,NA,NA,PISD
OG0006450,NA,intensified,NA,NA,NA,NA,NA,NA,LIG3
OG0006463,NA,intensified,NA,NA,NA,NA,NA,NA,TNRC18
OG0006496,NA,intensified,NA,NA,NA,NA,NA,NA,KIAA1407
OG0006505,NA,intensified,NA,NA,NA,NA,NA,NA,EXOC3
OG0006513,NA,intensified,NA,NA,NA,NA,NA,NA,ERMP1
OG0006519,NA,intensified,NA,NA,NA,NA,NA,NA,SLC6A7
OG0006524,NA,intensified,NA,NA,NA,NA,NA,NA,BTC
OG0006536,NA,intensified,NA,NA,NA,NA,NA,NA,NOC2L
OG0006542,NA,intensified,NA,NA,NA,NA,NA,NA,SYDE2
OG0006547,NA,intensified,NA,NA,NA,NA,NA,NA,ENDOU
OG0006571,NA,intensified,NA,NA,NA,NA,NA,NA,EIF3D
OG0006578,NA,intensified,NA,NA,NA,NA,NA,NA,NUP85
OG0006602,NA,intensified,NA,NA,NA,NA,NA,NA,SLC35E4
OG0006648,NA,intensified,NA,NA,NA,NA,NA,NA,TDRKH
OG0006697,NA,intensified,NA,NA,NA,NA,NA,NA,CADM4
OG0006711,NA,intensified,NA,NA,NA,NA,NA,NA,BAG5
OG0006732,NA,intensified,NA,NA,NA,NA,NA,NA,C15orf39
OG0006854,NA,intensified,NA,NA,NA,NA,NA,NA,RPS27A
OG0006861,NA,intensified,NA,NA,NA,NA,NA,NA,LYSMD2
OG0006862,NA,intensified,NA,NA,NA,NA,NA,NA,SCG3
OG0006866,NA,intensified,NA,NA,NA,NA,NA,NA,ARSA
OG0006922,NA,intensified,NA,NA,NA,NA,NA,NA,FGA
OG0006924,NA,intensified,NA,NA,NA,NA,pigmentation,NA,RPL24
OG0006936,NA,intensified,NA,NA,NA,NA,NA,NA,NKTR
OG0006941,NA,intensified,NA,NA,NA,NA,NA,NA,MPPE1
OG0006955,NA,intensified,NA,NA,NA,NA,NA,NA,LRRC6
OG0006975,NA,intensified,NA,NA,NA,NA,NA,NA,HGH1
OG0006989,NA,intensified,NA,NA,NA,NA,NA,NA,PRDM5
OG0007025,NA,intensified,NA,NA,NA,NA,NA,NA,LSM8
OG0007070,NA,intensified,NA,NA,NA,NA,NA,NA,SMG6
OG0007075,NA,intensified,NA,NA,NA,NA,NA,NA,PRDM15
OG0007080,NA,intensified,NA,NA,NA,NA,NA,NA,SCG5
OG0007091,NA,intensified,NA,NA,NA,NA,NA,NA,USE1
OG0007108,NA,intensified,NA,NA,NA,NA,NA,NA,PRMT3
OG0007126,NA,intensified,NA,NA,NA,NA,NA,NA,STAC
OG0007133,NA,intensified,NA,NA,NA,NA,NA,NA,COX10
OG0007195,NA,intensified,NA,NA,NA,NA,NA,NA,SBK1
OG0007200,NA,intensified,NA,NA,NA,NA,NA,NA,NUB1
OG0007202,NA,intensified,NA,NA,NA,NA,NA,NA,CENPW
OG0007210,NA,intensified,NA,NA,NA,NA,NA,NA,PEX5
OG0007244,NA,intensified,NA,NA,NA,NA,pigmentation,eyeloss,LYST
OG0007245,NA,intensified,NA,NA,NA,NA,NA,NA,SYNDIG1
OG0007252,NA,intensified,NA,NA,NA,NA,NA,eyeloss,FANCL
OG0007266,NA,intensified,NA,NA,NA,NA,NA,NA,MADD
OG0007283,NA,intensified,NA,NA,NA,NA,NA,NA,NYNRIN
OG0007296,NA,intensified,NA,NA,NA,NA,NA,NA,TMEM200A
OG0007325,NA,intensified,NA,NA,NA,NA,NA,NA,PROP1
OG0007345,NA,intensified,NA,NA,NA,NA,NA,NA,NUF2
OG0007354,NA,intensified,NA,NA,NA,NA,NA,NA,PIEZO1
OG0007365,NA,intensified,NA,NA,NA,NA,NA,NA,KLHL32
OG0007412,NA,intensified,NA,NA,NA,NA,NA,NA,REN
OG0007417,NA,intensified,NA,NA,NA,NA,NA,NA,KANK3
OG0007464,NA,intensified,NA,NA,NA,NA,NA,NA,TM2D3
OG0007498,NA,intensified,NA,NA,NA,NA,NA,NA,ACBD6
OG0007522,NA,intensified,NA,NA,NA,NA,NA,NA,SPATA22
OG0007526,NA,intensified,NA,NA,NA,NA,NA,NA,LAYN
OG0007543,NA,intensified,NA,NA,NA,NA,NA,NA,AHDC1
OG0007554,NA,intensified,NA,NA,NA,NA,NA,NA,BRI3BP
OG0007562,NA,intensified,NA,NA,NA,NA,NA,NA,CKAP2L
OG0007565,NA,intensified,NA,NA,NA,NA,NA,NA,PDZD2
OG0007579,NA,intensified,NA,NA,NA,NA,NA,NA,RCHY1
OG0007594,NA,intensified,NA,NA,NA,NA,NA,NA,FBXO48
OG0007615,NA,intensified,NA,NA,NA,NA,NA,eyeloss,TMEM108
OG0007620,NA,intensified,NA,NA,NA,NA,NA,NA,SCAP
OG0007630,NA,intensified,NA,NA,NA,NA,pigmentation,NA,ATM
OG0007644,NA,intensified,NA,NA,NA,NA,NA,NA,RIC1
OG0007673,NA,intensified,NA,NA,NA,NA,NA,NA,MPG
OG0007708,NA,intensified,NA,NA,NA,NA,NA,NA,TARBP2
OG0007737,NA,intensified,NA,NA,NA,NA,NA,NA,LEMD3
OG0007751,NA,intensified,NA,NA,NA,NA,NA,NA,NELFCD
OG0007773,NA,intensified,NA,NA,NA,NA,NA,NA,PRRT1
OG0007774,NA,intensified,NA,NA,NA,NA,NA,NA,NELFE
OG0007785,NA,intensified,NA,NA,NA,NA,NA,NA,CCDC53
OG0007799,NA,intensified,NA,NA,NA,NA,NA,NA,SEMA7A
OG0007815,NA,intensified,NA,NA,NA,NA,NA,NA,SPTLC1
OG0007824,NA,intensified,NA,NA,NA,NA,NA,NA,RFXAP
OG0007841,NA,intensified,NA,NA,NA,NA,NA,NA,WTAP
OG0007870,NA,intensified,NA,NA,NA,NA,NA,NA,TBXA2R
OG0007883,NA,intensified,NA,NA,NA,NA,NA,NA,GLRX2
OG0007930,NA,intensified,NA,NA,NA,NA,NA,NA,UNC13D
OG0007932,NA,intensified,NA,NA,NA,NA,NA,NA,WBP2NL
OG0007940,NA,intensified,NA,NA,NA,NA,NA,NA,TECTB
OG0007947,NA,intensified,NA,NA,NA,NA,NA,NA,SH3BP1
OG0007949,NA,intensified,NA,NA,NA,NA,NA,NA,SLC16A12
OG0007986,NA,intensified,NA,NA,NA,NA,NA,NA,BCAS3
OG0008009,NA,intensified,NA,NA,NA,NA,NA,NA,PLEKHM3
OG0008030,NA,intensified,NA,NA,NA,NA,NA,eyeloss,IFT88
OG0008034,NA,intensified,NA,NA,NA,NA,NA,NA,TMEM30C
OG0008061,NA,intensified,NA,NA,NA,NA,NA,NA,CCDC12
OG0008067,NA,intensified,NA,NA,NA,NA,NA,NA,GNL1
OG0008083,NA,intensified,NA,NA,NA,NA,NA,NA,TBC1D19
OG0008095,NA,intensified,NA,NA,NA,NA,NA,NA,MALRD1
OG0008107,NA,intensified,NA,NA,NA,NA,NA,NA,PERP
OG0008128,NA,intensified,NA,NA,NA,NA,NA,NA,PRIM2
OG0008137,NA,intensified,NA,NA,NA,NA,NA,NA,CDH5
OG0008140,NA,intensified,NA,NA,NA,NA,NA,NA,PHKB
OG0008147,NA,intensified,NA,NA,NA,NA,NA,NA,SLC39A13
OG0008163,NA,intensified,NA,NA,NA,NA,NA,NA,PCGF1
OG0008172,NA,intensified,NA,NA,NA,NA,NA,NA,C15orf61
OG0008182,NA,intensified,NA,NA,NA,NA,NA,NA,CIRH1A
OG0008205,NA,intensified,NA,NA,NA,NA,NA,NA,ECI1
OG0008211,NA,intensified,NA,NA,NA,NA,NA,NA,NDUFB10
OG0008245,NA,intensified,NA,NA,NA,NA,NA,NA,FAM83D
OG0008248,NA,intensified,NA,NA,NA,NA,NA,NA,SMIM19
OG0008260,NA,intensified,NA,NA,NA,NA,NA,NA,WDR83OS
OG0008261,NA,intensified,NA,NA,NA,NA,NA,NA,TMEM246
OG0008281,NA,intensified,NA,NA,NA,NA,NA,NA,C5orf28
OG0008290,NA,intensified,NA,NA,NA,NA,NA,NA,JADE2
OG0008293,NA,intensified,NA,NA,NA,NA,NA,NA,CCDC125
OG0008346,NA,intensified,NA,NA,NA,NA,NA,NA,PDLIM2
OG0008348,NA,intensified,NA,NA,NA,NA,NA,NA,RER1
OG0008358,NA,intensified,NA,NA,NA,NA,NA,NA,MFSD2B
OG0008368,NA,intensified,NA,NA,NA,NA,NA,NA,SLAIN2
OG0008369,NA,intensified,NA,NA,NA,NA,NA,NA,ANAPC4
OG0008387,NA,intensified,NA,NA,NA,NA,NA,NA,SUPT16H
OG0008399,NA,intensified,NA,NA,NA,NA,pigmentation,NA,PI4K2B
OG0008408,NA,intensified,NA,NA,NA,NA,NA,NA,AAMDC
OG0008424,NA,intensified,NA,NA,NA,NA,NA,NA,GCLM
OG0008428,NA,intensified,NA,NA,NA,NA,NA,NA,SEMA3B
OG0008429,NA,intensified,NA,NA,NA,NA,NA,NA,TMEM115
OG0008430,NA,intensified,NA,NA,NA,NA,NA,NA,IFRD2
OG0008452,NA,intensified,NA,NA,NA,NA,NA,NA,ALAD
OG0008477,NA,intensified,NA,NA,NA,NA,NA,NA,CCHCR1
OG0008489,NA,intensified,NA,NA,NA,NA,NA,NA,FAM65B
OG0008521,NA,intensified,NA,NA,NA,NA,NA,NA,IMP4
OG0008522,NA,intensified,NA,NA,NA,NA,NA,NA,SCARF2
OG0008553,NA,intensified,NA,NA,NA,NA,NA,NA,VAMP8
OG0008559,NA,intensified,NA,NA,NA,NA,NA,NA,RANBP1
OG0008594,NA,intensified,NA,NA,NA,NA,NA,NA,ZFAND1
OG0008595,NA,intensified,NA,NA,NA,NA,pigmentation,NA,BLOC1S5
OG0008596,NA,intensified,NA,NA,NA,NA,NA,NA,NIPAL2
OG0008602,NA,intensified,NA,NA,NA,NA,NA,NA,ARHGEF1
OG0008603,NA,intensified,NA,NA,NA,NA,NA,NA,TMEM145
OG0008614,NA,intensified,NA,NA,NA,NA,NA,NA,IGLON5
OG0008616,NA,intensified,NA,NA,NA,NA,NA,NA,MEX3A
OG0008642,NA,intensified,NA,NA,NA,NA,NA,NA,AXL
OG0008667,NA,intensified,NA,NA,NA,NA,NA,NA,SHC3
OG0008677,NA,intensified,NA,NA,NA,NA,NA,NA,POMP
OG0008703,NA,intensified,NA,NA,NA,NA,NA,NA,SLCO2B1
OG0008722,NA,intensified,NA,NA,NA,NA,NA,NA,TMEM18
OG0008743,NA,intensified,NA,NA,NA,NA,NA,NA,SRPK3
OG0008744,NA,intensified,NA,NA,NA,NA,NA,NA,BIRC7
OG0008757,NA,intensified,NA,NA,NA,NA,NA,eyeloss,PKIG
OG0008779,NA,intensified,NA,NA,NA,NA,NA,NA,R3HDM2
OG0008815,NA,intensified,NA,NA,NA,NA,pigmentation,NA,BRAF
OG0008829,NA,intensified,NA,NA,NA,NA,NA,NA,SLC26A8
OG0008852,NA,intensified,NA,NA,NA,NA,NA,NA,TMEM55A
OG0008860,NA,intensified,NA,NA,NA,NA,NA,NA,MGP
OG0008874,NA,intensified,NA,NA,NA,NA,NA,NA,EXOSC3
OG0008877,NA,intensified,NA,NA,NA,NA,NA,NA,IRF7
OG0008905,NA,intensified,NA,NA,NA,NA,NA,NA,SH3BP2
OG0008918,NA,intensified,NA,NA,NA,NA,NA,NA,ZCCHC9
OG0008924,NA,intensified,NA,NA,NA,NA,NA,NA,ZNHIT2
OG0008925,NA,intensified,NA,NA,NA,NA,NA,NA,MRPL49
OG0008926,NA,intensified,NA,NA,NA,NA,NA,NA,VPS51
OG0008933,NA,intensified,NA,NA,NA,NA,NA,NA,WDR70
OG0008954,NA,intensified,NA,NA,NA,NA,NA,NA,MORN5
OG0008960,NA,intensified,NA,NA,NA,NA,NA,NA,SMC5
OG0008991,NA,intensified,NA,NA,NA,NA,NA,NA,UBXN6
OG0009016,NA,intensified,NA,NA,NA,NA,NA,NA,KIAA0391
OG0009018,NA,intensified,NA,NA,NA,NA,NA,NA,FBXO33
OG0009023,NA,intensified,NA,NA,NA,NA,NA,eyeloss,SIVA1
OG0009030,NA,intensified,NA,NA,NA,NA,NA,NA,ITGB1BP1
OG0009036,NA,intensified,NA,NA,NA,NA,NA,NA,MSH4
OG0009041,NA,intensified,NA,NA,NA,NA,NA,NA,FAM161B
OG0009051,NA,intensified,NA,NA,NA,NA,NA,NA,FERMT2
OG0009060,NA,intensified,NA,NA,NA,NA,NA,NA,CCDC177
OG0009082,NA,intensified,NA,NA,NA,NA,NA,NA,SNF8
OG0009109,NA,intensified,NA,NA,NA,NA,NA,NA,ATOH8
OG0009111,NA,intensified,NA,NA,NA,NA,NA,NA,MXD3
OG0009115,NA,intensified,NA,NA,NA,NA,NA,NA,FOLR1
OG0009127,NA,intensified,NA,NA,NA,NA,NA,NA,TIMM50
OG0009180,NA,intensified,NA,NA,NA,NA,NA,NA,C14orf39
OG0009196,NA,intensified,NA,NA,NA,NA,NA,NA,SPIDR
OG0009198,NA,intensified,NA,NA,NA,NA,NA,NA,ST18
OG0009202,NA,intensified,NA,NA,NA,NA,NA,NA,PRPF31
