OG_ID,analysis_absrel,gene_symbol.x,analysis_relaxed_intensified,analysis_paml,analysis_cafe_expanded,gene_symbol.y,analysis_relax_relaxed,analysis_cafe_contracted,gene_symbol,qname,query,chr,seqStart,seqEnd
OG0002857,NA,NA,NA,paml_selected,NA,NA,NA,NA,SMYD3,longevity_candidate_gene_selection_analysis-OG0002857-evm.model.ptg003438l.4_Prang,evm.model.ptg003438l.4_Prang,chr8,1295935360,1295936671
OG0002915,NA,NA,NA,paml_selected,NA,NA,NA,NA,AKAP9,longevity_candidate_gene_selection_analysis-OG0002915-evm.model.ptg001298l.1_Prang,evm.model.ptg001298l.1_Prang,chr16,685187200,685190284
OG0002918,NA,NA,NA,paml_selected,NA,NA,NA,NA,ASTE1,longevity_candidate_gene_selection_analysis-OG0002918-evm.model.ptg003524l.2_Prang,evm.model.ptg003524l.2_Prang,chr16,456088283,456090428
OG0003005,NA,NA,NA,paml_selected,NA,ANPEP,relaxed,NA,ANPEP,longevity_candidate_gene_selection_analysis-OG0003005-evm.model.ptg010359l.1_Prang,evm.model.ptg010359l.1_Prang,chr14,836896748,836900093
OG0003085,NA,NA,NA,paml_selected,NA,NA,NA,NA,HSPG2,longevity_candidate_gene_selection_analysis-OG0003085-evm.model.ptg006873l.5_Prang,evm.model.ptg006873l.5_Prang,chr10,145329919,145341763
OG0003122,NA,CD2,intensified,paml_selected,NA,NA,NA,NA,CD2,longevity_candidate_gene_selection_analysis-OG0003122-evm.model.ptg015123l.1_Prang,evm.model.ptg015123l.1_Prang,chr3,81381458,81382508
OG0003128,NA,NA,NA,paml_selected,NA,NA,NA,NA,SLC3A2,longevity_candidate_gene_selection_analysis-OG0003128-evm.model.ptg005920l.8_Prang,evm.model.ptg005920l.8_Prang,chr12,1191226681,1191228283
OG0003140,NA,NA,NA,NA,NA,PRKRIR,relaxed,NA,PRKRIR,longevity_candidate_gene_selection_analysis-OG0003140-evm.model.ptg004358l.4_Prang,evm.model.ptg004358l.4_Prang,chr3,887733820,887736085
OG0003145,NA,NA,NA,NA,NA,QDPR,relaxed,NA,QDPR,longevity_candidate_gene_selection_analysis-OG0003145-evm.model.ptg005908l.1_Prang,evm.model.ptg005908l.1_Prang,chr1,520858383,520859106
OG0003149,NA,NA,NA,NA,NA,HNRNPC,relaxed,NA,HNRNPC,longevity_candidate_gene_selection_analysis-OG0003149-evm.model.ptg001738l.4_Prang,evm.model.ptg001738l.4_Prang,chr2,1584410995,1584411784
OG0003184,NA,NA,NA,NA,NA,HPGD,relaxed,NA,HPGD,longevity_candidate_gene_selection_analysis-OG0003184-evm.model.ptg004200l.7_Prang,evm.model.ptg004200l.7_Prang,chr1,1108923708,1108924503
OG0003190,NA,NA,NA,NA,NA,RELN,relaxed,NA,RELN,longevity_candidate_gene_selection_analysis-OG0003190-evm.model.ptg003291l.5_Prang,evm.model.ptg003291l.5_Prang,chr7,995744218,995751670
OG0003203,NA,NA,NA,NA,NA,RCVRN,relaxed,NA,RCVRN,longevity_candidate_gene_selection_analysis-OG0003203-evm.model.ptg006482l.4_Prang,evm.model.ptg006482l.4_Prang,chr8,1014124647,1014125226
OG0003217,NA,NA,NA,paml_selected,NA,TMEM68,relaxed,NA,TMEM68,longevity_candidate_gene_selection_analysis-OG0003217-evm.model.ptg014342l.3_Prang,evm.model.ptg014342l.3_Prang,chr2,921098387,921099380
OG0003239,NA,XPO5,intensified,paml_selected,NA,NA,NA,NA,XPO5,longevity_candidate_gene_selection_analysis-OG0003239-evm.model.ptg004273l.1_Prang,evm.model.ptg004273l.1_Prang,chr4,252041153,252043790
OG0003276,NA,NA,NA,paml_selected,NA,NA,NA,NA,LRAT,longevity_candidate_gene_selection_analysis-OG0003276-evm.model.ptg003118l.3_Prang,evm.model.ptg003118l.3_Prang,chr1,1048927961,1048928432
OG0003303,NA,NA,NA,paml_selected,NA,NA,NA,NA,CEP350,longevity_candidate_gene_selection_analysis-OG0003303-evm.model.ptg002786l.4_Prang,evm.model.ptg002786l.4_Prang,chr12,807896820,807902337
OG0003318,NA,NA,NA,paml_selected,NA,NA,NA,NA,USP42,longevity_candidate_gene_selection_analysis-OG0003318-evm.model.ptg024902l.1_Prang,evm.model.ptg024902l.1_Prang,chr10,794357929,794362102
OG0003326,NA,NA,NA,NA,NA,NXPE3,relaxed,NA,NXPE3,longevity_candidate_gene_selection_analysis-OG0003326-evm.model.ptg005414l.1_Prang,evm.model.ptg005414l.1_Prang,chr3,2036323707,2036324307
OG0003327,NA,NA,NA,paml_selected,NA,NA,NA,NA,GATA1,longevity_candidate_gene_selection_analysis-OG0003327-evm.model.ptg011002l.1_Prang,evm.model.ptg011002l.1_Prang,chr10,1171672337,1171673237
OG0003355,NA,NA,NA,NA,NA,NAMPT,relaxed,NA,NAMPT,longevity_candidate_gene_selection_analysis-OG0003355-evm.model.ptg006609l.4_Prang,evm.model.ptg006609l.4_Prang,chr9,472883222,472884689
OG0003376,NA,NA,NA,paml_selected,NA,BSN,relaxed,NA,BSN,longevity_candidate_gene_selection_analysis-OG0003376-evm.model.ptg013451l.2_Prang,evm.model.ptg013451l.2_Prang,chr17,230323481,230334815
OG0003378,NA,NA,NA,NA,NA,CLDN10,relaxed,NA,CLDN10,longevity_candidate_gene_selection_analysis-OG0003378-evm.model.ptg002456l.3_Prang,evm.model.ptg002456l.3_Prang,chr11,737149079,737149784
OG0003381,NA,NA,NA,NA,NA,GIN1,relaxed,NA,GIN1,longevity_candidate_gene_selection_analysis-OG0003381-evm.model.ptg000191l.1_Prang,evm.model.ptg000191l.1_Prang,chr14,453711649,453711847
OG0003389,NA,NA,NA,NA,NA,RPS18,relaxed,NA,RPS18,longevity_candidate_gene_selection_analysis-OG0003389-evm.model.ptg019848l.2_Prang,evm.model.ptg019848l.2_Prang,chr5,1181635982,1181636441
OG0003415,NA,NA,NA,NA,NA,ZBTB38,relaxed,NA,ZBTB38,longevity_candidate_gene_selection_analysis-OG0003415-evm.model.ptg000519l.7_Prang,evm.model.ptg000519l.7_Prang,chr18,564367983,564372180
OG0003417,NA,USP54,intensified,paml_selected,NA,NA,NA,NA,USP54,longevity_candidate_gene_selection_analysis-OG0003417-evm.model.ptg012628l.1_Prang,evm.model.ptg012628l.1_Prang,chr15,164586286,164586661
OG0003427,NA,NA,NA,paml_selected,NA,NEFM,relaxed,NA,NEFM,longevity_candidate_gene_selection_analysis-OG0003427-evm.model.ptg016578l.2_Prang,evm.model.ptg016578l.2_Prang,scaffold596,1663047,1665843
OG0003439,NA,NA,NA,NA,NA,B3GALT2,relaxed,NA,B3GALT2,longevity_candidate_gene_selection_analysis-OG0003439-evm.model.ptg003273l.1_Prang,evm.model.ptg003273l.1_Prang,chr13,59107733,59108930
OG0003441,NA,NA,NA,paml_selected,NA,SSRP1,relaxed,NA,SSRP1,longevity_candidate_gene_selection_analysis-OG0003441-evm.model.ptg004850l.3_Prang,evm.model.ptg004850l.3_Prang,chr9,525899950,525901807
OG0003444,NA,NA,NA,paml_selected,NA,NA,NA,NA,FANCA,longevity_candidate_gene_selection_analysis-OG0003444-evm.model.ptg003052l.1_Prang,evm.model.ptg003052l.1_Prang,chr6,62216892,62219034
OG0003451,NA,NA,NA,paml_selected,NA,NA,NA,NA,SZT2,longevity_candidate_gene_selection_analysis-OG0003451-evm.model.ptg001507l.1_Prang,evm.model.ptg001507l.1_Prang,chr12,4912004,4913189
OG0003452,NA,NA,NA,NA,NA,AMD1,relaxed,NA,AMD1,longevity_candidate_gene_selection_analysis-OG0003452-evm.model.ptg018663l.1_Prang,evm.model.ptg018663l.1_Prang,chr4,1180898395,1180899382
OG0003465,NA,NA,NA,NA,NA,HCCS,relaxed,NA,HCCS,longevity_candidate_gene_selection_analysis-OG0003465-evm.model.ptg016115l.4_Prang,evm.model.ptg016115l.4_Prang,chr12,1106700657,1106701512
OG0003478,NA,NA,NA,paml_selected,NA,FGL2,relaxed,NA,FGL2,longevity_candidate_gene_selection_analysis-OG0003478-evm.model.ptg005813l.2_Prang,evm.model.ptg005813l.2_Prang,chr17,546501239,546502565
OG0003486,NA,NA,NA,NA,NA,IER3,relaxed,NA,IER3,longevity_candidate_gene_selection_analysis-OG0003486-evm.model.ptg000992l.1_Prang,evm.model.ptg000992l.1_Prang,chr11,390192909,390193539
OG0003490,NA,NA,NA,paml_selected,NA,IRF2,relaxed,NA,IRF2,longevity_candidate_gene_selection_analysis-OG0003490-evm.model.ptg005066l.2_Prang,evm.model.ptg005066l.2_Prang,chr1,1270206939,1270208076
OG0003491,NA,NA,NA,paml_selected,NA,TNRC18,relaxed,NA,TNRC18,longevity_candidate_gene_selection_analysis-OG0003491-evm.model.ptg004473l.1_Prang,evm.model.ptg004473l.1_Prang,chr10,965261311,965261512
OG0003513,NA,NA,NA,paml_selected,NA,NA,NA,NA,ZCCHC2,longevity_candidate_gene_selection_analysis-OG0003513-evm.model.ptg008044l.2_Prang,evm.model.ptg008044l.2_Prang,chr2,1724160825,1724163489
OG0003516,NA,NA,NA,NA,NA,RPL15,relaxed,NA,RPL15,longevity_candidate_gene_selection_analysis-OG0003516-evm.model.ptg001687l.6_Prang,evm.model.ptg001687l.6_Prang,chr16,511555298,511555913
OG0003525,NA,NA,NA,NA,NA,PPHLN1,relaxed,NA,PPHLN1,longevity_candidate_gene_selection_analysis-OG0003525-evm.model.ptg006171l.3_Prang,evm.model.ptg006171l.3_Prang,chr12,685949636,685950788
OG0003533,NA,NA,NA,NA,NA,TNC,relaxed,NA,TNC,longevity_candidate_gene_selection_analysis-OG0003533-evm.model.ptg017152l.1_Prang,evm.model.ptg017152l.1_Prang,chr11,150906879,150912495
OG0003534,NA,SETD8,intensified,NA,NA,NA,NA,NA,SETD8,longevity_candidate_gene_selection_analysis-OG0003534-evm.model.ptg007295l.1_Prang,evm.model.ptg007295l.1_Prang,chr6,638637167,638638091
OG0003537,NA,NA,NA,NA,NA,TMEM136,relaxed,NA,TMEM136,longevity_candidate_gene_selection_analysis-OG0003537-evm.model.ptg017305l.1_Prang,evm.model.ptg017305l.1_Prang,chr5,1480831084,1480831819
OG0003538,NA,NA,NA,paml_selected,NA,HNMT,relaxed,NA,HNMT,longevity_candidate_gene_selection_analysis-OG0003538-evm.model.ptg030274l.1_Prang,evm.model.ptg030274l.1_Prang,chr19,300255622,300256501
OG0003546,NA,NA,NA,paml_selected,NA,lcorl,relaxed,NA,lcorl,longevity_candidate_gene_selection_analysis-OG0003546-evm.model.ptg018525l.1_Prang,evm.model.ptg018525l.1_Prang,chr1,515455807,515461417
OG0003549,NA,GUCY2C,intensified,paml_selected,NA,NA,NA,NA,GUCY2C,longevity_candidate_gene_selection_analysis-OG0003549-evm.model.ptg026058l.1_Prang,evm.model.ptg026058l.1_Prang,chr5,828559886,828561044
OG0003554,NA,LUZP2,intensified,NA,NA,NA,NA,NA,LUZP2,longevity_candidate_gene_selection_analysis-OG0003554-evm.model.ptg006456l.2_Prang,evm.model.ptg006456l.2_Prang,chr6,1920544805,1920545294
OG0003556,NA,NA,NA,NA,NA,WDR26,relaxed,NA,WDR26,longevity_candidate_gene_selection_analysis-OG0003556-evm.model.ptg001282l.6_Prang,evm.model.ptg001282l.6_Prang,chr4,484127683,484128145
OG0003558,NA,NA,NA,paml_selected,NA,NA,NA,NA,CCDC80,longevity_candidate_gene_selection_analysis-OG0003558-evm.model.ptg006703l.1_Prang,evm.model.ptg006703l.1_Prang,chr3,2739790619,2739793508
OG0003561,NA,NA,NA,paml_selected,NA,NA,NA,NA,E2F6,longevity_candidate_gene_selection_analysis-OG0003561-evm.model.ptg001305l.5_Prang,evm.model.ptg001305l.5_Prang,chr4,2641978041,2641978824
OG0003564,NA,NA,NA,NA,NA,SCN1B,relaxed,NA,SCN1B,longevity_candidate_gene_selection_analysis-OG0003564-evm.model.ptg001512l.4_Prang,evm.model.ptg001512l.4_Prang,chr8,1220993800,1220994538
OG0003568,NA,NA,NA,paml_selected,NA,RNF19B,relaxed,NA,RNF19B,longevity_candidate_gene_selection_analysis-OG0003568-evm.model.ptg006042l.1_Prang,evm.model.ptg006042l.1_Prang,chr14,14942240,14944220
OG0003569,NA,NA,NA,NA,NA,PCDH15,relaxed,NA,PCDH15,longevity_candidate_gene_selection_analysis-OG0003569-evm.model.ptg002617l.1_Prang,evm.model.ptg002617l.1_Prang,chr15,617518376,617522372
OG0003571,NA,NA,NA,paml_selected,NA,ANXA1,relaxed,NA,ANXA1,longevity_candidate_gene_selection_analysis-OG0003571-evm.model.ptg008565l.1_Prang,evm.model.ptg008565l.1_Prang,chr1,2735245299,2735246331
OG0003573,NA,NA,NA,paml_selected,NA,NA,NA,NA,EIF4G2,longevity_candidate_gene_selection_analysis-OG0003573-evm.model.ptg001990l.1_Prang,evm.model.ptg001990l.1_Prang,chr6,1677543066,1677543360
OG0003576,NA,NA,NA,paml_selected,NA,MORC3,relaxed,NA,MORC3,longevity_candidate_gene_selection_analysis-OG0003576-evm.model.ptg006996l.1_Prang,evm.model.ptg006996l.1_Prang,chr3,2997981213,2997984021
OG0003579,NA,NA,NA,NA,NA,UBE2K,relaxed,NA,UBE2K,longevity_candidate_gene_selection_analysis-OG0003579-evm.model.ptg002977l.1_Prang,evm.model.ptg002977l.1_Prang,chr1,716851705,716852245
OG0003582,NA,NA,NA,paml_selected,NA,BOK,relaxed,NA,BOK,longevity_candidate_gene_selection_analysis-OG0003582-evm.model.ptg022327l.3_Prang,evm.model.ptg022327l.3_Prang,chr18,713225056,713225683
OG0003588,NA,NA,NA,NA,NA,KLHL10,relaxed,NA,KLHL10,longevity_candidate_gene_selection_analysis-OG0003588-evm.model.ptg005180l.3_Prang,evm.model.ptg005180l.3_Prang,chr9,1155893438,1155895217
OG0003596,NA,NA,NA,paml_selected,NA,NA,NA,NA,FRMPD1,longevity_candidate_gene_selection_analysis-OG0003596-evm.model.ptg000529l.1_Prang,evm.model.ptg000529l.1_Prang,chr1,1423040673,1423045575
OG0003599,NA,NA,NA,paml_selected,NA,NA,NA,NA,HOMEZ,longevity_candidate_gene_selection_analysis-OG0003599-evm.model.ptg002074l.4_Prang,evm.model.ptg002074l.4_Prang,chr9,849700467,849703206
OG0003601,NA,NA,NA,paml_selected,NA,NA,NA,NA,CFAP54,longevity_candidate_gene_selection_analysis-OG0003601-evm.model.ptg001714l.1_Prang,evm.model.ptg001714l.1_Prang,chr7,183771974,183772682
OG0003605,NA,NA,NA,paml_selected,NA,NDUFA5,relaxed,NA,NDUFA5,longevity_candidate_gene_selection_analysis-OG0003605-evm.model.ptg004556l.8_Prang,evm.model.ptg004556l.8_Prang,chr10,561871409,561871760
OG0003607,NA,UQCRB,intensified,paml_selected,NA,NA,NA,NA,UQCRB,longevity_candidate_gene_selection_analysis-OG0003607-evm.model.ptg003618l.3_Prang,evm.model.ptg003618l.3_Prang,chr2,584229253,584229589
OG0003608,NA,NA,NA,NA,NA,PSMC1,relaxed,NA,PSMC1,longevity_candidate_gene_selection_analysis-OG0003608-evm.model.ptg002586l.4_Prang,evm.model.ptg002586l.4_Prang,chr8,544460336,544460702
OG0003614,NA,NA,NA,NA,NA,RPL19,relaxed,NA,RPL19,longevity_candidate_gene_selection_analysis-OG0003614-evm.model.ptg000252l.2_Prang,evm.model.ptg000252l.2_Prang,chr1,972752172,972752763
OG0003615,NA,NA,NA,paml_selected,NA,NA,NA,NA,MSH2,longevity_candidate_gene_selection_analysis-OG0003615-evm.model.ptg020005l.1_Prang,evm.model.ptg020005l.1_Prang,chr4,580681810,580684339
OG0003619,NA,NA,NA,paml_selected,NA,TDRD1,relaxed,NA,TDRD1,longevity_candidate_gene_selection_analysis-OG0003619-evm.model.ptg000661l.2_Prang,evm.model.ptg000661l.2_Prang,chr9,169265344,169265890
OG0003620,NA,NA,NA,paml_selected,NA,NA,NA,NA,RAB33B,longevity_candidate_gene_selection_analysis-OG0003620-evm.model.ptg011187l.4_Prang,evm.model.ptg011187l.4_Prang,chr3,2316414861,2316415530
OG0003622,NA,NA,NA,NA,NA,ASB13,relaxed,NA,ASB13,longevity_candidate_gene_selection_analysis-OG0003622-evm.model.ptg000555l.3_Prang,evm.model.ptg000555l.3_Prang,chr7,1552041442,1552042249
OG0003623,NA,NA,NA,NA,NA,TTBK1,relaxed,NA,TTBK1,longevity_candidate_gene_selection_analysis-OG0003623-evm.model.ptg009250l.3_Prang,evm.model.ptg009250l.3_Prang,chr4,228225523,228229549
OG0003629,NA,NA,NA,NA,NA,KCNJ1,relaxed,NA,KCNJ1,longevity_candidate_gene_selection_analysis-OG0003629-evm.model.ptg014594l.1_Prang,evm.model.ptg014594l.1_Prang,chr5,638056984,638058124
OG0003631,NA,NA,NA,NA,NA,PRR12,relaxed,NA,PRR12,longevity_candidate_gene_selection_analysis-OG0003631-evm.model.ptg004952l.3_Prang,evm.model.ptg004952l.3_Prang,chr8,1116269153,1116277391
OG0003632,NA,NA,NA,NA,NA,PSMA2,relaxed,NA,PSMA2,longevity_candidate_gene_selection_analysis-OG0003632-evm.model.ptg001112l.2_Prang,evm.model.ptg001112l.2_Prang,chr5,1587497461,1587497767
OG0003633,NA,NA,NA,paml_selected,NA,NA,NA,NA,CTDNEP1,longevity_candidate_gene_selection_analysis-OG0003633-evm.model.ptg001830l.6_Prang,evm.model.ptg001830l.6_Prang,chr5,1902076637,1902077372
OG0003635,NA,NA,NA,NA,NA,CHCHD4,relaxed,NA,CHCHD4,longevity_candidate_gene_selection_analysis-OG0003635-evm.model.ptg004057l.5_Prang,evm.model.ptg004057l.5_Prang,chr17,599222931,599223351
OG0003639,NA,NA,NA,paml_selected,NA,UBN2,relaxed,NA,UBN2,longevity_candidate_gene_selection_analysis-OG0003639-evm.model.ptg001323l.1_Prang,evm.model.ptg001323l.1_Prang,chr5,803090212,803094721
OG0003645,NA,NA,NA,paml_selected,NA,NA,NA,NA,RPRD2,longevity_candidate_gene_selection_analysis-OG0003645-evm.model.ptg007175l.1_Prang,evm.model.ptg007175l.1_Prang,chr9,673455816,673459914
OG0003649,NA,NA,NA,NA,NA,RBM39,relaxed,NA,RBM39,longevity_candidate_gene_selection_analysis-OG0003649-evm.model.ptg007107l.1_Prang,evm.model.ptg007107l.1_Prang,chr5,3358533,3360177
OG0003650,NA,NA,NA,NA,NA,HNRNPL,relaxed,NA,HNRNPL,longevity_candidate_gene_selection_analysis-OG0003650-evm.model.ptg000967l.6_Prang,evm.model.ptg000967l.6_Prang,chr17,238999333,239000977
OG0003660,NA,PPP4R2,intensified,paml_selected,NA,NA,NA,NA,PPP4R2,longevity_candidate_gene_selection_analysis-OG0003660-evm.model.ptg001116l.1_Prang,evm.model.ptg001116l.1_Prang,chr17,438149443,438150682
OG0003664,NA,PFDN4,intensified,NA,NA,NA,NA,NA,PFDN4,longevity_candidate_gene_selection_analysis-OG0003664-evm.model.ptg001692l.1_Prang,evm.model.ptg001692l.1_Prang,chr14,810877452,810877866
OG0003671,NA,NA,NA,NA,NA,WTAP,relaxed,NA,WTAP,longevity_candidate_gene_selection_analysis-OG0003671-evm.model.ptg011989l.4_Prang,evm.model.ptg011989l.4_Prang,chr4,2028653638,2028654880
OG0003675,NA,NA,NA,NA,NA,NSA2,relaxed,NA,NSA2,longevity_candidate_gene_selection_analysis-OG0003675-evm.model.ptg008383l.3_Prang,evm.model.ptg008383l.3_Prang,chr1,3439963842,3439964625
OG0003676,NA,NA,NA,NA,expanded,NA,NA,NA,MAD2L1,longevity_candidate_gene_selection_analysis-OG0003676-evi.model.ptg011850l.112_Prang,evi.model.ptg011850l.112_Prang,chr16,793271701,793272316
OG0003680,NA,NA,NA,NA,NA,ETF1,relaxed,NA,ETF1,longevity_candidate_gene_selection_analysis-OG0003680-evm.model.ptg007563l.5_Prang,evm.model.ptg007563l.5_Prang,chr3,1892932260,1892932842
OG0003690,NA,NA,NA,paml_selected,NA,RACGAP1,relaxed,NA,RACGAP1,longevity_candidate_gene_selection_analysis-OG0003690-evm.model.ptg004670l.6_Prang,evm.model.ptg004670l.6_Prang,chr5,1351949455,1351951396
OG0003692,NA,NA,NA,NA,NA,SUCO,relaxed,NA,SUCO,longevity_candidate_gene_selection_analysis-OG0003692-evm.model.ptg022360l.1_Prang,evm.model.ptg022360l.1_Prang,chr12,1131262688,1131263216
OG0003696,NA,CASP6,intensified,paml_selected,NA,NA,NA,NA,CASP6,longevity_candidate_gene_selection_analysis-OG0003696-evm.model.ptg009815l.3_Prang,evm.model.ptg009815l.3_Prang,chr1,1718259482,1718260391
OG0003697,NA,NA,NA,NA,NA,KCNMA1,relaxed,NA,KCNMA1,longevity_candidate_gene_selection_analysis-OG0003697-evm.model.ptg003135l.1_Prang,evm.model.ptg003135l.1_Prang,chr15,240377077,240380476
OG0003699,NA,ABI3BP,intensified,paml_selected,NA,NA,NA,NA,ABI3BP,longevity_candidate_gene_selection_analysis-OG0003699-evm.model.ptg004472l.2_Prang,evm.model.ptg004472l.2_Prang,chr3,2120671540,2120673349
OG0003700,NA,NA,NA,NA,NA,ARHGEF10L,relaxed,NA,ARHGEF10L,longevity_candidate_gene_selection_analysis-OG0003700-evm.model.ptg022278l.7_Prang,evm.model.ptg022278l.7_Prang,chr10,77946910,77950216
OG0003704,NA,NA,NA,NA,NA,SORT1,relaxed,NA,SORT1,longevity_candidate_gene_selection_analysis-OG0003704-evm.model.ptg010383l.5_Prang,evm.model.ptg010383l.5_Prang,chr3,1224181612,1224185092
OG0003710,NA,NA,NA,paml_selected,NA,C10orf12,relaxed,NA,C10orf12,longevity_candidate_gene_selection_analysis-OG0003710-evm.model.ptg003469l.4_Prang,evm.model.ptg003469l.4_Prang,chr15,402007675,402008611
OG0003714,NA,NA,NA,paml_selected,NA,USP19,relaxed,NA,USP19,longevity_candidate_gene_selection_analysis-OG0003714-evm.model.ptg003232l.2_Prang,evm.model.ptg003232l.2_Prang,chr17,497783717,497788034
OG0003715,NA,NA,NA,paml_selected,NA,BPTF,relaxed,NA,BPTF,longevity_candidate_gene_selection_analysis-OG0003715-evm.model.ptg001128l.1_Prang,evm.model.ptg001128l.1_Prang,chr13,872231498,872235137
OG0003716,NA,NA,NA,NA,NA,UBR5,relaxed,NA,UBR5,longevity_candidate_gene_selection_analysis-OG0003716-evm.model.ptg000843l.1_Prang,evm.model.ptg000843l.1_Prang,chr2,534046555,534049141
OG0003717,NA,NA,NA,paml_selected,NA,COL12A1,relaxed,NA,COL12A1,longevity_candidate_gene_selection_analysis-OG0003717-evm.model.ptg008067l.1_Prang,evm.model.ptg008067l.1_Prang,chr4,2240613493,2240618917
OG0003720,NA,NA,NA,NA,NA,PTEN,relaxed,NA,PTEN,longevity_candidate_gene_selection_analysis-OG0003720-evm.model.ptg002858l.1_Prang,evm.model.ptg002858l.1_Prang,chr15,189594792,189595695
OG0003735,NA,NA,NA,NA,NA,RPL7L1,relaxed,NA,RPL7L1,longevity_candidate_gene_selection_analysis-OG0003735-evm.model.ptg022415l.2_Prang,evm.model.ptg022415l.2_Prang,chr18,192427667,192427817
OG0003739,NA,NA,NA,paml_selected,NA,CUBN,relaxed,NA,CUBN,longevity_candidate_gene_selection_analysis-OG0003739-evm.model.ptg002465l.1_Prang,evm.model.ptg002465l.1_Prang,chr16,732187334,732188192
OG0003744,NA,RPL35,intensified,NA,NA,NA,NA,NA,RPL35,longevity_candidate_gene_selection_analysis-OG0003744-evm.model.ptg023341l.1_Prang,evm.model.ptg023341l.1_Prang,chr11,282389939,282390311
OG0003747,NA,NA,NA,paml_selected,NA,NANS,relaxed,NA,NANS,longevity_candidate_gene_selection_analysis-OG0003747-evm.model.ptg013771l.4_Prang,evm.model.ptg013771l.4_Prang,chr1,1300079160,1300080240
OG0003750,NA,NA,NA,NA,NA,CCDC171,relaxed,NA,CCDC171,longevity_candidate_gene_selection_analysis-OG0003750-evm.model.ptg000802l.1_Prang,evm.model.ptg000802l.1_Prang,chr1,2576866881,2576868102
OG0003753,NA,NA,NA,paml_selected,NA,IQSEC3,relaxed,NA,IQSEC3,longevity_candidate_gene_selection_analysis-OG0003753-evm.model.ptg001041l.4_Prang,evm.model.ptg001041l.4_Prang,chr7,471944693,471947927
